iter	Passed	Remaining
0	28	51772
1	50	45033
2	84	50486
3	126	56916
4	155	55744
5	170	51045
6	197	50636
7	226	50827
8	254	50647
9	279	50177
10	291	47466
11	317	47433
12	348	47942
13	360	46056
14	374	44684
15	398	44520
16	427	44883
17	452	44899
18	493	46340
19	544	48571
20	586	49753
21	615	49836
22	644	49914
23	681	50493
24	692	49280
25	721	49299
26	750	49350
27	779	49389
28	807	49411
29	815	48211
30	838	47927
31	867	48001
32	908	48738
33	944	49132
34	976	49350
35	1011	49653
36	1043	49784
37	1075	49961
38	1104	49944
39	1119	49323
40	1151	49506
41	1184	49684
42	1218	49858
43	1245	49776
44	1271	49692
45	1291	49340
46	1318	49248
47	1363	49842
48	1397	50041
49	1429	50113
50	1454	49958
51	1485	50036
52	1517	50107
53	1546	50097
54	1577	50126
55	1593	49711
56	1622	49704
57	1645	49518
58	1671	49421
59	1706	49563
60	1737	49629
61	1774	49830
62	1811	50022
63	1832	49780
64	1871	50051
65	1910	50288
66	1930	50019
67	1966	50181
68	2004	50368
69	2029	50251
70	2039	49743
71	2074	49875
72	2107	49943
73	2137	49953
74	2168	49972
75	2193	49845
76	2233	50069
77	2262	50030
78	2289	49971
79	2312	49802
80	2332	49589
81	2360	49535
82	2389	49510
83	2411	49353
84	2439	49297
85	2467	49264
86	2496	49233
87	2527	49256
88	2556	49229
89	2585	49206
90	2618	49269
91	2647	49246
92	2681	49310
93	2716	49386
94	2748	49414
95	2783	49488
96	2819	49587
97	2833	49292
98	2866	49337
99	2898	49356
100	2903	48930
101	2917	48661
102	2950	48693
103	2991	48866
104	3028	48976
105	3033	48563
106	3054	48409
107	3065	48118
108	3094	48088
109	3123	48068
110	3152	48058
111	3169	47854
112	3197	47826
113	3222	47750
114	3253	47754
115	3273	47612
116	3301	47568
117	3331	47571
118	3359	47542
119	3387	47505
120	3412	47429
121	3442	47435
122	3470	47401
123	3498	47364
124	3521	47272
125	3551	47265
126	3577	47214
127	3606	47198
128	3641	47249
129	3677	47325
130	3706	47313
131	3732	47244
132	3762	47239
133	3793	47249
134	3809	47065
135	3817	46786
136	3847	46783
137	3875	46754
138	3900	46688
139	3928	46669
140	3958	46664
141	3974	46490
142	4012	46577
143	4060	46781
144	4093	46808
145	4118	46742
146	4147	46720
147	4176	46708
148	4205	46689
149	4234	46668
150	4264	46652
151	4276	46445
152	4287	46242
153	4314	46201
154	4342	46172
155	4369	46135
156	4399	46128
157	4426	46088
158	4454	46054
159	4483	46037
160	4510	46006
161	4539	45981
162	4566	45948
163	4612	46101
164	4640	46071
165	4666	46021
166	4688	45931
167	4717	45907
168	4744	45871
169	4771	45837
170	4802	45831
171	4813	45647
172	4825	45464
173	4829	45217
174	4846	45083
175	4884	45158
176	4924	45240
177	4962	45307
178	5002	45384
179	5043	45479
180	5085	45570
181	5127	45664
182	5159	45675
183	5200	45758
184	5239	45820
185	5277	45881
186	5293	45748
187	5333	45815
188	5376	45913
189	5418	46002
190	5460	46081
191	5471	45908
192	5509	45960
193	5532	45889
194	5574	45969
195	5618	46064
196	5658	46126
197	5696	46174
198	5732	46207
199	5763	46198
200	5768	45973
201	5801	45980
202	5852	46129
203	5901	46260
204	5949	46379
205	5983	46387
206	6017	46396
207	6032	46257
208	6045	46104
209	6073	46071
210	6107	46079
211	6143	46108
212	6174	46087
213	6207	46091
214	6241	46098
215	6272	46084
216	6306	46090
217	6342	46110
218	6379	46140
219	6410	46128
220	6416	45931
221	6456	45977
222	6482	45926
223	6514	45924
224	6557	45990
225	6589	45982
226	6624	45993
227	6670	46076
228	6704	46081
229	6738	46084
230	6772	46089
231	6805	46084
232	6841	46098
233	6884	46164
234	6942	46321
235	7007	46530
236	7047	46570
237	7086	46596
238	7123	46613
239	7162	46648
240	7210	46730
241	7262	46846
242	7307	46913
243	7344	46927
244	7364	46832
245	7375	46679
246	7412	46693
247	7449	46711
248	7496	46783
249	7553	46920
250	7613	47074
251	7662	47162
252	7710	47240
253	7763	47346
254	7803	47372
255	7842	47391
256	7880	47405
257	7917	47415
258	7959	47450
259	7997	47464
260	8047	47547
261	8087	47566
262	8109	47483
263	8153	47532
264	8201	47602
265	8246	47652
266	8284	47660
267	8318	47645
268	8366	47709
269	8401	47699
270	8437	47696
271	8472	47691
272	8508	47685
273	8543	47676
274	8579	47672
275	8610	47639
276	8663	47726
277	8713	47797
278	8749	47795
279	8797	47850
280	8831	47835
281	8866	47823
282	8897	47787
283	8933	47781
284	8970	47778
285	9004	47762
286	9043	47767
287	9082	47779
288	9121	47783
289	9158	47782
290	9206	47835
291	9246	47849
292	9289	47875
293	9335	47916
294	9388	47992
295	9424	47984
296	9453	47937
297	9481	47886
298	9510	47836
299	9539	47793
300	9568	47746
301	9598	47705
302	9627	47659
303	9660	47637
304	9709	47688
305	9756	47730
306	9792	47717
307	9826	47696
308	9850	47625
309	9882	47594
310	9915	47571
311	9949	47545
312	9983	47525
313	10024	47538
314	10085	47641
315	10148	47757
316	10184	47740
317	10220	47726
318	10256	47714
319	10298	47728
320	10335	47715
321	10374	47715
322	10406	47683
323	10443	47672
324	10483	47673
325	10519	47660
326	10558	47660
327	10603	47681
328	10648	47709
329	10690	47718
