lon,lat,lnBCF_pred,PlantConc
85.305550,45.118772,3.390663,0.923732
122.935952,45.419420,3.019143,0.637084
84.734142,45.010015,4.237004,2.153314
85.360940,45.124196,3.071320,0.671208
85.314569,45.111372,3.407356,0.939281
84.683706,44.991638,3.948965,1.614408
84.798326,45.008357,3.007765,0.629877
84.804280,45.009456,3.247135,0.800226
85.355024,45.105097,3.071320,0.671208
84.801424,44.999910,3.323028,0.863321
84.813331,45.002107,3.234360,0.790068
84.804522,44.991462,3.307492,0.850012
84.795715,44.980817,3.519851,1.051118
84.801666,44.981916,3.616805,1.158132
84.769064,44.966873,3.843336,1.452578
84.775013,44.967973,4.232033,2.142635
84.804761,44.973468,3.190975,0.756524
84.810712,44.974567,3.449417,0.979631
85.365612,45.075427,2.998560,0.624105
85.377577,45.077568,3.187400,0.753824
85.325258,45.063686,2.901442,0.566344
84.950749,44.991290,3.385489,0.918965
85.302857,45.055155,2.758113,0.490719
85.308835,45.056229,2.734810,0.479416
85.314814,45.057302,2.916978,0.575211
85.320792,45.058375,2.722132,0.473377
85.326771,45.059448,2.844966,0.535245
85.344710,45.062665,2.776507,0.499829
85.350691,45.063736,2.743022,0.483369
85.932371,45.166283,3.271594,0.820040
84.732088,44.946500,3.450540,0.980732
84.940371,44.984879,3.763963,1.341739
85.328285,45.055210,2.876038,0.552137
85.933845,45.162030,3.226477,0.783864
85.323819,45.049900,2.844966,0.535245
85.353714,45.055259,2.827129,0.525783
85.295448,45.040296,2.538758,0.394065
85.307401,45.042443,2.599694,0.418825
85.355225,45.051021,2.639739,0.435937
85.361205,45.052092,2.618849,0.426925
85.022438,44.986355,2.828468,0.526487
84.708577,44.924104,3.379047,0.913064
84.714519,44.925206,3.949538,1.615333
84.930388,44.942468,3.147586,0.724401
85.033153,44.956746,2.544773,0.396443
85.117242,44.881872,3.018409,0.636617
83.600213,44.590591,2.789970,0.506604
85.035459,44.862489,2.915432,0.574323
83.613555,44.588706,3.055739,0.660831
83.619420,44.589858,2.847459,0.536581
83.603440,44.582210,2.671935,0.450201
85.074196,44.860527,3.204319,0.766686
83.635984,44.579587,2.816150,0.520042
83.641849,44.580738,2.854989,0.540637
83.750159,44.561365,2.948629,0.593708
83.979248,44.605803,2.913148,0.573012
83.640351,44.535371,2.813274,0.518548
83.647819,44.532329,2.662177,0.445829
84.133186,44.531710,2.531185,0.391092
84.148088,44.525547,2.932905,0.584446
84.202584,44.531441,2.642144,0.436987
84.151229,44.517135,2.717350,0.471118
84.211599,44.524146,2.607247,0.422000
84.321337,44.499930,2.732886,0.478495
84.665398,44.505927,2.732648,0.478381
85.599817,44.661837,3.126561,0.709329
86.393480,44.780968,3.310006,0.852152
86.429420,44.787033,3.012661,0.632968
84.654071,44.467779,2.580539,0.410878
86.388912,44.775691,2.842005,0.533663
86.409717,44.770194,3.359727,0.895593
86.415705,44.771204,3.184203,0.751418
86.418542,44.762672,2.949887,0.594455
86.413972,44.757396,3.055501,0.660674
86.419959,44.758406,3.184203,0.751418
86.437923,44.761434,3.029083,0.643448
86.409403,44.752119,3.125411,0.708514
86.415389,44.753130,3.102108,0.692194
86.445328,44.758176,3.126561,0.709329
86.454146,44.750651,3.261728,0.811989
86.476351,44.740871,2.785079,0.504132
86.476012,44.722794,3.525662,1.057244
85.832829,44.608136,3.519641,1.050898
85.838781,44.609174,3.744049,1.315284
85.844732,44.610212,3.480802,1.010864
85.856637,44.612286,3.348511,0.885604
86.435532,44.711476,2.982476,0.614148
86.441516,44.712484,2.957655,0.599091
86.032275,44.633717,3.016662,0.635506
86.444342,44.703950,3.496100,1.026447
86.522146,44.717025,3.067922,0.668931
86.489050,44.702461,3.704972,1.264878
85.359252,44.501916,2.590688,0.415070
86.466526,44.694170,3.534939,1.067097
86.514398,44.702212,3.215808,0.775546
85.366657,44.498737,2.385703,0.338141
85.782068,44.572243,2.823918,0.524097
86.479902,44.691915,3.720507,1.284682
85.599371,44.535620,2.797327,0.510344
85.605306,44.536668,2.607756,0.422215
85.611242,44.537717,2.646595,0.438936
85.623115,44.539812,2.537846,0.393706
85.777577,44.566953,2.920572,0.577282
85.814706,44.568937,2.819523,0.521799
85.820653,44.569975,2.836339,0.530647
86.494686,44.685389,3.673901,1.226181
86.542558,44.693418,3.029083,0.643448
86.548543,44.694420,2.831686,0.528184
85.400713,44.491314,2.195847,0.279669
86.543963,44.689148,2.957655,0.599091
86.549948,44.690150,2.667911,0.448393
85.402191,44.487074,2.278212,0.303679
85.408115,44.488132,2.379211,0.335953
85.704697,44.540663,2.615332,0.425426
86.234600,44.632372,3.134329,0.714861
86.461616,44.670821,3.263399,0.813347
86.509467,44.678861,3.086204,0.681273
86.521433,44.680868,2.911048,0.571810
86.539384,44.683877,3.176435,0.745603
85.700217,44.535372,2.512832,0.383980
85.795282,44.552031,2.829285,0.526917
85.807171,44.554108,2.788589,0.505905
86.182328,44.618943,3.094578,0.687002
86.188293,44.619963,3.094340,0.686838
85.695737,44.530080,2.607247,0.422000
86.509111,44.660784,3.176435,0.745603
85.587364,44.497463,2.402735,0.343949
86.486599,44.652499,3.371164,0.905895
86.492578,44.653504,3.455752,0.985856
86.516498,44.657518,3.196471,0.760693
85.899105,44.543098,2.973190,0.608471
86.513328,44.647978,3.317774,0.858797
86.525288,44.649984,3.117275,0.702773
86.081957,44.561193,3.223042,0.781176
85.793288,44.484122,2.917320,0.575407
86.597697,44.621559,3.047365,0.655320
86.300516,44.567016,3.060392,0.663913
86.593115,44.616290,3.106999,0.695588
85.808060,44.477695,2.533180,0.391873
86.290006,44.560727,2.942357,0.589996
86.606471,44.614016,2.934351,0.585292
86.612450,44.615013,3.255631,0.807054
86.684228,44.626960,2.839453,0.532303
85.803572,44.472408,2.631751,0.432469
86.697586,44.624674,2.920572,0.577282
86.739478,44.631618,2.532350,0.391548
85.947576,44.492958,3.496338,1.026691
86.126028,44.523723,2.951405,0.595359
86.615242,44.606471,3.027803,0.642625
86.621221,44.607468,3.277654,0.825025
86.746851,44.628334,2.878292,0.553383
86.009897,44.494730,3.262119,0.812306
86.140787,44.517247,3.002815,0.626767
86.319520,44.547723,3.114767,0.701013
86.737656,44.617804,3.060392,0.663913
86.625406,44.594654,3.165400,0.737421
86.649320,44.598637,2.990244,0.618937
86.728463,44.607274,3.153606,0.728775
86.139112,44.503449,2.906487,0.569208
86.104836,44.493064,3.066642,0.668075
86.023010,44.474476,3.330533,0.869825
86.368319,44.533471,3.021554,0.638622
86.374282,44.534480,2.919054,0.576406
86.380246,44.535488,2.903518,0.567521
86.393581,44.533238,3.020035,0.637653
86.383064,44.526957,2.920572,0.577282
86.591944,44.562049,3.032436,0.645609
86.759322,44.589863,3.301905,0.845276
86.146235,44.482152,2.836577,0.530774
86.432180,44.530743,3.052625,0.658776
86.284575,44.501257,2.559313,0.402249
86.344156,44.511367,2.740416,0.482111
86.397805,44.520441,2.758505,0.490912
86.781418,44.580004,2.848906,0.537358
86.430431,44.516938,2.750737,0.487113
86.794764,44.577703,2.942168,0.589885
