lon,lat,lnBCF_pred,PlantConc
85.305550,45.118772,4.072775,1.827189
122.935952,45.419420,3.918673,1.566239
84.734142,45.010015,4.788432,3.737569
85.360940,45.124196,3.802236,1.394086
85.314569,45.111372,4.039944,1.768175
84.683706,44.991638,4.640159,3.222516
84.798326,45.008357,3.794045,1.382714
84.804280,45.009456,4.010875,1.717516
85.355024,45.105097,3.802236,1.394086
84.801424,44.999910,4.076319,1.833675
84.813331,45.002107,3.960682,1.633436
84.804522,44.991462,4.060783,1.805408
84.795715,44.980817,4.201847,2.078925
84.801666,44.981916,4.238115,2.155707
84.769064,44.966873,4.550365,2.945766
84.775013,44.967973,4.838133,3.928025
84.804761,44.973468,3.944266,1.606840
84.810712,44.974567,4.108974,1.894543
85.365612,45.075427,3.682153,1.236341
85.377577,45.077568,3.877582,1.503184
85.325258,45.063686,3.590919,1.128537
84.950749,44.991290,4.051777,1.789222
85.302857,45.055155,3.447590,0.977843
85.308835,45.056229,3.424286,0.955319
85.314814,45.057302,3.606454,1.146206
85.320792,45.058375,3.393611,0.926459
85.326771,45.059448,3.517150,1.048283
85.344710,45.062665,3.447986,0.978230
85.350691,45.063736,3.407913,0.939804
85.932371,45.166283,4.003215,1.704409
84.732088,44.946500,4.164812,2.003340
84.940371,44.984879,4.390632,2.510886
85.328285,45.055210,3.548222,1.081366
85.933845,45.162030,3.916659,1.563087
85.323819,45.049900,3.517150,1.048283
85.353714,45.055259,3.499313,1.029750
85.295448,45.040296,3.203648,0.766172
85.307401,45.042443,3.264584,0.814311
85.355225,45.051021,3.304629,0.847582
85.361205,45.052092,3.290328,0.835547
85.022438,44.986355,3.493358,1.023637
84.708577,44.924104,4.176502,2.026897
84.714519,44.925206,4.628845,3.186262
84.930388,44.942468,3.933865,1.590214
85.033153,44.956746,3.208167,0.769643
85.117242,44.881872,3.755180,1.330006
83.600213,44.590591,3.615638,1.156781
85.035459,44.862489,3.578826,1.114973
83.613555,44.588706,3.832603,1.437071
83.619420,44.589858,3.623618,1.166049
83.603440,44.582210,3.499099,1.029530
85.074196,44.860527,3.843495,1.452809
83.635984,44.579587,3.592309,1.130107
83.641849,44.580738,3.631148,1.174863
83.750159,44.561365,3.766991,1.345808
83.979248,44.605803,3.771929,1.352469
83.640351,44.535371,3.638941,1.184055
83.647819,44.532329,3.487844,1.018008
84.133186,44.531710,3.445446,0.975749
84.148088,44.525547,3.709064,1.270064
84.202584,44.531441,3.467812,0.997818
84.151229,44.517135,3.573275,1.108800
84.211599,44.524146,3.454031,0.984162
84.321337,44.499930,3.588810,1.126161
84.665398,44.505927,3.588573,1.125893
85.599817,44.661837,3.914687,1.560007
86.393480,44.780968,4.074348,1.830065
86.429420,44.787033,3.760501,1.337102
84.654071,44.467779,3.485972,1.016104
86.388912,44.775691,3.650381,1.197677
86.409717,44.770194,4.074560,1.830454
86.415705,44.771204,3.950041,1.616147
86.418542,44.762672,3.777756,1.360374
86.413972,44.757396,3.832365,1.436728
86.419959,44.758406,3.950041,1.616147
86.437923,44.761434,3.855456,1.470290
86.409403,44.752119,3.902275,1.540765
86.415389,44.753130,3.878972,1.505275
86.445328,44.758176,3.914687,1.560007
86.454146,44.750651,4.000345,1.699525
86.476351,44.740871,3.561238,1.095533
86.476012,44.722794,4.204864,2.085205
85.832829,44.608136,4.251267,2.184246
85.838781,44.609174,4.441248,2.641248
85.844732,44.610212,4.212428,2.101038
85.856637,44.612286,4.080138,1.840692
86.435532,44.711476,3.808849,1.403337
86.441516,44.712484,3.785524,1.370982
86.032275,44.633717,3.793526,1.381997
86.444342,44.703950,4.227726,2.133426
86.522146,44.717025,3.894295,1.528518
86.489050,44.702461,4.402171,2.540027
85.359252,44.501916,3.504389,1.034991
86.466526,44.694170,4.266565,2.217917
86.514398,44.702212,3.929437,1.583188
85.366657,44.498737,3.362990,0.898520
85.782068,44.572243,3.600076,1.138920
86.479902,44.691915,4.417706,2.579796
85.599371,44.535620,3.627715,1.170836
85.605306,44.536668,3.555130,1.088863
85.611242,44.537717,3.593969,1.131985
85.623115,44.539812,3.485220,1.015340
85.777577,44.566953,3.746945,1.319098
85.814706,44.568937,3.646687,1.193262
85.820653,44.569975,3.662006,1.211683
86.494686,44.685389,4.371100,2.462319
86.542558,44.693418,3.855456,1.470290
86.548543,44.694420,3.607844,1.147801
85.400713,44.491314,3.185850,0.752656
86.543963,44.689148,3.785524,1.370982
86.549948,44.690150,3.426072,0.957027
85.402191,44.487074,3.265005,0.814655
85.408115,44.488132,3.370097,0.904928
85.704697,44.540663,3.441000,0.971420
86.234600,44.632372,3.922455,1.572172
86.461616,44.670821,4.027741,1.746728
86.509467,44.678861,3.875826,1.500547
86.521433,44.680868,3.738917,1.308551
86.539384,44.683877,3.942273,1.603641
85.700217,44.535372,3.339996,0.878095
85.795282,44.552031,3.604883,1.144407
85.807171,44.554108,3.623203,1.165566
86.182328,44.618943,3.871442,1.493983
86.188293,44.619963,3.871204,1.493627
85.695737,44.530080,3.454031,0.984162
86.509111,44.660784,3.942273,1.603641
85.587364,44.497463,3.389528,0.922684
86.486599,44.652499,4.084793,1.849280
86.492578,44.653504,4.134953,1.944406
86.516498,44.657518,3.984597,1.672971
85.899105,44.543098,3.801059,1.392447
86.513328,44.647978,4.082116,1.844336
86.525288,44.649984,3.906897,1.547902
86.081957,44.561193,3.988880,1.680151
85.793288,44.484122,3.735682,1.304325
86.597697,44.621559,3.836987,1.443384
86.300516,44.567016,3.886765,1.517052
86.593115,44.616290,3.933372,1.589430
85.808060,44.477695,3.380899,0.914757
86.290006,44.560727,3.770226,1.350169
86.606471,44.614016,3.762220,1.339403
86.612450,44.615013,4.019973,1.733213
86.684228,44.626960,3.615612,1.156752
85.803572,44.472408,3.492028,1.022276
86.697586,44.624674,3.746945,1.319098
86.739478,44.631618,3.290511,0.835700
85.947576,44.492958,4.227964,2.133935
86.126028,44.523723,3.777778,1.360404
86.615242,44.606471,3.855672,1.470608
86.621221,44.607468,4.043493,1.774461
86.746851,44.628334,3.654451,1.202562
86.009897,44.494730,4.027957,1.747106
86.140787,44.517247,3.778974,1.362032
86.319520,44.547723,3.941140,1.601825
86.737656,44.617804,3.886765,1.517052
86.625406,44.594654,3.953526,1.621789
86.649320,44.598637,3.816617,1.414280
86.728463,44.607274,3.979979,1.665262
86.139112,44.503449,3.732155,1.299732
86.104836,44.493064,3.894511,1.528848
86.023010,44.474476,4.086864,1.853115
86.368319,44.533471,3.847926,1.459261
86.374282,44.534480,3.746923,1.319070
86.380246,44.535488,3.731387,1.298735
86.393581,44.533238,3.847904,1.459229
86.383064,44.526957,3.746945,1.319098
86.591944,44.562049,3.809300,1.403969
86.759322,44.589863,4.033531,1.756871
86.146235,44.482152,3.662245,1.211971
86.432180,44.530743,3.878998,1.505313
86.284575,44.501257,3.396833,0.929449
86.344156,44.511367,3.596340,1.134672
86.397805,44.520441,3.534664,1.066804
86.781418,44.580004,3.676775,1.229710
86.430431,44.516938,3.526896,1.058550
86.794764,44.577703,3.722783,1.287609
86.503412,44.524710,3.824623,1.425648
86.630170,44.541405,3.662457,1.212229
86.404838,44.499111,3.639153,1.184306
86.418164,44.496857,3.495359,1.025687
86.395730,44.488567,3.786742,1.372653
86.809025,44.553035,3.900485,1.538008
86.780509,44.543827,3.940457,1.600732
86.786488,44.544814,4.093857,1.866119
86.795225,44.537249,4.055018,1.795030
86.730869,44.522107,3.928622,1.581899
86.713895,44.496779,3.988880,1.680151
86.821423,44.514550,3.668196,1.219206
86.826383,44.420811,3.590518,1.128085
86.876866,44.420108,3.559209,1.093313
124.135190,43.722490,3.933274,1.589275
124.146917,43.720449,4.072745,1.827134
123.398910,43.825442,3.613481,1.154289
123.404809,43.824458,3.605713,1.145358
123.410709,43.823473,3.626190,1.169052
123.416608,43.822488,3.649493,1.196615
123.397551,43.821170,3.597946,1.136495
123.409349,43.819202,3.597946,1.136495
123.415248,43.818217,3.648722,1.195693
123.421146,43.817232,3.645895,1.192317
123.427044,43.816247,3.622592,1.164854
123.413888,43.813946,3.626190,1.169052
123.419786,43.812962,3.692502,1.249203
123.425683,43.811977,3.653663,1.201615
123.431581,43.810991,3.618422,1.160006
123.388935,43.813611,3.747836,1.320274
123.400732,43.811644,3.591870,1.129612
123.418426,43.808691,3.602886,1.142124
123.424323,43.807706,3.610654,1.151031
123.430220,43.806721,3.772482,1.353218
123.393475,43.808356,3.663323,1.213279
123.417066,43.804420,3.676966,1.229946
123.422963,43.803435,3.706695,1.267059
123.428860,43.802450,3.714463,1.276939
123.440652,43.800479,3.675624,1.228295
123.446548,43.799493,3.610654,1.151031
