lon,lat,lnBCF_pred,PlantConc
83.269984,46.658163,1.944313,0.140716
83.022076,46.250551,2.061636,0.158233
83.028091,46.251768,2.093383,0.163337
125.105743,45.725529,2.836290,0.343340
124.003541,45.890273,2.939734,0.380759
123.927778,45.822070,2.885513,0.360663
123.944543,45.814671,2.781135,0.324916
123.936958,45.811462,2.911698,0.370232
124.083093,45.732044,2.997831,0.403535
124.080200,45.687410,2.592464,0.269050
123.653155,45.756093,2.799535,0.330950
123.657772,45.750798,2.841303,0.345066
123.583199,45.758887,3.056712,0.428009
123.581732,45.754622,3.109402,0.451165
82.260132,44.963028,1.766437,0.117786
82.256018,44.957648,1.613684,0.101101
82.251905,44.952268,1.787476,0.120290
124.178810,45.638660,2.846039,0.346704
82.259481,44.949347,1.819792,0.124241
82.265326,44.950576,1.771255,0.118355
124.246959,45.613208,2.760251,0.318201
124.253013,45.612147,2.830752,0.341444
124.233341,45.611079,3.069252,0.433410
124.245449,45.608959,2.649422,0.284819
124.251502,45.607899,2.624188,0.277722
124.237885,45.605770,2.686409,0.295551
124.243938,45.604710,2.782956,0.325508
124.249991,45.603650,2.820310,0.337897
124.262096,45.601529,2.686409,0.295551
124.236376,45.601521,2.636743,0.281231
124.242428,45.600462,2.853836,0.349418
124.248481,45.599402,2.840783,0.344886
124.254533,45.598342,2.618096,0.276035
124.266636,45.596220,2.660186,0.287901
124.228814,45.598332,2.414968,0.225292
124.234867,45.597273,2.886422,0.360991
124.240919,45.596213,2.874720,0.356792
124.213693,45.591951,2.997831,0.403535
125.327594,45.391078,2.719987,0.305643
125.332003,45.385745,2.492400,0.243431
124.349749,45.522946,2.799048,0.330789
124.330114,45.521890,2.754240,0.316294
124.336155,45.520827,2.785566,0.326359
124.342195,45.519763,2.775124,0.322969
124.348235,45.518700,2.822920,0.338780
124.328602,45.517644,2.764682,0.319614
124.334643,45.516581,2.785566,0.326359
124.340683,45.515517,2.867239,0.354133
124.346722,45.514454,2.885162,0.360537
124.327091,45.513397,2.966505,0.391090
124.333130,45.512334,2.833362,0.342337
124.339170,45.511271,3.092695,0.443690
124.351248,45.509144,2.951570,0.385292
124.319539,45.510213,2.896864,0.364780
124.325579,45.509151,2.755500,0.316693
124.331619,45.508088,3.113579,0.453054
124.337658,45.507025,2.976947,0.395195
124.311989,45.507028,2.982974,0.397584
