lon,lat,lnBCF_pred,PlantConc
85.305550,45.118772,2.783766,0.137991
122.935952,45.419420,2.431359,0.097007
84.734142,45.010015,3.486525,0.278647
85.360940,45.124196,2.536129,0.107722
85.314569,45.111372,2.698410,0.126701
84.683706,44.991638,3.309556,0.233452
84.798326,45.008357,2.474112,0.101244
84.804280,45.009456,2.713482,0.128625
85.355024,45.105097,2.536129,0.107722
84.801424,44.999910,2.789374,0.138767
84.813331,45.002107,2.641014,0.119634
84.804522,44.991462,2.773839,0.136628
84.795715,44.980817,2.940310,0.161375
84.801666,44.981916,2.928428,0.159469
84.769064,44.966873,3.237217,0.217161
84.775013,44.967973,3.537461,0.293208
84.804761,44.973468,2.657322,0.121601
84.810712,44.974567,2.800163,0.140272
85.365612,45.075427,2.420925,0.096000
85.377577,45.077568,2.604581,0.115354
85.325258,45.063686,2.331385,0.087778
84.950749,44.991290,2.763007,0.135156
85.302857,45.055155,2.188056,0.076057
85.308835,45.056229,2.164753,0.074305
85.314814,45.057302,2.346920,0.089152
85.320792,45.058375,2.222260,0.078703
85.326771,45.059448,2.332332,0.087861
85.344710,45.062665,2.276635,0.083101
85.350691,45.063736,2.248335,0.080782
85.932371,45.166283,2.719824,0.129444
84.732088,44.946500,2.800269,0.140287
84.940371,44.984879,3.058322,0.181589
85.328285,45.055210,2.363404,0.090634
85.933845,45.162030,2.647474,0.120409
85.323819,45.049900,2.332332,0.087861
85.353714,45.055259,2.314495,0.086308
85.295448,45.040296,2.044070,0.065857
85.307401,45.042443,2.105006,0.069995
85.355225,45.051021,2.145052,0.072855
85.361205,45.052092,2.118977,0.070980
85.022438,44.986355,2.333781,0.087988
84.708577,44.924104,2.814873,0.142351
84.714519,44.925206,3.297664,0.230692
84.930388,44.942468,2.613932,0.116437
85.033153,44.956746,1.979655,0.061749
85.117242,44.881872,2.421247,0.096031
83.600213,44.590591,2.333198,0.087937
85.035459,44.862489,2.345310,0.089008
83.613555,44.588706,2.526512,0.106691
83.619420,44.589858,2.330994,0.087743
83.603440,44.582210,2.290597,0.084269
85.074196,44.860527,2.466032,0.100429
83.635984,44.579587,2.295869,0.084715
83.641849,44.580738,2.334707,0.088070
83.750159,44.561365,2.554529,0.109722
83.979248,44.605803,2.434955,0.097356
83.640351,44.535371,2.356501,0.090010
83.647819,44.532329,2.205404,0.077388
84.133186,44.531710,1.876042,0.055671
84.148088,44.525547,2.416440,0.095570
84.202584,44.531441,2.181555,0.075564
84.151229,44.517135,2.045188,0.065931
84.211599,44.524146,2.107163,0.070146
84.321337,44.499930,2.060723,0.066963
84.665398,44.505927,2.056669,0.066692
85.599817,44.661837,2.614087,0.116455
86.393480,44.780968,2.763435,0.135214
86.429420,44.787033,2.611710,0.116179
84.654071,44.467779,1.963963,0.060788
