lon,lat,lnBCF_pred,PlantConc
85.305550,45.118772,3.956903,0.446002
122.935952,45.419420,3.693933,0.342871
84.734142,45.010015,4.616646,0.862701
85.360940,45.124196,3.652941,0.329100
85.314569,45.111372,3.944482,0.440497
84.683706,44.991638,4.559460,0.814750
84.798326,45.008357,3.705521,0.346867
84.804280,45.009456,3.922351,0.430855
85.355024,45.105097,3.652941,0.329100
84.801424,44.999910,3.987794,0.459995
84.813331,45.002107,3.923358,0.431290
84.804522,44.991462,3.972259,0.452904
84.795715,44.980817,4.062998,0.495923
84.801666,44.981916,4.092932,0.510992
84.769064,44.966873,4.452625,0.732195
84.775013,44.967973,4.775686,1.011418
84.804761,44.973468,3.855742,0.403092
84.810712,44.974567,3.962311,0.448421
85.365612,45.075427,3.595007,0.310576
85.377577,45.077568,3.785251,0.375656
85.325258,45.063686,3.517114,0.287303
84.950749,44.991290,3.908774,0.425045
85.302857,45.055155,3.373786,0.248939
85.308835,45.056229,3.350482,0.243205
85.314814,45.057302,3.532650,0.291801
85.320792,45.058375,3.406910,0.257323
85.326771,45.059448,3.511923,0.285815
85.344710,45.062665,3.461285,0.271702
85.350691,45.063736,3.426396,0.262386
85.932371,45.166283,3.829759,0.392753
84.732088,44.946500,4.133813,0.532315
84.940371,44.984879,4.239266,0.591515
85.328285,45.055210,3.542994,0.294835
85.933845,45.162030,3.829962,0.392833
85.323819,45.049900,3.511923,0.285815
85.353714,45.055259,3.494085,0.280762
85.295448,45.040296,3.222132,0.213910
85.307401,45.042443,3.283067,0.227350
85.355225,45.051021,3.323113,0.236639
85.361205,45.052092,3.303627,0.232072
85.022438,44.986355,3.511842,0.285792
84.708577,44.924104,4.060145,0.494510
84.714519,44.925206,4.548535,0.805898
84.930388,44.942468,3.845341,0.398921
85.033153,44.956746,3.166505,0.202335
85.117242,44.881872,3.712222,0.349200
83.600213,44.590591,3.590588,0.309207
85.035459,44.862489,3.532159,0.291658
83.613555,44.588706,3.840228,0.396886
83.619420,44.589858,3.649769,0.328058
83.603440,44.582210,3.539200,0.293718
85.074196,44.860527,3.716875,0.350828
83.635984,44.579587,3.612825,0.316160
83.641849,44.580738,3.651664,0.328681
