lon,lat,lnBCF_pred,PlantConc
83.269984,46.658163,2.350087,0.179121
83.022076,46.250551,2.678089,0.248654
83.028091,46.251768,2.687994,0.251129
125.105743,45.725529,3.265026,0.447197
124.003541,45.890273,3.222828,0.428719
123.927778,45.822070,3.221345,0.428083
123.944543,45.814671,3.111619,0.383597
123.936958,45.811462,3.311748,0.468587
124.083093,45.732044,3.394106,0.508812
124.080200,45.687410,3.106052,0.381467
123.653155,45.756093,3.142310,0.395552
123.657772,45.750798,3.184078,0.412424
123.583199,45.758887,3.400172,0.511908
123.581732,45.754622,3.445680,0.535742
82.260132,44.963028,2.391498,0.186694
82.256018,44.957648,2.116748,0.141843
82.251905,44.952268,2.385259,0.185533
124.178810,45.638660,3.212110,0.424148
82.259481,44.949347,2.397721,0.187859
82.265326,44.950576,2.314858,0.172920
124.246959,45.613208,3.090735,0.375669
124.253013,45.612147,3.220906,0.427895
124.233341,45.611079,3.433475,0.529243
124.245449,45.608959,3.171766,0.407377
124.251502,45.607899,3.222053,0.428387
124.237885,45.605770,3.066583,0.366704
124.243938,45.604710,3.163130,0.403874
124.249991,45.603650,3.210464,0.423451
124.262096,45.601529,3.066583,0.366704
124.236376,45.601521,3.023860,0.351368
124.242428,45.600462,3.257294,0.443753
124.248481,45.599402,3.249588,0.440346
124.254533,45.598342,3.140440,0.394813
124.266636,45.596220,3.035013,0.355308
124.228814,45.598332,2.802085,0.281479
124.234867,45.597273,3.246854,0.439144
124.240919,45.596213,3.278178,0.453117
124.213693,45.591951,3.394106,0.508812
125.327594,45.391078,3.135748,0.392965
125.332003,45.385745,3.050330,0.360793
124.349749,45.522946,3.341268,0.482626
124.330114,45.521890,3.129067,0.390349
124.336155,45.520827,3.160393,0.402770
124.342195,45.519763,3.149951,0.398586
124.348235,45.518700,3.207727,0.422293
124.328602,45.517644,3.139509,0.394446
124.334643,45.516581,3.160393,0.402770
124.340683,45.515517,3.197724,0.418090
124.346722,45.514454,3.288620,0.457874
124.327091,45.513397,3.362780,0.493121
124.333130,45.512334,3.218169,0.426726
124.339170,45.511271,3.444628,0.535179
124.351248,45.509144,3.367776,0.495590
124.319539,45.510213,3.257296,0.443753
124.325579,45.509151,3.087301,0.374381
124.331619,45.508088,3.465512,0.546473
124.337658,45.507025,3.373222,0.498297
124.311989,45.507028,3.339041,0.481552
124.318029,45.505966,3.236412,0.434582
124.324068,45.504904,3.362782,0.493121
124.330107,45.503842,3.434186,0.529620
124.316518,45.501720,3.318157,0.471600
124.322557,45.500657,3.507180,0.569725
124.328596,45.499595,3.278178,0.453117
124.334634,45.498532,3.362780,0.493121
124.315008,45.497473,3.496738,0.563807
124.339161,45.493223,3.205008,0.421147
124.584884,45.445148,2.871299,0.301651
124.336139,45.484731,3.064898,0.366087
124.333118,45.476238,3.362780,0.493121
124.339153,45.475175,3.362780,0.493121
124.345189,45.474112,3.291357,0.459128
124.351224,45.473049,3.152688,0.399679
124.337643,45.470929,3.260031,0.444969
124.343678,45.469866,3.014373,0.348050
124.336133,45.466683,3.218169,0.426726
124.342168,45.465620,3.218169,0.426726
124.348202,45.464557,3.278178,0.453117
124.360269,45.462431,3.129067,0.390349
124.345181,45.456065,3.207727,0.422293
124.351215,45.455002,3.129067,0.390349
124.375328,45.432703,3.123500,0.388182
80.488890,44.249300,2.573955,0.224063
80.490703,44.245205,2.220062,0.157281
80.496401,44.246508,2.469708,0.201882
85.096873,45.184815,2.561625,0.221317
80.689723,44.263462,2.435171,0.195028
80.701140,44.266049,2.224311,0.157951
80.718267,44.269927,2.297406,0.169929
80.723977,44.271220,2.297406,0.169929
80.697231,44.260654,2.435171,0.195028
80.693323,44.255259,2.352654,0.179581
80.699030,44.256552,2.465810,0.201096
80.712245,44.255035,2.339174,0.177177
80.742586,44.257390,2.307923,0.171725
80.706224,44.240143,2.063793,0.134527
80.645279,44.221812,2.189772,0.152589
80.650980,44.223107,2.200214,0.154190
80.811966,44.155823,1.795871,0.102909
80.819454,44.153002,1.664612,0.090250
80.809833,44.146326,1.440842,0.072155
80.815535,44.147611,1.580402,0.082961
80.821238,44.148896,1.540273,0.079698
80.826940,44.150180,1.756375,0.098924
80.832644,44.151464,1.898750,0.114060
80.823021,44.144790,1.707345,0.094190
80.830507,44.141967,1.859441,0.109663
80.853320,44.147101,1.748148,0.098113
80.701242,44.108269,1.601460,0.084727
80.706935,44.109559,1.674554,0.091152
80.714418,44.106745,1.560366,0.081316
80.845476,44.136321,1.467179,0.074080
80.847257,44.132214,2.015471,0.128181
80.714090,44.093149,1.340333,0.065255
80.719782,44.094437,1.684996,0.092109
80.725476,44.095725,1.330641,0.064626
123.458053,45.220588,3.685290,0.680796
80.730165,44.056223,1.341083,0.065304
80.460820,43.972390,1.657471,0.089608
80.468287,43.969593,1.705418,0.094009
123.526799,45.159459,3.503551,0.567661
84.617821,44.826067,1.911476,0.115521
122.279697,45.348082,3.191427,0.415466
122.272254,45.344736,3.392242,0.507865
122.193734,45.338924,3.141848,0.395370
80.484446,43.932738,0.976796,0.045366
122.271609,45.322298,3.266221,0.447732
122.270263,45.318001,3.159621,0.402459
122.268916,45.313703,3.138736,0.394141
80.497283,43.917652,0.889343,0.041567
80.709757,43.844360,1.042119,0.048429
80.739517,43.833076,0.736937,0.035691
80.727823,43.816921,1.111590,0.051913
80.619889,43.778942,2.376638,0.183940
124.399872,44.779047,3.522147,0.578316
124.405832,44.777993,3.549048,0.594084
124.411792,44.776940,3.562303,0.602011
121.934254,45.180583,3.605712,0.628720
124.392433,44.775854,3.581305,0.613560
124.398393,44.774801,3.532589,0.584387
124.404353,44.773748,3.503365,0.567555
80.676144,43.778201,1.650701,0.089003
84.097178,44.493273,2.876740,0.303297
84.103053,44.494399,2.858284,0.297751
124.379035,44.773714,3.438611,0.531969
124.390955,44.771609,3.525938,0.580512
124.396915,44.770556,3.497936,0.564483
84.098751,44.489069,3.311420,0.468433
124.395437,44.766311,3.520305,0.577252
124.370122,44.766274,3.461597,0.544338
124.368646,44.762028,3.394106,0.508812
84.115212,44.478704,2.545337,0.217742
84.121086,44.479828,2.647016,0.241046
124.361211,44.758833,3.388540,0.505988
124.367171,44.757782,3.407285,0.515562
124.373130,44.756730,3.053404,0.361904
80.639732,43.747426,1.108466,0.051751
80.645388,43.748710,1.702987,0.093781
124.353777,44.755637,3.467201,0.547397
124.365696,44.753536,3.173682,0.408158
124.371654,44.752485,3.087223,0.374352
124.370179,44.748239,3.058634,0.363801
124.376137,44.747187,3.210464,0.423451
80.701617,43.747949,1.654344,0.089328
80.707276,43.749230,1.633286,0.087467
80.712936,43.750511,1.466214,0.074009
80.716469,43.742305,1.727264,0.096085
80.722128,43.743586,1.612402,0.085659
84.077670,44.444476,3.469131,0.548455
80.718234,43.738202,1.851895,0.108839
80.723894,43.739483,1.674380,0.091136
84.080812,44.436067,3.724671,0.708142
80.733082,43.732555,1.431995,0.071519
84.129333,44.440856,2.779187,0.275107
84.135204,44.441979,3.077229,0.370629
84.141075,44.443101,3.094078,0.376927
84.146946,44.444223,3.259748,0.444843
84.130901,44.436650,2.531320,0.214711
84.136771,44.437773,2.835335,0.290996
84.142641,44.438895,2.618794,0.234339
84.148512,44.440017,2.929314,0.319669
84.138337,44.433567,2.364248,0.181675
124.124435,44.750740,3.569932,0.606622
122.095792,45.043132,3.468105,0.547892
124.230548,44.691670,3.479669,0.554264
124.229087,44.687421,3.701487,0.691913
124.404768,44.629489,3.816124,0.775957
124.410712,44.628438,3.690744,0.684520
122.291980,44.958607,3.768349,0.739757
124.046395,44.651653,3.562110,0.601895
123.998895,44.641851,3.476885,0.552724
122.132897,44.915760,3.743793,0.721813
122.016525,44.929190,3.623845,0.640224
122.022583,44.928260,3.319712,0.472334
122.101312,44.916136,3.700202,0.691025
122.125527,44.912395,3.832348,0.788649
122.131579,44.911459,3.790504,0.756330
122.137632,44.910523,3.611600,0.632433
121.868442,44.942816,3.327652,0.476099
122.019964,44.919653,3.717410,0.703019
121.877971,44.932356,3.926289,0.866327
122.023402,44.910115,3.670699,0.670935
121.749291,44.947362,3.188500,0.414252
121.882735,44.927127,3.710909,0.698463
81.736526,43.738043,2.110032,0.140894
81.698175,43.680263,1.716762,0.095082
124.089457,44.500045,3.468941,0.548351
124.088015,44.495792,3.099814,0.379095
124.074688,44.493601,3.070294,0.368068
123.999251,44.475136,3.620072,0.637813
123.991873,44.471907,3.308420,0.467030
124.175975,44.439950,3.808029,0.769701
124.181909,44.438915,3.920544,0.861364
81.828396,43.649797,1.779414,0.101229
86.515716,44.544789,2.409546,0.190094
123.846543,44.469879,3.590435,0.619188
124.102044,44.425804,3.775932,0.745388
123.839172,44.466638,3.509306,0.570937
123.940253,44.449284,3.783867,0.751326
123.843699,44.461359,3.510677,0.571721
123.932881,44.446050,3.772714,0.742993
123.938824,44.445027,3.856961,0.808301
123.913624,44.444859,3.773425,0.743522
124.059248,44.410715,3.651398,0.658110
86.102440,44.425104,1.126102,0.052672
86.097922,44.419825,1.892057,0.113299
86.093405,44.414546,2.654165,0.242776
86.099346,44.415567,2.654702,0.242906
82.168650,43.573743,2.002617,0.126544
121.320094,44.736564,3.371628,0.497503
82.170307,43.569594,1.912842,0.115679
82.244513,43.585226,2.435635,0.195119
82.250224,43.586427,2.708288,0.256278
82.240455,43.579874,2.902676,0.311266
82.246165,43.581075,2.481333,0.204242
123.432520,44.395855,3.183367,0.412131
123.425176,44.392580,3.235819,0.434325
123.431132,44.391584,3.207729,0.422294
123.423788,44.388310,3.590106,0.618984
85.739567,44.236072,2.078791,0.136560
120.735866,44.793757,3.464801,0.546085
121.572826,44.672113,3.214966,0.425361
85.593360,44.205837,3.360184,0.491842
85.652395,44.216253,3.363994,0.493719
121.414291,44.691162,3.131868,0.391444
85.594810,44.201592,3.381068,0.502221
85.647937,44.210966,3.433278,0.529139
121.429937,44.679843,3.099314,0.378906
85.621314,44.197269,3.345538,0.484691
121.428682,44.675526,3.141083,0.395067
82.304265,43.543794,1.932399,0.117963
82.309975,43.544991,2.036819,0.130947
82.315684,43.546188,2.162123,0.148428
121.974222,44.579890,3.628851,0.643437
122.015085,44.569122,3.842222,0.796475
122.057224,44.562643,3.449324,0.537698
82.296139,43.533095,2.275475,0.166243
82.353234,43.545053,2.365986,0.181991
82.358946,43.546247,2.383544,0.185215
122.049909,44.559267,3.500250,0.565790
122.055928,44.558340,3.435844,0.530499
82.366299,43.543286,2.151757,0.146897
122.054632,44.554037,3.502677,0.567165
82.362229,43.537938,2.172641,0.149997
82.367940,43.539131,2.047337,0.132331
86.163672,44.260012,2.824659,0.287905
86.169600,44.261026,2.982659,0.337185
86.187386,44.264068,3.013985,0.347915
122.053337,44.549734,3.597529,0.623596
122.059354,44.548808,3.576645,0.610708
86.159156,44.254738,2.865228,0.299826
86.165083,44.255752,2.917438,0.315896
86.171011,44.256766,2.875670,0.302973
86.176939,44.257780,3.013985,0.347915
86.182867,44.258794,3.249533,0.440322
122.058059,44.544505,3.344896,0.484380
86.154641,44.249463,3.385105,0.504253
86.160568,44.250478,3.437315,0.531280
86.166494,44.251492,3.249533,0.440322
86.172422,44.252506,2.865228,0.299826
86.178349,44.253520,3.024427,0.351567
86.184277,44.254533,3.112720,0.384019
122.062780,44.539276,3.243163,0.437526
86.156053,44.245203,3.416431,0.520300
86.161979,44.246218,3.395547,0.509546
86.167905,44.247232,3.092471,0.376322
86.476511,44.299568,3.165137,0.404685
82.363081,43.520125,2.109913,0.140877
82.368790,43.521319,2.047261,0.132322
86.157464,44.240943,3.154314,0.400329
86.163390,44.241958,3.469840,0.548844
86.169316,44.242972,2.906822,0.312560
122.036126,44.534372,3.730096,0.711994
122.042142,44.533447,3.589780,0.618782
82.347595,43.512390,2.057703,0.133710
82.359012,43.514777,2.120355,0.142356
122.093683,44.516503,3.545319,0.591873
122.099696,44.515575,3.555761,0.598086
82.554101,43.537380,2.245735,0.161371
123.850316,44.217104,3.616576,0.635587
123.856239,44.216090,3.694688,0.687225
123.874005,44.213044,3.696415,0.688413
82.555729,43.533220,2.304106,0.171071
123.842983,44.213859,3.758992,0.732868
123.848906,44.212845,3.715572,0.701728
123.854828,44.211830,3.774356,0.744214
123.860750,44.210816,3.654726,0.660303
123.866672,44.209801,3.748626,0.725310
123.908116,44.202688,3.776161,0.745559
123.919955,44.200653,3.640185,0.650771
123.841573,44.209599,3.650781,0.657704
123.912621,44.197412,3.503365,0.567555
87.016920,44.334964,3.836423,0.791869
122.795060,44.365411,3.538506,0.587855
122.787745,44.362087,3.628931,0.643489
86.419445,44.186430,3.641931,0.651909
86.426764,44.183163,3.186839,0.413564
86.432693,44.184163,3.405989,0.514895
86.438623,44.185162,3.437315,0.531280
86.398145,44.155832,3.334094,0.479176
86.404071,44.156832,3.313210,0.469272
86.409997,44.157832,3.197281,0.417905
86.399535,44.151566,3.469840,0.548844
86.405460,44.152566,3.313210,0.469272
86.394999,44.146300,3.452894,0.539621
86.400924,44.147300,3.515546,0.574511
86.406849,44.148300,3.375862,0.499614
87.370694,44.306441,3.526726,0.580970
121.338795,44.495191,3.480726,0.554851
86.452489,44.142489,3.035894,0.355622
86.458415,44.143487,3.002000,0.343770
86.464341,44.144484,3.176397,0.409268
86.495361,44.145195,2.804653,0.282203
86.496743,44.140927,2.808591,0.283316
86.502671,44.141922,2.731265,0.262234
86.508599,44.142916,2.550956,0.218969
86.498125,44.136658,3.343319,0.483617
86.504052,44.137653,3.395529,0.509537
86.509980,44.138647,3.331501,0.477935
86.515908,44.139642,3.264923,0.447151
121.391667,44.460392,3.483463,0.556371
86.549686,44.131799,3.703150,0.693065
87.892443,44.343298,2.657352,0.243551
121.395211,44.450866,3.072448,0.368862
86.564296,44.125242,3.667658,0.668898
86.570224,44.126233,3.635427,0.647682
121.399997,44.445658,3.446318,0.536084
121.404781,44.440450,3.628851,0.643437
87.950264,44.338707,2.800799,0.281117
121.052320,44.482917,3.032028,0.354249
88.072797,44.348485,3.359161,0.491339
88.078798,44.349401,3.332843,0.478576
121.045060,44.479464,3.114186,0.384583
88.009365,44.329779,3.250949,0.440946
86.775568,44.128849,3.162269,0.403527
86.781504,44.129829,3.272180,0.450408
88.004649,44.324555,2.902822,0.311312
88.010646,44.325474,3.122105,0.387640
86.776929,44.124574,3.533487,0.584912
87.862109,44.298101,2.889059,0.307057
86.809328,44.120918,2.236148,0.159832
120.929004,44.469137,2.637457,0.238753
120.941092,44.467405,2.647899,0.241259
120.921751,44.465674,2.672124,0.247175
86.730339,44.094369,2.636246,0.238464
87.958394,44.290447,3.005559,0.344996
87.964386,44.291368,2.980060,0.336310
87.970378,44.292289,3.032270,0.354335
86.731701,44.090094,2.584709,0.226486
86.743563,44.092058,2.954779,0.327914
86.727134,44.084838,2.769924,0.272571
86.738994,44.086802,3.092953,0.376503
86.801029,44.088050,2.125814,0.143135
87.921601,44.266780,2.465219,0.200977
86.757656,44.067389,3.010091,0.346563
86.836115,44.075830,2.073604,0.135854
86.842048,44.076806,2.535985,0.215715
86.847981,44.077782,2.442007,0.196366
86.853915,44.078758,2.856947,0.297353
86.855267,44.074480,2.653950,0.242724
86.850687,44.069228,2.922027,0.317348
86.856620,44.070203,3.005563,0.344997
86.880354,44.074101,3.057773,0.363488
86.886288,44.075075,3.354907,0.489253
86.892222,44.076048,2.950925,0.326653
86.852040,44.064950,2.904997,0.311990
86.881704,44.069823,2.974237,0.334357
86.887638,44.070797,3.057773,0.363488
87.894678,44.231124,3.134801,0.392593
86.883055,44.065545,3.512603,0.572823
86.888988,44.066518,3.512603,0.572823
86.894922,44.067491,3.606582,0.629267
86.890338,44.062240,3.491719,0.560984
86.854220,44.038311,3.069641,0.367828
86.860150,44.039285,2.954779,0.327914
86.931330,44.050957,3.468407,0.548058
86.937263,44.051928,3.457965,0.542365
86.949131,44.053868,3.207099,0.422028
86.914878,44.043764,3.663810,0.666329
86.920810,44.044736,3.596140,0.622730
86.938609,44.047648,3.128439,0.390104
86.944542,44.048619,3.374429,0.498898
86.950476,44.049589,3.237523,0.435065
87.939552,44.206539,2.505034,0.209141
87.945535,44.207460,3.016001,0.348617
87.951518,44.208381,2.924764,0.318218
86.815428,44.022928,2.531825,0.214820
86.922157,44.040456,3.789114,0.755279
86.939954,44.043369,2.457646,0.199461
86.945887,44.044339,3.258501,0.444288
86.951821,44.045309,2.899389,0.310245
86.810855,44.017675,2.447912,0.197529
86.947232,44.040059,3.117997,0.386051
86.966375,44.038687,3.334023,0.479141
86.938057,44.029560,3.149323,0.398336
86.909749,44.020427,3.097113,0.378073
86.946676,44.021971,3.024019,0.351424
88.062170,44.193842,3.144805,0.396540
88.068155,44.194756,3.165689,0.404909
88.080126,44.196583,2.804737,0.282227
86.885495,43.998453,2.901817,0.310999
88.058727,44.184315,2.957429,0.328784
88.580388,44.262725,3.224804,0.429567
88.581623,44.258408,3.333981,0.479122
88.169009,44.192108,3.270548,0.449673
86.948805,43.995323,2.930041,0.319902
87.008104,44.004998,2.626026,0.236040
87.014036,44.005964,2.515101,0.211257
87.019968,44.006930,2.225706,0.158171
87.033169,44.004579,1.983907,0.124198
121.621757,44.214648,3.052693,0.361646
87.028574,43.999332,2.319396,0.173707
87.034505,44.000297,2.257032,0.163205
88.322559,44.201795,3.518583,0.576259
89.007671,44.302521,2.682158,0.249668
87.023979,43.994085,2.877831,0.303628
87.029910,43.995050,2.692616,0.252293
87.035842,43.996015,2.692616,0.252293
88.209983,44.180317,2.946406,0.325180
88.497742,44.223475,3.485734,0.557636
86.835692,43.958776,2.953677,0.327553
87.013456,43.987873,3.378566,0.500966
87.025316,43.989804,2.846505,0.294264
87.031247,43.990768,2.755268,0.268605
87.037178,43.991733,2.515101,0.211257
87.043109,43.992697,2.692616,0.252293
87.924149,44.132167,2.845166,0.293871
87.930124,44.133087,3.176569,0.409339
88.205255,44.175101,3.259667,0.444807
88.211242,44.176008,2.977732,0.335528
88.223219,44.177819,3.071711,0.368590
88.492981,44.218267,3.633884,0.646684
88.498982,44.219159,3.613000,0.633319
88.751279,44.256347,2.710945,0.256959
121.624008,44.200811,3.022342,0.350835
88.206514,44.170792,3.197015,0.417794
88.224477,44.173510,3.207457,0.422179
88.236453,44.175320,3.088867,0.374968
88.242442,44.176225,3.343642,0.483773
88.248431,44.177129,3.333200,0.478747
88.482221,44.212167,3.476815,0.552685
88.680372,44.241456,3.683577,0.679631
88.686382,44.242338,3.864036,0.814040
88.758514,44.252904,2.798976,0.280605
121.508802,44.213502,2.911326,0.313970
121.514802,44.212609,2.921768,0.317266
86.915377,43.962859,3.512679,0.572866
86.921301,43.963829,3.502161,0.566873
88.231722,44.170105,3.276823,0.452504
88.441471,44.201597,3.751633,0.727494
88.759737,44.248582,3.064629,0.365989
121.507562,44.209186,3.194326,0.416672
87.023395,43.975994,2.734384,0.263053
88.226992,44.164890,3.099309,0.378904
88.232980,44.165795,3.088867,0.374968
88.532705,44.210664,3.480125,0.554518
87.018803,43.970747,2.856947,0.297353
87.024731,43.971712,2.898715,0.310036
87.036589,43.973641,2.257418,0.163268
87.042518,43.974605,2.359145,0.180751
88.240224,44.162390,2.823843,0.287671
88.605974,44.217002,3.237043,0.434857
88.786229,44.243450,3.291970,0.459410
88.050040,44.128989,3.092595,0.376368
88.223520,44.155366,3.109751,0.382881
88.229507,44.156271,2.893210,0.308334
88.595199,44.210912,3.443723,0.534695
88.601202,44.211798,3.213348,0.424674
88.787449,44.239127,2.970651,0.333161
88.793461,44.240004,2.754110,0.268294
87.009620,43.960254,2.815853,0.285381
87.015547,43.961219,2.940483,0.323260
88.566420,44.202158,3.401223,0.512446
88.572422,44.203045,3.433368,0.529186
88.596431,44.206594,3.234232,0.433636
88.602435,44.207480,3.254220,0.442391
88.914976,44.253151,3.019417,0.349810
88.920994,44.254021,3.053629,0.361985
87.010956,43.955973,2.369587,0.182648
87.016882,43.956938,2.359145,0.180751
87.022810,43.957903,2.567986,0.222730
88.333817,44.162986,2.982251,0.337048
88.405722,44.173759,3.291119,0.459019
88.597664,44.202275,3.213348,0.424674
88.603666,44.203162,3.296884,0.461673
88.916187,44.248826,2.987212,0.338724
88.922204,44.249696,2.964956,0.331268
86.958967,43.942995,2.635709,0.238336
