lon,lat,lnBCF_pred,PlantConc
83.269984,46.658163,0.037544,0.012947
83.022076,46.250551,0.346012,0.017625
83.028091,46.251768,0.354587,0.017777
125.105743,45.725529,0.547387,0.021557
124.003541,45.890273,0.348665,0.017672
123.927778,45.822070,0.560068,0.021832
123.944543,45.814671,0.439792,0.019358
123.936958,45.811462,0.547854,0.021567
124.083093,45.732044,0.488464,0.020324
124.080200,45.687410,0.578089,0.022229
123.653155,45.756093,0.426693,0.019106
123.657772,45.750798,0.468461,0.019921
123.583199,45.758887,0.625983,0.023320
123.581732,45.754622,0.531116,0.021209
82.260132,44.963028,0.076674,0.013464
82.256018,44.957648,-0.149532,0.010738
82.251905,44.952268,0.073298,0.013418
124.178810,45.638660,0.558695,0.021802
82.259481,44.949347,0.051819,0.013133
82.265326,44.950576,0.007740,0.012567
124.246959,45.613208,0.418908,0.018958
124.253013,45.612147,0.551954,0.021656
124.233341,45.611079,0.456455,0.019684
124.245449,45.608959,0.652979,0.023958
124.251502,45.607899,0.702397,0.025172
124.237885,45.605770,0.432894,0.019225
124.243938,45.604710,0.529441,0.021174
124.249991,45.603650,0.541512,0.021431
124.262096,45.601529,0.432894,0.019225
124.236376,45.601521,0.335831,0.017447
124.242428,45.600462,0.492025,0.020396
124.248481,45.599402,0.494870,0.020454
124.254533,45.598342,0.621653,0.023219
124.266636,45.596220,0.390774,0.018432
124.228814,45.598332,0.114056,0.013977
124.234867,45.597273,0.342555,0.017565
124.240919,45.596213,0.512909,0.020827
124.213693,45.591951,0.488464,0.020324
125.327594,45.391078,0.520471,0.020985
125.332003,45.385745,0.549955,0.021613
124.349749,45.522946,0.692275,0.024918
124.330114,45.521890,0.484828,0.020250
124.336155,45.520827,0.516154,0.020894
124.342195,45.519763,0.505712,0.020677
124.348235,45.518700,0.528225,0.021148
124.328602,45.517644,0.495270,0.020463
124.334643,45.516581,0.516154,0.020894
124.340683,45.515517,0.525897,0.021099
124.346722,45.514454,0.523351,0.021045
124.327091,45.513397,0.457138,0.019697
124.333130,45.512334,0.538667,0.021370
124.339170,45.511271,0.511398,0.020795
124.351248,45.509144,0.499213,0.020543
124.319539,45.510213,0.352997,0.017749
124.325579,45.509151,0.304032,0.016901
124.331619,45.508088,0.532282,0.021234
124.337658,45.507025,0.467580,0.019904
124.311989,45.507028,0.371436,0.018079
124.318029,45.505966,0.332113,0.017382
124.324068,45.504904,0.318110,0.017140
124.330107,45.503842,0.500956,0.020579
124.316518,45.501720,0.350552,0.017706
124.322557,45.500657,0.399202,0.018588
124.328596,45.499595,0.512909,0.020827
124.334634,45.498532,0.457138,0.019697
124.315008,45.497473,0.388760,0.018395
124.339161,45.493223,0.439740,0.019357
124.584884,45.445148,0.389591,0.018410
124.336139,45.484731,0.439326,0.019349
124.333118,45.476238,0.457138,0.019697
124.339153,45.475175,0.457138,0.019697
124.345189,45.474112,0.536639,0.021327
124.351224,45.473049,0.518999,0.020954
124.337643,45.470929,0.505313,0.020669
124.343678,45.469866,0.380684,0.018247
124.336133,45.466683,0.538667,0.021370
124.342168,45.465620,0.538667,0.021370
124.348202,45.464557,0.512909,0.020827
124.360269,45.462431,0.484828,0.020250
124.345181,45.456065,0.528225,0.021148
124.351215,45.455002,0.484828,0.020250
124.375328,45.432703,0.623125,0.023253
80.488890,44.249300,0.119561,0.014054
80.490703,44.245205,-0.161210,0.010613
80.496401,44.246508,0.008815,0.012580
85.096873,45.184815,-0.013383,0.012304
80.689723,44.263462,0.035689,0.012923
80.701140,44.266049,-0.131561,0.010933
80.718267,44.269927,-0.058467,0.011762
80.723977,44.271220,-0.058467,0.011762
80.697231,44.260654,0.035689,0.012923
80.693323,44.255259,-0.058132,0.011766
