lon,lat,lnBCF_pred,PlantConc
85.305550,45.118772,4.386665,0.022619
122.935952,45.419420,4.155239,0.017946
84.734142,45.010015,5.066381,0.044634
85.360940,45.124196,4.096659,0.016925
85.314569,45.111372,4.333758,0.021453
84.683706,44.991638,5.222259,0.052164
84.798326,45.008357,4.323440,0.021233
84.804280,45.009456,4.526710,0.026019
85.355024,45.105097,4.096659,0.016925
84.801424,44.999910,4.508562,0.025551
84.813331,45.002107,4.411632,0.023191
84.804522,44.991462,4.493026,0.025157
84.795715,44.980817,4.514545,0.025705
84.801666,44.981916,4.514499,0.025703
84.769064,44.966873,5.155274,0.048784
84.775013,44.967973,5.361955,0.059984
84.804761,44.973468,4.376510,0.022390
84.810712,44.974567,4.384081,0.022561
85.365612,45.075427,4.155873,0.017957
85.377577,45.077568,4.341662,0.021624
85.325258,45.063686,4.041479,0.016016
84.950749,44.991290,4.375496,0.022368
85.302857,45.055155,3.898150,0.013878
85.308835,45.056229,3.874846,0.013558
85.314814,45.057302,4.057014,0.016267
85.320792,45.058375,4.054235,0.016222
85.326771,45.059448,4.191296,0.018605
85.344710,45.062665,4.108610,0.017128
85.350691,45.063736,4.078176,0.016615
85.932371,45.166283,4.307342,0.020894
84.732088,44.946500,4.824832,0.035056
84.940371,44.984879,4.704421,0.031079
85.328285,45.055210,4.222366,0.019192
85.933845,45.162030,4.384556,0.022571
85.323819,45.049900,4.191296,0.018605
85.353714,45.055259,4.173458,0.018276
85.295448,45.040296,3.873911,0.013545
85.307401,45.042443,3.934847,0.014396
85.355225,45.051021,3.974893,0.014985
85.361205,45.052092,3.950952,0.014630
85.022438,44.986355,4.163622,0.018097
84.708577,44.924104,4.803422,0.034314
84.714519,44.925206,5.224398,0.052275
84.930388,44.942468,4.463260,0.024420
85.033153,44.956746,3.696724,0.011346
85.117242,44.881872,4.285904,0.020451
83.600213,44.590591,4.282917,0.020390
85.035459,44.862489,4.060222,0.016319
83.613555,44.588706,4.518549,0.025808
83.619420,44.589858,4.296043,0.020659
83.603440,44.582210,4.355246,0.021919
85.074196,44.860527,4.107598,0.017111
83.635984,44.579587,4.260918,0.019946
83.641849,44.580738,4.299757,0.020736
83.750159,44.561365,4.615725,0.028442
83.979248,44.605803,4.359534,0.022014
83.640351,44.535371,4.306221,0.020871
83.647819,44.532329,4.155124,0.017944
84.133186,44.531710,3.565153,0.009947
84.148088,44.525547,4.381489,0.022502
84.202584,44.531441,4.131275,0.017521
84.151229,44.517135,3.747246,0.011934
84.211599,44.524146,3.991699,0.015238
84.321337,44.499930,3.762781,0.012121
84.665398,44.505927,3.758727,0.012072
85.599817,44.661837,4.592947,0.027801
86.393480,44.780968,4.777125,0.033423
86.429420,44.787033,4.862211,0.036392
84.654071,44.467779,3.663073,0.010970
86.388912,44.775691,4.537428,0.026300
86.409717,44.770194,4.782484,0.033603
86.415705,44.771204,4.841686,0.035652
86.418542,44.762672,4.643608,0.029246
86.413972,44.757396,4.514495,0.025703
86.419959,44.758406,4.841686,0.035652
