lon,lat,lnBCF_pred,PlantConc
85.305550,45.118772,6.413842,0.171737
122.935952,45.419420,6.166391,0.134091
84.734142,45.010015,7.172894,0.366874
85.360940,45.124196,6.083903,0.123474
85.314569,45.111372,6.441929,0.176629
84.683706,44.991638,7.281522,0.408972
84.798326,45.008357,6.318580,0.156133
84.804280,45.009456,6.518560,0.190697
85.355024,45.105097,6.083903,0.123474
84.801424,44.999910,6.544867,0.195780
84.813331,45.002107,6.493958,0.186063
84.804522,44.991462,6.529331,0.192762
84.795715,44.980817,6.524357,0.191806
84.801666,44.981916,6.598426,0.206552
84.769064,44.966873,7.201075,0.377360
84.775013,44.967973,7.440902,0.479636
84.804761,44.973468,6.412814,0.171561
84.810712,44.974567,6.446230,0.177391
85.365612,45.075427,6.217544,0.141128
85.377577,45.077568,6.402722,0.169838
85.325258,45.063686,6.105337,0.126149
84.950749,44.991290,6.408558,0.170832
85.302857,45.055155,5.962008,0.109304
85.308835,45.056229,5.938704,0.106786
85.314814,45.057302,6.120872,0.128124
85.320792,45.058375,6.022824,0.116158
85.326771,45.059448,6.157085,0.132849
85.344710,45.062665,6.077199,0.122649
85.350691,45.063736,6.047377,0.119045
85.932371,45.166283,6.289970,0.151729
84.732088,44.946500,6.885126,0.275132
84.940371,44.984879,6.752982,0.241075
85.328285,45.055210,6.188156,0.137041
85.933845,45.162030,6.447433,0.177604
85.323819,45.049900,6.157085,0.132849
85.353714,45.055259,6.139247,0.130500
85.295448,45.040296,5.843112,0.097051
85.307401,45.042443,5.904047,0.103149
85.355225,45.051021,5.944093,0.107363
85.361205,45.052092,5.919540,0.104759
85.022438,44.986355,6.132822,0.129664
84.708577,44.924104,6.791716,0.250596
84.714519,44.925206,7.274503,0.406111
84.930388,44.942468,6.458400,0.179563
85.033153,44.956746,5.667874,0.081451
85.117242,44.881872,6.321959,0.156661
83.600213,44.590591,6.264036,0.147844
85.035459,44.862489,6.031372,0.117155
83.613555,44.588706,6.539601,0.194752
83.619420,44.589858,6.319894,0.156338
83.603440,44.582210,6.334415,0.158625
85.074196,44.860527,6.213339,0.140536
83.635984,44.579587,6.282951,0.150668
83.641849,44.580738,6.321790,0.156634
83.750159,44.561365,6.596782,0.206212
83.979248,44.605803,6.328631,0.157710
83.640351,44.535371,6.287340,0.151330
83.647819,44.532329,6.136243,0.130108
84.133186,44.531710,5.686828,0.083009
84.148088,44.525547,6.405340,0.170284
84.202584,44.531441,6.110576,0.126811
84.151229,44.517135,5.813618,0.094230
84.211599,44.524146,6.005329,0.114143
84.321337,44.499930,5.829154,0.095706
84.665398,44.505927,5.823282,0.095145
85.599817,44.661837,6.591228,0.205070
86.393480,44.780968,6.775623,0.246595
86.429420,44.787033,6.763489,0.243621
84.654071,44.467779,5.684896,0.082849
86.388912,44.775691,6.418662,0.172567
86.409717,44.770194,6.823713,0.258744
86.415705,44.771204,6.838234,0.262528
86.418542,44.762672,6.618160,0.210668
86.413972,44.757396,6.533729,0.193612
86.419959,44.758406,6.838234,0.262528
86.437923,44.761434,6.508942,0.188872
86.409403,44.752119,6.603639,0.207631
86.415389,44.753130,6.580336,0.202849
86.445328,44.758176,6.591228,0.205070
86.454146,44.750651,6.724763,0.234367
86.476351,44.740871,6.251880,0.146058
86.476012,44.722794,7.190418,0.373360
85.832829,44.608136,7.140218,0.355080
85.838781,44.609174,7.317642,0.424014
85.844732,44.610212,7.101379,0.341553
85.856637,44.612286,6.963454,0.297549
86.435532,44.711476,6.462336,0.180271
86.441516,44.712484,6.625928,0.212311
86.032275,44.633717,6.494890,0.186236
86.444342,44.703950,7.111042,0.344870
86.522146,44.717025,6.547781,0.196351
86.489050,44.702461,7.272931,0.405474
85.359252,44.501916,5.711298,0.085066
86.466526,44.694170,7.149881,0.358528
86.514398,44.702212,6.927548,0.287055
85.366657,44.498737,5.594099,0.075658
85.782068,44.572243,6.290719,0.151842
86.479902,44.691915,7.288467,0.411822
85.599371,44.535620,6.128736,0.129135
85.605306,44.536668,5.704816,0.084516
85.611242,44.537717,5.743655,0.087863
85.623115,44.539812,5.634906,0.078809
85.777577,44.566953,6.406065,0.170407
85.814706,44.568937,6.482004,0.183852
85.820653,44.569975,6.304771,0.153991
86.494686,44.685389,7.241860,0.393069
86.542558,44.693418,6.508942,0.188872
86.548543,44.694420,6.298486,0.153027
85.400713,44.491314,5.488409,0.068070
86.543963,44.689148,6.625928,0.212311
86.549948,44.690150,6.231509,0.143113
85.402191,44.487074,5.506728,0.069328
85.408115,44.488132,5.523197,0.070480
85.704697,44.540663,6.083764,0.123457
86.234600,44.632372,6.598995,0.206669
86.461616,44.670821,6.729016,0.235366
86.509467,44.678861,6.739285,0.237795
86.521433,44.680868,6.579321,0.202643
86.539384,44.683877,6.830467,0.260497
85.700217,44.535372,6.169679,0.134532
85.795282,44.552031,6.266685,0.148237
85.807171,44.554108,6.247741,0.145455
86.182328,44.618943,6.578440,0.202465
86.188293,44.619963,6.572568,0.201279
85.695737,44.530080,6.005329,0.114143
86.509111,44.660784,6.830467,0.260497
85.587364,44.497463,5.636885,0.078965
86.486599,44.652499,7.082904,0.335301
86.492578,44.653504,7.120508,0.348150
86.516498,44.657518,6.661138,0.219920
85.899105,44.543098,6.641464,0.215635
86.513328,44.647978,6.783391,0.248518
86.525288,44.649984,6.770356,0.245300
86.081957,44.561193,6.877074,0.272925
85.793288,44.484122,6.559839,0.198733
86.597697,44.621559,6.700446,0.228736
86.300516,44.567016,6.545886,0.195980
86.593115,44.616290,6.592493,0.205330
85.808060,44.477695,6.084642,0.123565
86.290006,44.560727,6.616265,0.210269
86.606471,44.614016,6.602624,0.207421
86.612450,44.615013,6.721249,0.233545
86.684228,44.626960,6.306254,0.154220
85.803572,44.472408,6.230014,0.142899
86.697586,44.624674,6.406065,0.170407
86.739478,44.631618,6.095948,0.124970
85.947576,44.492958,7.116914,0.346901
86.126028,44.523723,6.431264,0.174756
86.615242,44.606471,6.701710,0.229026
86.621221,44.607468,6.937320,0.289874
86.746851,44.628334,6.345093,0.160327
86.009897,44.494730,6.921785,0.285405
86.140787,44.517247,6.475250,0.182614
86.319520,44.547723,6.600260,0.206931
86.737656,44.617804,6.545886,0.195980
86.625406,44.594654,6.630066,0.213192
86.649320,44.598637,6.470103,0.181677
86.728463,44.607274,6.639099,0.215126
86.139112,44.503449,6.380553,0.166115
86.104836,44.493064,6.740550,0.238096
86.023010,44.474476,6.964445,0.297844
86.368319,44.533471,6.507047,0.188514
86.374282,44.534480,6.592961,0.205426
86.380246,44.535488,6.577425,0.202259
86.393581,44.533238,6.693943,0.227254
86.383064,44.526957,6.406065,0.170407
86.591944,44.562049,6.516298,0.190266
86.759322,44.589863,6.916847,0.283999
86.146235,44.482152,6.310643,0.154898
86.432180,44.530743,6.538118,0.194463
86.284575,44.501257,5.539919,0.071668
86.344156,44.511367,5.831049,0.095887
86.397805,44.520441,6.230940,0.143031
86.781418,44.580004,6.517179,0.190434
86.430431,44.516938,6.223172,0.141925
86.794764,44.577703,6.449295,0.177935
86.503412,44.524710,6.483743,0.184172
86.630170,44.541405,6.358733,0.162529
86.404838,44.499111,6.335430,0.158786
86.418164,44.496857,5.730068,0.086677
86.395730,44.488567,6.483018,0.184038
86.809025,44.553035,6.589840,0.204786
86.780509,44.543827,6.858886,0.268006
86.786488,44.544814,7.007409,0.310919
86.795225,44.537249,6.968570,0.299075
86.730869,44.522107,6.827950,0.259842
86.713895,44.496779,6.877074,0.272925
86.821423,44.514550,6.346830,0.160606
86.826383,44.420811,6.269152,0.148603
86.876866,44.420108,6.232209,0.143213
124.135190,43.722490,6.272688,0.149129
124.146917,43.720449,6.322080,0.156680
123.398910,43.825442,5.937686,0.106678
123.404809,43.824458,5.929918,0.105852
123.410709,43.823473,5.908777,0.103638
123.416608,43.822488,5.932080,0.106081
123.397551,43.821170,5.922151,0.105033
123.409349,43.819202,5.922151,0.105033
123.415248,43.818217,5.897479,0.102473
123.421146,43.817232,5.853034,0.098019
123.427044,43.816247,5.829731,0.095761
123.413888,43.813946,5.908777,0.103638
123.419786,43.812962,5.899641,0.102695
123.425683,43.811977,5.860802,0.098783
123.431581,43.810991,5.901009,0.102836
123.388935,43.813611,6.072041,0.122018
123.400732,43.811644,5.946311,0.107602
123.418426,43.808691,5.885473,0.101251
123.424323,43.807706,5.893241,0.102040
123.430220,43.806721,5.979620,0.111246
123.393475,43.808356,6.003775,0.113966
123.417066,43.804420,5.884105,0.101112
123.422963,43.803435,6.030900,0.117100
