lon,lat,lnBCF_pred,PlantConc
83.269984,46.658163,4.441666,0.000849
83.022076,46.250551,4.720736,0.001123
83.028091,46.251768,4.716970,0.001118
125.105743,45.725529,4.922175,0.001373
124.003541,45.890273,4.815781,0.001234
123.927778,45.822070,4.876284,0.001311
123.944543,45.814671,4.773533,0.001183
123.936958,45.811462,4.962340,0.001429
124.083093,45.732044,4.836172,0.001260
124.080200,45.687410,4.877545,0.001313
123.653155,45.756093,4.808564,0.001226
123.657772,45.750798,4.850332,0.001278
123.583199,45.758887,5.010613,0.001500
123.581732,45.754622,4.870546,0.001304
82.260132,44.963028,4.346026,0.000772
82.256018,44.957648,4.216261,0.000678
82.251905,44.952268,4.422290,0.000833
124.178810,45.638660,4.915830,0.001364
82.259481,44.949347,4.469028,0.000873
82.265326,44.950576,4.375228,0.000795
124.246959,45.613208,4.752649,0.001159
124.253013,45.612147,4.850276,0.001278
124.233341,45.611079,4.868003,0.001301
124.245449,45.608959,4.913331,0.001361
124.251502,45.607899,5.017224,0.001510
124.237885,45.605770,4.733400,0.001137
124.243938,45.604710,4.829947,0.001252
124.249991,45.603650,4.839834,0.001264
124.262096,45.601529,4.733400,0.001137
124.236376,45.601521,4.701992,0.001102
124.242428,45.600462,4.884933,0.001323
124.248481,45.599402,4.870253,0.001304
124.254533,45.598342,4.882005,0.001319
124.266636,45.596220,4.708805,0.001109
124.228814,45.598332,4.480217,0.000883
124.234867,45.597273,4.837229,0.001261
124.240919,45.596213,4.905818,0.001351
124.213693,45.591951,4.836172,0.001260
125.327594,45.391078,4.844370,0.001270
125.332003,45.385745,4.833701,0.001257
124.349749,45.522946,5.066609,0.001586
124.330114,45.521890,4.802859,0.001219
124.336155,45.520827,4.834185,0.001257
124.342195,45.519763,4.823743,0.001244
124.348235,45.518700,4.844072,0.001270
124.328602,45.517644,4.813301,0.001231
124.334643,45.516581,4.834185,0.001257
124.340683,45.515517,4.859638,0.001290
124.346722,45.514454,4.916260,0.001365
124.327091,45.513397,4.804846,0.001221
124.333130,45.512334,4.854515,0.001283
124.339170,45.511271,4.874816,0.001310
124.351248,45.509144,4.846327,0.001273
124.319539,45.510213,4.847671,0.001274
124.325579,45.509151,4.723829,0.001126
124.331619,45.508088,4.895700,0.001337
124.337658,45.507025,4.815288,0.001234
124.311989,45.507028,4.897720,0.001340
124.318029,45.505966,4.826787,0.001248
124.324068,45.504904,4.767584,0.001176
124.330107,45.503842,4.864374,0.001296
124.316518,45.501720,4.876836,0.001312
124.322557,45.500657,4.880285,0.001317
124.328596,45.499595,4.905818,0.001351
124.334634,45.498532,4.804846,0.001221
124.315008,45.497473,4.869843,0.001303
124.339161,45.493223,4.832648,0.001255
124.584884,45.445148,4.649349,0.001045
124.336139,45.484731,4.733369,0.001137
124.333118,45.476238,4.804846,0.001221
124.339153,45.475175,4.804846,0.001221
124.345189,45.474112,4.912021,0.001359
124.351224,45.473049,4.819505,0.001239
124.337643,45.470929,4.880695,0.001317
124.343678,45.469866,4.681190,0.001079
124.336133,45.466683,4.854515,0.001283
124.342168,45.465620,4.854515,0.001283
124.348202,45.464557,4.905818,0.001351
124.360269,45.462431,4.802859,0.001219
124.345181,45.456065,4.844072,0.001270
124.351215,45.455002,4.802859,0.001219
124.375328,45.432703,4.906871,0.001352
80.488890,44.249300,4.652552,0.001049
80.490703,44.245205,4.354855,0.000779
80.496401,44.246508,4.576295,0.000972
85.096873,45.184815,4.414838,0.000827
80.689723,44.263462,4.562716,0.000958
80.701140,44.266049,4.402998,0.000817
80.718267,44.269927,4.476093,0.000879
80.723977,44.271220,4.476093,0.000879
80.697231,44.260654,4.562716,0.000958
80.693323,44.255259,4.482392,0.000884
80.699030,44.256552,4.530470,0.000928
80.712245,44.255035,4.517861,0.000916
80.742586,44.257390,4.486610,0.000888
80.706224,44.240143,4.087557,0.000596
80.645279,44.221812,4.202599,0.000669
80.650980,44.223107,4.213041,0.000676
80.811966,44.155823,3.805631,0.000450
80.819454,44.153002,3.675313,0.000395
80.809833,44.146326,3.450602,0.000315
80.815535,44.147611,3.602040,0.000367
80.821238,44.148896,3.508226,0.000334
80.826940,44.150180,3.714377,0.000410
80.832644,44.151464,3.844874,0.000468
80.823021,44.144790,3.675298,0.000395
80.830507,44.141967,3.884145,0.000486
80.853320,44.147101,3.758849,0.000429
80.701242,44.108269,3.651088,0.000385
80.706935,44.109559,3.724182,0.000414
80.714418,44.106745,3.599056,0.000366
80.845476,44.136321,3.435132,0.000310
80.847257,44.132214,4.194158,0.000663
80.714090,44.093149,3.389961,0.000297
80.719782,44.094437,3.734624,0.000419
80.725476,44.095725,3.369332,0.000291
123.458053,45.220588,5.087383,0.001620
80.730165,44.056223,3.379774,0.000294
80.460820,43.972390,3.704938,0.000406
80.468287,43.969593,3.712104,0.000409
123.526799,45.159459,4.864778,0.001296
84.617821,44.826067,3.954803,0.000522
122.279697,45.348082,4.784379,0.001196
122.272254,45.344736,4.765347,0.001174
122.193734,45.338924,4.829182,0.001251
80.484446,43.932738,2.767015,0.000159
122.271609,45.322298,4.959978,0.001426
122.270263,45.318001,4.862308,0.001293
122.268916,45.313703,4.841424,0.001266
80.497283,43.917652,2.884357,0.000179
80.709757,43.844360,3.153946,0.000234
80.739517,43.833076,2.581025,0.000132
80.727823,43.816921,3.222702,0.000251
80.619889,43.778942,4.401662,0.000816
124.399872,44.779047,4.957238,0.001422
124.405832,44.777993,4.979236,0.001454
124.411792,44.776940,4.985516,0.001463
121.934254,45.180583,4.975626,0.001448
124.392433,44.775854,5.079266,0.001607
124.398393,44.774801,4.967680,0.001437
124.404353,44.773748,5.101085,0.001642
80.676144,43.778201,3.806304,0.000450
84.097178,44.493273,4.832315,0.001255
84.103053,44.494399,4.790278,0.001203
124.379035,44.773714,4.873702,0.001308
124.390955,44.771609,5.135535,0.001700
124.396915,44.770556,5.156398,0.001735
84.098751,44.489069,5.035270,0.001537
124.395437,44.766311,5.076219,0.001602
124.370122,44.766274,5.059316,0.001575
124.368646,44.762028,4.836172,0.001260
84.115212,44.478704,4.537766,0.000935
84.121086,44.479828,4.602591,0.000997
124.361211,44.758833,4.940184,0.001398
124.367171,44.757782,4.842376,0.001268
124.373130,44.756730,4.727196,0.001130
80.639732,43.747426,3.253131,0.000259
80.645388,43.748710,3.858589,0.000474
124.353777,44.755637,4.909266,0.001355
124.365696,44.753536,4.801322,0.001217
124.371654,44.752485,4.761015,0.001169
124.370179,44.748239,4.725451,0.001128
124.376137,44.747187,4.839834,0.001264
80.701617,43.747949,3.693035,0.000402
80.707276,43.749230,3.643987,0.000382
80.712936,43.750511,3.476915,0.000324
80.716469,43.742305,3.737965,0.000420
80.722128,43.743586,3.623103,0.000375
84.077670,44.444476,5.198720,0.001810
80.718234,43.738202,3.873533,0.000481
80.723894,43.739483,3.696018,0.000403
84.080812,44.436067,5.432004,0.002286
80.733082,43.732555,3.548670,0.000348
84.129333,44.440856,4.720444,0.001122
84.135204,44.441979,5.000323,0.001485
84.141075,44.443101,4.997889,0.001481
84.146946,44.444223,4.997268,0.001480
84.130901,44.436650,4.509430,0.000909
84.136771,44.437773,4.776592,0.001187
84.142641,44.438895,4.596904,0.000992
84.148512,44.440017,4.870571,0.001304
84.138337,44.433567,4.342358,0.000769
124.124435,44.750740,5.000120,0.001484
122.095792,45.043132,4.851446,0.001279
124.230548,44.691670,4.919099,0.001369
124.229087,44.687421,5.169906,0.001759
124.404768,44.629489,5.319824,0.002043
124.410712,44.628438,5.194444,0.001803
122.291980,44.958607,5.250733,0.001907
124.046395,44.651653,5.071949,0.001595
123.998895,44.641851,4.974846,0.001447
122.132897,44.915760,5.105020,0.001648
122.016525,44.929190,5.109178,0.001655
122.022583,44.928260,5.017977,0.001511
122.101312,44.916136,5.098124,0.001637
122.125527,44.912395,5.199314,0.001811
122.131579,44.911459,5.157470,0.001737
122.137632,44.910523,4.984705,0.001462
121.868442,44.942816,5.091763,0.001627
122.019964,44.919653,5.084376,0.001615
121.877971,44.932356,5.118085,0.001670
122.023402,44.910115,5.031926,0.001532
121.749291,44.947362,4.832318,0.001255
121.882735,44.927127,5.188296,0.001792
81.736526,43.738043,4.301582,0.000738
81.698175,43.680263,3.826192,0.000459
124.089457,44.500045,5.157331,0.001737
124.088015,44.495792,4.953810,0.001417
124.074688,44.493601,4.849541,0.001277
123.999251,44.475136,5.314202,0.002032
123.991873,44.471907,5.182384,0.001781
124.175975,44.439950,5.502158,0.002452
124.181909,44.438915,5.424244,0.002268
81.828396,43.649797,3.888844,0.000489
86.515716,44.544789,4.481095,0.000883
123.846543,44.469879,5.296442,0.001996
124.102044,44.425804,5.337585,0.002080
123.839172,44.466638,4.936859,0.001393
123.940253,44.449284,5.219794,0.001849
123.843699,44.461359,5.267183,0.001939
123.932881,44.446050,5.212981,0.001836
123.938824,44.445027,5.292888,0.001989
123.913624,44.444859,5.209352,0.001830
124.059248,44.410715,5.345528,0.002097
86.102440,44.425104,3.208404,0.000247
86.097922,44.419825,4.038087,0.000567
86.093405,44.414546,4.706722,0.001107
86.099346,44.415567,4.720930,0.001123
82.168650,43.573743,4.075360,0.000589
121.320094,44.736564,5.032973,0.001534
82.170307,43.569594,4.068089,0.000584
82.244513,43.585226,4.507927,0.000907
82.250224,43.586427,4.756256,0.001163
82.240455,43.579874,4.729468,0.001132
82.246165,43.581075,4.552639,0.000949
123.432520,44.395855,5.012813,0.001503
123.425176,44.392580,5.079855,0.001608
123.431132,44.391584,4.806810,0.001223
123.423788,44.388310,5.024633,0.001521
85.739567,44.236072,4.119383,0.000615
120.735866,44.793757,4.899329,0.001342
121.572826,44.672113,4.944427,0.001404
85.593360,44.205837,5.128635,0.001688
85.652395,44.216253,5.073524,0.001597
