lon,lat,lnBCF_pred,PlantConc
85.305550,45.118772,2.456066,0.032262
122.935952,45.419420,2.260244,0.026524
84.734142,45.010015,3.120785,0.062715
85.360940,45.124196,2.178751,0.024448
85.314569,45.111372,2.350190,0.029021
84.683706,44.991638,3.355165,0.079280
84.798326,45.008357,2.358604,0.029266
84.804280,45.009456,2.575546,0.036356
85.355024,45.105097,2.178751,0.024448
84.801424,44.999910,2.557398,0.035702
84.813331,45.002107,2.433948,0.031556
84.804522,44.991462,2.541863,0.035152
84.795715,44.980817,2.598424,0.037197
84.801666,44.981916,2.560298,0.035806
84.769064,44.966873,3.300632,0.075072
84.775013,44.967973,3.409395,0.083698
84.804761,44.973468,2.425346,0.031286
84.810712,44.974567,2.427034,0.031339
85.365612,45.075427,2.194894,0.024846
85.377577,45.077568,2.369039,0.029573
85.325258,45.063686,2.068698,0.021901
84.950749,44.991290,2.452365,0.032143
85.302857,45.055155,1.925369,0.018976
85.308835,45.056229,1.902066,0.018539
85.314814,45.057302,2.084234,0.022243
85.320792,45.058375,2.075274,0.022045
85.326771,45.059448,2.212491,0.025287
85.344710,45.062665,2.129649,0.023277
85.350691,45.063736,2.110861,0.022844
85.932371,45.166283,2.393407,0.030302
84.732088,44.946500,2.922311,0.051425
84.940371,44.984879,2.765942,0.043981
85.328285,45.055210,2.243562,0.026085
85.933845,45.162030,2.408116,0.030751
85.323819,45.049900,2.212491,0.025287
85.353714,45.055259,2.194654,0.024840
85.295448,45.040296,1.906596,0.018623
85.307401,45.042443,1.967532,0.019793
85.355225,45.051021,2.007577,0.020602
85.361205,45.052092,1.971991,0.019882
85.022438,44.986355,2.196306,0.024881
84.708577,44.924104,2.914146,0.051007
84.714519,44.925206,3.343632,0.078370
84.930388,44.942468,2.498424,0.033658
85.033153,44.956746,1.721326,0.015474
85.117242,44.881872,2.312037,0.027934
83.600213,44.590591,2.394350,0.030331
85.035459,44.862489,2.086981,0.022305
83.613555,44.588706,2.617291,0.037906
83.619420,44.589858,2.394628,0.030339
83.603440,44.582210,2.472604,0.032800
85.074196,44.860527,2.116201,0.022966
83.635984,44.579587,2.363319,0.029404
83.641849,44.580738,2.402158,0.030569
83.750159,44.561365,2.728608,0.042369
83.979248,44.605803,2.466335,0.032595
83.640351,44.535371,2.417653,0.031046
83.647819,44.532329,2.266557,0.026692
84.133186,44.531710,1.662972,0.014597
84.148088,44.525547,2.480074,0.033046
84.202584,44.531441,2.246524,0.026163
84.151229,44.517135,1.845065,0.017512
84.211599,44.524146,2.081239,0.022177
84.321337,44.499930,1.860600,0.017786
84.665398,44.505927,1.860362,0.017782
85.599817,44.661837,2.711199,0.041638
86.393480,44.780968,2.896297,0.050105
86.429420,44.787033,2.981128,0.054540
84.654071,44.467779,1.765464,0.016172
86.388912,44.775691,2.646654,0.039035
86.409717,44.770194,2.888807,0.049731
86.415705,44.771204,2.966783,0.053764
86.418542,44.762672,2.764939,0.043937
86.413972,44.757396,2.617053,0.037897
86.419959,44.758406,2.966783,0.053764
86.437923,44.761434,2.647846,0.039082
86.409403,44.752119,2.686963,0.040641
86.415389,44.753130,2.663659,0.039705
86.445328,44.758176,2.711199,0.041638
86.454146,44.750651,2.789155,0.045014
86.476351,44.740871,2.332247,0.028505
86.476012,44.722794,3.410336,0.083776
85.832829,44.608136,3.252963,0.071577
85.838781,44.609174,3.442836,0.086544
85.844732,44.610212,3.214124,0.068851
85.856637,44.612286,3.081834,0.060319
86.435532,44.711476,2.601239,0.037302
86.441516,44.712484,2.772707,0.044280
86.032275,44.633717,2.578213,0.036453
86.444342,44.703950,3.229422,0.069912
86.522146,44.717025,2.686685,0.040630
86.489050,44.702461,3.403759,0.083227
85.359252,44.501916,1.665166,0.014629
86.466526,44.694170,3.268261,0.072681
86.514398,44.702212,3.135017,0.063614
85.366657,44.498737,1.509877,0.012525
85.782068,44.572243,2.371086,0.029633
86.479902,44.691915,3.419295,0.084530
85.599371,44.535620,2.162915,0.024064
85.605306,44.536668,1.688350,0.014972
85.611242,44.537717,1.727189,0.015565
85.623115,44.539812,1.618440,0.013961
85.777577,44.566953,2.539335,0.035063
85.814706,44.568937,2.620192,0.038016
85.820653,44.569975,2.440719,0.031770
86.494686,44.685389,3.372688,0.080681
86.542558,44.693418,2.647846,0.039082
86.548543,44.694420,2.378854,0.029864
85.400713,44.491314,1.431317,0.011578
86.543963,44.689148,2.772707,0.044280
86.549948,44.690150,2.400966,0.030532
85.402191,44.487074,1.437459,0.011650
85.408115,44.488132,1.432721,0.011595
85.704697,44.540663,2.219712,0.025471
86.234600,44.632372,2.718967,0.041963
86.461616,44.670821,2.849690,0.047823
86.509467,44.678861,2.867131,0.048664
86.521433,44.680868,2.726100,0.042263
86.539384,44.683877,2.959016,0.053348
85.700217,44.535372,2.313502,0.027975
85.795282,44.552031,2.319144,0.028133
85.807171,44.554108,2.370733,0.029623
86.182328,44.618943,2.656130,0.039407
86.188293,44.619963,2.655891,0.039398
85.695737,44.530080,2.081239,0.022177
86.509111,44.660784,2.959016,0.053348
85.587364,44.497463,1.561981,0.013194
86.486599,44.652499,3.290373,0.074306
86.492578,44.653504,3.340425,0.078120
86.516498,44.657518,2.781110,0.044653
85.899105,44.543098,2.788242,0.044973
86.513328,44.647978,2.904065,0.050495
86.525288,44.649984,2.898203,0.050200
86.081957,44.561193,3.005622,0.055893
85.793288,44.484122,2.697299,0.041063
86.597697,44.621559,2.828292,0.046811
86.300516,44.567016,2.679155,0.040325
86.593115,44.616290,2.725762,0.042249
85.808060,44.477695,2.146152,0.023664
86.290006,44.560727,2.757409,0.043607
86.606471,44.614016,2.749403,0.043260
86.612450,44.615013,2.841923,0.047453
86.684228,44.626960,2.386622,0.030097
85.803572,44.472408,2.381228,0.029935
86.697586,44.624674,2.539335,0.035063
86.739478,44.631618,2.265405,0.026662
85.947576,44.492958,3.229660,0.069929
86.126028,44.523723,2.570168,0.036161
86.615242,44.606471,2.842855,0.047497
86.621221,44.607468,3.060235,0.059030
86.746851,44.628334,2.425461,0.031289
86.009897,44.494730,3.044699,0.058120
86.140787,44.517247,2.549984,0.035439
86.319520,44.547723,2.733530,0.042578
