lon,lat,lnBCF_pred,PlantConc
85.305550,45.118772,4.644415,0.287790
122.935952,45.419420,4.408645,0.227343
84.734142,45.010015,5.455653,0.647726
85.360940,45.124196,4.336961,0.211617
85.314569,45.111372,4.687598,0.300490
84.683706,44.991638,5.515063,0.687374
84.798326,45.008357,4.554608,0.263071
84.804280,45.009456,4.756159,0.321814
85.355024,45.105097,4.336961,0.211617
84.801424,44.999910,4.782466,0.330393
84.813331,45.002107,4.709605,0.307176
84.804522,44.991462,4.766930,0.325299
84.795715,44.980817,4.770127,0.326341
84.801666,44.981916,4.860477,0.357199
84.769064,44.966873,5.459887,0.650474
84.775013,44.967973,5.673256,0.805185
84.804761,44.973468,4.650413,0.289521
84.810712,44.974567,4.713852,0.308483
85.365612,45.075427,4.485928,0.245610
85.377577,45.077568,4.659460,0.292152
85.325258,45.063686,4.364179,0.217455
84.950749,44.991290,4.652821,0.290219
85.302857,45.055155,4.220850,0.188418
85.308835,45.056229,4.197546,0.184078
85.314814,45.057302,4.379714,0.220860
85.320792,45.058375,4.275459,0.198994
85.326771,45.059448,4.407617,0.227110
85.344710,45.062665,4.329834,0.210114
85.350691,45.063736,4.311657,0.206329
85.932371,45.166283,4.546558,0.260962
84.732088,44.946500,5.100628,0.454157
84.940371,44.984879,4.967258,0.397452
85.328285,45.055210,4.438688,0.234277
85.933845,45.162030,4.698537,0.303795
85.323819,45.049900,4.407617,0.227110
85.353714,45.055259,4.389780,0.223094
85.295448,45.040296,4.107392,0.168209
85.307401,45.042443,4.168328,0.178778
85.355225,45.051021,4.208374,0.186082
85.361205,45.052092,4.172176,0.179467
85.022438,44.986355,4.397103,0.224734
84.708577,44.924104,5.022709,0.420113
84.714519,44.925206,5.506473,0.681494
84.930388,44.942468,4.694429,0.302549
85.033153,44.956746,3.933299,0.141332
85.117242,44.881872,4.543240,0.260097
83.600213,44.590591,4.499472,0.248959
85.035459,44.862489,4.298954,0.203725
83.613555,44.588706,4.752552,0.320655
83.619420,44.589858,4.534948,0.257949
83.603440,44.582210,4.566550,0.266231
85.074196,44.860527,4.452997,0.237653
83.635984,44.579587,4.503639,0.249998
83.641849,44.580738,4.542478,0.259899
83.750159,44.561365,4.829125,0.346174
83.979248,44.605803,4.566379,0.266186
83.640351,44.535371,4.522775,0.254828
83.647819,44.532329,4.371678,0.219092
84.133186,44.531710,3.928746,0.140690
84.148088,44.525547,4.620394,0.280959
84.202584,44.531441,4.351645,0.214747
84.151229,44.517135,4.055536,0.159709
84.211599,44.524146,4.243566,0.192748
84.321337,44.499930,4.071072,0.162209
84.665398,44.505927,4.070833,0.162171
85.599817,44.661837,4.824624,0.344619
86.393480,44.780968,5.009939,0.414782
86.429420,44.787033,4.988297,0.405902
84.654071,44.467779,3.940737,0.142388
86.388912,44.775691,4.651421,0.289813
86.409717,44.770194,5.037647,0.426436
86.415705,44.771204,5.069249,0.440127
86.418542,44.762672,4.853825,0.354831
86.413972,44.757396,4.752314,0.320579
86.419959,44.758406,5.069249,0.440127
86.437923,44.761434,4.747908,0.319170
86.409403,44.752119,4.822224,0.343793
86.415389,44.753130,4.798920,0.335874
86.445328,44.758176,4.824624,0.344619
86.454146,44.750651,4.937778,0.385906
86.476351,44.740871,4.472568,0.242350
86.476012,44.722794,5.436584,0.635492
85.832829,44.608136,5.386956,0.604724
85.838781,44.609174,5.564381,0.722123
85.844732,44.610212,5.348117,0.581687
85.856637,44.612286,5.215827,0.509608
86.435532,44.711476,4.701302,0.304636
86.441516,44.712484,4.861593,0.357598
86.032275,44.633717,4.713474,0.308367
86.444342,44.703950,5.363415,0.590654
86.522146,44.717025,4.786747,0.331810
86.489050,44.702461,5.525303,0.694449
85.359252,44.501916,3.960417,0.145217
86.466526,44.694170,5.402254,0.614045
86.514398,44.702212,5.173714,0.488593
85.366657,44.498737,3.854345,0.130603
85.782068,44.572243,4.511406,0.251948
86.479902,44.691915,5.540839,0.705322
85.599371,44.535620,4.355362,0.215547
85.605306,44.536668,3.949046,0.143576
85.611242,44.537717,3.987885,0.149262
85.623115,44.539812,3.879136,0.133881
85.777577,44.566953,4.639397,0.286349
85.814706,44.568937,4.714138,0.308571
85.820653,44.569975,4.545840,0.260774
86.494686,44.685389,5.494232,0.673203
86.542558,44.693418,4.747908,0.319170
86.548543,44.694420,4.519174,0.253912
85.400713,44.491314,3.767223,0.119706
86.543963,44.689148,4.861593,0.357598
86.549948,44.690150,4.445990,0.235994
85.402191,44.487074,3.770296,0.120074
85.408115,44.488132,3.761259,0.118994
85.704697,44.540663,4.324833,0.209066
86.234600,44.632372,4.832391,0.347306
86.461616,44.670821,4.963332,0.395894
86.509467,44.678861,4.969379,0.398296
86.521433,44.680868,4.814986,0.341314
86.539384,44.683877,5.061481,0.436722
85.700217,44.535372,4.407447,0.227071
85.795282,44.552031,4.488941,0.246351
85.807171,44.554108,4.493701,0.247526
86.182328,44.618943,4.791390,0.333354
86.188293,44.619963,4.791152,0.333275
85.695737,44.530080,4.243566,0.192748
86.509111,44.660784,5.061481,0.436722
85.587364,44.497463,3.894819,0.135997
86.486599,44.652499,5.329070,0.570712
86.492578,44.653504,5.366674,0.592582
86.516498,44.657518,4.894534,0.369573
85.899105,44.543098,4.877129,0.363197
86.513328,44.647978,5.017706,0.418017
86.525288,44.649984,5.000451,0.410866
86.081957,44.561193,5.108088,0.457558
85.793288,44.484122,4.797816,0.335503
86.597697,44.621559,4.930541,0.383123
86.300516,44.567016,4.779218,0.329321
86.593115,44.616290,4.825824,0.345033
85.808060,44.477695,4.326780,0.209473
86.290006,44.560727,4.846295,0.352169
86.606471,44.614016,4.838290,0.349361
86.612450,44.615013,4.955564,0.392831
86.684228,44.626960,4.526942,0.255893
85.803572,44.472408,4.470095,0.241751
86.697586,44.624674,4.639397,0.286349
86.739478,44.631618,4.310429,0.206076
85.947576,44.492958,5.363653,0.590794
86.126028,44.523723,4.670230,0.295316
86.615242,44.606471,4.931741,0.383583
86.621221,44.607468,5.162701,0.483241
86.746851,44.628334,4.565781,0.266027
86.009897,44.494730,5.147165,0.475792
86.140787,44.517247,4.690304,0.301304
86.319520,44.547723,4.833592,0.347724
86.737656,44.617804,4.779218,0.329321
86.625406,44.594654,4.863462,0.358267
86.649320,44.598637,4.709069,0.307011
86.728463,44.607274,4.872431,0.361494
86.139112,44.503449,4.615989,0.279724
86.104836,44.493064,4.970580,0.398774
86.023010,44.474476,5.192137,0.497678
86.368319,44.533471,4.740379,0.316776
86.374282,44.534480,4.822992,0.344057
86.380246,44.535488,4.807456,0.338753
86.393581,44.533238,4.923974,0.380615
86.383064,44.526957,4.639397,0.286349
86.591944,44.562049,4.729248,0.313269
86.759322,44.589863,5.169219,0.486402
86.146235,44.482152,4.546079,0.260837
86.432180,44.530743,4.771450,0.326773
86.284575,44.501257,3.761211,0.118988
86.344156,44.511367,4.078601,0.163435
86.397805,44.520441,4.445994,0.235995
86.781418,44.580004,4.752844,0.320749
86.430431,44.516938,4.438226,0.234169
86.794764,44.577703,4.650535,0.289557
86.503412,44.524710,4.717075,0.309479
86.630170,44.541405,4.573787,0.268165
86.404838,44.499111,4.550484,0.261988
86.418164,44.496857,3.977620,0.147737
86.395730,44.488567,4.698071,0.303653
