lon,lat,lnBCF_pred,PlantConc
83.269984,46.658163,2.984309,0.049542
83.022076,46.250551,3.273639,0.066165
83.028091,46.251768,3.269873,0.065916
125.105743,45.725529,3.500010,0.082973
124.003541,45.890273,3.352957,0.071627
123.927778,45.822070,3.444940,0.078528
123.944543,45.814671,3.329592,0.069973
123.936958,45.811462,3.528440,0.085366
124.083093,45.732044,3.434836,0.077738
124.080200,45.687410,3.441586,0.078265
123.653155,45.756093,3.353897,0.071694
123.657772,45.750798,3.395666,0.074752
123.583199,45.758887,3.565262,0.088568
123.581732,45.754622,3.462478,0.079917
82.260132,44.963028,2.904558,0.045744
82.256018,44.957648,2.773334,0.040119
82.251905,44.952268,2.984394,0.049546
124.178810,45.638660,3.473244,0.080782
82.259481,44.949347,3.013404,0.051005
82.265326,44.950576,2.931306,0.046984
124.246959,45.613208,3.308708,0.068526
124.253013,45.612147,3.426208,0.077070
124.233341,45.611079,3.446708,0.078667
124.245449,45.608959,3.485250,0.081758
124.251502,45.607899,3.586587,0.090477
124.237885,45.605770,3.311289,0.068703
124.243938,45.604710,3.407836,0.075667
124.249991,45.603650,3.415766,0.076270
124.262096,45.601529,3.311289,0.068703
124.236376,45.601521,3.256558,0.065044
124.242428,45.600462,3.446314,0.078636
124.248481,45.599402,3.444231,0.078472
124.254533,45.598342,3.453924,0.079236
124.266636,45.596220,3.274097,0.066195
124.228814,45.598332,3.034783,0.052107
124.234867,45.597273,3.379727,0.073570
124.240919,45.596213,3.467198,0.080295
124.213693,45.591951,3.434836,0.077738
125.327594,45.391078,3.423615,0.076871
125.332003,45.385745,3.406975,0.075602
124.349749,45.522946,3.626739,0.094184
124.330114,45.521890,3.368150,0.072723
124.336155,45.520827,3.399477,0.075037
124.342195,45.519763,3.389035,0.074258
124.348235,45.518700,3.407407,0.075635
124.328602,45.517644,3.378593,0.073487
124.334643,45.516581,3.399477,0.075037
124.340683,45.515517,3.415697,0.076265
124.346722,45.514454,3.477640,0.081138
124.327091,45.513397,3.403510,0.075341
124.333130,45.512334,3.417849,0.076429
124.339170,45.511271,3.464247,0.080058
124.351248,45.509144,3.448846,0.078835
124.319539,45.510213,3.390169,0.074342
124.325579,45.509151,3.270237,0.065940
124.331619,45.508088,3.485131,0.081748
124.337658,45.507025,3.413952,0.076132
124.311989,45.507028,3.440217,0.078158
124.318029,45.505966,3.369285,0.072806
124.324068,45.504904,3.347364,0.071227
124.330107,45.503842,3.453804,0.079227
124.316518,45.501720,3.419333,0.076542
124.322557,45.500657,3.460065,0.079724
124.328596,45.499595,3.467198,0.080295
124.334634,45.498532,3.403510,0.075341
124.315008,45.497473,3.449623,0.078896
124.339161,45.493223,3.394028,0.074630
124.584884,45.445148,3.225124,0.063032
124.336139,45.484731,3.301162,0.068011
124.333118,45.476238,3.403510,0.075341
124.339153,45.475175,3.403510,0.075341
124.345189,45.474112,3.485999,0.081819
124.351224,45.473049,3.397394,0.074881
124.337643,45.470929,3.454673,0.079296
124.343678,45.469866,3.259079,0.065208
124.336133,45.466683,3.417849,0.076429
124.342168,45.465620,3.417849,0.076429
124.348202,45.464557,3.467198,0.080295
124.360269,45.462431,3.368150,0.072723
124.345181,45.456065,3.407407,0.075635
124.351215,45.455002,3.368150,0.072723
124.375328,45.432703,3.480145,0.081341
80.488890,44.249300,3.150787,0.058516
80.490703,44.245205,2.883126,0.044774
80.496401,44.246508,3.091871,0.055168
85.096873,45.184815,2.978229,0.049242
80.689723,44.263462,3.048336,0.052818
80.701140,44.266049,2.893618,0.045247
80.718267,44.269927,2.966712,0.048678
80.723977,44.271220,2.966712,0.048678
80.697231,44.260654,3.048336,0.052818
80.693323,44.255259,2.985627,0.049607
80.699030,44.256552,3.070612,0.054008
80.712245,44.255035,3.008480,0.050754
80.742586,44.257390,2.977229,0.049192
80.706224,44.240143,2.598332,0.033678
80.645279,44.221812,2.725075,0.038229
80.650980,44.223107,2.735517,0.038630
80.811966,44.155823,2.316406,0.025404
80.819454,44.153002,2.207022,0.022772
80.809833,44.146326,1.961377,0.017812
80.815535,44.147611,2.122048,0.020917
80.821238,44.148896,1.977076,0.018094
80.826940,44.150180,2.179984,0.022165
80.832644,44.151464,2.301248,0.025022
80.823021,44.144790,2.144148,0.021384
80.830507,44.141967,2.415854,0.028061
80.853320,44.147101,2.290558,0.024756
80.701242,44.108269,2.188436,0.022353
80.706935,44.109559,2.261530,0.024048
80.714418,44.106745,2.148106,0.021469
80.845476,44.136321,1.903981,0.016819
