lon,lat,lnBCF_pred,PlantConc
85.305550,45.118772,2.638851,0.192800
122.935952,45.419420,2.212595,0.125889
84.734142,45.010015,3.247286,0.354281
85.360940,45.124196,2.348652,0.144237
85.314569,45.111372,2.574051,0.180703
84.683706,44.991638,3.079637,0.299598
84.798326,45.008357,2.285928,0.135467
84.804280,45.009456,2.515736,0.170467
85.355024,45.105097,2.348652,0.144237
84.801424,44.999910,2.577055,0.181247
84.813331,45.002107,2.461216,0.161422
84.804522,44.991462,2.561519,0.178453
84.795715,44.980817,2.762379,0.218150
84.801666,44.981916,2.784618,0.223056
84.769064,44.966873,2.985645,0.272721
84.775013,44.967973,3.280315,0.366178
84.804761,44.973468,2.445002,0.158825
84.810712,44.974567,2.643283,0.193657
85.365612,45.075427,2.322496,0.140513
85.377577,45.077568,2.504403,0.168546
85.325258,45.063686,2.211657,0.125771
84.950749,44.991290,2.611525,0.187603
85.302857,45.055155,2.068328,0.108976
85.308835,45.056229,2.045024,0.106466
85.314814,45.057302,2.227192,0.127740
85.320792,45.058375,2.102650,0.112782
85.326771,45.059448,2.232273,0.128390
85.344710,45.062665,2.157024,0.119084
85.350691,45.063736,2.130474,0.115964
85.932371,45.166283,2.555715,0.177420
84.732088,44.946500,2.663729,0.197657
84.940371,44.984879,2.927517,0.257320
85.328285,45.055210,2.263344,0.132442
85.933845,45.162030,2.543480,0.175262
85.323819,45.049900,2.232273,0.128390
85.353714,45.055259,2.214435,0.126121
85.295448,45.040296,1.926209,0.094539
85.307401,45.042443,1.987145,0.100479
85.355225,45.051021,2.027190,0.104584
85.361205,45.052092,1.999367,0.101715
85.022438,44.986355,2.215919,0.126308
84.708577,44.924104,2.654067,0.195756
84.714519,44.925206,3.053599,0.291897
84.930388,44.942468,2.425749,0.155797
85.033153,44.956746,1.811716,0.084312
85.117242,44.881872,2.259839,0.131979
83.600213,44.590591,2.137492,0.116780
85.035459,44.862489,2.182375,0.122141
83.613555,44.588706,2.373316,0.147838
83.619420,44.589858,2.158248,0.119230
83.603440,44.582210,2.139965,0.117070
85.074196,44.860527,2.345303,0.143754
83.635984,44.579587,2.126938,0.115554
83.641849,44.580738,2.165777,0.120131
83.750159,44.561365,2.424499,0.155602
83.979248,44.605803,2.240301,0.129425
83.640351,44.535371,2.160795,0.119534
83.647819,44.532329,2.009699,0.102771
84.133186,44.531710,1.676658,0.073660
84.148088,44.525547,2.243693,0.129865
84.202584,44.531441,1.989666,0.100733
84.151229,44.517135,1.846117,0.087262
84.211599,44.524146,1.873228,0.089661
84.321337,44.499930,1.861652,0.088629
84.665398,44.505927,1.861414,0.088608
85.599817,44.661837,2.454818,0.160392
86.393480,44.780968,2.605394,0.186456
86.429420,44.787033,2.498860,0.167614
84.654071,44.467779,1.746038,0.078952
86.388912,44.775691,2.266619,0.132877
86.409717,44.770194,2.618382,0.188894
86.415705,44.771204,2.600099,0.185472
86.418542,44.762672,2.424705,0.155634
86.413972,44.757396,2.373078,0.147803
86.419959,44.758406,2.600099,0.185472
86.437923,44.761434,2.383393,0.149336
86.409403,44.752119,2.442988,0.158506
86.415389,44.753130,2.419685,0.154855
86.445328,44.758176,2.454818,0.160392
86.454146,44.750651,2.553252,0.176983
86.476351,44.740871,2.095867,0.112019
86.476012,44.722794,2.877636,0.244800
85.832829,44.608136,2.837486,0.235165
85.838781,44.609174,3.025720,0.283872
85.844732,44.610212,2.798647,0.226207
85.856637,44.612286,2.666356,0.198177
86.435532,44.711476,2.336787,0.142535
86.441516,44.712484,2.432473,0.156848
86.032275,44.633717,2.334239,0.142173
86.444342,44.703950,2.813944,0.229694
