lon,lat,lnBCF_pred,PlantConc
85.305550,45.118772,3.735119,0.577046
122.935952,45.419420,3.452286,0.434889
84.734142,45.010015,4.359324,1.077208
85.360940,45.124196,3.418274,0.420346
85.314569,45.111372,3.711097,0.563350
84.683706,44.991638,4.308741,1.024074
84.798326,45.008357,3.467661,0.441627
84.804280,45.009456,3.674929,0.543338
85.355024,45.105097,3.418274,0.420346
84.801424,44.999910,3.725799,0.571693
84.813331,45.002107,3.662484,0.536619
84.804522,44.991462,3.710263,0.562880
84.795715,44.980817,3.825184,0.631430
84.801666,44.981916,3.853806,0.649764
84.769064,44.966873,4.197237,0.916022
84.775013,44.967973,4.497008,1.236218
84.804761,44.973468,3.593746,0.500972
84.810712,44.974567,3.727805,0.572841
85.365612,45.075427,3.401916,0.413526
85.377577,45.077568,3.590411,0.499304
85.325258,45.063686,3.301002,0.373832
84.950749,44.991290,3.681537,0.546941
85.302857,45.055155,3.157673,0.323914
85.308835,45.056229,3.134370,0.316452
85.314814,45.057302,3.316537,0.379685
85.320792,45.058375,3.190729,0.334800
85.326771,45.059448,3.317014,0.379866
85.344710,45.062665,3.245103,0.353508
85.350691,45.063736,3.211964,0.341985
85.932371,45.166283,3.621999,0.515327
84.732088,44.946500,3.896318,0.677982
84.940371,44.984879,4.011713,0.760911
85.328285,45.055210,3.348085,0.391854
85.933845,45.162030,3.629488,0.519201
85.323819,45.049900,3.317014,0.379866
85.353714,45.055259,3.299177,0.373150
85.295448,45.040296,3.007699,0.278802
85.307401,45.042443,3.068635,0.296320
85.355225,45.051021,3.108681,0.308427
85.361205,45.052092,3.087445,0.301946
85.022438,44.986355,3.297410,0.372491
84.708577,44.924104,3.844200,0.643552
84.714519,44.925206,4.297353,1.012479
84.930388,44.942468,3.607481,0.507900
85.033153,44.956746,2.920848,0.255610
85.117242,44.881872,3.473130,0.444048
83.600213,44.590591,3.368854,0.400077
85.035459,44.862489,3.291507,0.370299
83.613555,44.588706,3.631325,0.520156
83.619420,44.589858,3.419594,0.420901
83.603440,44.582210,3.343685,0.390133
85.074196,44.860527,3.490510,0.451833
83.635984,44.579587,3.389858,0.408569
83.641849,44.580738,3.428697,0.424750
83.750159,44.561365,3.604422,0.506349
83.979248,44.605803,3.452432,0.434952
83.640351,44.535371,3.392158,0.409510
83.647819,44.532329,3.241061,0.352082
84.133186,44.531710,3.068013,0.296135
84.148088,44.525547,3.505039,0.458446
84.202584,44.531441,3.221028,0.345099
84.151229,44.517135,3.196769,0.336828
84.211599,44.524146,3.153377,0.322525
84.321337,44.499930,3.212305,0.342102
84.665398,44.505927,3.213640,0.342559
85.599817,44.661837,3.667510,0.539322
86.393480,44.780968,3.814758,0.624881
86.429420,44.787033,3.679316,0.545727
84.654071,44.467779,3.066707,0.295749
86.388912,44.775691,3.493377,0.453131
86.409717,44.770194,3.859304,0.653346
86.415705,44.771204,3.781821,0.604635
86.418542,44.762672,3.625088,0.516922
86.413972,44.757396,3.632661,0.520851
86.419959,44.758406,3.781821,0.604635
86.437923,44.761434,3.611418,0.509904
86.409403,44.752119,3.702571,0.558567
86.415389,44.753130,3.679268,0.545701
86.445328,44.758176,3.667510,0.539322
86.454146,44.750651,3.797502,0.614190
86.476351,44.740871,3.358787,0.396070
86.476012,44.722794,4.081730,0.816097
85.832829,44.608136,4.050735,0.791191
85.838781,44.609174,4.231080,0.947554
85.844732,44.610212,4.011896,0.761050
85.856637,44.612286,3.879606,0.666746
86.435532,44.711476,3.564812,0.486684
86.441516,44.712484,3.632856,0.520953
86.032275,44.633717,3.593822,0.501010
86.444342,44.703950,4.027194,0.772782
86.522146,44.717025,3.650258,0.530098
86.489050,44.702461,4.192003,0.911240
85.359252,44.501916,3.075292,0.298299
86.466526,44.694170,4.066033,0.803387
86.514398,44.702212,3.815939,0.625620
85.366657,44.498737,2.963915,0.266859
85.782068,44.572243,3.397626,0.411755
86.479902,44.691915,4.207539,0.925507
85.599371,44.535620,3.297107,0.372378
85.605306,44.536668,3.104985,0.307289
85.611242,44.537717,3.143824,0.319458
85.623115,44.539812,3.035074,0.286540
85.777577,44.566953,3.502908,0.457470
85.814706,44.568937,3.491273,0.452178
85.820653,44.569975,3.415223,0.419065
86.494686,44.685389,4.160932,0.883362
86.542558,44.693418,3.611418,0.509904
86.548543,44.694420,3.405394,0.414966
85.400713,44.491314,2.868141,0.242486
86.543963,44.689148,3.632856,0.520953
86.549948,44.690150,3.310656,0.377458
85.402191,44.487074,2.877407,0.244743
85.408115,44.488132,2.904201,0.251390
85.704697,44.540663,3.194216,0.335969
86.234600,44.632372,3.675278,0.543528
86.461616,44.670821,3.768152,0.596426
86.509467,44.678861,3.720019,0.568398
86.521433,44.680868,3.586250,0.497230
86.539384,44.683877,3.774054,0.599956
85.700217,44.535372,3.184583,0.332748
85.795282,44.552031,3.349194,0.392289
85.807171,44.554108,3.334657,0.386627
86.182328,44.618943,3.670164,0.540756
86.188293,44.619963,3.671500,0.541478
85.695737,44.530080,3.153377,0.322525
86.509111,44.660784,3.774054,0.599956
85.587364,44.497463,3.000356,0.276762
86.486599,44.652499,3.971295,0.730770
86.492578,44.653504,4.011820,0.760992
86.516498,44.657518,3.737420,0.578376
85.899105,44.543098,3.648392,0.529110
86.513328,44.647978,3.822526,0.629754
86.525288,44.649984,3.751090,0.586336
86.081957,44.561193,3.820660,0.628580
85.793288,44.484122,3.573112,0.490741
86.597697,44.621559,3.681180,0.546746
86.300516,44.567016,3.642728,0.526121
86.593115,44.616290,3.689335,0.551222
85.808060,44.477695,3.119951,0.311922
86.290006,44.560727,3.617559,0.513044
86.606471,44.614016,3.609553,0.508953
86.612450,44.615013,3.760384,0.591811
86.684228,44.626960,3.413162,0.418202
85.803572,44.472408,3.263901,0.360216
86.697586,44.624674,3.502908,0.457470
