lon,lat,lnBCF_pred,PlantConc
83.269984,46.658163,0.542751,0.029388
83.022076,46.250551,0.892641,0.041699
83.028091,46.251768,0.901216,0.042058
125.105743,45.725529,1.446312,0.072541
124.003541,45.890273,1.439884,0.072076
123.927778,45.822070,1.479513,0.074990
123.944543,45.814671,1.367634,0.067053
123.936958,45.811462,1.445953,0.072515
124.083093,45.732044,1.510772,0.077371
124.080200,45.687410,1.283572,0.061646
123.653155,45.756093,1.373817,0.067468
123.657772,45.750798,1.415585,0.070346
123.583199,45.758887,1.559460,0.081232
123.581732,45.754622,1.562619,0.081488
82.260132,44.963028,0.646041,0.032586
82.256018,44.957648,0.391623,0.025266
82.251905,44.952268,0.643066,0.032489
124.178810,45.638660,1.464566,0.073878
82.259481,44.949347,0.602169,0.031187
82.265326,44.950576,0.586239,0.030694
124.246959,45.613208,1.346750,0.065667
124.253013,45.612147,1.460295,0.073563
124.233341,45.611079,1.502229,0.076713
124.245449,45.608959,1.376248,0.067633
124.251502,45.607899,1.318439,0.063834
124.237885,45.605770,1.348154,0.065759
124.243938,45.604710,1.444701,0.072424
124.249991,45.603650,1.449853,0.072799
124.262096,45.601529,1.348154,0.065759
124.236376,45.601521,1.278770,0.061351
124.242428,45.600462,1.416308,0.070397
124.248481,45.599402,1.410756,0.070007
124.254533,45.598342,1.344922,0.065547
124.266636,45.596220,1.314431,0.063578
124.228814,45.598332,1.056995,0.049148
124.234867,45.597273,1.436676,0.071846
124.240919,45.596213,1.437192,0.071883
124.213693,45.591951,1.510772,0.077371
125.327594,45.391078,1.413760,0.070218
125.332003,45.385745,1.251253,0.059686
124.349749,45.522946,1.398384,0.069146
124.330114,45.521890,1.408485,0.069848
124.336155,45.520827,1.439811,0.072071
124.342195,45.519763,1.429369,0.071323
124.348235,45.518700,1.444963,0.072443
124.328602,45.517644,1.418927,0.070582
124.334643,45.516581,1.439811,0.072071
124.340683,45.515517,1.453739,0.073082
124.346722,45.514454,1.447634,0.072637
124.327091,45.513397,1.479446,0.074985
124.333130,45.512334,1.455405,0.073204
124.339170,45.511271,1.537890,0.079498
124.351248,45.509144,1.504559,0.076892
124.319539,45.510213,1.447118,0.072600
124.325579,45.509151,1.397527,0.069087
124.331619,45.508088,1.558774,0.081176
124.337658,45.507025,1.489888,0.075772
124.311989,45.507028,1.459097,0.073475
124.318029,45.505966,1.426234,0.071099
124.324068,45.504904,1.510256,0.077331
124.330107,45.503842,1.527448,0.078672
124.316518,45.501720,1.438213,0.071956
124.322557,45.500657,1.584887,0.083323
124.328596,45.499595,1.437192,0.071883
124.334634,45.498532,1.479446,0.074985
124.315008,45.497473,1.574445,0.082458
124.339161,45.493223,1.364022,0.066811
124.584884,45.445148,1.095899,0.051098
124.336139,45.484731,1.367993,0.067077
124.333118,45.476238,1.479446,0.074985
124.339153,45.475175,1.479446,0.074985
124.345189,45.474112,1.452524,0.072993
124.351224,45.473049,1.434259,0.071672
124.337643,45.470929,1.421198,0.070742
124.343678,45.469866,1.295944,0.062414
124.336133,45.466683,1.455405,0.073204
124.342168,45.465620,1.455405,0.073204
124.348202,45.464557,1.437192,0.071883
124.360269,45.462431,1.408485,0.069848
124.345181,45.456065,1.444963,0.072443
124.351215,45.455002,1.408485,0.069848
124.375328,45.432703,1.324423,0.064217
80.488890,44.249300,0.810537,0.038412
80.490703,44.245205,0.489819,0.027873
80.496401,44.246508,0.669039,0.033344
85.096873,45.184815,0.890855,0.041625
80.689723,44.263462,0.677779,0.033637
80.701140,44.266049,0.456191,0.026951
80.718267,44.269927,0.529285,0.028995
80.723977,44.271220,0.529285,0.028995
80.697231,44.260654,0.677779,0.033637
80.693323,44.255259,0.578507,0.030458
80.699030,44.256552,0.657428,0.032959
80.712245,44.255035,0.571053,0.030232
80.742586,44.257390,0.539803,0.029302
80.706224,44.240143,0.282451,0.022653
80.645279,44.221812,0.475361,0.027473
80.650980,44.223107,0.485803,0.027761
80.811966,44.155823,0.011967,0.017285
80.819454,44.153002,-0.023329,0.016685
80.809833,44.146326,-0.343061,0.012119
80.815535,44.147611,-0.174471,0.014345
80.821238,44.148896,-0.219758,0.013709
80.826940,44.150180,0.059973,0.018134
80.832644,44.151464,0.173317,0.020311
80.823021,44.144790,-0.052686,0.016202
80.830507,44.141967,0.174061,0.020326
80.853320,44.147101,0.060208,0.018139
80.701242,44.108269,-0.190665,0.014114
80.706935,44.109559,-0.117570,0.015184
80.714418,44.106745,-0.164827,0.014484
80.845476,44.136321,-0.292853,0.012743
80.847257,44.132214,0.247350,0.021872
80.714090,44.093149,-0.451791,0.010870
80.719782,44.094437,-0.107128,0.015344
80.725476,44.095725,-0.394551,0.011511
123.458053,45.220588,1.738004,0.097110
80.730165,44.056223,-0.384109,0.011632
80.460820,43.972390,-0.030695,0.016563
80.468287,43.969593,-0.019239,0.016753
123.526799,45.159459,1.557854,0.081101
84.617821,44.826067,0.130284,0.019455
122.279697,45.348082,1.408483,0.069848
122.272254,45.344736,1.469949,0.074276
122.193734,45.338924,1.385571,0.068266
80.484446,43.932738,-0.714106,0.008362
122.271609,45.322298,1.448529,0.072702
122.270263,45.318001,1.338100,0.065101
122.268916,45.313703,1.317216,0.063756
80.497283,43.917652,-0.894995,0.006979
80.709757,43.844360,-0.738371,0.008162
80.739517,43.833076,-0.982563,0.006393
80.727823,43.816921,-0.609270,0.009287
80.619889,43.778942,0.663041,0.033145
124.399872,44.779047,1.640966,0.088130
124.405832,44.777993,1.642310,0.088248
124.411792,44.776940,1.657718,0.089618
121.934254,45.180583,1.637889,0.087859
124.392433,44.775854,1.599631,0.084561
124.398393,44.774801,1.651408,0.089055
