lon,lat,lnBCF_pred,PlantConc
83.269984,46.658163,2.632128,0.237453
83.022076,46.250551,3.005582,0.344959
83.028091,46.251768,3.015487,0.348393
125.105743,45.725529,3.470499,0.549134
124.003541,45.890273,3.398370,0.510920
123.927778,45.822070,3.375022,0.499130
123.944543,45.814671,3.263405,0.446415
123.936958,45.811462,3.481078,0.554974
124.083093,45.732044,3.573552,0.608742
124.080200,45.687410,3.280888,0.454288
123.653155,45.756093,3.299516,0.462830
123.657772,45.750798,3.341284,0.482570
123.583199,45.758887,3.540380,0.588880
123.581732,45.754622,3.592068,0.620119
82.260132,44.963028,2.678618,0.248753
82.256018,44.957648,2.419445,0.191960
82.251905,44.952268,2.697819,0.253576
124.178810,45.638660,3.392669,0.508016
82.259481,44.949347,2.714850,0.257931
82.265326,44.950576,2.618598,0.234262
124.246959,45.613208,3.242521,0.437188
124.253013,45.612147,3.383540,0.503399
124.233341,45.611079,3.583741,0.614976
124.245449,45.608959,3.352428,0.487978
124.251502,45.607899,3.445538,0.535596
124.237885,45.605770,3.254860,0.442616
124.243938,45.604710,3.351407,0.487480
124.249991,45.603650,3.373098,0.498170
124.262096,45.601529,3.254860,0.442616
124.236376,45.601521,3.215665,0.425604
124.242428,45.600462,3.430558,0.527633
124.248481,45.599402,3.424745,0.524575
124.254533,45.598342,3.321102,0.472929
124.266636,45.596220,3.221398,0.428051
124.228814,45.598332,2.993890,0.340949
124.234867,45.597273,3.437975,0.531561
124.240919,45.596213,3.451442,0.538768
124.213693,45.591951,3.573552,0.608742
125.327594,45.391078,3.352798,0.488159
125.332003,45.385745,3.259765,0.444793
124.349749,45.522946,3.502982,0.567264
124.330114,45.521890,3.315452,0.470264
124.336155,45.520827,3.346778,0.485229
124.342195,45.519763,3.336336,0.480189
124.348235,45.518700,3.368469,0.495869
124.328602,45.517644,3.325894,0.475201
124.334643,45.516581,3.346778,0.485229
124.340683,45.515517,3.349510,0.486556
124.346722,45.514454,3.461884,0.544423
124.327091,45.513397,3.542226,0.589968
124.333130,45.512334,3.378911,0.501074
124.339170,45.511271,3.589474,0.618512
124.351248,45.509144,3.577538,0.611174
124.319539,45.510213,3.448417,0.537141
124.325579,45.509151,3.291543,0.459154
124.331619,45.508088,3.610358,0.631565
124.337658,45.507025,3.552668,0.596161
124.311989,45.507028,3.536061,0.586343
124.318029,45.505966,3.427533,0.526039
124.324068,45.504904,3.560084,0.600599
124.330107,45.503842,3.579032,0.612087
124.316518,45.501720,3.515177,0.574224
124.322557,45.500657,3.710381,0.698004
124.328596,45.499595,3.451442,0.538768
124.334634,45.498532,3.542226,0.589968
124.315008,45.497473,3.699939,0.690753
124.339161,45.493223,3.378272,0.500754
124.584884,45.445148,3.082277,0.372456
124.336139,45.484731,3.252826,0.441717
124.333118,45.476238,3.542226,0.589968
124.339153,45.475175,3.542226,0.589968
124.345189,45.474112,3.466513,0.546949
124.351224,45.473049,3.340965,0.482417
124.337643,45.470929,3.435187,0.530081
124.343678,45.469866,3.202650,0.420100
124.336133,45.466683,3.378911,0.501074
124.342168,45.465620,3.378911,0.501074
124.348202,45.464557,3.451442,0.538768
124.360269,45.462431,3.315452,0.470264
124.345181,45.456065,3.368469,0.495869
124.351215,45.455002,3.315452,0.470264
124.375328,45.432703,3.332935,0.478558
80.488890,44.249300,2.864959,0.299706
80.490703,44.245205,2.472874,0.202495
80.496401,44.246508,2.736953,0.263696
85.096873,45.184815,2.825301,0.288053
80.689723,44.263462,2.726693,0.261004
80.701140,44.266049,2.513802,0.210955
80.718267,44.269927,2.586896,0.226952
80.723977,44.271220,2.586896,0.226952
80.697231,44.260654,2.726693,0.261004
80.693323,44.255259,2.641626,0.239719
80.699030,44.256552,2.757427,0.269150
80.712245,44.255035,2.628664,0.236632
80.742586,44.257390,2.597414,0.229352
80.706224,44.240143,2.321127,0.173985
80.645279,44.221812,2.433715,0.194719
80.650980,44.223107,2.444157,0.196763
80.811966,44.155823,2.043982,0.131871
80.819454,44.153002,1.933932,0.118129
80.809833,44.146326,1.688953,0.092462
80.815535,44.147611,1.863113,0.110052
80.821238,44.148896,1.817100,0.105103
80.826940,44.150180,2.021330,0.128918
80.832644,44.151464,2.129105,0.143588
80.823021,44.144790,1.984173,0.124215
80.830507,44.141967,2.137983,0.144868
80.853320,44.147101,2.017468,0.128421
80.701242,44.108269,1.860411,0.109755
80.706935,44.109559,1.933505,0.118078
80.714418,44.106745,1.805926,0.103935
80.845476,44.136321,1.744006,0.097695
80.847257,44.132214,2.304961,0.171195
80.714090,44.093149,1.599284,0.084532
80.719782,44.094437,1.943947,0.119318
80.725476,44.095725,1.576201,0.082603
123.458053,45.220588,3.850891,0.803304
80.730165,44.056223,1.586643,0.083470
80.460820,43.972390,1.890852,0.113148
80.468287,43.969593,1.928405,0.117478
123.526799,45.159459,3.672153,0.671824
84.617821,44.826067,2.163984,0.148685
122.279697,45.348082,3.366968,0.495126
122.272254,45.344736,3.595443,0.622216
122.193734,45.338924,3.377428,0.500332
80.484446,43.932738,1.172022,0.055139
122.271609,45.322298,3.510885,0.571765
122.270263,45.318001,3.410281,0.517042
122.268916,45.313703,3.389396,0.506356
80.497283,43.917652,1.116933,0.052184
80.709757,43.844360,1.310844,0.063351
80.739517,43.833076,0.926542,0.043137
80.727823,43.816921,1.363868,0.066801
80.619889,43.778942,2.639652,0.239247
124.399872,44.779047,3.703485,0.693207
124.405832,44.777993,3.693894,0.686590
124.411792,44.776940,3.709040,0.697068
121.934254,45.180583,3.790924,0.756549
124.392433,44.775854,3.720428,0.705051
124.398393,44.774801,3.713927,0.700483
124.404353,44.773748,3.698431,0.689712
80.676144,43.778201,1.941291,0.119001
84.097178,44.493273,3.139253,0.394294
84.103053,44.494399,3.110453,0.383100
124.379035,44.773714,3.619949,0.637651
124.390955,44.771609,3.755604,0.730294
124.396915,44.770556,3.714392,0.700809
84.098751,44.489069,3.566994,0.604763
124.395437,44.766311,3.686598,0.681599
124.370122,44.766274,3.656663,0.661498
124.368646,44.762028,3.573552,0.608742
84.115212,44.478704,2.819042,0.286256
84.121086,44.479828,2.909529,0.313366
124.361211,44.758833,3.591034,0.619478
124.367171,44.757782,3.588623,0.617986
124.373130,44.756730,3.239789,0.435996
80.639732,43.747426,1.385664,0.068273
80.645388,43.748710,1.993577,0.125389
124.353777,44.755637,3.646646,0.654904
124.365696,44.753536,3.346946,0.485311
124.371654,44.752485,3.273608,0.450993
124.370179,44.748239,3.246911,0.439112
124.376137,44.747187,3.373098,0.498170
80.701617,43.747949,1.899904,0.114177
80.707276,43.749230,1.902606,0.114486
80.712936,43.750511,1.735534,0.096871
80.716469,43.742305,1.996584,0.125767
80.722128,43.743586,1.881722,0.112119
84.077670,44.444476,3.718806,0.703909
80.718234,43.738202,2.134605,0.144380
80.723894,43.739483,1.957091,0.120896
84.080812,44.436067,3.966226,0.901508
80.733082,43.732555,1.732953,0.096621
84.129333,44.440856,3.071555,0.368484
84.135204,44.441979,3.332716,0.478454
84.141075,44.443101,3.354708,0.489092
84.146946,44.444223,3.515321,0.574307
84.130901,44.436650,2.834880,0.290825
84.136771,44.437773,3.121608,0.387398
84.142641,44.438895,2.916259,0.315482
84.148512,44.440017,3.215586,0.425570
84.138337,44.433567,2.667807,0.246078
124.124435,44.750740,3.714778,0.701080
122.095792,45.043132,3.673784,0.672920
124.230548,44.691670,3.666426,0.667987
124.229087,44.687421,3.850644,0.803106
124.404768,44.629489,3.943253,0.881034
124.410712,44.628438,3.817873,0.777214
122.291980,44.958607,4.031489,0.962306
124.046395,44.651653,3.735831,0.715996
123.998895,44.641851,3.616007,0.635143
122.132897,44.915760,3.912395,0.854262
122.016525,44.929190,3.805448,0.767617
122.022583,44.928260,3.483816,0.556496
122.101312,44.916136,3.923136,0.863488
122.125527,44.912395,3.988956,0.922234
122.131579,44.911459,3.947113,0.884441
122.137632,44.910523,3.814801,0.774831
121.868442,44.942816,3.525377,0.580111
122.019964,44.919653,3.874018,0.822100
121.877971,44.932356,4.086540,1.016767
122.023402,44.910115,3.839301,0.794048
121.749291,44.947362,3.366617,0.494952
121.882735,44.927127,3.913818,0.855479
81.736526,43.738043,2.435640,0.195094
81.698175,43.680263,2.024155,0.129282
