lon,lat,lnBCF_pred,PlantConc
85.305550,45.118772,2.971134,0.330512
122.935952,45.419420,2.607193,0.229683
84.734142,45.010015,3.672302,0.666347
85.360940,45.124196,2.685000,0.248268
85.314569,45.111372,2.901862,0.308392
84.683706,44.991638,3.472312,0.545565
84.798326,45.008357,2.610442,0.230431
84.804280,45.009456,2.849813,0.292751
85.355024,45.105097,2.685000,0.248268
84.801424,44.999910,2.925705,0.315833
84.813331,45.002107,2.789027,0.275486
84.804522,44.991462,2.910169,0.310964
84.795715,44.980817,3.115500,0.381843
84.801666,44.981916,3.133268,0.388688
84.769064,44.966873,3.389597,0.502254
84.775013,44.967973,3.679481,0.671148
84.804761,44.973468,2.793652,0.276763
84.810712,44.974567,2.991933,0.337458
85.365612,45.075427,2.616511,0.231834
85.377577,45.077568,2.798418,0.278085
85.325258,45.063686,2.498460,0.206019
84.950749,44.991290,2.955084,0.325250
85.302857,45.055155,2.355131,0.178509
85.308835,45.056229,2.331828,0.174397
85.314814,45.057302,2.513995,0.209245
85.320792,45.058375,2.389453,0.184742
85.326771,45.059448,2.526287,0.211833
85.344710,45.062665,2.443828,0.195066
85.350691,45.063736,2.417277,0.189955
85.932371,45.166283,2.899274,0.307595
84.732088,44.946500,2.983926,0.334767
84.940371,44.984879,3.266759,0.444197
85.328285,45.055210,2.557359,0.218518
85.933845,45.162030,2.837495,0.289167
85.323819,45.049900,2.526287,0.211833
85.353714,45.055259,2.508450,0.208088
85.295448,45.040296,2.213012,0.154860
85.307401,45.042443,2.273948,0.164590
85.355225,45.051021,2.313994,0.171315
85.361205,45.052092,2.286170,0.166614
85.022438,44.986355,2.502723,0.206899
84.708577,44.924104,2.985541,0.335308
84.714519,44.925206,3.452765,0.535004
84.930388,44.942468,2.750263,0.265011
85.033153,44.956746,2.143593,0.144474
85.117242,44.881872,2.573077,0.221980
83.600213,44.590591,2.438072,0.193946
85.035459,44.862489,2.514252,0.209298
83.613555,44.588706,2.669831,0.244531
83.619420,44.589858,2.447551,0.195793
83.603440,44.582210,2.395472,0.185858
85.074196,44.860527,2.673114,0.245335
83.635984,44.579587,2.416242,0.189758
83.641849,44.580738,2.455081,0.197273
83.750159,44.561365,2.682520,0.247653
83.979248,44.605803,2.557604,0.218571
83.640351,44.535371,2.461376,0.198519
83.647819,44.532329,2.310279,0.170680
84.133186,44.531710,2.071065,0.134367
84.148088,44.525547,2.532997,0.213259
84.202584,44.531441,2.290246,0.167294
84.151229,44.517135,2.238848,0.158913
84.211599,44.524146,2.243253,0.159615
84.321337,44.499930,2.254384,0.161401
84.665398,44.505927,2.254145,0.161363
85.599817,44.661837,2.762610,0.268303
86.393480,44.780968,2.920145,0.314082
86.429420,44.787033,2.768538,0.269899
84.654071,44.467779,2.150046,0.145410
