lon,lat,lnBCF_pred,PlantConc
83.269984,46.658163,2.364748,0.342900
83.022076,46.250551,2.651970,0.456990
83.028091,46.251768,2.729822,0.493989
125.105743,45.725529,3.300729,0.874297
124.003541,45.890273,3.223787,0.809549
123.927778,45.822070,3.193485,0.785386
123.944543,45.814671,3.081867,0.702439
123.936958,45.811462,3.317493,0.889077
124.083093,45.732044,3.460095,1.025347
124.080200,45.687410,3.070722,0.694653
123.653155,45.756093,3.117978,0.728268
123.657772,45.750798,3.159746,0.759330
123.583199,45.758887,3.412192,0.977387
123.581732,45.754622,3.498333,1.065313
82.260132,44.963028,2.365515,0.343163
82.256018,44.957648,2.086606,0.259640
82.251905,44.952268,2.359277,0.341029
124.178810,45.638660,3.182503,0.776808
82.259481,44.949347,2.354470,0.339394
82.265326,44.950576,2.280056,0.315055
124.246959,45.613208,3.060983,0.687921
124.253013,45.612147,3.198482,0.789321
124.233341,45.611079,3.483238,1.049352
124.245449,45.608959,3.157937,0.757958
124.251502,45.607899,3.241829,0.824288
124.237885,45.605770,3.060369,0.687499
124.243938,45.604710,3.156916,0.757184
124.249991,45.603650,3.188040,0.781122
124.262096,45.601529,3.060369,0.687499
124.236376,45.601521,3.021174,0.661073
124.242428,45.600462,3.282649,0.858632
124.248481,45.599402,3.276836,0.853655
124.254533,45.598342,3.126611,0.734582
124.266636,45.596220,3.026907,0.664874
124.228814,45.598332,2.799399,0.529583
124.234867,45.597273,3.290066,0.865023
124.240919,45.596213,3.303533,0.876752
124.213693,45.591951,3.460095,1.025347
125.327594,45.391078,3.129679,0.736839
125.332003,45.385745,3.036646,0.671381
124.349749,45.522946,3.339398,0.908767
124.330114,45.521890,3.120961,0.730444
124.336155,45.520827,3.152287,0.753688
124.342195,45.519763,3.141845,0.745859
124.348235,45.518700,3.183412,0.777515
124.328602,45.517644,3.131403,0.738111
124.334643,45.516581,3.152287,0.753688
124.340683,45.515517,3.167972,0.765602
124.346722,45.514454,3.313975,0.885955
124.327091,45.513397,3.428769,0.993724
124.333130,45.512334,3.193854,0.785676
124.339170,45.511271,3.488971,1.055386
124.351248,45.509144,3.442220,1.007181
124.319539,45.510213,3.300508,0.874103
124.325579,45.509151,3.097052,0.713186
124.331619,45.508088,3.509855,1.077658
124.337658,45.507025,3.439211,1.004155
124.311989,45.507028,3.395108,0.960831
124.318029,45.505966,3.279624,0.856038
124.324068,45.504904,3.446628,1.011630
124.330107,45.503842,3.478529,1.044423
124.316518,45.501720,3.374223,0.940973
124.322557,45.500657,3.603880,1.183901
124.328596,45.499595,3.303533,0.876752
124.334634,45.498532,3.428769,0.993724
