lon,lat,lnBCF_pred,PlantConc
85.305550,45.118772,7.532417,0.018676
122.935952,45.419420,7.201647,0.013416
84.734142,45.010015,8.154819,0.034801
85.360940,45.124196,7.226994,0.013761
85.314569,45.111372,7.476303,0.017657
84.683706,44.991638,8.103848,0.033072
84.798326,45.008357,7.346171,0.015502
84.804280,45.009456,7.562794,0.019252
85.355024,45.105097,7.226994,0.013761
84.801424,44.999910,7.638686,0.020770
84.813331,45.002107,7.540214,0.018822
84.804522,44.991462,7.623150,0.020450
84.795715,44.980817,7.660973,0.021238
84.801666,44.981916,7.659280,0.021202
84.769064,44.966873,8.024297,0.030543
84.775013,44.967973,8.354202,0.042480
84.804761,44.973468,7.506633,0.018201
84.810712,44.974567,7.528168,0.018597
85.365612,45.075427,7.173534,0.013044
85.377577,45.077568,7.359163,0.015705
85.325258,45.063686,7.055322,0.011590
84.950749,44.991290,7.509266,0.018249
85.302857,45.055155,6.911993,0.010042
85.308835,45.056229,6.888690,0.009811
85.314814,45.057302,7.070857,0.011772
85.320792,45.058375,6.946197,0.010392
85.326771,45.059448,7.086915,0.011962
85.344710,45.062665,7.000572,0.010973
85.350691,45.063736,6.970299,0.010645
85.932371,45.166283,7.441334,0.017050
84.732088,44.946500,7.702624,0.022142
84.940371,44.984879,7.816185,0.024804
85.328285,45.055210,7.117986,0.012340
85.933845,45.162030,7.402056,0.016394
85.323819,45.049900,7.086915,0.011962
85.353714,45.055259,7.069077,0.011751
85.295448,45.040296,6.766034,0.008679
85.307401,45.042443,6.826970,0.009224
85.355225,45.051021,6.867015,0.009601
85.361205,45.052092,6.842914,0.009372
85.022438,44.986355,7.055744,0.011595
84.708577,44.924104,7.670159,0.021434
84.714519,44.925206,8.094479,0.032763
84.930388,44.942468,7.485991,0.017829
85.033153,44.956746,6.701919,0.008140
85.117242,44.881872,7.320447,0.015109
83.600213,44.590591,7.153631,0.012787
85.035459,44.862489,7.065416,0.011708
83.613555,44.588706,7.404732,0.016437
83.619420,44.589858,7.178569,0.013110
83.603440,44.582210,7.112888,0.012277
85.074196,44.860527,7.249981,0.014081
83.635984,44.579587,7.143443,0.012658
83.641849,44.580738,7.182282,0.013159
83.750159,44.561365,7.408518,0.016500
