lon,lat,lnBCF_pred,PlantConc
83.269984,46.658163,1.810139,0.000061
83.022076,46.250551,2.154095,0.000086
83.028091,46.251768,2.162670,0.000087
125.105743,45.725529,2.674825,0.000145
124.003541,45.890273,2.664533,0.000144
123.927778,45.822070,2.701272,0.000149
123.944543,45.814671,2.593420,0.000134
123.936958,45.811462,2.700653,0.000149
124.083093,45.732044,2.714855,0.000151
124.080200,45.687410,2.669878,0.000144
123.653155,45.756093,2.610702,0.000136
123.657772,45.750798,2.652470,0.000142
123.583199,45.758887,2.818332,0.000167
123.581732,45.754622,2.792889,0.000163
82.260132,44.963028,1.926431,0.000069
82.256018,44.957648,1.636444,0.000051
82.251905,44.952268,1.899940,0.000067
124.178810,45.638660,2.690207,0.000147
82.259481,44.949347,1.852565,0.000064
82.265326,44.950576,1.832055,0.000062
124.246959,45.613208,2.572536,0.000131
124.253013,45.612147,2.675996,0.000145
124.233341,45.611079,2.743598,0.000155
124.245449,45.608959,2.736512,0.000154
124.251502,45.607899,2.684474,0.000147
124.237885,45.605770,2.543727,0.000127
124.243938,45.604710,2.640274,0.000140
124.249991,45.603650,2.665554,0.000144
124.262096,45.601529,2.543727,0.000127
124.236376,45.601521,2.489468,0.000121
124.242428,45.600462,2.648993,0.000141
124.248481,45.599402,2.639414,0.000140
124.254533,45.598342,2.705186,0.000150
124.266636,45.596220,2.514030,0.000124
124.228814,45.598332,2.267693,0.000097
124.234867,45.597273,2.649063,0.000141
124.240919,45.596213,2.669877,0.000144
124.213693,45.591951,2.714855,0.000151
125.327594,45.391078,2.609188,0.000136
125.332003,45.385745,2.611372,0.000136
124.349749,45.522946,2.817775,0.000167
124.330114,45.521890,2.608084,0.000136
124.336155,45.520827,2.639410,0.000140
124.342195,45.519763,2.628968,0.000139
124.348235,45.518700,2.664690,0.000144
124.328602,45.517644,2.618526,0.000137
124.334643,45.516581,2.639410,0.000140
124.340683,45.515517,2.679525,0.000146
124.346722,45.514454,2.680319,0.000146
124.327091,45.513397,2.683529,0.000146
124.333130,45.512334,2.675133,0.000145
124.339170,45.511271,2.768160,0.000159
124.351248,45.509144,2.708498,0.000150
124.319539,45.510213,2.659505,0.000143
124.325579,45.509151,2.576828,0.000132
124.331619,45.508088,2.789044,0.000163
