lon,lat,lnBCF_pred,PlantConc
85.305550,45.118772,3.108501,0.922364
122.935952,45.419420,2.647459,0.581666
84.734142,45.010015,3.790118,1.823579
85.360940,45.124196,2.725978,0.629179
85.314569,45.111372,3.097757,0.912507
84.683706,44.991638,3.851275,1.938585
84.798326,45.008357,2.865041,0.723050
84.804280,45.009456,3.066591,0.884506
85.355024,45.105097,2.725978,0.629179
84.801424,44.999910,3.117461,0.930665
84.813331,45.002107,3.119669,0.932722
84.804522,44.991462,3.101926,0.916318
84.795715,44.980817,3.119515,0.932578
84.801666,44.981916,3.195568,1.006271
84.769064,44.966873,3.681401,1.635721
84.775013,44.967973,4.058132,2.384084
84.804761,44.973468,2.985409,0.815537
84.810712,44.974567,3.048943,0.869033
85.365612,45.075427,2.728771,0.630939
85.377577,45.077568,2.902304,0.750502
85.325258,45.063686,2.607022,0.558615
84.950749,44.991290,3.002209,0.829354
85.302857,45.055155,2.463694,0.484023
85.308835,45.056229,2.440390,0.472874
85.314814,45.057302,2.622558,0.567361
85.320792,45.058375,2.496749,0.500290
85.326771,45.059448,2.628907,0.570975
85.344710,45.062665,2.551124,0.528246
85.350691,45.063736,2.532947,0.518731
85.932371,45.166283,2.935576,0.775892
84.732088,44.946500,3.397211,1.231082
84.940371,44.984879,3.427799,1.269321
85.328285,45.055210,2.659978,0.588994
85.933845,45.162030,2.941381,0.780410
85.323819,45.049900,2.628907,0.570975
85.353714,45.055259,2.611069,0.560880
85.295448,45.040296,2.328682,0.422894
85.307401,45.042443,2.389618,0.449464
85.355225,45.051021,2.429664,0.467829
85.361205,45.052092,2.393466,0.451197
85.022438,44.986355,2.618393,0.565003
84.708577,44.924104,3.283853,1.099149
84.714519,44.925206,3.845605,1.927624
84.930388,44.942468,3.004861,0.831556
85.033153,44.956746,2.241832,0.387715
85.117242,44.881872,2.928741,0.770607
83.600213,44.590591,2.745178,0.641376
85.035459,44.862489,2.612491,0.561678
83.613555,44.588706,3.073326,0.890484
83.619420,44.589858,2.855723,0.716344
83.603440,44.582210,2.720009,0.625435
85.074196,44.860527,2.863156,0.721689
83.635984,44.579587,2.824414,0.694264
83.641849,44.580738,2.863253,0.721759
83.750159,44.561365,2.988930,0.818414
83.979248,44.605803,2.831068,0.698899
83.640351,44.535371,2.768481,0.656498
83.647819,44.532329,2.617385,0.564434
84.133186,44.531710,2.337088,0.426463
84.148088,44.525547,2.941169,0.780244
84.202584,44.531441,2.597352,0.553239
84.151229,44.517135,2.455152,0.479906
84.211599,44.524146,2.508704,0.506307
84.321337,44.499930,2.470688,0.487420
84.665398,44.505927,2.470449,0.487304
85.599817,44.661837,3.070330,0.887819
86.393480,44.780968,3.252099,1.064795
86.429420,44.787033,3.116657,0.929917
84.654071,44.467779,2.265284,0.396915
