lon,lat,lnBCF_pred,PlantConc
83.269984,46.658163,-0.531547,0.077550
83.022076,46.250551,-0.205473,0.107446
83.028091,46.251768,-0.218689,0.106036
125.105743,45.725529,0.123385,0.149284
124.003541,45.890273,-0.039180,0.126885
123.927778,45.822070,0.162339,0.155214
123.944543,45.814671,0.042063,0.137624
123.936958,45.811462,0.130545,0.150357
124.083093,45.732044,0.094348,0.145012
124.080200,45.687410,0.136234,0.151215
123.653155,45.756093,0.014502,0.133883
123.657772,45.750798,0.056270,0.139593
123.583199,45.758887,0.218524,0.164184
123.581732,45.754622,0.138676,0.151584
82.260132,44.963028,-0.473353,0.082196
82.256018,44.957648,-0.699158,0.065582
82.251905,44.952268,-0.476328,0.081952
124.178810,45.638660,0.148607,0.153097
82.259481,44.949347,-0.497157,0.080263
82.265326,44.950576,-0.541886,0.076752
124.246959,45.613208,0.021179,0.134780
124.253013,45.612147,0.150041,0.153317
124.233341,45.611079,0.052061,0.139007
124.245449,45.608959,0.219298,0.164311
124.251502,45.607899,0.163255,0.155356
124.237885,45.605770,0.030981,0.136108
124.243938,45.604710,0.127527,0.149904
124.249991,45.603650,0.139599,0.151724
124.262096,45.601529,0.030981,0.136108
124.236376,45.601521,-0.080545,0.121744
124.242428,45.600462,0.082891,0.143360
124.248481,45.599402,0.085736,0.143768
124.254533,45.598342,0.187972,0.159244
124.266636,45.596220,-0.011140,0.130494
124.228814,45.598332,-0.302321,0.097528
124.234867,45.597273,-0.049088,0.125634
124.240919,45.596213,0.103775,0.146385
124.213693,45.591951,0.094348,0.145012
125.327594,45.391078,0.106199,0.146740
125.332003,45.385745,0.103916,0.146406
124.349749,45.522946,0.243200,0.168286
124.330114,45.521890,0.082914,0.143363
124.336155,45.520827,0.114240,0.147925
124.342195,45.519763,0.103798,0.146388
124.348235,45.518700,0.126311,0.149721
124.328602,45.517644,0.093356,0.144868
124.334643,45.516581,0.114240,0.147925
124.340683,45.515517,0.128168,0.150000
124.346722,45.514454,0.114217,0.147922
124.327091,45.513397,0.063022,0.140539
124.333130,45.512334,0.136753,0.151293
124.339170,45.511271,0.121466,0.148998
124.351248,45.509144,0.090229,0.144416
124.319539,45.510213,-0.038646,0.126953
124.325579,45.509151,-0.080391,0.121763
124.331619,45.508088,0.142350,0.152142
124.337658,45.507025,0.073464,0.142014
124.311989,45.507028,-0.027815,0.128336
124.318029,45.505966,-0.059530,0.124329
124.324068,45.504904,-0.058515,0.124456
124.330107,45.503842,0.111024,0.147450
124.316518,45.501720,-0.048699,0.125683
124.322557,45.500657,0.014969,0.133946
124.328596,45.499595,0.103775,0.146385
124.334634,45.498532,0.063022,0.140539
124.315008,45.497473,0.004527,0.132554
124.339161,45.493223,0.030605,0.136056
124.584884,45.445148,-0.058957,0.124401
124.336139,45.484731,0.034903,0.136643
124.333118,45.476238,0.063022,0.140539
124.339153,45.475175,0.063022,0.140539
124.345189,45.474112,0.127504,0.149900
124.351224,45.473049,0.117085,0.148346
124.337643,45.470929,0.096178,0.145277
124.343678,45.469866,-0.021229,0.129184
124.336133,45.466683,0.136753,0.151293
124.342168,45.465620,0.136753,0.151293
124.348202,45.464557,0.103775,0.146385
124.360269,45.462431,0.082914,0.143363
124.345181,45.456065,0.126311,0.149721
124.351215,45.455002,0.082914,0.143363
124.375328,45.432703,0.177085,0.157520
80.488890,44.249300,-0.449365,0.084192
80.490703,44.245205,-0.735318,0.063253
80.496401,44.246508,-0.564644,0.075025
85.096873,45.184815,-0.429763,0.085859
80.689723,44.263462,-0.561356,0.075272
80.701140,44.266049,-0.728606,0.063679
80.718267,44.269927,-0.655512,0.068508
80.723977,44.271220,-0.655512,0.068508
80.697231,44.260654,-0.561356,0.075272
80.693323,44.255259,-0.627058,0.070486
80.699030,44.256552,-0.430818,0.085768
80.712245,44.255035,-0.613744,0.071430
80.742586,44.257390,-0.644994,0.069233
80.706224,44.240143,-0.959030,0.050574
80.645279,44.221812,-0.794918,0.059594
80.650980,44.223107,-0.784476,0.060219
80.811966,44.155823,-1.229514,0.038588
80.819454,44.153002,-1.293608,0.036193
80.809833,44.146326,-1.584543,0.027056
80.815535,44.147611,-1.415952,0.032025
80.821238,44.148896,-1.524093,0.028742
80.826940,44.150180,-1.273160,0.036940
80.832644,44.151464,-1.159816,0.041374
80.823021,44.144790,-1.357021,0.033969
80.830507,44.141967,-1.096219,0.044091
80.853320,44.147101,-1.210072,0.039346
80.701242,44.108269,-1.405926,0.032348
80.706935,44.109559,-1.332832,0.034801
80.714418,44.106745,-1.408887,0.032252
80.845476,44.136321,-1.597188,0.026716
80.847257,44.132214,-0.937447,0.051677
80.714090,44.093149,-1.667053,0.024914
80.719782,44.094437,-1.322390,0.035166
80.725476,44.095725,-1.638611,0.025632
123.458053,45.220588,0.055151,0.139437
80.730165,44.056223,-1.628169,0.025901
80.460820,43.972390,-1.292905,0.036218
80.468287,43.969593,-1.258785,0.037475
123.526799,45.159459,-0.012063,0.130373
84.617821,44.826067,-0.939075,0.051593
122.279697,45.348082,-0.070582,0.122963
122.272254,45.344736,-0.099969,0.119402
122.193734,45.338924,-0.093494,0.120178
80.484446,43.932738,-2.170829,0.015054
122.271609,45.322298,-0.025913,0.128580
122.270263,45.318001,-0.109438,0.118277
122.268916,45.313703,-0.130322,0.115832
80.497283,43.917652,-2.021137,0.017485
80.709757,43.844360,-1.807729,0.021644
80.739517,43.833076,-2.264624,0.013706
80.727823,43.816921,-1.796646,0.021885
80.619889,43.778942,-0.599441,0.072459
124.399872,44.779047,0.232940,0.166568
124.405832,44.777993,0.225887,0.165398
124.411792,44.776940,0.249692,0.169382
121.934254,45.180583,0.050722,0.138821
124.392433,44.775854,0.351829,0.187597
124.398393,44.774801,0.243382,0.168317
124.404353,44.773748,0.295810,0.177377
80.676144,43.778201,-1.319200,0.035278
84.097178,44.493273,-0.023601,0.128878
84.103053,44.494399,-0.056033,0.124765
124.379035,44.773714,0.149403,0.153219
124.390955,44.771609,0.341785,0.185722
124.396915,44.770556,0.323961,0.182441
84.098751,44.489069,0.157474,0.154461
124.395437,44.766311,0.306696,0.179318
124.370122,44.766274,0.254041,0.170120
124.368646,44.762028,0.094348,0.145012
84.115212,44.478704,-0.339690,0.093951
84.121086,44.479828,-0.253326,0.102426
124.361211,44.758833,0.188519,0.159331
124.367171,44.757782,0.118077,0.148494
124.373130,44.756730,0.007251,0.132916
80.639732,43.747426,-1.823302,0.021310
80.645388,43.748710,-1.266914,0.037172
124.353777,44.755637,0.167442,0.156008
124.365696,44.753536,-0.000721,0.131860
124.371654,44.752485,0.041070,0.137488
124.370179,44.748239,0.023032,0.135030
124.376137,44.747187,0.139599,0.151724
80.701617,43.747949,-1.314908,0.035430
80.707276,43.749230,-1.324934,0.035076
80.712936,43.750511,-1.492007,0.029680
80.716469,43.742305,-1.230956,0.038533
80.722128,43.743586,-1.345818,0.034352
84.077670,44.444476,0.281575,0.174870
80.718234,43.738202,-1.144459,0.042014
80.723894,43.739483,-1.321974,0.035180
84.080812,44.436067,0.426749,0.202191
80.733082,43.732555,-1.488740,0.029777
84.129333,44.440856,-0.080907,0.121700
84.135204,44.441979,0.077852,0.142639
84.141075,44.443101,0.192627,0.159987
84.146946,44.444223,0.128921,0.150113
84.130901,44.436650,-0.313459,0.096448
84.136771,44.437773,-0.030853,0.127946
84.142641,44.438895,-0.232080,0.104625
84.148512,44.440017,0.063125,0.140554
84.138337,44.433567,-0.480532,0.081608
124.124435,44.750740,0.246771,0.168888
122.095792,45.043132,-0.152220,0.113323
124.230548,44.691670,0.132208,0.150607
124.229087,44.687421,0.216098,0.163786
124.404768,44.629489,0.546943,0.228014
124.410712,44.628438,0.421563,0.201145
122.291980,44.958607,0.214929,0.163595
124.046395,44.651653,0.356036,0.188388
123.998895,44.641851,0.247408,0.168996
122.132897,44.915760,0.228179,0.165777
122.016525,44.929190,0.174780,0.157157
122.022583,44.928260,0.125169,0.149550
122.101312,44.916136,0.177549,0.157593
122.125527,44.912395,0.277029,0.174076
122.131579,44.911459,0.235186,0.166943
122.137632,44.910523,0.119389,0.148689
121.868442,44.942816,0.169391,0.156312
122.019964,44.919653,0.162091,0.155175
121.877971,44.932356,0.262753,0.171609
122.023402,44.910115,0.155085,0.154092
121.749291,44.947362,-0.107633,0.118490
121.882735,44.927127,0.235443,0.166986
81.736526,43.738043,-0.822785,0.057956
81.698175,43.680263,-1.140371,0.042186
124.089457,44.500045,0.277616,0.174179
124.088015,44.495792,0.133259,0.150765
124.074688,44.493601,0.020604,0.134703
123.999251,44.475136,0.389042,0.194709
123.991873,44.471907,0.242450,0.168160
124.175975,44.439950,0.576999,0.234971
124.181909,44.438915,0.651363,0.253111
81.828396,43.649797,-1.077719,0.044914
86.515716,44.544789,-0.470105,0.082464
123.846543,44.469879,0.382808,0.193499
124.102044,44.425804,0.522619,0.222535
123.839172,44.466638,0.138442,0.151549
123.940253,44.449284,0.421001,0.201032
123.843699,44.461359,0.241106,0.167934
123.932881,44.446050,0.351595,0.187553
123.938824,44.445027,0.494095,0.216277
123.913624,44.444859,0.410559,0.198944
124.059248,44.410715,0.420368,0.200905
86.102440,44.425104,-1.772131,0.022429
86.097922,44.419825,-0.945236,0.051276
86.093405,44.414546,-0.238543,0.103951
86.099346,44.415567,-0.214885,0.106440
82.168650,43.573743,-0.908148,0.053214
121.320094,44.736564,0.173494,0.156955
82.170307,43.569594,-0.994659,0.048804
82.244513,43.585226,-0.462546,0.083090
82.250224,43.586427,-0.191433,0.108966
82.240455,43.579874,-0.187053,0.109444
