lon,lat,lnBCF_pred,PlantConc
83.269984,46.658163,2.221051,1.216236
83.022076,46.250551,2.533683,1.662617
83.028091,46.251768,2.523939,1.646495
125.105743,45.725529,2.877554,2.344950
124.003541,45.890273,2.682583,1.929562
123.927778,45.822070,2.798662,2.167062
123.944543,45.814671,2.683315,1.930974
123.936958,45.811462,2.885395,2.363409
124.083093,45.732044,2.886550,2.366141
124.080200,45.687410,2.771351,2.108678
123.653155,45.756093,2.686563,1.937256
123.657772,45.750798,2.728331,2.019885
123.583199,45.758887,2.953173,2.529149
123.581732,45.754622,2.907805,2.416971
82.260132,44.963028,2.173525,1.159785
82.256018,44.957648,1.977830,0.953648
82.251905,44.952268,2.192725,1.182268
124.178810,45.638660,2.803111,2.176723
82.259481,44.949347,2.266347,1.272593
82.265326,44.950576,2.139637,1.121141
124.246959,45.613208,2.662431,1.891065
124.253013,45.612147,2.814099,2.200773
124.233341,45.611079,2.863877,2.313096
124.245449,45.608959,2.852359,2.286606
124.251502,45.607899,2.926146,2.461709
124.237885,45.605770,2.678500,1.921700
124.243938,45.604710,2.775047,2.116485
124.249991,45.603650,2.803657,2.177913
124.262096,45.601529,2.678500,1.921700
124.236376,45.601521,2.602712,1.781440
124.242428,45.600462,2.840613,2.259905
124.248481,45.599402,2.838530,2.255203
124.254533,45.598342,2.821033,2.216086
124.266636,45.596220,2.641308,1.851540
124.228814,45.598332,2.380937,1.427103
124.234867,45.597273,2.754142,2.072699
124.240919,45.596213,2.861497,2.307597
124.213693,45.591951,2.886550,2.366141
125.327594,45.391078,2.766971,2.099461
125.332003,45.385745,2.750228,2.064604
124.349749,45.522946,2.983591,2.607263
124.330114,45.521890,2.735362,2.034137
124.336155,45.520827,2.766688,2.098867
124.342195,45.519763,2.756246,2.077064
124.348235,45.518700,2.795298,2.159783
124.328602,45.517644,2.745804,2.055488
124.334643,45.516581,2.766688,2.098867
124.340683,45.515517,2.769419,2.104608
124.346722,45.514454,2.871939,2.331820
124.327091,45.513397,2.855224,2.293168
124.333130,45.512334,2.805740,2.182454
124.339170,45.511271,2.902472,2.404116
124.351248,45.509144,2.883806,2.359657
124.319539,45.510213,2.764584,2.094455
124.325579,45.509151,2.617564,1.808095
124.331619,45.508088,2.923357,2.454852
124.337658,45.507025,2.865666,2.317239
124.311989,45.507028,2.810420,2.192692
124.318029,45.505966,2.743700,2.051168
124.324068,45.504904,2.779195,2.125283
124.330107,45.503842,2.892030,2.379143
124.316518,45.501720,2.789536,2.147374
124.322557,45.500657,2.887684,2.368824
124.328596,45.499595,2.861497,2.307597
124.334634,45.498532,2.855224,2.293168
124.315008,45.497473,2.877242,2.344217
124.339161,45.493223,2.788327,2.144780
124.584884,45.445148,2.575478,1.733579
124.336139,45.484731,2.675474,1.915892
124.333118,45.476238,2.855224,2.293168
124.339153,45.475175,2.855224,2.293168
124.345189,45.474112,2.880298,2.351393
124.351224,45.473049,2.764605,2.094500
124.337643,45.470929,2.848972,2.278875
124.343678,45.469866,2.626290,1.823942
124.336133,45.466683,2.805740,2.182454
124.342168,45.465620,2.805740,2.182454
124.348202,45.464557,2.861497,2.307597
124.360269,45.462431,2.735362,2.034137
124.345181,45.456065,2.795298,2.159783
124.351215,45.455002,2.735362,2.034137
124.375328,45.432703,2.823398,2.221334
80.488890,44.249300,2.329123,1.355042
80.490703,44.245205,1.970146,0.946348
80.496401,44.246508,2.227336,1.223904
85.096873,45.184815,2.268051,1.274764
80.689723,44.263462,2.210722,1.203738
80.701140,44.266049,2.052169,1.027243
80.718267,44.269927,2.125263,1.105141
80.723977,44.271220,2.125263,1.105141
80.697231,44.260654,2.210722,1.203738
80.693323,44.255259,2.160127,1.144351
80.699030,44.256552,2.320004,1.342742
80.712245,44.255035,2.167031,1.152278
