lon,lat,lnBCF_pred,PlantConc
85.305550,45.118772,1.431570,1.341677
122.935952,45.419420,1.093865,0.957160
84.734142,45.010015,2.136138,2.714174
85.360940,45.124196,1.040265,0.907206
85.314569,45.111372,1.440901,1.354254
84.683706,44.991638,2.227912,2.975052
84.798326,45.008357,1.238686,1.106317
84.804280,45.009456,1.440237,1.353356
85.355024,45.105097,1.040265,0.907206
84.801424,44.999910,1.491107,1.423982
84.813331,45.002107,1.492920,1.426565
84.804522,44.991462,1.475572,1.402030
84.795715,44.980817,1.452706,1.370336
84.801666,44.981916,1.534244,1.486752
84.769064,44.966873,2.058432,2.511253
84.775013,44.967973,2.433864,3.655429
84.804761,44.973468,1.359055,1.247828
84.810712,44.974567,1.392482,1.290244
85.365612,45.075427,1.072310,0.936749
85.377577,45.077568,1.252882,1.122134
85.325258,45.063686,0.945735,0.825377
84.950749,44.991290,1.330537,1.212746
85.302857,45.055155,0.802406,0.715163
85.308835,45.056229,0.779103,0.698690
85.314814,45.057302,0.961270,0.838299
85.320792,45.058375,0.835461,0.739199
85.326771,45.059448,0.979485,0.853709
85.344710,45.062665,0.889836,0.780505
85.350691,45.063736,0.864620,0.761070
85.932371,45.166283,1.261728,1.132104
84.732088,44.946500,1.773847,1.889282
84.940371,44.984879,1.761300,1.865725
85.328285,45.055210,1.010556,0.880651
85.933845,45.162030,1.291959,1.166852
85.323819,45.049900,0.979485,0.853709
85.353714,45.055259,0.961648,0.838616
85.295448,45.040296,0.660356,0.620460
85.307401,45.042443,0.721291,0.659444
85.355225,45.051021,0.761337,0.686387
85.361205,45.052092,0.732178,0.666662
85.022438,44.986355,0.950066,0.828959
84.708577,44.924104,1.660884,1.687477
84.714519,44.925206,2.221330,2.955535
84.930388,44.942468,1.378507,1.272339
85.033153,44.956746,0.577564,0.571160
85.117242,44.881872,1.303565,1.180473
83.600213,44.590591,1.127198,0.989603
85.035459,44.862489,0.944164,0.824081
83.613555,44.588706,1.466817,1.389810
83.619420,44.589858,1.237348,1.104837
83.603440,44.582210,1.102029,0.965006
85.074196,44.860527,1.214913,1.080326
83.635984,44.579587,1.207613,1.072468
83.641849,44.580738,1.246452,1.114941
83.750159,44.561365,1.378641,1.272509
83.979248,44.605803,1.192841,1.056742
83.640351,44.535371,1.150502,1.012934
83.647819,44.532329,0.999405,0.870885
84.133186,44.531710,0.799174,0.712856
84.148088,44.525547,1.322794,1.203391
84.202584,44.531441,0.979372,0.853612
84.151229,44.517135,0.917238,0.802188
84.211599,44.524146,0.906852,0.793900
84.321337,44.499930,0.932773,0.814747
84.665398,44.505927,0.934109,0.815836
85.599817,44.661837,1.459353,1.379474
86.393480,44.780968,1.649378,1.668171
86.429420,44.787033,1.513936,1.456863
84.654071,44.467779,0.727765,0.663727
86.388912,44.775691,1.269460,1.140891
86.409717,44.770194,1.753334,1.850922
86.415705,44.771204,1.616441,1.614122
86.418542,44.762672,1.401171,1.301504
86.413972,44.757396,1.468153,1.391668
86.419959,44.758406,1.616441,1.614122
86.437923,44.761434,1.387501,1.283834
86.409403,44.752119,1.538063,1.492441
86.415389,44.753130,1.514760,1.458064
86.445328,44.758176,1.459353,1.379474
86.454146,44.750651,1.648754,1.667131
86.476351,44.740871,1.176541,1.039657
86.476012,44.722794,1.964232,2.285492
85.832829,44.608136,1.934148,2.217761
85.838781,44.609174,2.113582,2.653639
85.844732,44.610212,1.895309,2.133277
85.856637,44.612286,1.763019,1.868935
86.435532,44.711476,1.340894,1.225371
86.441516,44.712484,1.408939,1.311653
86.032275,44.633717,1.429314,1.338653
86.444342,44.703950,1.910607,2.166162
86.522146,44.717025,1.426340,1.334677
86.489050,44.702461,2.074505,2.551942
85.359252,44.501916,0.789951,0.706311
86.466526,44.694170,1.949446,2.251948
86.514398,44.702212,1.699352,1.753655
85.366657,44.498737,0.707206,0.650220
85.782068,44.572243,1.215380,1.080831
86.479902,44.691915,2.090040,2.591898
85.599371,44.535620,1.092057,0.955431
85.605306,44.536668,0.818210,0.726555
85.611242,44.537717,0.857049,0.755329
85.623115,44.539812,0.748299,0.677497
