lon,lat,lnBCF_pred,PlantConc
83.269984,46.658163,2.022502,1.223689
83.022076,46.250551,2.343612,1.687048
83.028091,46.251768,2.333868,1.670688
125.105743,45.725529,2.689087,2.383225
124.003541,45.890273,2.539296,2.051690
123.927778,45.822070,2.593380,2.165709
123.944543,45.814671,2.473191,1.920449
123.936958,45.811462,2.699429,2.408000
124.083093,45.732044,2.701959,2.414100
124.080200,45.687410,2.598637,2.177125
123.653155,45.756093,2.494839,1.962476
123.657772,45.750798,2.536607,2.046180
123.583199,45.758887,2.759865,2.558017
123.581732,45.754622,2.720712,2.459800
82.260132,44.963028,1.987084,1.181107
82.256018,44.957648,1.782912,0.962982
82.251905,44.952268,2.006285,1.204004
124.178810,45.638660,2.592988,2.164859
82.259481,44.949347,2.070299,1.283598
82.265326,44.950576,1.944719,1.132114
124.246959,45.613208,2.452307,1.880757
124.253013,45.612147,2.607208,2.195865
124.233341,45.611079,2.697685,2.403805
124.245449,45.608959,2.679645,2.360829
124.251502,45.607899,2.772748,2.591187
124.237885,45.605770,2.473218,1.920500
124.243938,45.604710,2.569764,2.115163
124.249991,45.603650,2.596766,2.173055
124.262096,45.601529,2.473218,1.920500
124.236376,45.601521,2.410989,1.804632
124.242428,45.600462,2.649806,2.291424
124.248481,45.599402,2.652564,2.297752
124.254533,45.598342,2.648319,2.288020
124.266636,45.596220,2.431185,1.841448
124.228814,45.598332,2.189213,1.445682
124.234867,45.597273,2.597085,2.173748
124.240919,45.596213,2.670690,2.339782
124.213693,45.591951,2.701959,2.414100
125.327594,45.391078,2.561688,2.098149
125.332003,45.385745,2.577515,2.131620
124.349749,45.522946,2.830194,2.744396
124.330114,45.521890,2.525238,2.023049
124.336155,45.520827,2.556564,2.087427
124.342195,45.519763,2.546122,2.065743
124.348235,45.518700,2.583566,2.144559
124.328602,45.517644,2.535680,2.044285
124.334643,45.516581,2.556564,2.087427
124.340683,45.515517,2.559296,2.093137
124.346722,45.514454,2.681132,2.364341
124.327091,45.513397,2.670633,2.339648
124.333130,45.512334,2.594008,2.167070
124.339170,45.511271,2.717881,2.452845
124.351248,45.509144,2.696714,2.401471
124.319539,45.510213,2.607527,2.196565
124.325579,45.509151,2.441191,1.859968
124.331619,45.508088,2.738765,2.504609
124.337658,45.507025,2.681075,2.364207
124.311989,45.507028,2.686449,2.376947
124.318029,45.505966,2.586643,2.151167
124.324068,45.504904,2.628354,2.242793
124.330107,45.503842,2.707439,2.427366
124.316518,45.501720,2.665565,2.327822
124.322557,45.500657,2.769928,2.583890
124.328596,45.499595,2.670690,2.339782
124.334634,45.498532,2.670633,2.339648
124.315008,45.497473,2.759486,2.557050
124.339161,45.493223,2.597520,2.174694
124.584884,45.445148,2.400263,1.785379
124.336139,45.484731,2.462849,1.900690
124.333118,45.476238,2.670633,2.339648
124.339153,45.475175,2.670633,2.339648
124.345189,45.474112,2.694332,2.395758
124.351224,45.473049,2.559322,2.093192
124.337643,45.470929,2.663006,2.321872
124.343678,45.469866,2.421008,1.822803
124.336133,45.466683,2.594008,2.167070
124.342168,45.465620,2.594008,2.167070
124.348202,45.464557,2.670690,2.339782
124.360269,45.462431,2.525238,2.023049
124.345181,45.456065,2.583566,2.144559
124.351215,45.455002,2.525238,2.023049
124.375328,45.432703,2.650684,2.293438
80.488890,44.249300,2.132628,1.366148
80.490703,44.245205,1.774780,0.955183
80.496401,44.246508,2.030841,1.233936
85.096873,45.184815,2.041708,1.247417
80.689723,44.263462,2.014675,1.214148
80.701140,44.266049,1.856121,1.036126
80.718267,44.269927,1.929215,1.114697
80.723977,44.271220,1.929215,1.114697
80.697231,44.260654,2.014675,1.214148
80.693323,44.255259,1.963632,1.153730
80.699030,44.256552,2.123956,1.354353
80.712245,44.255035,1.970983,1.162242
80.742586,44.257390,1.939733,1.126483
80.706224,44.240143,1.610880,0.810785
80.645279,44.221812,1.694140,0.881181
80.650980,44.223107,1.704582,0.890431
80.811966,44.155823,1.333735,0.614530
80.819454,44.153002,1.194358,0.534580
80.809833,44.146326,0.978706,0.430880
80.815535,44.147611,1.152866,0.512853
80.821238,44.148896,1.070060,0.472096
80.826940,44.150180,1.244963,0.562328
80.832644,44.151464,1.352738,0.626320
80.823021,44.144790,1.237133,0.557942
80.830507,44.141967,1.398409,0.655587
80.853320,44.147101,1.277894,0.581155
80.701242,44.108269,1.176383,0.525057
80.706935,44.109559,1.249478,0.564873
80.714418,44.106745,1.092571,0.482844
80.845476,44.136321,0.996966,0.438820
80.847257,44.132214,1.647281,0.840842
80.714090,44.093149,0.915257,0.404390
80.719782,44.094437,1.259920,0.570802
80.725476,44.095725,0.862847,0.383742
123.458053,45.220588,2.837154,2.763566
80.730165,44.056223,0.873289,0.387770
80.460820,43.972390,1.232262,0.555231
80.468287,43.969593,1.237122,0.557936
123.526799,45.159459,2.731700,2.486977
84.617821,44.826067,1.551014,0.763671
122.279697,45.348082,2.507894,1.988264
122.272254,45.344736,2.654990,2.303335
122.193734,45.338924,2.518354,2.009171
80.484446,43.932738,0.402421,0.242147
122.271609,45.322298,2.687639,2.379776
122.270263,45.318001,2.583262,2.143906
122.268916,45.313703,2.562378,2.099597
80.497283,43.917652,0.515433,0.271118
80.709757,43.844360,0.697874,0.325381
80.739517,43.833076,0.231835,0.204171
80.727823,43.816921,0.703080,0.327079
80.619889,43.778942,1.904213,1.087173
124.399872,44.779047,2.840463,2.772726
124.405832,44.777993,2.822301,2.722822
124.411792,44.776940,2.846019,2.788173
121.934254,45.180583,2.881417,2.888635
124.392433,44.775854,2.966266,3.144433
124.398393,44.774801,2.850905,2.801830
124.404353,44.773748,2.934802,3.047037
80.676144,43.778201,1.289517,0.587949
84.097178,44.493273,2.450808,1.877940
84.103053,44.494399,2.415822,1.813375
124.379035,44.773714,2.756927,2.550514
124.390955,44.771609,2.991974,3.226319
124.396915,44.770556,2.947850,3.087057
84.098751,44.489069,2.797169,2.655244
124.395437,44.766311,2.932436,3.039837
124.370122,44.766274,2.893034,2.922389
124.368646,44.762028,2.701959,2.414100
84.115212,44.478704,2.140263,1.376619
84.121086,44.479828,2.221083,1.492497
124.361211,44.758833,2.827405,2.736754
124.367171,44.757782,2.725601,2.471854
124.373130,44.756730,2.449576,1.875628
80.639732,43.747426,0.704563,0.327565
80.645388,43.748710,1.341802,0.619508
124.353777,44.755637,2.775053,2.597166
124.365696,44.753536,2.566194,2.107625
124.371654,44.752485,2.483395,1.940144
124.370179,44.748239,2.465269,1.905294
124.376137,44.747187,2.596766,2.173055
80.701617,43.747949,1.186550,0.530422
80.707276,43.749230,1.163032,0.518093
80.712936,43.750511,0.995960,0.438378
80.716469,43.742305,1.257010,0.569144
80.722128,43.743586,1.142148,0.507385
84.077670,44.444476,2.976154,3.175680
80.718234,43.738202,1.424358,0.672822
80.723894,43.739483,1.246844,0.563387
84.080812,44.436067,3.203700,3.987112
80.733082,43.732555,1.025633,0.451581
84.129333,44.440856,2.376539,1.743522
84.135204,44.441979,2.673381,2.346087
84.141075,44.443101,2.665003,2.326514
84.146946,44.444223,2.765146,2.571561
84.130901,44.436650,2.149531,1.389436
84.136771,44.437773,2.426592,1.833011
84.142641,44.438895,2.230910,1.507236
84.148512,44.440017,2.520571,2.013628
84.138337,44.433567,1.982458,1.175656
124.124435,44.750740,2.843185,2.780283
122.095792,45.043132,2.649323,2.290318
124.230548,44.691670,2.788941,2.633488
124.229087,44.687421,2.899876,2.942452
124.404768,44.629489,3.216264,4.037524
124.410712,44.628438,3.090884,3.561748
122.291980,44.958607,3.079835,3.522610
124.046395,44.651653,2.981670,3.193245
123.998895,44.641851,2.861845,2.832652
122.132897,44.915760,2.971942,3.162333
122.016525,44.929190,2.910671,2.974388
122.022583,44.928260,2.703064,2.416769
122.101312,44.916136,2.939427,3.061161
122.125527,44.912395,3.075676,3.507992
122.131579,44.911459,3.033833,3.364234
122.137632,44.910523,2.874349,2.868291
121.868442,44.942816,2.752756,2.539896
122.019964,44.919653,2.960738,3.127100
121.877971,44.932356,3.147740,3.770123
122.023402,44.910115,2.898848,2.939431
121.749291,44.947362,2.428486,1.836485
121.882735,44.927127,3.014143,3.298642
81.736526,43.738043,1.777959,0.958224
81.698175,43.680263,1.433942,0.679301
124.089457,44.500045,2.903562,2.953318
124.088015,44.495792,2.617838,2.219331
124.074688,44.493601,2.487073,1.947294
123.999251,44.475136,3.069872,3.487690
123.991873,44.471907,2.827700,2.737562
124.175975,44.439950,3.257828,4.208878
124.181909,44.438915,3.320684,4.481921
81.828396,43.649797,1.496594,0.723222
86.515716,44.544789,2.097615,1.319144
123.846543,44.469879,3.074834,3.505039
124.102044,44.425804,3.203243,3.985290
123.839172,44.466638,2.783979,2.620453
123.940253,44.449284,3.072299,3.496166
123.843699,44.461359,2.886822,2.904293
123.932881,44.446050,3.052104,3.426266
123.938824,44.445027,3.145393,3.761286
123.913624,44.444859,3.061857,3.459849
124.059248,44.410715,3.101198,3.598675
86.102440,44.425104,0.815282,0.365916
86.097922,44.419825,1.633470,0.829309
86.093405,44.414546,2.316567,1.642033
86.099346,44.415567,2.336754,1.675517
82.168650,43.573743,1.598085,0.800477
121.320094,44.736564,2.701995,2.414187
82.170307,43.569594,1.533749,0.750599
82.244513,43.585226,2.109731,1.335223
82.250224,43.586427,2.372031,1.735680
82.240455,43.579874,2.452916,1.881903
82.246165,43.581075,2.153911,1.395536
123.432520,44.395855,2.703123,2.416911
123.425176,44.392580,2.770393,2.585091
123.431132,44.391584,2.541287,2.055779
123.423788,44.388310,2.854316,2.811403
85.739567,44.236072,1.736044,0.918891
120.735866,44.793757,2.729011,2.480299
121.572826,44.672113,2.486857,1.946874
85.593360,44.205837,2.872031,2.861652
85.652395,44.216253,2.866932,2.847097
121.414291,44.691162,2.484397,1.942090
85.594810,44.201592,2.892915,2.922044
85.647937,44.210966,2.945126,3.078656
121.429937,44.679843,2.418606,1.818430
85.621314,44.197269,2.831947,2.749213
121.428682,44.675526,2.460374,1.895991
82.304265,43.543794,1.658801,0.850584
82.309975,43.544991,1.763221,0.944206
82.315684,43.546188,1.888525,1.070251
121.974222,44.579890,2.909602,2.971212
122.015085,44.569122,3.085839,3.543826
122.057224,44.562643,2.635590,2.259079
82.296139,43.533095,1.881414,1.062667
82.353234,43.545053,1.997079,1.192970
