lon,lat,lnBCF_pred,PlantConc
85.305550,45.118772,3.665036,0.511431
122.935952,45.419420,3.310843,0.358891
84.734142,45.010015,4.393300,1.059419
85.360940,45.124196,3.307854,0.357820
85.314569,45.111372,3.693122,0.525998
84.683706,44.991638,4.416768,1.084575
84.798326,45.008357,3.518800,0.441853
84.804280,45.009456,3.718780,0.539669
85.355024,45.105097,3.307854,0.357820
84.801424,44.999910,3.741326,0.551974
84.813331,45.002107,3.717660,0.539065
84.804522,44.991462,3.725790,0.543466
84.795715,44.980817,3.755347,0.559769
84.801666,44.981916,3.822376,0.598575
84.769064,44.966873,4.309077,0.973846
84.775013,44.967973,4.664820,1.389912
84.804761,44.973468,3.609273,0.483693
84.810712,44.974567,3.670181,0.514069
85.365612,45.075427,3.387444,0.387463
85.377577,45.077568,3.579661,0.469579
85.325258,45.063686,3.282277,0.348784
84.950749,44.991290,3.639549,0.498560
85.302857,45.055155,3.138948,0.302210
85.308835,45.056229,3.115644,0.295249
85.314814,45.057302,3.297812,0.354245
85.320792,45.058375,3.172072,0.312389
85.326771,45.059448,3.306333,0.357276
85.344710,45.062665,3.226447,0.329845
85.350691,45.063736,3.189585,0.317908
85.932371,45.166283,3.513921,0.439702
84.732088,44.946500,4.020372,0.729638
84.940371,44.984879,4.007669,0.720428
85.328285,45.055210,3.337404,0.368552
85.933845,45.162030,3.624373,0.491051
85.323819,45.049900,3.306333,0.357276
85.353714,45.055259,3.288496,0.350960
85.295448,45.040296,2.985321,0.259173
85.307401,45.042443,3.046257,0.275457
85.355225,45.051021,3.086302,0.286712
85.361205,45.052092,3.068789,0.281734
85.022438,44.986355,3.275031,0.346266
84.708577,44.924104,3.899719,0.646708
84.714519,44.925206,4.409748,1.076989
84.930388,44.942468,3.658621,0.508160
85.033153,44.956746,2.864134,0.229593
85.117242,44.881872,3.549422,0.455592
83.600213,44.590591,3.356601,0.375695
85.035459,44.862489,3.227631,0.330236
83.613555,44.588706,3.659409,0.508561
83.619420,44.589858,3.439702,0.408249
83.603440,44.582210,3.372930,0.381880
85.074196,44.860527,3.471571,0.421470
83.635984,44.579587,3.402759,0.393442
83.641849,44.580738,3.441598,0.409024
83.750159,44.561365,3.641642,0.499605
83.979248,44.605803,3.440179,0.408444
83.640351,44.535371,3.379905,0.384553
83.647819,44.532329,3.228808,0.330625
84.133186,44.531710,2.902172,0.238495
84.148088,44.525547,3.525148,0.444666
84.202584,44.531441,3.203141,0.322247
84.151229,44.517135,3.019451,0.268172
84.211599,44.524146,3.115312,0.295151
84.321337,44.499930,3.034986,0.272370
84.665398,44.505927,3.029114,0.270775
85.599817,44.661837,3.683793,0.521114
86.393480,44.780968,3.864643,0.624417
86.429420,44.787033,3.770767,0.568467
84.654071,44.467779,2.863486,0.229445
86.388912,44.775691,3.483535,0.426542
86.409717,44.770194,3.939976,0.673274
86.415705,44.771204,3.873204,0.629786
86.418542,44.762672,3.656675,0.507172
86.413972,44.757396,3.653537,0.505583
86.419959,44.758406,3.873204,0.629786
86.437923,44.761434,3.601507,0.479951
86.409403,44.752119,3.723447,0.542193
86.415389,44.753130,3.700144,0.529705
86.445328,44.758176,3.683793,0.521114
86.454146,44.750651,3.844571,0.612009
86.476351,44.740871,3.371687,0.381406
86.476012,44.722794,4.197696,0.871201
85.832829,44.608136,4.175187,0.851810
85.838781,44.609174,4.352612,1.017178
85.844732,44.610212,4.136348,0.819361
85.856637,44.612286,3.998423,0.713798
86.435532,44.711476,3.554900,0.458095
86.441516,44.712484,3.664443,0.511127
86.032275,44.633717,3.614698,0.486323
86.444342,44.703950,4.146011,0.827316
86.522146,44.717025,3.640346,0.498958
86.489050,44.702461,4.307900,0.972701
85.359252,44.501916,2.945625,0.249087
86.466526,44.694170,4.184850,0.860081
86.514398,44.702212,3.934826,0.669815
85.366657,44.498737,2.826247,0.221057
85.782068,44.572243,3.410527,0.396510
86.479902,44.691915,4.323436,0.987930
85.599371,44.535620,3.284945,0.349716
85.605306,44.536668,2.939143,0.247477
85.611242,44.537717,2.977982,0.257278
85.623115,44.539812,2.869233,0.230767
85.777577,44.566953,3.498630,0.433030
85.814706,44.568937,3.520518,0.442612
85.820653,44.569975,3.397336,0.391315
86.494686,44.685389,4.276829,0.942943
86.542558,44.693418,3.601507,0.479951
86.548543,44.694420,3.418294,0.399602
85.400713,44.491314,2.712404,0.197271
86.543963,44.689148,3.664443,0.511127
86.549948,44.690150,3.323625,0.363508
85.402191,44.487074,2.732530,0.201282
85.408115,44.488132,2.762001,0.207302
85.704697,44.540663,3.176329,0.313721
86.234600,44.632372,3.691560,0.525177
86.461616,44.670821,3.818036,0.595983
86.509467,44.678861,3.777799,0.572479
86.521433,44.680868,3.617836,0.487852
86.539384,44.683877,3.865436,0.624913
85.700217,44.535372,3.208194,0.323879
85.795282,44.552031,3.405477,0.394513
85.807171,44.554108,3.352944,0.374323
86.182328,44.618943,3.698248,0.528701
86.188293,44.619963,3.692376,0.525606
85.695737,44.530080,3.115312,0.295151
86.509111,44.660784,3.865436,0.624913
85.587364,44.497463,2.862687,0.229261
86.486599,44.652499,4.090181,0.782393
86.492578,44.653504,4.127786,0.812375
86.516498,44.657518,3.753703,0.558849
85.899105,44.543098,3.679978,0.519130
86.513328,44.647978,3.872411,0.629287
86.525288,44.649984,3.808871,0.590545
86.081957,44.561193,3.912043,0.654727
85.793288,44.484122,3.604699,0.481485
86.597697,44.621559,3.738960,0.550670
86.300516,44.567016,3.638451,0.498013
86.593115,44.616290,3.685057,0.521773
85.808060,44.477695,3.159558,0.308504
86.290006,44.560727,3.654779,0.506212
86.606471,44.614016,3.641140,0.499354
86.612450,44.615013,3.810268,0.591371
86.684228,44.626960,3.426062,0.402719
85.803572,44.472408,3.287512,0.350615
86.697586,44.624674,3.498630,0.433030
86.739478,44.631618,3.188064,0.317425
85.947576,44.492958,4.151884,0.832189
86.126028,44.523723,3.523829,0.444080
86.615242,44.606471,3.740225,0.551367
86.621221,44.607468,3.972290,0.695385
86.746851,44.628334,3.464901,0.418667
86.009897,44.494730,3.956754,0.684665
86.140787,44.517247,3.595058,0.476865
86.319520,44.547723,3.692825,0.525842
86.737656,44.617804,3.638451,0.498013
86.625406,44.594654,3.722631,0.541752
86.649320,44.598637,3.562668,0.461667
86.728463,44.607274,3.731664,0.546667
86.139112,44.503449,3.473118,0.422122
86.104836,44.493064,3.779064,0.573203
86.023010,44.474476,4.005759,0.719053
86.368319,44.533471,3.599612,0.479042
86.374282,44.534480,3.631476,0.494552
86.380246,44.535488,3.615941,0.486928
86.393581,44.533238,3.732457,0.547101
86.383064,44.526957,3.498630,0.433030
86.591944,44.562049,3.636106,0.496847
86.759322,44.589863,3.951817,0.681293
86.146235,44.482152,3.403208,0.393619
86.432180,44.530743,3.630683,0.494160
86.284575,44.501257,2.821670,0.220048
86.344156,44.511367,3.036882,0.272887
86.397805,44.520441,3.350748,0.373502
