lon,lat,lnBCF_pred,PlantConc
83.269984,46.658163,2.935879,0.112945
83.022076,46.250551,3.204109,0.147692
83.028091,46.251768,3.214014,0.149162
125.105743,45.725529,3.639172,0.228193
124.003541,45.890273,3.520145,0.202586
123.927778,45.822070,3.590068,0.217258
123.944543,45.814671,3.482477,0.195097
123.936958,45.811462,3.673478,0.236157
124.083093,45.732044,3.637170,0.227736
124.080200,45.687410,3.540102,0.206669
123.653155,45.756093,3.514660,0.201478
123.657772,45.750798,3.556428,0.210071
123.583199,45.758887,3.745263,0.253733
123.581732,45.754622,3.679413,0.237563
82.260132,44.963028,2.883179,0.107147
82.256018,44.957648,2.692115,0.088512
82.251905,44.952268,2.901979,0.109180
124.178810,45.638660,3.603285,0.220149
82.259481,44.949347,2.945536,0.114041
82.265326,44.950576,2.854917,0.104161
124.246959,45.613208,3.461593,0.191065
124.253013,45.612147,3.581898,0.215490
124.233341,45.611079,3.667157,0.234669
124.245449,45.608959,3.596372,0.218632
124.251502,45.607899,3.682813,0.238372
124.237885,45.605770,3.446179,0.188142
124.243938,45.604710,3.542726,0.207212
124.249991,45.603650,3.571456,0.213252
124.262096,45.601529,3.446179,0.188142
124.236376,45.601521,3.407083,0.180928
124.242428,45.600462,3.611715,0.222012
124.248481,45.599402,3.601875,0.219839
124.254533,45.598342,3.565046,0.211889
124.266636,45.596220,3.416744,0.182685
124.228814,45.598332,3.185308,0.144941
124.234867,45.597273,3.557784,0.210356
124.240919,45.596213,3.632599,0.226698
124.213693,45.591951,3.637170,0.227736
125.327594,45.391078,3.535661,0.205754
125.332003,45.385745,3.495252,0.197605
124.349749,45.522946,3.748007,0.254430
124.330114,45.521890,3.510798,0.200701
124.336155,45.520827,3.542124,0.207088
124.342195,45.519763,3.531682,0.204937
124.348235,45.518700,3.570854,0.213124
124.328602,45.517644,3.521240,0.202808
124.334643,45.516581,3.542124,0.207088
124.340683,45.515517,3.568582,0.212640
124.346722,45.514454,3.643041,0.229077
124.327091,45.513397,3.605844,0.220713
124.333130,45.512334,3.581296,0.215361
124.339170,45.511271,3.676818,0.236947
124.351248,45.509144,3.632699,0.226720
124.319539,45.510213,3.568226,0.212564
124.325579,45.509151,3.425541,0.184299
124.331619,45.508088,3.697702,0.241948
124.337658,45.507025,3.616286,0.223030
124.311989,45.507028,3.619921,0.223842
124.318029,45.505966,3.547342,0.208171
124.324068,45.504904,3.562355,0.211320
