lon,lat,lnBCF_pred,PlantConc
85.305550,45.118772,3.714533,1.020181
122.935952,45.419420,3.636077,0.943202
84.734142,45.010015,4.418209,2.061958
85.360940,45.124196,3.473898,0.801993
85.314569,45.111372,3.676088,0.981705
84.683706,44.991638,4.301772,1.835321
84.798326,45.008357,3.479534,0.806526
84.804280,45.009456,3.696364,1.001813
85.355024,45.105097,3.473898,0.801993
84.801424,44.999910,3.761808,1.069568
84.813331,45.002107,3.627476,0.935123
84.804522,44.991462,3.746272,1.053081
84.795715,44.980817,3.864843,1.185650
84.801666,44.981916,3.892955,1.219453
84.769064,44.966873,4.234018,1.715090
84.775013,44.967973,4.479864,2.193090
84.804761,44.973468,3.629755,0.937258
84.810712,44.974567,3.763814,1.071716
85.365612,45.075427,3.336993,0.699381
85.377577,45.077568,3.532421,0.850330
85.325258,45.063686,3.257767,0.646110
84.950749,44.991290,3.714774,1.020427
85.302857,45.055155,3.114438,0.559834
85.308835,45.056229,3.091135,0.546939
85.314814,45.057302,3.273303,0.656226
85.320792,45.058375,3.060459,0.530416
85.326771,45.059448,3.171990,0.592999
85.344710,45.062665,3.114834,0.560056
85.350691,45.063736,3.074761,0.538057
85.932371,45.166283,3.662868,0.968812
84.732088,44.946500,3.840760,1.157435
84.940371,44.984879,4.025249,1.391937
85.328285,45.055210,3.203061,0.611713
85.933845,45.162030,3.571499,0.884216
85.323819,45.049900,3.171990,0.592999
85.353714,45.055259,3.154153,0.582515
85.295448,45.040296,2.870497,0.438649
85.307401,45.042443,2.931432,0.466210
85.355225,45.051021,2.971478,0.485258
85.361205,45.052092,2.957176,0.478367
85.022438,44.986355,3.160207,0.586053
84.708577,44.924104,3.867802,1.189163
84.714519,44.925206,4.283527,1.802140
84.930388,44.942468,3.619354,0.927560
85.033153,44.956746,2.875016,0.440636
85.117242,44.881872,3.421973,0.761413
83.600213,44.590591,3.329734,0.694322
85.035459,44.862489,3.245675,0.638344
83.613555,44.588706,3.515994,0.836475
83.619420,44.589858,3.319018,0.686922
83.603440,44.582210,3.213195,0.617944
85.074196,44.860527,3.479639,0.806611
83.635984,44.579587,3.287709,0.665748
83.641849,44.580738,3.326548,0.692114
83.750159,44.561365,3.465432,0.795233
83.979248,44.605803,3.482378,0.808824
83.640351,44.535371,3.353037,0.710692
83.647819,44.532329,3.201940,0.611028
84.133186,44.531710,3.150579,0.580437
84.148088,44.525547,3.404464,0.748197
84.202584,44.531441,3.181907,0.598909
84.151229,44.517135,3.288134,0.666032
84.211599,44.524146,3.184227,0.600300
84.321337,44.499930,3.303670,0.676459
84.665398,44.505927,3.303432,0.676298
85.599817,44.661837,3.616774,0.925169
86.393480,44.780968,3.769294,1.077605
86.429420,44.787033,3.455447,0.787332
84.654071,44.467779,3.219527,0.621869
86.388912,44.775691,3.352468,0.710288
86.409717,44.770194,3.750810,1.057870
86.415705,44.771204,3.644987,0.951643
86.418542,44.762672,3.479843,0.806776
86.413972,44.757396,3.515756,0.836276
86.419959,44.758406,3.644987,0.951643
86.437923,44.761434,3.557543,0.871962
86.409403,44.752119,3.585666,0.896832
86.415389,44.753130,3.562363,0.876175
86.445328,44.758176,3.616774,0.925169
86.454146,44.750651,3.683736,0.989242
86.476351,44.740871,3.256638,0.645381
86.476012,44.722794,3.881888,1.206032
85.832829,44.608136,3.935223,1.272101
85.838781,44.609174,4.118273,1.527634
85.844732,44.610212,3.896384,1.223641
85.856637,44.612286,3.764093,1.072016
86.435532,44.711476,3.510936,0.832255
86.441516,44.712484,3.487611,0.813067
86.032275,44.633717,3.476917,0.804419
86.444342,44.703950,3.911681,1.242504
86.522146,44.717025,3.596382,0.906494
86.489050,44.702461,4.079195,1.469090
85.359252,44.501916,3.209219,0.615492
86.466526,44.694170,3.950520,1.291711
86.514398,44.702212,3.613392,0.922046
85.366657,44.498737,3.078268,0.539947
85.782068,44.572243,3.295476,0.670940
86.479902,44.691915,4.094731,1.492091
85.599371,44.535620,3.335569,0.698386
85.605306,44.536668,3.256617,0.645368
85.611242,44.537717,3.295456,0.670926
85.623115,44.539812,3.186707,0.601791
85.777577,44.566953,3.449032,0.782297
85.814706,44.568937,3.360783,0.716218
85.820653,44.569975,3.376102,0.727275
86.494686,44.685389,4.048124,1.424145
86.542558,44.693418,3.557543,0.871962
86.548543,44.694420,3.303244,0.676172
85.400713,44.491314,2.904774,0.453945
86.543963,44.689148,3.487611,0.813067
86.549948,44.690150,3.121472,0.563786
85.402191,44.487074,2.983930,0.491338
85.408115,44.488132,3.073147,0.537189
85.704697,44.540663,3.155096,0.583065
86.234600,44.632372,3.624542,0.932384
86.461616,44.670821,3.722687,1.028534
86.509467,44.678861,3.577913,0.889906
86.521433,44.680868,3.441004,0.776042
86.539384,44.683877,3.637219,0.944279
85.700217,44.535372,3.054092,0.527050
85.795282,44.552031,3.299980,0.673968
85.807171,44.554108,3.340642,0.701938
86.182328,44.618943,3.554833,0.869602
86.188293,44.619963,3.554595,0.869395
85.695737,44.530080,3.184227,0.600300
86.509111,44.660784,3.637219,0.944279
85.587364,44.497463,3.108453,0.556493
86.486599,44.652499,3.768748,1.077017
86.492578,44.653504,3.811978,1.124597
86.516498,44.657518,3.686684,0.992162
85.899105,44.543098,3.503146,0.825797
86.513328,44.647978,3.777061,1.086008
86.525288,44.649984,3.608984,0.917990
86.081957,44.561193,3.683826,0.989331
85.793288,44.484122,3.434123,0.770720
86.597697,44.621559,3.539074,0.856005
86.300516,44.567016,3.588852,0.899694
86.593115,44.616290,3.635459,0.942619
85.808060,44.477695,3.110793,0.557797
86.290006,44.560727,3.472313,0.800724
