lon,lat,lnBCF_pred,PlantConc
83.269984,46.658163,1.536129,0.098827
83.022076,46.250551,1.699250,0.116337
83.028091,46.251768,1.730997,0.120090
125.105743,45.725529,2.404625,0.235538
124.003541,45.890273,2.464447,0.250058
123.927778,45.822070,2.450318,0.246550
123.944543,45.814671,2.345939,0.222113
123.936958,45.811462,2.472702,0.252131
124.083093,45.732044,2.572367,0.278554
124.080200,45.687410,2.229936,0.197785
123.653155,45.756093,2.352122,0.223490
123.657772,45.750798,2.393890,0.233023
123.583199,45.758887,2.613068,0.290125
123.581732,45.754622,2.682485,0.310980
82.260132,44.963028,1.424069,0.088351
82.256018,44.957648,1.241799,0.073629
82.251905,44.952268,1.445109,0.090229
124.178810,45.638660,2.418431,0.238812
82.259481,44.949347,1.454466,0.091078
82.265326,44.950576,1.428887,0.088777
124.246959,45.613208,2.325055,0.217522
124.253013,45.612147,2.401791,0.234871
124.233341,45.611079,2.627177,0.294248
124.245449,45.608959,2.283700,0.208710
124.251502,45.607899,2.254664,0.202737
124.237885,45.605770,2.255606,0.202928
124.243938,45.604710,2.352153,0.223497
124.249991,45.603650,2.391349,0.232431
124.262096,45.601529,2.255606,0.202928
124.236376,45.601521,2.193722,0.190751
124.242428,45.600462,2.411645,0.237197
124.248481,45.599402,2.398592,0.234121
124.254533,45.598342,2.252373,0.202273
124.266636,45.596220,2.229383,0.197676
124.228814,45.598332,1.971947,0.152810
124.234867,45.597273,2.432013,0.242078
124.240919,45.596213,2.432529,0.242203
124.213693,45.591951,2.572367,0.278554
125.327594,45.391078,2.296772,0.211456
125.332003,45.385745,2.134264,0.179740
124.349749,45.522946,2.425133,0.240418
124.330114,45.521890,2.323437,0.217170
124.336155,45.520827,2.354763,0.224081
124.342195,45.519763,2.344321,0.221754
124.348235,45.518700,2.393960,0.233039
124.328602,45.517644,2.333879,0.219450
124.334643,45.516581,2.354763,0.224081
124.340683,45.515517,2.432044,0.242085
124.346722,45.514454,2.442971,0.244745
124.327091,45.513397,2.541041,0.269963
124.333130,45.512334,2.404402,0.235485
124.339170,45.511271,2.662838,0.304930
124.351248,45.509144,2.536632,0.268776
124.319539,45.510213,2.442455,0.244619
124.325579,45.509151,2.312479,0.214804
124.331619,45.508088,2.683722,0.311366
124.337658,45.507025,2.551483,0.272797
124.311989,45.507028,2.500691,0.259287
124.318029,45.505966,2.421571,0.239563
124.324068,45.504904,2.571851,0.278410
124.330107,45.503842,2.652396,0.301763
124.316518,45.501720,2.479807,0.253928
124.322557,45.500657,2.692739,0.314186
124.328596,45.499595,2.432529,0.242203
124.334634,45.498532,2.541041,0.269963
124.315008,45.497473,2.682297,0.310922
124.339161,45.493223,2.359359,0.225113
124.584884,45.445148,1.973828,0.153097
124.336139,45.484731,2.277863,0.207495
124.333118,45.476238,2.541041,0.269963
124.339153,45.475175,2.541041,0.269963
124.345189,45.474112,2.440360,0.244107
124.351224,45.473049,2.341711,0.221175
124.337643,45.470929,2.409034,0.236578
124.343678,45.469866,2.203396,0.192605
124.336133,45.466683,2.404402,0.235485
124.342168,45.465620,2.404402,0.235485
124.348202,45.464557,2.432529,0.242203
124.360269,45.462431,2.323437,0.217170
124.345181,45.456065,2.393960,0.233039
124.351215,45.455002,2.323437,0.217170
124.375328,45.432703,2.207434,0.193384
80.488890,44.249300,1.788922,0.127252
80.490703,44.245205,1.496849,0.095021
80.496401,44.246508,1.678190,0.113913
85.096873,45.184815,1.781644,0.126329
80.689723,44.263462,1.607820,0.106173
80.701140,44.266049,1.445870,0.090298
80.718267,44.269927,1.518964,0.097146
80.723977,44.271220,1.518964,0.097146
80.697231,44.260654,1.607820,0.106173
80.693323,44.255259,1.616530,0.107101
80.699030,44.256552,1.716510,0.118363
80.712245,44.255035,1.560732,0.101289
80.742586,44.257390,1.529482,0.098173
80.706224,44.240143,1.334643,0.080793
80.645279,44.221812,1.517905,0.097043
80.650980,44.223107,1.528347,0.098061
80.811966,44.155823,1.104148,0.064161
80.819454,44.153002,0.995851,0.057575
80.809833,44.146326,0.749119,0.044987
80.815535,44.147611,0.854357,0.049979
80.821238,44.148896,0.871904,0.050864
80.826940,44.150180,1.140469,0.066534
80.832644,44.151464,1.317166,0.079393
80.823021,44.144790,1.038976,0.060113
80.830507,44.141967,1.153251,0.067390
80.853320,44.147101,1.079387,0.062592
80.701242,44.108269,0.868929,0.050713
80.706935,44.109559,0.942023,0.054558
80.714418,44.106745,0.885118,0.051540
80.845476,44.136321,0.798810,0.047278
80.847257,44.132214,1.237030,0.073279
80.714090,44.093149,0.607803,0.039058
80.719782,44.094437,0.952465,0.055131
80.725476,44.095725,0.655394,0.040962
123.458053,45.220588,2.921624,0.394994
80.730165,44.056223,0.665836,0.041392
80.460820,43.972390,1.019912,0.058978
80.468287,43.969593,1.040134,0.060182
123.526799,45.159459,2.729060,0.325807
84.617821,44.826067,1.062493,0.061543
122.279697,45.348082,2.433045,0.242328
122.272254,45.344736,2.577801,0.280072
122.193734,45.338924,2.370795,0.227702
80.484446,43.932738,0.397201,0.031641
122.271609,45.322298,2.456708,0.248130
122.270263,45.318001,2.348286,0.222634
122.268916,45.313703,2.327402,0.218033
80.497283,43.917652,0.157200,0.024889
80.709757,43.844360,0.257842,0.027525
80.739517,43.833076,0.110899,0.023763
80.727823,43.816921,0.354147,0.030307
80.619889,43.778942,1.575175,0.102763
124.399872,44.779047,2.695060,0.314916
124.405832,44.777993,2.767258,0.338493
124.411792,44.776940,2.775166,0.341180
121.934254,45.180583,2.741758,0.329971
124.392433,44.775854,2.717079,0.321927
124.398393,44.774801,2.705503,0.318222
124.404353,44.773748,2.599836,0.286312
80.676144,43.778201,0.905570,0.052605
84.097178,44.493273,1.896319,0.141679
84.103053,44.494399,1.888149,0.140526
124.379035,44.773714,2.611524,0.289678
124.390955,44.771609,2.582459,0.281379
124.396915,44.770556,2.539691,0.269599
84.098751,44.489069,2.314890,0.215322
124.395437,44.766311,2.644775,0.299472
124.370122,44.766274,2.558068,0.274599
124.368646,44.762028,2.572367,0.278554
84.115212,44.478704,1.582979,0.103568
84.121086,44.479828,1.666595,0.112600
124.361211,44.758833,2.456364,0.248045
124.367171,44.757782,2.580198,0.280744
124.373130,44.756730,2.247775,0.201345
80.639732,43.747426,0.420618,0.032390
80.645388,43.748710,0.957856,0.055429
124.353777,44.755637,2.645461,0.299677
124.365696,44.753536,2.328033,0.218171
124.371654,44.752485,2.281594,0.208271
124.370179,44.748239,2.247657,0.201321
124.376137,44.747187,2.391349,0.232431
80.701617,43.747949,0.979096,0.056619
80.707276,43.749230,0.964524,0.055800
80.712936,43.750511,0.797452,0.047214
80.716469,43.742305,1.058503,0.061298
80.722128,43.743586,0.943640,0.054647
84.077670,44.444476,2.427360,0.240954
80.718234,43.738202,1.125850,0.065568
80.723894,43.739483,0.948335,0.054904
84.080812,44.436067,2.664584,0.305463
80.733082,43.732555,0.750632,0.045055
84.129333,44.440856,1.789505,0.127326
84.135204,44.441979,2.041041,0.163741
84.141075,44.443101,2.090163,0.171985
84.146946,44.444223,2.241375,0.200061
84.130901,44.436650,1.559700,0.101185
84.136771,44.437773,1.839558,0.133861
84.142641,44.438895,1.641080,0.109763
84.148512,44.440017,1.933536,0.147051
84.138337,44.433567,1.392628,0.085616
124.124435,44.750740,2.788142,0.345637
122.095792,45.043132,2.773758,0.340700
124.230548,44.691670,2.628074,0.294512
124.229087,44.687421,2.900667,0.386802
124.404768,44.629489,2.900562,0.386761
124.410712,44.628438,2.775182,0.341186
