lon,lat,lnBCF_pred,PlantConc
83.269984,46.658163,2.729685,0.326011
83.022076,46.250551,2.957244,0.409317
83.028091,46.251768,3.035096,0.442456
125.105743,45.725529,3.674787,0.838851
124.003541,45.890273,3.620088,0.794198
123.927778,45.822070,3.572765,0.757490
123.944543,45.814671,3.468648,0.682589
123.936958,45.811462,3.725884,0.882827
124.083093,45.732044,3.879979,1.029908
124.080200,45.687410,3.450002,0.669980
123.653155,45.756093,3.504759,0.707689
123.657772,45.750798,3.546527,0.737873
123.583199,45.758887,3.828083,0.977823
123.581732,45.754622,3.952549,1.107427
82.260132,44.963028,2.681036,0.310530
82.256018,44.957648,2.434004,0.242560
82.251905,44.952268,2.709193,0.319398
124.178810,45.638660,3.569284,0.754858
82.259481,44.949347,2.657226,0.303224
82.265326,44.950576,2.627454,0.294329
124.246959,45.613208,3.447764,0.668482
124.253013,45.612147,3.563349,0.750391
124.233341,45.611079,3.937454,1.090836
124.245449,45.608959,3.502885,0.706364
124.251502,45.607899,3.615887,0.790869
124.237885,45.605770,3.405317,0.640701
124.243938,45.604710,3.501864,0.705643
124.249991,45.603650,3.552907,0.742596
124.262096,45.601529,3.405317,0.640701
124.236376,45.601521,3.373623,0.620713
124.242428,45.600462,3.664208,0.830023
124.248481,45.599402,3.650894,0.819045
124.254533,45.598342,3.471559,0.684579
124.266636,45.596220,3.379356,0.624281
124.228814,45.598332,3.151847,0.497250
124.234867,45.597273,3.671625,0.836202
124.240919,45.596213,3.685092,0.847540
124.213693,45.591951,3.879979,1.029908
125.327594,45.391078,3.474627,0.686683
125.332003,45.385745,3.381594,0.625680
124.349749,45.522946,3.747789,0.902379
124.330114,45.521890,3.473410,0.685847
124.336155,45.520827,3.504736,0.707673
124.342195,45.519763,3.494294,0.700321
124.348235,45.518700,3.555779,0.744732
124.328602,45.517644,3.483852,0.693047
124.334643,45.516581,3.504736,0.707673
124.340683,45.515517,3.554753,0.743968
124.346722,45.514454,3.695534,0.856436
124.327091,45.513397,3.848653,0.998145
124.333130,45.512334,3.566221,0.752549
124.339170,45.511271,3.943187,1.097107
124.351248,45.509144,3.862104,1.011662
124.319539,45.510213,3.682067,0.844979
124.325579,45.509151,3.449500,0.669644
124.331619,45.508088,3.964071,1.120260
124.337658,45.507025,3.859095,1.008622
124.311989,45.507028,3.786186,0.937701
124.318029,45.505966,3.661183,0.827516
124.324068,45.504904,3.866512,1.016131
124.330107,45.503842,3.932745,1.085711
124.316518,45.501720,3.765302,0.918321
124.322557,45.500657,4.033283,1.200542
124.328596,45.499595,3.685092,0.847540
124.334634,45.498532,3.848653,0.998145
124.315008,45.497473,4.022841,1.188072
124.339161,45.493223,3.611922,0.787740
124.584884,45.445148,3.210873,0.527484
124.336139,45.484731,3.417551,0.648587
124.333118,45.476238,3.848653,0.998145
124.339153,45.475175,3.848653,0.998145
124.345189,45.474112,3.692662,0.853980
124.351224,45.473049,3.491422,0.698313
124.337643,45.470929,3.661336,0.827643
124.343678,45.469866,3.353107,0.608108
124.336133,45.466683,3.566221,0.752549
124.342168,45.465620,3.566221,0.752549
124.348202,45.464557,3.685092,0.847540
124.360269,45.462431,3.473410,0.685847
124.345181,45.456065,3.555779,0.744732
124.351215,45.455002,3.473410,0.685847
124.375328,45.432703,3.454763,0.673177
80.488890,44.249300,2.884048,0.380427
80.490703,44.245205,2.544993,0.271032
80.496401,44.246508,2.736889,0.328368
85.096873,45.184815,2.932127,0.399164
80.689723,44.263462,2.709512,0.319500
80.701140,44.266049,2.529802,0.266946
80.718267,44.269927,2.602896,0.287189
80.723977,44.271220,2.602896,0.287189
80.697231,44.260654,2.709512,0.319500
80.693323,44.255259,2.693896,0.314550
80.699030,44.256552,2.822945,0.357877
80.712245,44.255035,2.644665,0.299439
80.742586,44.257390,2.613414,0.290226
80.706224,44.240143,2.469387,0.251296
80.645279,44.221812,2.648455,0.300576
80.650980,44.223107,2.658897,0.303731
80.811966,44.155823,2.219693,0.195770
80.819454,44.153002,2.128838,0.178767
80.809833,44.146326,1.864664,0.137264
80.815535,44.147611,1.991538,0.155833
80.821238,44.148896,2.009180,0.158606
80.826940,44.150180,2.278372,0.207601
80.832644,44.151464,2.433433,0.242421
80.823021,44.144790,2.176252,0.187447
80.830507,44.141967,2.305438,0.213296
80.853320,44.147101,2.212374,0.194342
80.701242,44.108269,1.969683,0.152464
80.706935,44.109559,2.042777,0.164026
80.714418,44.106745,1.981679,0.154304
80.845476,44.136321,1.936085,0.147427
80.847257,44.132214,2.320962,0.216634
80.714090,44.093149,1.708557,0.117425
80.719782,44.094437,2.053219,0.165747
80.725476,44.095725,1.751954,0.122633
123.458053,45.220588,4.204717,1.425050
80.730165,44.056223,1.762396,0.123921
80.460820,43.972390,2.046484,0.164635
