lon,lat,lnBCF_pred,PlantConc
85.305550,45.118772,3.671936,0.018231
122.935952,45.419420,3.461818,0.014776
84.734142,45.010015,4.368130,0.036574
85.360940,45.124196,3.385077,0.013685
85.314569,45.111372,3.579479,0.016621
84.683706,44.991638,4.605468,0.046371
84.798326,45.008357,3.596582,0.016908
84.804280,45.009456,3.800171,0.020726
85.355024,45.105097,3.385077,0.013685
84.801424,44.999910,3.782024,0.020353
84.813331,45.002107,3.684643,0.018464
84.804522,44.991462,3.766488,0.020039
84.795715,44.980817,3.801643,0.020756
84.801666,44.981916,3.761509,0.019940
84.769064,44.966873,4.551638,0.043941
84.775013,44.967973,4.690862,0.050505
84.804761,44.973468,3.649971,0.017835
84.810712,44.974567,3.630253,0.017487
85.365612,45.075427,3.411467,0.014051
85.377577,45.077568,3.585611,0.016724
85.325258,45.063686,3.288444,0.012424
84.950749,44.991290,3.666930,0.018140
85.302857,45.055155,3.141186,0.010723
85.308835,45.056229,3.117883,0.010476
85.314814,45.057302,3.303979,0.012619
85.320792,45.058375,3.297108,0.012532
85.326771,45.059448,3.431152,0.014330
85.344710,45.062665,3.351482,0.013233
85.350691,45.063736,3.332694,0.012986
85.932371,45.166283,3.596561,0.016908
84.732088,44.946500,4.199386,0.030895
84.940371,44.984879,4.008192,0.025518
85.328285,45.055210,3.462223,0.014782
85.933845,45.162030,3.624689,0.017390
85.323819,45.049900,3.431152,0.014330
85.353714,45.055259,3.413314,0.014077
85.295448,45.040296,3.128429,0.010587
85.307401,45.042443,3.185436,0.011208
85.355225,45.051021,3.229411,0.011712
85.361205,45.052092,3.193825,0.011303
85.022438,44.986355,3.418140,0.014145
84.708577,44.924104,4.165086,0.029853
84.714519,44.925206,4.611680,0.046660
84.930388,44.942468,3.736403,0.019445
85.033153,44.956746,2.943160,0.008797
85.117242,44.881872,3.562731,0.016345
83.600213,44.590591,3.622083,0.017345
85.035459,44.862489,3.308815,0.012680
83.613555,44.588706,3.854566,0.021884
83.619420,44.589858,3.635077,0.017572
83.603440,44.582210,3.700337,0.018757
85.074196,44.860527,3.345489,0.013154
83.635984,44.579587,3.603767,0.017030
83.641849,44.580738,3.642606,0.017704
83.750159,44.561365,3.953168,0.024152
83.979248,44.605803,3.694068,0.018639
83.640351,44.535371,3.645386,0.017754
83.647819,44.532329,3.490361,0.015204
84.133186,44.531710,2.891833,0.008356
84.148088,44.525547,3.720522,0.019139
84.202584,44.531441,3.474257,0.014961
84.151229,44.517135,3.073926,0.010025
84.211599,44.524146,3.306038,0.012645
84.321337,44.499930,3.089461,0.010182
84.665398,44.505927,3.089223,0.010180
85.599817,44.661837,3.933751,0.023688
86.393480,44.780968,4.147237,0.029325
86.429420,44.787033,4.234156,0.031988
84.654071,44.467779,2.981320,0.009139
86.388912,44.775691,3.873302,0.022298
86.409717,44.770194,4.152463,0.029479
86.415705,44.771204,4.217724,0.031467
86.418542,44.762672,3.989499,0.025046
86.413972,44.757396,3.854328,0.021879
86.419959,44.758406,4.217724,0.031467
86.437923,44.761434,3.872406,0.022278
86.409403,44.752119,3.924238,0.023463
86.415389,44.753130,3.900935,0.022923
86.445328,44.758176,3.933751,0.023688
86.454146,44.750651,4.024423,0.025936
86.476351,44.740871,3.572696,0.016509
86.476012,44.722794,4.667755,0.049351
85.832829,44.608136,4.503904,0.041893
85.838781,44.609174,4.698168,0.050875
85.844732,44.610212,4.465065,0.040297
85.856637,44.612286,4.332774,0.035303
86.435532,44.711476,3.825799,0.021264
86.441516,44.712484,3.997267,0.025241
86.032275,44.633717,3.815489,0.021046
86.444342,44.703950,4.480362,0.040918
86.522146,44.717025,3.911245,0.023161
86.489050,44.702461,4.659091,0.048925
85.359252,44.501916,2.907446,0.008488
86.466526,44.694170,4.519201,0.042538
86.514398,44.702212,4.388045,0.037310
85.366657,44.498737,2.746128,0.007223
85.782068,44.572243,3.611535,0.017163
86.479902,44.691915,4.674626,0.049691
85.599371,44.535620,3.400719,0.013900
85.605306,44.536668,2.917212,0.008571
85.611242,44.537717,2.956050,0.008911
85.623115,44.539812,2.847301,0.007993
85.777577,44.566953,3.763895,0.019987
85.814706,44.568937,3.847925,0.021739
85.820653,44.569975,3.668452,0.018168
86.494686,44.685389,4.628020,0.047429
86.542558,44.693418,3.872406,0.022278
86.548543,44.694420,3.619303,0.017297
85.400713,44.491314,2.667568,0.006678
86.543963,44.689148,3.997267,0.025241
86.549948,44.690150,3.643502,0.017720
85.402191,44.487074,2.673710,0.006719
85.408115,44.488132,2.675001,0.006728
85.704697,44.540663,3.443516,0.014508
86.234600,44.632372,3.941519,0.023872
86.461616,44.670821,4.100631,0.027990
86.509467,44.678861,4.089683,0.027685
86.521433,44.680868,3.950660,0.024092
86.539384,44.683877,4.209956,0.031223
85.700217,44.535372,3.537306,0.015935
85.795282,44.552031,3.573012,0.016514
85.807171,44.554108,3.611885,0.017169
86.182328,44.618943,3.893405,0.022751
86.188293,44.619963,3.893167,0.022746
85.695737,44.530080,3.306038,0.012645
86.509111,44.660784,4.209956,0.031223
85.587364,44.497463,2.798233,0.007610
86.486599,44.652499,4.543401,0.043580
86.492578,44.653504,4.597845,0.046019
86.516498,44.657518,4.003661,0.025403
85.899105,44.543098,4.012802,0.025636
86.513328,44.647978,4.155005,0.029554
86.525288,44.649984,4.120754,0.028559
86.081957,44.561193,4.256563,0.032713
85.793288,44.484122,3.921859,0.023408
86.597697,44.621559,4.050844,0.026630
86.300516,44.567016,3.903715,0.022987
86.593115,44.616290,3.950322,0.024083
85.808060,44.477695,3.384370,0.013675
86.290006,44.560727,3.981969,0.024858
86.606471,44.614016,3.973963,0.024660
86.612450,44.615013,4.092863,0.027773
86.684228,44.626960,3.627071,0.017431
85.803572,44.472408,3.608961,0.017119
86.697586,44.624674,3.763895,0.019987
