lon,lat,lnBCF_pred,PlantConc
85.305550,45.118772,5.809329,0.154552
122.935952,45.419420,5.567133,0.121309
84.734142,45.010015,6.643936,0.356075
85.360940,45.124196,5.495902,0.112968
85.314569,45.111372,5.847333,0.160539
84.683706,44.991638,6.734817,0.389951
84.798326,45.008357,5.729312,0.142667
84.804280,45.009456,5.929611,0.174306
85.355024,45.105097,5.495902,0.112968
84.801424,44.999910,5.955917,0.178953
84.813331,45.002107,5.890746,0.167662
84.804522,44.991462,5.940382,0.176194
84.795715,44.980817,5.922173,0.173015
84.801666,44.981916,6.018821,0.190571
84.769064,44.966873,6.668024,0.364756
84.775013,44.967973,6.889382,0.455132
84.804761,44.973468,5.823865,0.156815
84.810712,44.974567,5.865898,0.163547
85.365612,45.075427,5.639225,0.130377
85.377577,45.077568,5.812758,0.155083
85.325258,45.063686,5.517941,0.115486
84.950749,44.991290,5.812416,0.155030
85.302857,45.055155,5.370684,0.099672
85.308835,45.056229,5.347381,0.097377
85.314814,45.057302,5.533477,0.117294
85.320792,45.058375,5.431336,0.105905
85.326771,45.059448,5.563029,0.120812
85.344710,45.062665,5.485711,0.111823
85.350691,45.063736,5.467534,0.109809
85.932371,45.166283,5.705035,0.139246
84.732088,44.946500,6.316454,0.256636
84.940371,44.984879,6.166858,0.220978
85.328285,45.055210,5.594100,0.124624
85.933845,45.162030,5.851835,0.161263
85.323819,45.049900,5.563029,0.120812
85.353714,45.055259,5.545191,0.118676
85.295448,45.040296,5.263269,0.089521
85.307401,45.042443,5.320277,0.094773
85.355225,45.051021,5.364251,0.099033
85.361205,45.052092,5.328053,0.095513
85.022438,44.986355,5.552980,0.119604
84.708577,44.924104,6.237278,0.237100
84.714519,44.925206,6.727777,0.387215
84.930388,44.942468,5.869132,0.164077
85.033153,44.956746,5.089176,0.075217
85.117242,44.881872,5.724380,0.141966
83.600213,44.590591,5.679819,0.135778
85.035459,44.862489,5.454831,0.108422
83.613555,44.588706,5.938871,0.175928
83.619420,44.589858,5.721733,0.141590
83.603440,44.582210,5.746897,0.145198
85.074196,44.860527,5.612731,0.126968
83.635984,44.579587,5.690423,0.137226
83.641849,44.580738,5.729262,0.142660
83.750159,44.561365,6.009007,0.188710
83.979248,44.605803,5.746726,0.145174
83.640351,44.535371,5.703123,0.138980
83.647819,44.532329,5.548097,0.119021
84.133186,44.531710,5.096141,0.075743
84.148088,44.525547,5.807178,0.154220
84.202584,44.531441,5.531993,0.117120
84.151229,44.517135,5.222931,0.085982
84.211599,44.524146,5.418451,0.104549
84.321337,44.499930,5.238467,0.087328
84.665398,44.505927,5.238229,0.087307
85.599817,44.661837,6.010803,0.189049
86.393480,44.780968,6.224507,0.234091
86.429420,44.787033,6.204979,0.229564
84.654071,44.467779,5.101406,0.076143
86.388912,44.775691,5.833417,0.158320
86.409717,44.770194,6.258652,0.242222
86.415705,44.771204,6.283817,0.248395
86.418542,44.762672,6.033707,0.193429
86.413972,44.757396,5.938632,0.175886
86.419959,44.758406,6.283817,0.248395
86.437923,44.761434,5.927790,0.173989
86.409403,44.752119,6.008543,0.188622
86.415389,44.753130,5.985240,0.184278
86.445328,44.758176,6.010803,0.189049
86.454146,44.750651,6.130394,0.213065
86.476351,44.740871,5.659352,0.133028
86.476012,44.722794,6.653565,0.359520
85.832829,44.608136,6.601524,0.341288
85.838781,44.609174,6.779248,0.407668
85.844732,44.610212,6.562685,0.328287
85.856637,44.612286,6.430395,0.287608
86.435532,44.711476,5.881184,0.166066
86.441516,44.712484,6.041475,0.194938
86.032275,44.633717,5.899794,0.169186
86.444342,44.703950,6.577982,0.333348
86.522146,44.717025,5.966630,0.180880
86.489050,44.702461,6.740171,0.392044
85.359252,44.501916,5.122633,0.077776
86.466526,44.694170,6.616822,0.346550
86.514398,44.702212,6.390396,0.276331
85.366657,44.498737,5.007977,0.069351
85.782068,44.572243,5.698191,0.138296
86.479902,44.691915,6.755707,0.398183
85.599371,44.535620,5.536973,0.117705
85.605306,44.536668,5.116441,0.077296
85.611242,44.537717,5.155280,0.080357
85.623115,44.539812,5.046531,0.072077
85.777577,44.566953,5.819279,0.156098
85.814706,44.568937,5.894485,0.168290
85.820653,44.569975,5.726188,0.142222
86.494686,44.685389,6.709100,0.380050
86.542558,44.693418,5.927790,0.173989
86.548543,44.694420,5.705959,0.139374
85.400713,44.491314,4.920856,0.063565
86.543963,44.689148,6.041475,0.194938
86.549948,44.690150,5.634889,0.129813
85.402191,44.487074,4.923928,0.063760
85.408115,44.488132,4.923476,0.063732
85.704697,44.540663,5.501253,0.113574
86.234600,44.632372,6.018571,0.190523
86.461616,44.670821,6.177900,0.223431
86.509467,44.678861,6.155559,0.218495
86.521433,44.680868,5.994868,0.186061
86.539384,44.683877,6.276049,0.246473
85.700217,44.535372,5.583866,0.123355
85.795282,44.552031,5.670547,0.134525
85.807171,44.554108,5.668869,0.134300
86.182328,44.618943,5.977710,0.182895
86.188293,44.619963,5.977472,0.182852
85.695737,44.530080,5.418451,0.104549
86.509111,44.660784,6.276049,0.246473
85.587364,44.497463,5.048451,0.072216
86.486599,44.652499,6.545752,0.322775
86.492578,44.653504,6.583655,0.335244
86.516498,44.657518,6.080713,0.202739
85.899105,44.543098,6.057011,0.197990
86.513328,44.647978,6.232275,0.235917
86.525288,44.649984,6.186630,0.225390
86.081957,44.561193,6.322656,0.258232
85.793288,44.484122,5.977698,0.182893
86.597697,44.621559,6.116720,0.210172
86.300516,44.567016,5.959100,0.179523
86.593115,44.616290,6.005706,0.188088
85.808060,44.477695,5.496486,0.113034
86.290006,44.560727,6.026177,0.191978
86.606471,44.614016,6.018172,0.190447
86.612450,44.615013,6.170132,0.221703
86.684228,44.626960,5.713727,0.140461
85.803572,44.472408,5.650442,0.131848
86.697586,44.624674,5.819279,0.156098
86.739478,44.631618,5.495399,0.112911
85.947576,44.492958,6.578221,0.333427
86.126028,44.523723,5.850112,0.160986
86.615242,44.606471,6.111623,0.209103
86.621221,44.607468,6.377268,0.272727
86.746851,44.628334,5.752566,0.146024
86.009897,44.494730,6.361733,0.268523
86.140787,44.517247,5.877089,0.165388
86.319520,44.547723,6.013474,0.189555
86.737656,44.617804,5.959100,0.179523
86.625406,44.594654,6.049642,0.196536
86.649320,44.598637,5.888951,0.167361
86.728463,44.607274,6.052313,0.197062
86.139112,44.503449,5.796336,0.152557
86.104836,44.493064,6.150462,0.217384
86.023010,44.474476,6.406705,0.280875
86.368319,44.533471,5.920261,0.172684
86.374282,44.534480,6.002874,0.187556
86.380246,44.535488,5.987339,0.184665
86.393581,44.533238,6.103856,0.207485
86.383064,44.526957,5.819279,0.156098
86.591944,44.562049,5.915567,0.171876
86.759322,44.589863,6.383788,0.274511
86.146235,44.482152,5.726426,0.142256
86.432180,44.530743,5.951332,0.178134
86.284575,44.501257,4.928600,0.064059
86.344156,44.511367,5.245996,0.087988
86.397805,44.520441,5.628850,0.129031
86.781418,44.580004,5.932726,0.174850
86.430431,44.516938,5.621082,0.128033
86.794764,44.577703,5.838260,0.159089
86.503412,44.524710,5.896957,0.168707
86.630170,44.541405,5.760571,0.147198
86.404838,44.499111,5.737268,0.143807
86.418164,44.496857,5.145015,0.079537
86.395730,44.488567,5.884856,0.166677
86.809025,44.553035,5.990181,0.185191
86.780509,44.543827,6.291595,0.250335
86.786488,44.544814,6.461475,0.296688
86.795225,44.537249,6.422637,0.285385
86.730869,44.522107,6.225717,0.234375
86.713895,44.496779,6.322656,0.258232
86.821423,44.514550,5.749739,0.145612
86.826383,44.420811,5.672061,0.134729
86.876866,44.420108,5.640752,0.130576
124.135190,43.722490,5.671117,0.134602
124.146917,43.720449,5.685351,0.136531
123.398910,43.825442,5.338428,0.096509
123.404809,43.824458,5.330660,0.095762
123.410709,43.823473,5.292827,0.092207
123.416608,43.822488,5.316130,0.094380
123.397551,43.821170,5.322892,0.095021
123.409349,43.819202,5.322892,0.095021
123.415248,43.818217,5.298221,0.092705
123.421146,43.817232,5.237084,0.087207
123.427044,43.816247,5.213780,0.085199
123.413888,43.813946,5.292827,0.092207
123.419786,43.812962,5.283690,0.091368
123.425683,43.811977,5.244852,0.087887
123.431581,43.810991,5.285059,0.091493
123.388935,43.813611,5.472783,0.110386
123.400732,43.811644,5.338107,0.096478
123.418426,43.808691,5.269524,0.090083
123.424323,43.807706,5.277291,0.090785
123.430220,43.806721,5.363670,0.098976
123.393475,43.808356,5.402205,0.102864
123.417066,43.804420,5.268155,0.089959
123.422963,43.803435,5.431642,0.105937
123.428860,43.802450,5.439409,0.106763
123.440652,43.800479,5.400570,0.102696
123.446548,43.799493,5.277291,0.090785
123.415707,43.800149,5.399202,0.102556
123.421603,43.799164,5.457450,0.108707
123.427500,43.798179,5.400570,0.102696
123.433396,43.797194,5.377267,0.100331
123.414348,43.795878,5.237084,0.087207
123.420244,43.794893,5.292827,0.092207
123.426140,43.793909,5.385035,0.101113
123.432035,43.792924,5.260387,0.089263
123.437931,43.791938,5.298221,0.092705
123.443826,43.790953,5.283690,0.091368
123.401196,43.793575,5.290452,0.091988
123.424780,43.789638,5.252619,0.088573
123.430676,43.788653,5.290452,0.091988
123.436570,43.787668,5.313756,0.094157
123.460147,43.783724,5.417740,0.104475
123.489611,43.778789,5.291458,0.092080
123.399839,43.789303,5.322892,0.095021
123.423421,43.785367,5.346196,0.097261
123.435211,43.783397,5.316130,0.094380
123.441105,43.782412,5.338428,0.096509
123.446999,43.781427,5.416106,0.104304
123.452892,43.780441,5.353963,0.098020
123.458786,43.779455,5.353963,0.098020
123.488248,43.774519,5.393736,0.101997
123.505922,43.771555,5.329292,0.095631
123.410272,43.783065,5.332294,0.095918
123.427957,43.780112,5.353963,0.098020
123.445638,43.777156,5.408338,0.103497
123.451532,43.776171,5.369499,0.099554
123.463317,43.774198,5.441711,0.107009
123.469210,43.773212,5.377267,0.100331
123.475102,43.772225,5.400570,0.102696
123.480994,43.771238,5.417039,0.104401
123.492776,43.769262,5.330660,0.095762
123.498667,43.768274,5.298221,0.092705
123.403019,43.779777,5.309997,0.093803
123.408914,43.778794,5.325532,0.095272
123.414809,43.777810,5.317765,0.094535
123.450171,43.771901,5.361732,0.098784
123.456064,43.770915,5.369499,0.099554
123.461956,43.769928,5.552966,0.119602
123.467848,43.768942,5.433943,0.106181
123.473740,43.767955,5.392803,0.101902
123.479631,43.766968,5.449479,0.107844
123.485522,43.765981,5.353963,0.098020
123.407557,43.774523,5.433943,0.106181
123.413451,43.773539,5.347830,0.097420
123.419345,43.772555,5.325532,0.095272
123.425239,43.771570,5.377267,0.100331
123.431132,43.770586,5.378901,0.100495
