lon,lat,lnBCF_pred,PlantConc
83.269984,46.658163,3.400913,0.018112
83.022076,46.250551,3.660537,0.023481
83.028091,46.251768,3.656771,0.023392
125.105743,45.725529,3.840282,0.028104
124.003541,45.890273,3.703143,0.024503
123.927778,45.822070,3.788461,0.026685
123.944543,45.814671,3.677362,0.023879
123.936958,45.811462,3.867707,0.028886
124.083093,45.732044,3.761245,0.025968
124.080200,45.687410,3.822337,0.027604
123.653155,45.756093,3.701668,0.024466
123.657772,45.750798,3.743436,0.025510
123.583199,45.758887,3.904529,0.029969
123.581732,45.754622,3.787883,0.026669
82.260132,44.963028,3.291413,0.016233
82.256018,44.957648,3.190899,0.014681
82.251905,44.952268,3.371248,0.017582
124.178810,45.638660,3.816764,0.027451
82.259481,44.949347,3.400303,0.018100
82.265326,44.950576,3.318161,0.016673
124.246959,45.613208,3.656478,0.023385
124.253013,45.612147,3.770734,0.026216
124.233341,45.611079,3.772113,0.026252
124.245449,45.608959,3.862756,0.028743
124.251502,45.607899,3.959839,0.031673
124.237885,45.605770,3.660064,0.023469
124.243938,45.604710,3.752361,0.025739
124.249991,45.603650,3.760292,0.025944
124.262096,45.601529,3.660064,0.023469
124.236376,45.601521,3.601084,0.022125
124.242428,45.600462,3.786586,0.026635
124.248481,45.599402,3.784503,0.026579
124.254533,45.598342,3.831430,0.027856
124.266636,45.596220,3.618622,0.022517
124.228814,45.598332,3.383558,0.017800
124.234867,45.597273,3.722414,0.024979
124.240919,45.596213,3.807470,0.027197
124.213693,45.591951,3.761245,0.025968
125.327594,45.391078,3.768140,0.026148
125.332003,45.385745,3.784481,0.026579
124.349749,45.522946,3.998986,0.032938
124.330114,45.521890,3.712676,0.024737
124.336155,45.520827,3.744002,0.025524
124.342195,45.519763,3.733560,0.025259
124.348235,45.518700,3.751933,0.025728
124.328602,45.517644,3.723118,0.024997
124.334643,45.516581,3.744002,0.025524
124.340683,45.515517,3.759217,0.025916
124.346722,45.514454,3.817912,0.027482
124.327091,45.513397,3.729919,0.025168
124.333130,45.512334,3.762375,0.025998
124.339170,45.511271,3.789651,0.026717
124.351248,45.509144,3.775256,0.026335
124.319539,45.510213,3.732856,0.025242
124.325579,45.509151,3.617178,0.022484
124.331619,45.508088,3.810535,0.027280
124.337658,45.507025,3.740361,0.025432
124.311989,45.507028,3.782905,0.026537
124.318029,45.505966,3.711972,0.024720
124.324068,45.504904,3.676189,0.023851
124.330107,45.503842,3.779209,0.026439
124.316518,45.501720,3.762021,0.025989
124.322557,45.500657,3.788890,0.026696
124.328596,45.499595,3.807470,0.027197
124.334634,45.498532,3.729919,0.025168
124.315008,45.497473,3.778448,0.026419
124.339161,45.493223,3.734300,0.025278
124.584884,45.445148,3.606880,0.022254
124.336139,45.484731,3.649937,0.023233
124.333118,45.476238,3.729919,0.025168
124.339153,45.475175,3.729919,0.025168
124.345189,45.474112,3.826271,0.027713
124.351224,45.473049,3.741919,0.025471
124.337643,45.470929,3.794945,0.026858
