lon,lat,lnBCF_pred,PlantConc
85.305550,45.118772,2.119576,0.033108
122.935952,45.419420,1.913383,0.026939
84.734142,45.010015,2.828446,0.067266
85.360940,45.124196,1.843766,0.025128
85.314569,45.111372,2.027120,0.030184
84.683706,44.991638,3.047903,0.083773
84.798326,45.008357,2.037038,0.030485
84.804280,45.009456,2.253980,0.037871
85.355024,45.105097,1.843766,0.025128
84.801424,44.999910,2.235833,0.037190
84.813331,45.002107,2.110877,0.032821
84.804522,44.991462,2.220297,0.036617
84.795715,44.980817,2.276858,0.038747
84.801666,44.981916,2.239570,0.037329
84.769064,44.966873,3.008294,0.080519
84.775013,44.967973,3.115551,0.089636
84.804761,44.973468,2.103780,0.032589
84.810712,44.974567,2.105468,0.032644
85.365612,45.075427,1.873329,0.025882
85.377577,45.077568,2.047473,0.030805
85.325258,45.063686,1.747132,0.022813
84.950749,44.991290,2.131638,0.033510
85.302857,45.055155,1.599875,0.019689
85.308835,45.056229,1.576572,0.019236
85.314814,45.057302,1.762668,0.023170
85.320792,45.058375,1.753709,0.022964
85.326771,45.059448,1.890926,0.026341
85.344710,45.062665,1.808083,0.024247
85.350691,45.063736,1.789295,0.023796
85.932371,45.166283,2.058423,0.031144
84.732088,44.946500,2.628467,0.055074
84.940371,44.984879,2.458679,0.046474
85.328285,45.055210,1.921997,0.027172
85.933845,45.162030,2.086550,0.032033
85.323819,45.049900,1.890926,0.026341
85.353714,45.055259,1.873088,0.025875
85.295448,45.040296,1.585030,0.019399
85.307401,45.042443,1.642038,0.020537
85.355225,45.051021,1.686012,0.021461
85.361205,45.052092,1.650425,0.020710
85.022438,44.986355,1.874741,0.025918
84.708577,44.924104,2.608389,0.053979
84.714519,44.925206,3.036370,0.082812
84.930388,44.942468,2.176859,0.035060
85.033153,44.956746,1.399761,0.016118
85.117242,44.881872,1.988966,0.029054
83.600213,44.590591,2.059366,0.031174
85.035459,44.862489,1.765415,0.023234
83.613555,44.588706,2.280801,0.038900
83.619420,44.589858,2.058139,0.031135
83.603440,44.582210,2.137620,0.033711
85.074196,44.860527,1.793130,0.023887
83.635984,44.579587,2.026829,0.030176
83.641849,44.580738,2.065668,0.031371
83.750159,44.561365,2.393624,0.043546
83.979248,44.605803,2.131351,0.033500
83.640351,44.535371,2.082669,0.031909
83.647819,44.532329,1.927644,0.027326
84.133186,44.531710,1.314895,0.014807
84.148088,44.525547,2.143584,0.033913
84.202584,44.531441,1.911539,0.026890
84.151229,44.517135,1.496988,0.017764
84.211599,44.524146,1.743321,0.022726
84.321337,44.499930,1.512523,0.018042
84.665398,44.505927,1.512285,0.018038
85.599817,44.661837,2.377053,0.042831
86.393480,44.780968,2.590540,0.053024
86.429420,44.787033,2.675370,0.057718
84.654071,44.467779,1.418603,0.016425
86.388912,44.775691,2.311670,0.040120
86.409717,44.770194,2.581545,0.052549
86.415705,44.771204,2.661026,0.056896
86.418542,44.762672,2.429955,0.045158
86.413972,44.757396,2.280563,0.038891
86.419959,44.758406,2.661026,0.056896
86.437923,44.761434,2.312861,0.040168
86.409403,44.752119,2.350473,0.041707
86.415389,44.753130,2.327170,0.040747
86.445328,44.758176,2.377053,0.042831
86.454146,44.750651,2.453504,0.046234
86.476351,44.740871,1.995758,0.029252
86.476012,44.722794,3.104578,0.088658
85.832829,44.608136,2.947206,0.075748
85.838781,44.609174,3.137079,0.091586
85.844732,44.610212,2.908367,0.072862
85.856637,44.612286,2.776076,0.063834
86.435532,44.711476,2.266255,0.038339
86.441516,44.712484,2.437722,0.045510
86.032275,44.633717,2.241724,0.037410
86.444342,44.703950,2.923665,0.073985
86.522146,44.717025,2.351701,0.041759
86.489050,44.702461,3.098002,0.088077
85.359252,44.501916,1.330508,0.015040
86.466526,44.694170,2.962503,0.076916
86.514398,44.702212,2.829259,0.067320
85.366657,44.498737,1.170663,0.012818
85.782068,44.572243,2.034597,0.030411
86.479902,44.691915,3.113537,0.089456
85.599371,44.535620,1.823781,0.024630
85.605306,44.536668,1.340273,0.015188
85.611242,44.537717,1.379112,0.015789
85.623115,44.539812,1.270363,0.014162
85.777577,44.566953,2.204350,0.036037
85.814706,44.568937,2.285208,0.039072
85.820653,44.569975,2.105734,0.032653
86.494686,44.685389,3.066931,0.085382
86.542558,44.693418,2.312861,0.040168
86.548543,44.694420,2.042365,0.030648
85.400713,44.491314,1.092103,0.011850
86.543963,44.689148,2.437722,0.045510
86.549948,44.690150,2.064477,0.031333
85.402191,44.487074,1.098245,0.011923
85.408115,44.488132,1.098063,0.011921
85.704697,44.540663,1.880799,0.026076
86.234600,44.632372,2.384821,0.043165
86.461616,44.670821,2.543933,0.050609
86.509467,44.678861,2.532985,0.050058
86.521433,44.680868,2.391116,0.043437
86.539384,44.683877,2.653258,0.056456
85.700217,44.535372,1.974589,0.028640
85.795282,44.552031,1.996074,0.029262
85.807171,44.554108,2.049168,0.030857
86.182328,44.618943,2.319640,0.040441
86.188293,44.619963,2.319402,0.040431
85.695737,44.530080,1.743321,0.022726
86.509111,44.660784,2.653258,0.056456
85.587364,44.497463,1.222768,0.013504
86.486599,44.652499,2.984615,0.078635
