lon,lat,lnBCF_pred,PlantConc
85.305550,45.118772,4.225277,0.271913
122.935952,45.419420,3.963800,0.209349
84.734142,45.010015,5.054424,0.623051
85.360940,45.124196,3.911795,0.198740
85.314569,45.111372,4.263282,0.282446
84.683706,44.991638,5.125041,0.668640
84.798326,45.008357,4.124264,0.245788
84.804280,45.009456,4.325815,0.300672
85.355024,45.105097,3.911795,0.198740
84.801424,44.999910,4.352121,0.308686
84.813331,45.002107,4.285289,0.288730
84.804522,44.991462,4.336586,0.303928
84.795715,44.980817,4.339782,0.304901
84.801666,44.981916,4.430860,0.333974
84.769064,44.966873,5.058658,0.625694
84.775013,44.967973,5.278056,0.779194
84.804761,44.973468,4.220068,0.270500
84.810712,44.974567,4.283507,0.288216
85.365612,45.075427,4.055583,0.229473
85.377577,45.077568,4.229115,0.272959
85.325258,45.063686,3.933834,0.203169
84.950749,44.991290,4.223204,0.271350
85.302857,45.055155,3.786577,0.175350
85.308835,45.056229,3.763273,0.171310
85.314814,45.057302,3.949370,0.206350
85.320792,45.058375,3.845114,0.185920
85.326771,45.059448,3.977272,0.212189
85.344710,45.062665,3.899489,0.196310
85.350691,45.063736,3.881313,0.192774
85.932371,45.166283,4.121392,0.245083
84.732088,44.946500,4.705427,0.439497
84.940371,44.984879,4.577237,0.386619
85.328285,45.055210,4.008344,0.218885
85.933845,45.162030,4.268193,0.283836
85.323819,45.049900,3.977272,0.212189
85.353714,45.055259,3.959435,0.208437
85.295448,45.040296,3.677048,0.157158
85.307401,45.042443,3.734055,0.166378
85.355225,45.051021,3.778029,0.173857
85.361205,45.052092,3.741831,0.167676
85.022438,44.986355,3.966758,0.209970
84.708577,44.924104,4.626659,0.406207
84.714519,44.925206,5.116451,0.662921
84.930388,44.942468,4.264084,0.282672
85.033153,44.956746,3.502954,0.132047
85.117242,44.881872,4.118924,0.244479
83.600213,44.590591,4.074306,0.233810
85.035459,44.862489,3.868609,0.190340
83.613555,44.588706,4.333414,0.302965
83.619420,44.589858,4.115810,0.243719
83.603440,44.582210,4.141384,0.250032
85.074196,44.860527,4.028681,0.223382
83.635984,44.579587,4.084501,0.236206
83.641849,44.580738,4.123340,0.245561
83.750159,44.561365,4.403959,0.325110
83.979248,44.605803,4.141213,0.249989
83.640351,44.535371,4.097609,0.239323
83.647819,44.532329,3.942584,0.204955
84.133186,44.531710,3.490219,0.130376
84.148088,44.525547,4.201256,0.265459
84.202584,44.531441,3.926480,0.201680
84.151229,44.517135,3.617009,0.148000
84.211599,44.524146,3.812938,0.180033
84.321337,44.499930,3.632545,0.150317
84.665398,44.505927,3.632307,0.150282
85.599817,44.661837,4.400185,0.323885
86.393480,44.780968,4.613889,0.401053
