lon,lat,lnBCF_pred,PlantConc
83.269984,46.658163,-0.415884,0.022347
83.022076,46.250551,-0.152648,0.029076
83.028091,46.251768,-0.138339,0.029495
125.105743,45.725529,-0.082465,0.031190
124.003541,45.890273,-0.210018,0.027455
123.927778,45.822070,-0.032848,0.032777
123.944543,45.814671,-0.148874,0.029186
123.936958,45.811462,-0.047929,0.032286
124.083093,45.732044,-0.158086,0.028918
124.080200,45.687410,0.024574,0.034714
123.653155,45.756093,-0.142486,0.029373
123.657772,45.750798,-0.100718,0.030626
123.583199,45.758887,-0.018344,0.033255
123.581732,45.754622,-0.149503,0.029168
82.260132,44.963028,-0.400462,0.022694
82.256018,44.957648,-0.523820,0.020060
82.251905,44.952268,-0.340488,0.024097
124.178810,45.638660,-0.019747,0.033209
82.259481,44.949347,-0.403984,0.022614
82.265326,44.950576,-0.397257,0.022767
124.246959,45.613208,-0.169759,0.028583
124.253013,45.612147,-0.061642,0.031846
124.233341,45.611079,-0.170608,0.028559
124.245449,45.608959,0.080739,0.036719
124.251502,45.607899,0.131584,0.038635
124.237885,45.605770,-0.155772,0.028985
124.243938,45.604710,-0.063475,0.031788
124.249991,45.603650,-0.072084,0.031515
124.262096,45.601529,-0.155772,0.028985
124.236376,45.601521,-0.237598,0.026708
124.242428,45.600462,-0.118232,0.030094
124.248481,45.599402,-0.115387,0.030180
124.254533,45.598342,0.049413,0.035587
124.266636,45.596220,-0.202143,0.027672
124.228814,45.598332,-0.455123,0.021487
124.234867,45.597273,-0.252537,0.026312
124.240919,45.596213,-0.097348,0.030729
124.213693,45.591951,-0.158086,0.028918
125.327594,45.391078,-0.057971,0.031963
125.332003,45.385745,-0.007810,0.033608
124.349749,45.522946,0.117169,0.038082
124.330114,45.521890,-0.108089,0.030401
124.336155,45.520827,-0.076763,0.031368
124.342195,45.519763,-0.087205,0.031043
124.348235,45.518700,-0.085371,0.031099
124.328602,45.517644,-0.097647,0.030720
124.334643,45.516581,-0.076763,0.031368
124.340683,45.515517,-0.067020,0.031675
124.346722,45.514454,-0.086906,0.031052
124.327091,45.513397,-0.189412,0.028026
124.333130,45.512334,-0.074929,0.031426
124.339170,45.511271,-0.135153,0.029589
124.351248,45.509144,-0.166932,0.028664
124.319539,45.510213,-0.242095,0.026588
124.325579,45.509151,-0.273720,0.025761
124.331619,45.508088,-0.114269,0.030214
124.337658,45.507025,-0.178970,0.028321
124.311989,45.507028,-0.208837,0.027487
124.318029,45.505966,-0.262979,0.026039
124.324068,45.504904,-0.313275,0.024761
124.330107,45.503842,-0.145595,0.029282
124.316518,45.501720,-0.229721,0.026919
124.322557,45.500657,-0.217365,0.027254
124.328596,45.499595,-0.097348,0.030729
124.334634,45.498532,-0.189412,0.028026
124.315008,45.497473,-0.227807,0.026971
124.339161,45.493223,-0.170518,0.028561
124.584884,45.445148,-0.197993,0.027787
124.336139,45.484731,-0.183410,0.028195
124.333118,45.476238,-0.189412,0.028026
124.339153,45.475175,-0.189412,0.028026
124.345189,45.474112,-0.073619,0.031467
124.351224,45.473049,-0.073917,0.031458
124.337643,45.470929,-0.104945,0.030497
124.343678,45.469866,-0.207982,0.027511
124.336133,45.466683,-0.074929,0.031426
124.342168,45.465620,-0.074929,0.031426
124.348202,45.464557,-0.097348,0.030729
124.360269,45.462431,-0.108089,0.030401
124.345181,45.456065,-0.085371,0.031099
124.351215,45.455002,-0.108089,0.030401
124.375328,45.432703,0.065360,0.036159
80.488890,44.249300,-0.407373,0.022538
80.490703,44.245205,-0.577664,0.019009
