lon,lat,lnBCF_pred,PlantConc
83.269984,46.658163,2.327483,0.347250
83.022076,46.250551,2.592128,0.452456
83.028091,46.251768,2.588362,0.450755
125.105743,45.725529,2.797871,0.555814
124.003541,45.890273,2.661737,0.485073
123.927778,45.822070,2.747055,0.528275
123.944543,45.814671,2.635957,0.472728
123.936958,45.811462,2.826302,0.571843
124.083093,45.732044,2.718835,0.513576
124.080200,45.687410,2.747952,0.528749
123.653155,45.756093,2.660262,0.484358
123.657772,45.750798,2.702030,0.505017
123.583199,45.758887,2.863123,0.593292
123.581732,45.754622,2.746477,0.527970
82.260132,44.963028,2.216525,0.310781
82.256018,44.957648,2.109986,0.279373
82.251905,44.952268,2.296361,0.336609
124.178810,45.638660,2.775359,0.543441
82.259481,44.949347,2.325868,0.346690
82.265326,44.950576,2.237248,0.317288
124.246959,45.613208,2.615073,0.462958
124.253013,45.612147,2.728323,0.518472
124.233341,45.611079,2.730707,0.519709
124.245449,45.608959,2.787365,0.550005
124.251502,45.607899,2.884449,0.606079
124.237885,45.605770,2.617654,0.464154
124.243938,45.604710,2.709951,0.509033
124.249991,45.603650,2.717881,0.513086
124.262096,45.601529,2.617654,0.464154
124.236376,45.601521,2.558673,0.437570
124.242428,45.600462,2.744175,0.526756
124.248481,45.599402,2.742093,0.525660
124.254533,45.598342,2.756039,0.533043
124.266636,45.596220,2.576212,0.445312
124.228814,45.598332,2.341148,0.352028
124.234867,45.597273,2.680004,0.494015
124.240919,45.596213,2.765059,0.537873
124.213693,45.591951,2.718835,0.513576
125.327594,45.391078,2.725730,0.517129
125.332003,45.385745,2.709090,0.508595
124.349749,45.522946,2.924600,0.630910
124.330114,45.521890,2.670266,0.489228
124.336155,45.520827,2.701592,0.504796
124.342195,45.519763,2.691150,0.499552
124.348235,45.518700,2.709522,0.508815
124.328602,45.517644,2.680708,0.494363
124.334643,45.516581,2.701592,0.504796
124.340683,45.515517,2.717812,0.513051
124.346722,45.514454,2.775501,0.543519
124.327091,45.513397,2.687509,0.497737
124.333130,45.512334,2.719964,0.514156
124.339170,45.511271,2.748245,0.528905
124.351248,45.509144,2.732845,0.520822
124.319539,45.510213,2.690446,0.499201
124.325579,45.509151,2.574768,0.444669
124.331619,45.508088,2.769130,0.540066
124.337658,45.507025,2.697951,0.502961
124.311989,45.507028,2.740494,0.524821
124.318029,45.505966,2.669562,0.488883
124.324068,45.504904,2.633779,0.471699
124.330107,45.503842,2.737803,0.523410
124.316518,45.501720,2.719610,0.513974
124.322557,45.500657,2.746480,0.527971
124.328596,45.499595,2.765059,0.537873
124.334634,45.498532,2.687509,0.497737
124.315008,45.497473,2.736037,0.522487
124.339161,45.493223,2.691890,0.499922
124.584884,45.445148,2.531489,0.425835
124.336139,45.484731,2.607527,0.459477
124.333118,45.476238,2.687509,0.497737
124.339153,45.475175,2.687509,0.497737
124.345189,45.474112,2.783861,0.548081
124.351224,45.473049,2.699509,0.503746
124.337643,45.470929,2.752535,0.531178
124.343678,45.469866,2.565444,0.440542
124.336133,45.466683,2.719964,0.514156
124.342168,45.465620,2.719964,0.514156
124.348202,45.464557,2.765059,0.537873
124.360269,45.462431,2.670266,0.489228
124.345181,45.456065,2.709522,0.508815
124.351215,45.455002,2.670266,0.489228
124.375328,45.432703,2.782260,0.547205
80.488890,44.249300,2.463251,0.397746
80.490703,44.245205,2.214177,0.310052
80.496401,44.246508,2.398732,0.372894
85.096873,45.184815,2.284594,0.332672
80.689723,44.263462,2.360800,0.359014
80.701140,44.266049,2.236791,0.317143
80.718267,44.269927,2.309885,0.341193
80.723977,44.271220,2.309885,0.341193
80.697231,44.260654,2.360800,0.359014
80.693323,44.255259,2.328800,0.347708
80.699030,44.256552,2.375753,0.364423
80.712245,44.255035,2.351654,0.355746
80.742586,44.257390,2.320403,0.344800
80.706224,44.240143,1.941506,0.236056
80.645279,44.221812,2.061727,0.266211
80.650980,44.223107,2.072169,0.269005
80.811966,44.155823,1.659579,0.178064
80.819454,44.153002,1.543674,0.158576
80.809833,44.146326,1.304551,0.124850
80.815535,44.147611,1.465221,0.146611
80.821238,44.148896,1.320249,0.126825
80.826940,44.150180,1.517654,0.154503
80.832644,44.151464,1.638917,0.174422
80.823021,44.144790,1.487322,0.149887
80.830507,44.141967,1.752506,0.195404
80.853320,44.147101,1.627211,0.172392
80.701242,44.108269,1.526007,0.155799
80.706935,44.109559,1.599101,0.167614
80.714418,44.106745,1.479156,0.148668
80.845476,44.136321,1.247155,0.117886
80.847257,44.132214,2.027951,0.257370
80.714090,44.093149,1.264881,0.119994
80.719782,44.094437,1.609543,0.169373
80.725476,44.095725,1.249431,0.118155
123.458053,45.220588,2.894822,0.612399
80.730165,44.056223,1.259873,0.119395
80.460820,43.972390,1.558653,0.160970
80.468287,43.969593,1.579737,0.164400
123.526799,45.159459,2.721740,0.515070
84.617821,44.826067,1.860700,0.217731
122.279697,45.348082,2.630336,0.470078
122.272254,45.344736,2.631542,0.470645
122.193734,45.338924,2.683692,0.495840
80.484446,43.932738,0.647158,0.064697
122.271609,45.322298,2.809308,0.562207
122.270263,45.318001,2.715889,0.512065
122.268916,45.313703,2.695004,0.501482
80.497283,43.917652,0.788950,0.074553
80.709757,43.844360,1.063413,0.098099
80.739517,43.833076,0.483181,0.054913
80.727823,43.816921,1.079075,0.099647
80.619889,43.778942,2.234941,0.316557
124.399872,44.779047,2.852498,0.587021
124.405832,44.777993,2.852666,0.587119
124.411792,44.776940,2.871543,0.598308
121.934254,45.180583,2.841821,0.580786
124.392433,44.775854,2.959323,0.653202
124.398393,44.774801,2.862940,0.593183
124.404353,44.773748,2.982497,0.668515
80.676144,43.778201,1.673683,0.180593
84.097178,44.493273,2.709776,0.508944
84.103053,44.494399,2.674791,0.491447
124.379035,44.773714,2.768962,0.539976
124.390955,44.771609,3.026180,0.698365
124.396915,44.770556,3.050562,0.715602
84.098751,44.489069,2.923736,0.630365
124.395437,44.766311,2.956276,0.651214
124.370122,44.766274,2.940728,0.641168
124.368646,44.762028,2.718835,0.513576
84.115212,44.478704,2.412950,0.378234
84.121086,44.479828,2.480051,0.404485
124.361211,44.758833,2.830829,0.574438
124.367171,44.757782,2.737636,0.523323
124.373130,44.756730,2.598853,0.455509
80.639732,43.747426,1.125690,0.104402
80.645388,43.748710,1.725969,0.190287
124.353777,44.755637,2.791929,0.552521
124.365696,44.753536,2.660564,0.484504
124.371654,44.752485,2.628422,0.469179
124.370179,44.748239,2.605455,0.458526
124.376137,44.747187,2.717881,0.513086
80.701617,43.747949,1.573134,0.163318
80.707276,43.749230,1.512348,0.153686
80.712936,43.750511,1.345276,0.130040
80.716469,43.742305,1.606327,0.168829
80.722128,43.743586,1.491464,0.150510
84.077670,44.444476,3.093281,0.746835
80.718234,43.738202,1.736714,0.192342
80.723894,43.739483,1.559200,0.161058
84.080812,44.436067,3.313855,0.931147
80.733082,43.732555,1.409492,0.138664
84.129333,44.440856,2.592261,0.452516
84.135204,44.441979,2.871464,0.598260
84.141075,44.443101,2.857404,0.589908
84.146946,44.444223,2.885734,0.606859
84.130901,44.436650,2.378972,0.365598
84.136771,44.437773,2.642314,0.475743
84.142641,44.438895,2.460351,0.396594
84.148512,44.440017,2.736293,0.522620
84.138337,44.433567,2.211900,0.309346
124.124435,44.750740,2.873550,0.599510
122.095792,45.043132,2.680733,0.494376
124.230548,44.691670,2.803634,0.559026
124.229087,44.687421,2.995684,0.677390
124.404768,44.629489,3.199882,0.830846
124.410712,44.628438,3.074502,0.732940
122.291980,44.958607,3.081447,0.738049
124.046395,44.651653,2.961239,0.654454
123.998895,44.641851,2.854903,0.588435
122.132897,44.915760,2.961982,0.654941
122.016525,44.929190,2.975453,0.663823
122.022583,44.928260,2.871557,0.598316
122.101312,44.916136,2.917053,0.626166
122.125527,44.912395,3.056276,0.719703
122.131579,44.911459,3.014432,0.690209
122.137632,44.910523,2.850900,0.586084
121.868442,44.942816,2.937603,0.639167
122.019964,44.919653,2.941338,0.641559
121.877971,44.932356,2.951349,0.648014
122.023402,44.910115,2.888888,0.608776
121.749291,44.947362,2.637116,0.473276
121.882735,44.927127,3.057043,0.720255
81.736526,43.738043,2.130682,0.285215
81.698175,43.680263,1.704815,0.186304
124.089457,44.500045,3.043617,0.710650
124.088015,44.495792,2.827787,0.572693
124.074688,44.493601,2.729488,0.519076
123.999251,44.475136,3.200488,0.831349
123.991873,44.471907,3.045250,0.711811
124.175975,44.439950,3.388444,1.003257
124.181909,44.438915,3.304302,0.922294
81.828396,43.649797,1.767467,0.198349
86.515716,44.544789,2.349028,0.354813
123.846543,44.469879,3.191961,0.824291
124.102044,44.425804,3.217642,0.845734
123.839172,44.466638,2.812160,0.563813
123.940253,44.449284,3.093224,0.746792
123.843699,44.461359,3.103946,0.754842
123.932881,44.446050,3.075685,0.733808
123.938824,44.445027,3.166318,0.803422
123.913624,44.444859,3.082782,0.739034
124.059248,44.410715,3.231814,0.857805
86.102440,44.425104,1.100954,0.101852
86.097922,44.419825,1.923584,0.231863
86.093405,44.414546,2.571061,0.443024
86.099346,44.415567,2.585269,0.449363
82.168650,43.573743,1.911631,0.229108
121.320094,44.736564,2.836646,0.577789
82.170307,43.569594,1.907930,0.228262
82.244513,43.585226,2.350841,0.355457
82.250224,43.586427,2.625147,0.467645
82.240455,43.579874,2.543207,0.430854
82.246165,43.581075,2.409480,0.376923
123.432520,44.395855,2.878969,0.602767
123.425176,44.392580,2.950599,0.647527
123.431132,44.391584,2.655792,0.482198
123.423788,44.388310,2.887337,0.607833
85.739567,44.236072,2.002484,0.250898
120.735866,44.793757,2.762033,0.536247
121.572826,44.672113,2.698576,0.503276
85.593360,44.205837,3.015987,0.691283
85.652395,44.216253,2.950253,0.647304
121.414291,44.691162,2.649820,0.479327
85.594810,44.201592,3.036871,0.705872
85.647937,44.210966,3.089081,0.743704
121.429937,44.679843,2.569921,0.442519
85.621314,44.197269,2.915268,0.625049
121.428682,44.675526,2.611689,0.461393
82.304265,43.543794,1.934456,0.234397
82.309975,43.544991,2.038876,0.260197
82.315684,43.546188,2.164180,0.294931
121.974222,44.579890,2.905587,0.619027
122.015085,44.569122,3.086062,0.741462
122.057224,44.562643,2.702580,0.505295
82.296139,43.533095,2.098850,0.276279
82.353234,43.545053,2.334299,0.349625
82.358946,43.546247,2.317342,0.343747
122.049909,44.559267,2.779118,0.545488
122.055928,44.558340,2.725433,0.516976
82.366299,43.543286,2.153814,0.291890
122.054632,44.554037,2.765017,0.537850
82.362229,43.537938,2.174698,0.298050
82.367940,43.539131,2.049394,0.262948
86.163672,44.260012,2.769291,0.540154
86.169600,44.261026,2.946283,0.644739
86.187386,44.264068,2.977609,0.665256
122.053337,44.549734,2.815718,0.565823
122.059354,44.548808,2.794834,0.554128
86.159156,44.254738,2.833102,0.575745
86.165083,44.255752,2.885312,0.606603
86.171011,44.256766,2.843544,0.581788
86.176939,44.257780,2.977609,0.665256
86.182867,44.258794,2.996686,0.678069
122.058059,44.544505,2.756936,0.533521
86.154641,44.249463,3.092531,0.746275
86.160568,44.250478,3.144741,0.786273
86.166494,44.251492,2.996686,0.678069
86.172422,44.252506,2.833102,0.575745
86.178349,44.253520,2.988051,0.672239
86.184277,44.254533,3.022027,0.695471
