lon,lat,lnBCF_pred,PlantConc
83.269984,46.658163,-0.344993,0.051055
83.022076,46.250551,-0.042259,0.069106
83.028091,46.251768,-0.027950,0.070102
125.105743,45.725529,0.151059,0.083844
124.003541,45.890273,0.041391,0.075135
123.927778,45.822070,0.218488,0.089693
123.944543,45.814671,0.098212,0.079528
123.936958,45.811462,0.185594,0.086790
124.083093,45.732044,0.126205,0.081786
124.080200,45.687410,0.236509,0.091324
123.653155,45.756093,0.104601,0.080038
123.657772,45.750798,0.146369,0.083452
123.583199,45.758887,0.229654,0.090700
123.581732,45.754622,0.134788,0.082491
82.260132,44.963028,-0.228351,0.057372
82.256018,44.957648,-0.454557,0.045757
82.251905,44.952268,-0.231727,0.057178
124.178810,45.638660,0.217116,0.089570
82.259481,44.949347,-0.302383,0.053278
82.265326,44.950576,-0.297285,0.053550
124.246959,45.613208,0.077328,0.077885
124.253013,45.612147,0.189695,0.087147
124.233341,45.611079,0.113684,0.080768
124.245449,45.608959,0.311399,0.098425
124.251502,45.607899,0.340138,0.101295
124.237885,45.605770,0.091315,0.078982
124.243938,45.604710,0.187861,0.086987
124.249991,45.603650,0.179253,0.086242
124.262096,45.601529,0.091315,0.078982
124.236376,45.601521,0.013739,0.073086
124.242428,45.600462,0.129766,0.082078
124.248481,45.599402,0.132611,0.082312
124.254533,45.598342,0.280073,0.095390
124.266636,45.596220,0.049194,0.075724
124.228814,45.598332,-0.208036,0.058549
124.234867,45.597273,-0.000217,0.072073
124.240919,45.596213,0.150650,0.083810
124.213693,45.591951,0.126205,0.081786
125.327594,45.391078,0.178892,0.086210
125.332003,45.385745,0.208375,0.088790
124.349749,45.522946,0.330016,0.100275
124.330114,45.521890,0.143248,0.083192
124.336155,45.520827,0.174574,0.085839
124.342195,45.519763,0.164132,0.084947
124.348235,45.518700,0.165966,0.085103
124.328602,45.517644,0.153690,0.084065
124.334643,45.516581,0.174574,0.085839
124.340683,45.515517,0.184317,0.086679
124.346722,45.514454,0.161092,0.084690
124.327091,45.513397,0.094879,0.079264
124.333130,45.512334,0.176408,0.085997
