lon,lat,lnBCF_pred,PlantConc
83.269984,46.658163,2.523132,0.898774
83.022076,46.250551,2.812462,1.200342
83.028091,46.251768,2.808695,1.195829
125.105743,45.725529,3.057751,1.534026
124.003541,45.890273,2.916902,1.332486
123.927778,45.822070,3.008885,1.460866
123.944543,45.814671,2.893537,1.301713
123.936958,45.811462,3.086181,1.578264
124.083093,45.732044,3.044607,1.513995
124.080200,45.687410,3.023422,1.482258
123.653155,45.756093,2.917842,1.333740
123.657772,45.750798,2.959610,1.390627
123.583199,45.758887,3.130395,1.649611
123.581732,45.754622,3.072250,1.556430
82.260132,44.963028,2.504416,0.882109
82.256018,44.957648,2.312156,0.727822
82.251905,44.952268,2.523216,0.898850
124.178810,45.638660,3.029796,1.491736
82.259481,44.949347,2.552226,0.925307
82.265326,44.950576,2.470128,0.852376
124.246959,45.613208,2.872653,1.274810
124.253013,45.612147,2.990153,1.433756
124.233341,45.611079,3.056480,1.532077
124.245449,45.608959,3.074478,1.559902
124.251502,45.607899,3.165319,1.708240
124.237885,45.605770,2.875234,1.278105
124.243938,45.604710,2.971781,1.407655
124.249991,45.603650,2.979711,1.418863
124.262096,45.601529,2.875234,1.278105
124.236376,45.601521,2.820503,1.210033
124.242428,45.600462,3.011447,1.464614
124.248481,45.599402,3.009364,1.461567
124.254533,45.598342,3.043152,1.511794
124.266636,45.596220,2.838041,1.231442
124.228814,45.598332,2.598727,0.969352
124.234867,45.597273,2.944860,1.370265
124.240919,45.596213,3.032331,1.495522
124.213693,45.591951,3.044607,1.513995
125.327594,45.391078,2.980167,1.419510
125.332003,45.385745,2.988811,1.431833
124.349749,45.522946,3.209763,1.785873
124.330114,45.521890,2.932095,1.352886
124.336155,45.520827,2.963421,1.395937
124.342195,45.519763,2.952979,1.381437
124.348235,45.518700,2.971352,1.407051
124.328602,45.517644,2.942537,1.367087
124.334643,45.516581,2.963421,1.395937
124.340683,45.515517,2.979641,1.418764
124.346722,45.514454,3.042773,1.511221
124.327091,45.513397,3.013281,1.467303
124.333130,45.512334,2.981794,1.421821
124.339170,45.511271,3.074018,1.559184
124.351248,45.509144,3.051226,1.524049
124.319539,45.510213,2.955302,1.384649
124.325579,45.509151,2.834182,1.226699
124.331619,45.508088,3.094902,1.592089
124.337658,45.507025,3.023723,1.482705
124.311989,45.507028,3.005350,1.455712
124.318029,45.505966,2.934418,1.356031
124.324068,45.504904,2.957136,1.387191
124.330107,45.503842,3.063576,1.542988
124.316518,45.501720,2.984466,1.425626
124.322557,45.500657,3.069837,1.552679
124.328596,45.499595,3.032331,1.495522
124.334634,45.498532,3.013281,1.467303
124.315008,45.497473,3.059395,1.536550
