lon,lat,PlantConc
85.305550,45.118772,2.176229
122.935952,45.419420,1.691798
84.734142,45.010015,4.800199
85.360940,45.124196,1.574861
85.314569,45.111372,2.253151
84.683706,44.991638,5.236382
84.798326,45.008357,1.964230
84.804280,45.009456,2.402321
85.355024,45.105097,1.574861
84.801424,44.999910,2.481807
84.813331,45.002107,2.344563
84.804522,44.991462,2.443548
84.795715,44.980817,2.419878
84.801666,44.981916,2.638734
84.769064,44.966873,4.858539
84.775013,44.967973,6.130544
84.804761,44.973468,2.174794
84.810712,44.974567,2.276623
85.365612,45.075427,1.759915
85.377577,45.077568,2.095384
85.325258,45.063686,1.559428
84.950749,44.991290,2.153649
85.302857,45.055155,1.350114
85.308835,45.056229,1.319015
85.314814,45.057302,1.583844
85.320792,45.058375,1.427998
85.326771,45.059448,1.629981
85.344710,45.062665,1.507795
85.350691,45.063736,1.479242
85.932371,45.166283,1.941489
84.732088,44.946500,3.450994
84.940371,44.984879,3.024729
85.328285,45.055210,1.681421
85.933845,45.162030,2.179884
85.323819,45.049900,1.629981
85.353714,45.055259,1.601164
85.295448,45.040296,1.205947
85.307401,45.042443,1.280689
85.355225,45.051021,1.334086
85.361205,45.052092,1.287871
85.022438,44.986355,1.611193
84.708577,44.924104,3.157614
84.714519,44.925206,5.192830
84.930388,44.942468,2.258996
85.033153,44.956746,1.043522
85.117242,44.881872,1.971913
83.600213,44.590591,1.850666
85.035459,44.862489,1.503939
83.613555,44.588706,2.420697
83.619420,44.589858,1.947052
83.603440,44.582210,1.922210
85.074196,44.860527,1.782828
83.635984,44.579587,1.886184
83.641849,44.580738,1.960883
83.750159,44.561365,2.503726
83.979248,44.605803,1.989212
83.640351,44.535371,1.894299
83.647819,44.532329,1.627376
84.133186,44.531710,1.091692
84.148088,44.525547,2.120735
84.202584,44.531441,1.595632
84.151229,44.517135,1.235664
84.211599,44.524146,1.439116
84.321337,44.499930,1.255010
84.665398,44.505927,1.254174
85.599817,44.661837,2.563519
86.393480,44.780968,3.099874
86.429420,44.787033,2.949012
84.654071,44.467779,1.085052
86.388912,44.775691,2.155113
86.409717,44.770194,3.235814
86.415705,44.771204,3.195467
86.418542,44.762672,2.561070
86.413972,44.757396,2.419027
