lon,lat,PlantConc
83.269984,46.658163,1.535561
83.022076,46.250551,2.035874
83.028091,46.251768,2.032229
125.105743,45.725529,2.589906
124.003541,45.890273,2.240869
123.927778,45.822070,2.454767
123.944543,45.814671,2.189456
123.936958,45.811462,2.661855
124.083093,45.732044,2.512475
124.080200,45.687410,2.482550
123.653155,45.756093,2.241181
123.657772,45.750798,2.336774
123.583199,45.758887,2.779762
123.581732,45.754622,2.585568
82.260132,44.963028,1.460124
82.256018,44.957648,1.230745
82.251905,44.952268,1.511785
124.178810,45.638660,2.511465
82.259481,44.949347,1.565765
82.265326,44.950576,1.431709
124.246959,45.613208,2.144205
124.253013,45.612147,2.416594
124.233341,45.611079,2.539954
124.245449,45.608959,2.605215
124.251502,45.607899,2.866664
124.237885,45.605770,2.149745
124.243938,45.604710,2.365368
124.249991,45.603650,2.391491
124.262096,45.601529,2.149745
124.236376,45.601521,2.031363
124.242428,45.600462,2.465509
124.248481,45.599402,2.460363
124.254533,45.598342,2.524869
124.266636,45.596220,2.069281
124.228814,45.598332,1.628883
124.234867,45.597273,2.305463
124.240919,45.596213,2.517540
124.213693,45.591951,2.512475
125.327594,45.391078,2.389864
125.332003,45.385745,2.395832
124.349749,45.522946,2.993657
124.330114,45.521890,2.273351
124.336155,45.520827,2.345694
124.342195,45.519763,2.321327
124.348235,45.518700,2.371599
124.328602,45.517644,2.297214
124.334643,45.516581,2.345694
124.340683,45.515517,2.384037
124.346722,45.514454,2.543967
124.327091,45.513397,2.434989
124.333130,45.512334,2.396493
124.339170,45.511271,2.587452
124.351248,45.509144,2.536408
124.319539,45.510213,2.329663
124.325579,45.509151,2.060269
124.331619,45.508088,2.642056
124.337658,45.507025,2.460549
124.311989,45.507028,2.450098
124.318029,45.505966,2.281515
124.324068,45.504904,2.300734
124.330107,45.503842,2.560574
124.316518,45.501720,2.399460
124.322557,45.500657,2.576133
124.328596,45.499595,2.517540
124.334634,45.498532,2.434989
124.315008,45.497473,2.549372
124.339161,45.493223,2.339911
124.584884,45.445148,2.001385
124.336139,45.484731,2.130237
124.333118,45.476238,2.434989
124.339153,45.475175,2.434989
124.345189,45.474112,2.565304
