lon,lat,PlantConc
85.305550,45.118772,3.352517
122.935952,45.419420,2.332606
84.734142,45.010015,6.674380
85.360940,45.124196,2.314551
85.314569,45.111372,3.356109
84.683706,44.991638,7.022286
84.798326,45.008357,2.712846
84.804280,45.009456,3.320869
85.355024,45.105097,2.314551
84.801424,44.999910,3.478315
84.813331,45.002107,3.434972
84.804522,44.991462,3.424695
84.795715,44.980817,3.494113
84.801666,44.981916,3.741362
84.769064,44.966873,6.036841
84.775013,44.967973,8.665643
84.804761,44.973468,3.048029
84.810712,44.974567,3.246187
85.365612,45.075427,2.368677
85.377577,45.077568,2.841518
85.325258,45.063686,2.106607
84.950749,44.991290,3.087600
85.302857,45.055155,1.825310
85.308835,45.056229,1.783266
85.314814,45.057302,2.139590
85.320792,45.058375,1.886677
85.326771,45.059448,2.161826
85.344710,45.062665,1.992104
85.350691,45.063736,1.939694
85.932371,45.166283,2.863026
84.732088,44.946500,4.527984
84.940371,44.984879,4.616385
85.328285,45.055210,2.230051
85.933845,45.162030,2.957514
85.323819,45.049900,2.161826
85.353714,45.055259,2.123606
85.295448,45.040296,1.581329
85.307401,45.042443,1.680685
85.355225,45.051021,1.749355
85.361205,45.052092,1.701540
85.022438,44.986355,2.112720
84.708577,44.924104,4.076885
84.714519,44.925206,6.972627
84.930388,44.942468,3.119955
85.033153,44.956746,1.444077
85.117242,44.881872,2.850720
83.600213,44.590591,2.406750
85.035459,44.862489,2.086294
83.613555,44.588706,3.309011
83.619420,44.589858,2.650332
83.603440,44.582210,2.362454
85.074196,44.860527,2.675318
83.635984,44.579587,2.568743
83.641849,44.580738,2.670474
83.750159,44.561365,3.096877
83.979248,44.605803,2.599037
83.640351,44.535371,2.463495
83.647819,44.532329,2.118026
84.133186,44.531710,1.673949
84.148088,44.525547,2.886748
84.202584,44.531441,2.074197
84.151229,44.517135,1.887094
84.211599,44.524146,1.917882
84.321337,44.499930,1.916639
84.665398,44.505927,1.916475
85.599817,44.661837,3.327729
86.393480,44.780968,3.982265
86.429420,44.787033,3.500974
84.654071,44.467779,1.585835
86.388912,44.775691,2.751270
86.409717,44.770194,4.357595
86.415705,44.771204,3.878838
86.418542,44.762672,3.159173
86.413972,44.757396,3.308374
86.419959,44.758406,3.878838
86.437923,44.761434,3.095945
86.409403,44.752119,3.547939
86.415389,44.753130,3.466216
86.445328,44.758176,3.327729
86.454146,44.750651,3.965019
86.476351,44.740871,2.490157
86.476012,44.722794,5.432952
85.832829,44.608136,5.276361
85.838781,44.609174,6.313735
85.844732,44.610212,5.075361
85.856637,44.612286,4.442421
86.435532,44.711476,2.954963
86.441516,44.712484,3.183808
86.032275,44.633717,3.182343
86.444342,44.703950,5.148923
86.522146,44.717025,3.218554
86.489050,44.702461,6.066275
85.359252,44.501916,1.684888
86.466526,44.694170,5.352837
86.514398,44.702212,4.168449
85.366657,44.498737,1.519164
85.782068,44.572243,2.588775
86.479902,44.691915,6.161254
85.599371,44.535620,2.299556
85.605306,44.536668,1.724871
85.611242,44.537717,1.793181
85.623115,44.539812,1.608404
85.777577,44.566953,2.780018
85.814706,44.568937,2.738168
85.820653,44.569975,2.518765
86.494686,44.685389,5.880687
86.542558,44.693418,3.095945
86.548543,44.694420,2.608962
85.400713,44.491314,1.380698
86.543963,44.689148,3.183808
86.549948,44.690150,2.373167
85.402191,44.487074,1.391568
85.408115,44.488132,1.406799
85.704697,44.540663,2.019323
86.234600,44.632372,3.353679
86.461616,44.670821,3.800923
86.509467,44.678861,3.530405
86.521433,44.680868,3.038826
86.539384,44.683877,3.848825
85.700217,44.535372,2.013129
85.795282,44.552031,2.469835
85.807171,44.554108,2.324090
86.182328,44.618943,3.440058
86.188293,44.619963,3.439396
85.695737,44.530080,1.917882
86.509111,44.660784,3.848825
85.587364,44.497463,1.575889
86.486599,44.652499,4.869055
86.492578,44.653504,5.066105
86.516498,44.657518,3.568696
85.899105,44.543098,3.233657
86.513328,44.647978,4.013319
86.525288,44.649984,3.641820
86.081957,44.561193,4.032452
85.793288,44.484122,2.998697
86.597697,44.621559,3.395916
86.300516,44.567016,3.197208
86.593115,44.616290,3.349746
85.808060,44.477695,1.867162
86.290006,44.560727,3.138319
86.606471,44.614016,3.110472
86.612450,44.615013,3.771513
86.684228,44.626960,2.629307
85.803572,44.472408,2.164809
86.697586,44.624674,2.780018
86.739478,44.631618,2.072310
85.947576,44.492958,5.154825
86.126028,44.523723,2.864561
86.615242,44.606471,3.418264
86.621221,44.607468,4.262707
86.746851,44.628334,2.733435
86.009897,44.494730,4.196995
86.140787,44.517247,3.095783
86.319520,44.547723,3.375868
86.737656,44.617804,3.197208
86.625406,44.594654,3.459518
86.649320,44.598637,2.978007
86.728463,44.607274,3.509563
86.139112,44.503449,2.704169
