lon,lat,PlantConc
85.305550,45.118772,2.017212
122.935952,45.419420,1.438082
84.734142,45.010015,4.518560
85.360940,45.124196,1.492841
85.314569,45.111372,2.004748
84.683706,44.991638,3.518451
84.798326,45.008357,1.425724
84.804280,45.009456,1.810866
85.355024,45.105097,1.492841
84.801424,44.999910,1.953646
84.813331,45.002107,1.751349
84.804522,44.991462,1.923530
84.795715,44.980817,2.326751
84.801666,44.981916,2.504279
84.769064,44.966873,3.216125
84.775013,44.967973,4.573373
84.804761,44.973468,1.711971
84.810712,44.974567,2.133020
85.365612,45.075427,1.383585
85.377577,45.077568,1.668575
85.325258,45.063686,1.250974
84.950749,44.991290,2.019382
85.302857,45.055155,1.083931
85.308835,45.056229,1.058963
85.314814,45.057302,1.270561
85.320792,45.058375,1.064204
85.326771,45.059448,1.205903
85.344710,45.062665,1.123671
85.350691,45.063736,1.088433
85.932371,45.166283,1.827108
84.732088,44.946500,2.150852
84.940371,44.984879,2.850468
85.328285,45.055210,1.243960
85.933845,45.162030,1.735590
85.323819,45.049900,1.205903
85.353714,45.055259,1.184583
85.295448,45.040296,0.887341
85.307401,45.042443,0.943094
85.355225,45.051021,0.981627
85.361205,45.052092,0.959775
85.022438,44.986355,1.185524
84.708577,44.924104,2.054172
84.714519,44.925206,3.501267
84.930388,44.942468,1.639678
85.033153,44.956746,0.876278
85.117242,44.881872,1.410768
83.600213,44.590591,1.167579
85.035459,44.862489,1.268924
83.613555,44.588706,1.493958
83.619420,44.589858,1.210566
83.603440,44.582210,1.058127
85.074196,44.860527,1.626659
83.635984,44.579587,1.172879
83.641849,44.580738,1.219329
83.750159,44.561365,1.396002
83.979248,44.605803,1.315926
83.640351,44.535371,1.195107
83.647819,44.532329,1.027511
84.133186,44.531710,0.865372
84.148088,44.525547,1.318552
84.202584,44.531441,1.006801
84.151229,44.517135,1.039650
84.211599,44.524146,0.964745
84.321337,44.499930,1.055928
84.665398,44.505927,1.055384
85.599817,44.661837,1.625321
86.393480,44.780968,1.923159
86.429420,44.787033,1.483246
84.654071,44.467779,0.925277
86.388912,44.775691,1.254826
86.409717,44.770194,1.979469
86.415705,44.771204,1.728303
86.418542,44.762672,1.399733
86.413972,44.757396,1.493134
86.419959,44.758406,1.728303
86.437923,44.761434,1.485591
86.409403,44.752119,1.601254
86.415389,44.753130,1.564371
86.445328,44.758176,1.625321
86.454146,44.750651,1.821655
86.476351,44.740871,1.136997
86.476012,44.722794,2.433122
85.832829,44.608136,2.390490
85.838781,44.609174,2.973783
85.844732,44.610212,2.299426
85.856637,44.612286,2.013844
86.435532,44.711476,1.417941
86.441516,44.712484,1.410649
86.032275,44.633717,1.436254
86.444342,44.703950,2.334117
86.522146,44.717025,1.544425
86.489050,44.702461,2.858901
85.359252,44.501916,0.911310
86.466526,44.694170,2.426555
86.514398,44.702212,1.796090
85.366657,44.498737,0.758017
85.782068,44.572243,1.182025
86.479902,44.691915,2.903663
85.599371,44.535620,1.138780
85.605306,44.536668,0.931174
85.611242,44.537717,0.968051
85.623115,44.539812,0.868299
85.777577,44.566953,1.333259
85.814706,44.568937,1.226407
85.820653,44.569975,1.222591
86.494686,44.685389,2.771438
86.542558,44.693418,1.485591
86.548543,44.694420,1.191243
85.400713,44.491314,0.637929
86.543963,44.689148,1.410649
86.549948,44.690150,1.029307
85.402191,44.487074,0.681764
85.408115,44.488132,0.745279
85.704697,44.540663,0.980165
86.234600,44.632372,1.637995
86.461616,44.670821,1.835584
86.509467,44.678861,1.591340
86.521433,44.680868,1.346412
86.539384,44.683877,1.714930
85.700217,44.535372,0.902172
85.795282,44.552031,1.178839
85.807171,44.554108,1.157574
86.182328,44.618943,1.553124
86.188293,44.619963,1.552266
85.695737,44.530080,0.964745
86.509111,44.660784,1.714930
85.587364,44.497463,0.772385
86.486599,44.652499,2.097965
86.492578,44.653504,2.268832
86.516498,44.657518,1.743013
85.899105,44.543098,1.432735
86.513328,44.647978,1.938156
86.525288,44.649984,1.641560
86.081957,44.561193,1.796749
85.793288,44.484122,1.352506
86.597697,44.621559,1.530718
86.300516,44.567016,1.533338
86.593115,44.616290,1.606493
85.808060,44.477695,0.905177
86.290006,44.560727,1.389711
86.606471,44.614016,1.378156
86.612450,44.615013,1.821381
86.684228,44.626960,1.200532
85.803572,44.472408,1.012363
86.697586,44.624674,1.333259
86.739478,44.631618,0.898818
85.947576,44.492958,2.335428
86.126028,44.523723,1.374561
86.615242,44.606471,1.513677
86.621221,44.607468,1.898224
86.746851,44.628334,1.248077
86.009897,44.494730,1.868962
86.140787,44.517247,1.414031
86.319520,44.547723,1.619021
86.737656,44.617804,1.533338
86.625406,44.594654,1.689688
86.649320,44.598637,1.428998
86.728463,44.607274,1.683139
86.139112,44.503449,1.311865
86.104836,44.493064,1.573623
86.023010,44.474476,1.997833
86.368319,44.533471,1.474926
86.374282,44.534480,1.357701
86.380246,44.535488,1.336771
86.393581,44.533238,1.501965
86.383064,44.526957,1.333259
86.591944,44.562049,1.459547
86.759322,44.589863,1.922139
86.146235,44.482152,1.223284
86.432180,44.530743,1.521473
86.284575,44.501257,0.868959
86.344156,44.511367,1.063614
86.397805,44.520441,1.107532
86.781418,44.580004,1.265289
86.430431,44.516938,1.098962
86.794764,44.577703,1.353183
86.503412,44.524710,1.440952
86.630170,44.541405,1.258509
86.404838,44.499111,1.229520
86.418164,44.496857,0.961454
86.395730,44.488567,1.425058
86.809025,44.553035,1.574097
86.780509,44.543827,1.733298
86.786488,44.544814,2.066969
86.795225,44.537249,1.988229
86.730869,44.522107,1.699573
86.713895,44.496779,1.796749
86.821423,44.514550,1.246048
86.826383,44.420811,1.152921
86.876866,44.420108,1.117012
124.135190,43.722490,1.513500
124.146917,43.720449,1.821718
123.398910,43.825442,1.048092
123.404809,43.824458,1.039982
123.410709,43.823473,1.013140
123.416608,43.822488,1.037027
123.397551,43.821170,1.031935
123.409349,43.819202,1.031935
123.415248,43.818217,1.038636
123.421146,43.817232,0.988533
123.427044,43.816247,0.965763
123.413888,43.813946,1.013140
123.419786,43.812962,1.035696
123.425683,43.811977,0.996242
123.431581,43.810991,1.005300
123.388935,43.813611,1.198806
123.400732,43.811644,1.038350
123.418426,43.808691,0.989803
123.424323,43.807706,0.997522
123.430220,43.806721,1.121934
123.393475,43.808356,1.093132
123.417066,43.804420,1.019730
123.422963,43.803435,1.150487
123.428860,43.802450,1.159458
123.440652,43.800479,1.115289
123.446548,43.799493,0.997522
123.415707,43.800149,1.148997
123.421603,43.799164,1.249146
123.427500,43.798179,1.115289
123.433396,43.797194,1.089600
123.414348,43.795878,0.988533
123.420244,43.794893,1.013140
123.426140,43.793909,1.098096
123.432035,43.792924,1.011840
123.437931,43.791938,1.038636
123.443826,43.790953,1.035696
123.401196,43.793575,1.030599
123.424780,43.789638,1.004011
123.430676,43.788653,1.030599
123.436570,43.787668,1.054898
123.460147,43.783724,1.110247
123.489611,43.778789,1.043772
123.399839,43.789303,1.031935
123.423421,43.785367,1.056265
123.435211,43.783397,1.037027
123.441105,43.782412,1.048092
123.446999,43.781427,1.132751
