lon,lat,PlantConc
85.305550,45.118772,4.030903
122.935952,45.419420,3.432071
84.734142,45.010015,8.055973
85.360940,45.124196,3.070895
85.314569,45.111372,3.903711
84.683706,44.991638,7.173390
84.798326,45.008357,3.100271
84.804280,45.009456,3.849610
85.355024,45.105097,3.070895
84.801424,44.999910,4.109969
84.813331,45.002107,3.685562
84.804522,44.991462,4.046611
84.795715,44.980817,4.587633
84.801666,44.981916,4.729352
84.769064,44.966873,6.575480
84.775013,44.967973,8.700550
84.804761,44.973468,3.601545
84.810712,44.974567,4.156476
85.365612,45.075427,2.762554
85.377577,45.077568,3.352777
85.325258,45.063686,2.529218
84.950749,44.991290,3.946641
85.302857,45.055155,2.191490
85.308835,45.056229,2.141011
85.314814,45.057302,2.568818
85.320792,45.058375,2.132682
85.326771,45.059448,2.401536
85.344710,45.062665,2.251857
85.350691,45.063736,2.167534
85.932371,45.166283,3.734033
84.732088,44.946500,4.551189
84.940371,44.984879,5.474151
85.328285,45.055210,2.477326
85.933845,45.162030,3.489012
85.323819,45.049900,2.401536
85.353714,45.055259,2.359078
85.295448,45.040296,1.767075
85.307401,45.042443,1.878101
85.355225,45.051021,1.954837
85.361205,45.052092,1.923405
85.022438,44.986355,2.360884
84.708577,44.924104,4.535421
84.714519,44.925206,7.073861
84.930388,44.942468,3.565520
85.033153,44.956746,1.741364
85.117242,44.881872,2.999316
83.600213,44.590591,2.640034
85.035459,44.862489,2.520842
83.613555,44.588706,3.285061
83.619420,44.589858,2.678635
83.603440,44.582210,2.395914
85.074196,44.860527,3.182310
83.635984,44.579587,2.594585
83.641849,44.580738,2.697338
83.750159,44.561365,3.110989
83.979248,44.605803,3.054916
83.640351,44.535371,2.702278
83.647819,44.532329,2.323323
84.133186,44.531710,2.153327
84.148088,44.525547,2.917577
84.202584,44.531441,2.275450
84.151229,44.517135,2.455385
84.211599,44.524146,2.228485
84.321337,44.499930,2.493829
84.665398,44.505927,2.492042
85.599817,44.661837,3.540188
86.393480,44.780968,4.133867
86.429420,44.787033,3.166237
84.654071,44.467779,2.237408
86.388912,44.775691,2.791531
86.409717,44.770194,4.162643
86.415705,44.771204,3.722011
86.418542,44.762672,3.147692
86.413972,44.757396,3.282428
86.419959,44.758406,3.722011
86.437923,44.761434,3.336488
86.409403,44.752119,3.520114
86.415389,44.753130,3.439032
86.445328,44.758176,3.540188
86.454146,44.750651,3.883030
86.476351,44.740871,2.515208
86.476012,44.722794,4.865781
85.832829,44.608136,4.978505
85.838781,44.609174,6.001848
85.844732,44.610212,4.788852
85.856637,44.612286,4.192064
86.435532,44.711476,3.184553
86.441516,44.712484,3.172237
86.032275,44.633717,3.157386
86.444342,44.703950,4.858749
86.522146,44.717025,3.468624
86.489050,44.702461,5.767169
85.359252,44.501916,2.281226
86.466526,44.694170,5.051171
86.514398,44.702212,3.705716
85.366657,44.498737,2.024459
85.782068,44.572243,2.614817
86.479902,44.691915,5.857465
85.599371,44.535620,2.641801
85.605306,44.536668,2.380161
85.611242,44.537717,2.474422
85.623115,44.539812,2.219446
85.777577,44.566953,2.995733
85.814706,44.568937,2.776949
85.820653,44.569975,2.763154
86.494686,44.685389,5.590732
86.542558,44.693418,3.336488
86.548543,44.694420,2.635208
85.400713,44.491314,1.730048
86.543963,44.689148,3.172237
86.549948,44.690150,2.258746
85.402191,44.487074,1.837860
85.408115,44.488132,1.986960
85.704697,44.540663,2.215252
86.234600,44.632372,3.567794
86.461616,44.670821,3.945621
86.509467,44.678861,3.472117
86.521433,44.680868,3.027782
86.539384,44.683877,3.693211
85.700217,44.535372,2.041818
85.795282,44.552031,2.624671
85.807171,44.554108,2.658884
86.182328,44.618943,3.415159
86.188293,44.619963,3.412422
85.695737,44.530080,2.228485
86.509111,44.660784,3.693211
85.587364,44.497463,2.082576
86.486599,44.652499,4.328548
86.492578,44.653504,4.537231
86.516498,44.657518,3.796539
85.899105,44.543098,3.221905
86.513328,44.647978,4.166103
86.525288,44.649984,3.581693
86.081957,44.561193,3.869414
85.793288,44.484122,3.012638
86.597697,44.621559,3.339849
86.300516,44.567016,3.445294
86.593115,44.616290,3.609669
85.808060,44.477695,2.108045
86.290006,44.560727,3.126627
86.606471,44.614016,3.099169
86.612450,44.615013,3.915091
86.684228,44.626960,2.655757
85.803572,44.472408,2.351826
86.697586,44.624674,2.995733
86.739478,44.631618,1.972395
85.947576,44.492958,4.863831
86.126028,44.523723,3.087127
86.615242,44.606471,3.405531
86.621221,44.607468,4.089933
86.746851,44.628334,2.760933
86.009897,44.494730,4.026883
86.140787,44.517247,3.128843
86.319520,44.547723,3.637817
86.737656,44.617804,3.445294
86.625406,44.594654,3.680390
86.649320,44.598637,3.209387
86.728463,44.607274,3.781886
86.139112,44.503449,2.966280
86.104836,44.493064,3.540400
86.023010,44.474476,4.263648
86.368319,44.533471,3.314047
86.374282,44.534480,3.054609
86.380246,44.535488,3.007521
86.393581,44.533238,3.379180
86.383064,44.526957,2.995733
86.591944,44.562049,3.209393
86.759322,44.589863,4.001167
86.146235,44.482152,2.765990
86.432180,44.530743,3.418635
86.284575,44.501257,2.078391
86.344156,44.511367,2.511475
86.397805,44.520441,2.450649
86.781418,44.580004,2.845355
86.430431,44.516938,2.431688
86.794764,44.577703,3.008275
86.503412,44.524710,3.237712
86.630170,44.541405,2.784718
86.404838,44.499111,2.720575
86.418164,44.496857,2.270247
86.395730,44.488567,3.153242
86.809025,44.553035,3.551868
86.780509,44.543827,3.749466
86.786488,44.544814,4.321911
86.795225,44.537249,4.157270
86.730869,44.522107,3.726178
86.713895,44.496779,3.869414
86.821423,44.514550,2.829662
86.826383,44.420811,2.618179
86.876866,44.420108,2.535453
124.135190,43.722490,3.515298
124.146917,43.720449,4.005294
123.398910,43.825442,2.539904
123.404809,43.824458,2.520251
123.410709,43.823473,2.580515
123.416608,43.822488,2.641355
123.397551,43.821170,2.500751
123.409349,43.819202,2.500751
123.415248,43.818217,2.610978
123.421146,43.817232,2.612315
123.427044,43.816247,2.552143
123.413888,43.813946,2.580515
123.419786,43.812962,2.736948
123.425683,43.811977,2.632686
123.431581,43.810991,2.560547
123.388935,43.813611,2.905138
123.400732,43.811644,2.526493
123.418426,43.808691,2.521075
123.424323,43.807706,2.540735
123.430220,43.806721,2.964841
123.393475,43.808356,2.674326
123.417066,43.804420,2.694757
123.422963,43.803435,2.788043
123.428860,43.802450,2.809784
123.440652,43.800479,2.702747
123.446548,43.799493,2.540735
123.415707,43.800149,2.888410
123.421603,43.799164,2.873870
123.427500,43.798179,2.702747
123.433396,43.797194,2.640492
123.414348,43.795878,2.612315
123.420244,43.794893,2.580515
123.426140,43.793909,2.661083
123.432035,43.792924,2.673906
123.437931,43.791938,2.610978
123.443826,43.790953,2.736948
123.401196,43.793575,2.590775
123.424780,43.789638,2.653216
123.430676,43.788653,2.590775
123.436570,43.787668,2.651858
123.460147,43.783724,2.716198
123.489611,43.778789,2.758291
123.399839,43.789303,2.500751
123.423421,43.785367,2.559711
123.435211,43.783397,2.641355
123.441105,43.782412,2.539904
123.446999,43.781427,2.745064
123.452892,43.780441,2.579671
123.458786,43.779455,2.579671
123.488248,43.774519,2.872666
123.505922,43.771555,2.693378
123.410272,43.783065,2.493749
123.427957,43.780112,2.579671
123.445638,43.777156,2.723823
123.451532,43.776171,2.620061
123.463317,43.774198,2.816260
123.469210,43.773212,2.640492
123.475102,43.772225,2.702747
123.480994,43.771238,2.940395
123.492776,43.769262,2.520251
123.498667,43.768274,2.610978
123.403019,43.779777,2.593383
123.408914,43.778794,2.633987
123.414809,43.777810,2.613606
123.450171,43.771901,2.599788
123.456064,43.770915,2.620061
123.461956,43.769928,3.161907
123.467848,43.768942,2.794469
123.473740,43.767955,2.681834
123.479631,43.766968,2.838221
123.485522,43.765981,2.579671
123.407557,43.774523,2.794469
123.413451,43.773539,2.532793
123.419345,43.772555,2.633987
123.425239,43.771570,2.640492
123.431132,43.770586,2.612726
123.437026,43.769601,2.830275
123.442918,43.768616,2.751390
123.448811,43.767630,2.751390
123.454703,43.766645,2.661953
123.460595,43.765659,3.000591
123.466487,43.764672,2.572449
123.472378,43.763686,2.808376
123.484160,43.761712,2.533647
123.412094,43.769268,2.722458
123.417987,43.768284,2.620061
123.423881,43.767300,2.579671
123.429774,43.766315,2.852346
123.435667,43.765331,2.701392
123.441559,43.764346,2.765083
123.447451,43.763360,3.287128
123.482798,43.757442,2.592510
123.416630,43.764013,2.513196
123.422523,43.763029,2.613606
123.428415,43.762045,3.515298
123.434308,43.761060,2.942363
123.451983,43.758105,2.633100
123.364059,43.754786,2.933634
123.381740,43.751842,2.933634
123.374492,43.748551,2.910934
123.492294,43.728866,2.830275
123.485046,43.725583,2.612726
123.490933,43.724597,2.808376
123.489572,43.720327,2.493749
123.495458,43.719340,2.520251
123.488212,43.716058,2.693378
123.494098,43.715071,3.128915
