lon,lat,PlantConc
83.269984,46.658163,1.379183
83.022076,46.250551,1.756895
83.028091,46.251768,1.881402
125.105743,45.725529,3.508864
124.003541,45.890273,3.373399
123.927778,45.822070,3.221350
123.944543,45.814671,2.895372
123.936958,45.811462,3.683782
124.083093,45.732044,4.237711
124.080200,45.687410,2.809445
123.653155,45.756093,3.016099
123.657772,45.750798,3.144743
123.583199,45.758887,4.062409
123.581732,45.754622,4.508472
82.260132,44.963028,1.328629
82.256018,44.957648,1.032294
82.251905,44.952268,1.348117
124.178810,45.638660,3.194101
82.259481,44.949347,1.310015
82.265326,44.950576,1.245069
124.246959,45.613208,2.835532
124.253013,45.612147,3.193489
124.233341,45.611079,4.482373
124.245449,45.608959,2.990248
124.251502,45.607899,3.283876
124.237885,45.605770,2.743547
124.243938,45.604710,3.021636
124.249991,45.603650,3.160316
124.262096,45.601529,2.743547
124.236376,45.601521,2.663349
124.242428,45.600462,3.486288
124.248481,45.599402,3.449028
124.254533,45.598342,2.898027
124.266636,45.596220,2.666229
124.228814,45.598332,2.133597
124.234867,45.597273,3.523472
124.240919,45.596213,3.559861
124.213693,45.591951,4.237711
125.327594,45.391078,2.933398
125.332003,45.385745,2.642480
124.349749,45.522946,3.721079
124.330114,45.521890,2.929169
124.336155,45.520827,3.022382
124.342195,45.519763,2.990985
124.348235,45.518700,3.161171
124.328602,45.517644,2.959916
124.334643,45.516581,3.022382
124.340683,45.515517,3.155724
124.346722,45.514454,3.597229
124.327091,45.513397,4.107018
124.333130,45.512334,3.194353
124.339170,45.511271,4.485768
124.351248,45.509144,4.134671
124.319539,45.510213,3.560456
124.325579,45.509151,2.868599
124.331619,45.508088,4.580434
124.337658,45.507025,4.150128
124.311989,45.507028,3.944557
124.318029,45.505966,3.486871
124.324068,45.504904,4.195318
124.330107,45.503842,4.439171
124.316518,45.501720,3.863033
124.322557,45.500657,4.949699
124.328596,45.499595,3.559861
124.334634,45.498532,4.107018
124.315008,45.497473,4.898283
124.339161,45.493223,3.308689
124.584884,45.445148,2.218375
124.336139,45.484731,2.758198
124.333118,45.476238,4.107018
124.339153,45.475175,4.107018
124.345189,45.474112,3.596138
124.351224,45.473049,2.990248
124.337643,45.470929,3.485232
124.343678,45.469866,2.603981
124.336133,45.466683,3.194353
124.342168,45.465620,3.194353
124.348202,45.464557,3.559861
124.360269,45.462431,2.929169
124.345181,45.456065,3.161171
124.351215,45.455002,2.929169
124.375328,45.432703,2.843078
80.488890,44.249300,1.620836
80.490703,44.245205,1.149095
80.496401,44.246508,1.412224
85.096873,45.184815,1.697335
80.689723,44.263462,1.376284
80.701140,44.266049,1.149970
80.718267,44.269927,1.237175
80.723977,44.271220,1.237175
80.697231,44.260654,1.376284
80.693323,44.255259,1.340967
80.699030,44.256552,1.514893
80.712245,44.255035,1.289943
80.742586,44.257390,1.250255
80.706224,44.240143,1.052340
80.645279,44.221812,1.234989
80.650980,44.223107,1.247953
80.811966,44.155823,0.814265
80.819454,44.153002,0.733973
80.809833,44.146326,0.570925
80.815535,44.147611,0.652136
80.821238,44.148896,0.654467
80.826940,44.150180,0.830157
80.832644,44.151464,0.963813
80.823021,44.144790,0.773475
80.830507,44.141967,0.881668
80.853320,44.147101,0.797920
80.701242,44.108269,0.643499
80.706935,44.109559,0.692296
80.714418,44.106745,0.638753
80.845476,44.136321,0.608336
80.847257,44.132214,0.933229
80.714090,44.093149,0.495612
80.719782,44.094437,0.699563
80.725476,44.095725,0.507651
123.458053,45.220588,5.917428
80.730165,44.056223,0.512980
80.460820,43.972390,0.698387
80.468287,43.969593,0.733233
123.526799,45.159459,4.964397
84.617821,44.826067,0.861503
122.279697,45.348082,3.269115
122.272254,45.344736,4.412268
122.193734,45.338924,3.159776
80.484446,43.932738,0.365868
122.271609,45.322298,3.475849
122.270263,45.318001,3.144715
122.268916,45.313703,3.079723
80.497283,43.917652,0.320015
80.709757,43.844360,0.372824
80.739517,43.833076,0.280915
80.727823,43.816921,0.371446
80.619889,43.778942,1.294201
124.399872,44.779047,4.801610
