lon,lat,lnBCF_pred,PlantConc
85.305550,45.118772,1.007839,0.055177
122.935952,45.419420,0.899787,0.049526
84.734142,45.010015,0.954457,0.052309
85.360940,45.124196,0.862062,0.047692
85.314569,45.111372,1.007154,0.055139
84.683706,44.991638,1.293832,0.073445
84.798326,45.008357,0.965891,0.052910
84.804280,45.009456,0.962278,0.052720
85.355024,45.105097,0.862062,0.047692
84.801424,44.999910,0.938998,0.051506
84.813331,45.002107,1.088247,0.059797
84.804522,44.991462,0.938998,0.051506
84.795715,44.980817,0.842999,0.046792
84.801666,44.981916,0.877305,0.048425
84.769064,44.966873,1.149771,0.063591
84.775013,44.967973,1.204467,0.067167
84.804761,44.973468,0.938998,0.051506
84.810712,44.974567,0.857904,0.047494
85.365612,45.075427,0.917026,0.050387
85.377577,45.077568,0.899860,0.049529
85.325258,45.063686,0.899720,0.049523
84.950749,44.991290,0.868760,0.048013
85.302857,45.055155,0.915731,0.050322
85.308835,45.056229,0.915731,0.050322
85.314814,45.057302,0.899720,0.049523
85.320792,45.058375,0.939853,0.051550
85.326771,45.059448,0.939993,0.051558
85.344710,45.062665,0.939853,0.051550
85.350691,45.063736,0.957019,0.052443
85.932371,45.166283,0.864950,0.047830
84.732088,44.946500,1.238320,0.069479
84.940371,44.984879,1.039951,0.056978
85.328285,45.055210,0.939993,0.051558
85.933845,45.162030,0.897112,0.049394
85.323819,45.049900,0.939993,0.051558
85.353714,45.055259,0.939993,0.051558
85.295448,45.040296,0.957019,0.052443
85.307401,45.042443,0.973031,0.053289
85.355225,45.051021,0.957019,0.052443
85.361205,45.052092,0.939853,0.051550
85.022438,44.986355,0.957019,0.052443
84.708577,44.924104,1.091107,0.059968
84.714519,44.925206,1.275119,0.072084
84.930388,44.942468,0.965891,0.052910
85.033153,44.956746,0.909631,0.050016
85.117242,44.881872,1.114275,0.061374
83.600213,44.590591,1.056493,0.057928
85.035459,44.862489,0.904258,0.049748
83.613555,44.588706,1.202270,0.067019
83.619420,44.589858,1.202130,0.067010
83.603440,44.582210,1.109255,0.061066
85.074196,44.860527,0.987450,0.054063
83.635984,44.579587,1.204877,0.067194
83.641849,44.580738,1.204877,0.067194
83.750159,44.561365,1.115666,0.061459
83.979248,44.605803,1.036403,0.056776
83.640351,44.535371,1.056493,0.057928
83.647819,44.532329,1.072505,0.058863
84.133186,44.531710,1.088357,0.059804
84.148088,44.525547,1.202130,0.067010
84.202584,44.531441,1.059241,0.058087
84.151229,44.517135,1.048006,0.057438
84.211599,44.524146,1.096343,0.060283
84.321337,44.499930,1.048006,0.057438
84.665398,44.505927,1.050754,0.057596
85.599817,44.661837,1.078781,0.059234
86.393480,44.780968,1.113945,0.061354
86.429420,44.787033,1.206840,0.067326
84.654071,44.467779,0.903245,0.049697
86.388912,44.775691,1.099514,0.060475
86.409717,44.770194,1.259582,0.070972
86.415705,44.771204,1.166706,0.064678
86.418542,44.762672,1.112142,0.061243
86.413972,44.757396,1.205017,0.067203
86.419959,44.758406,1.166706,0.064678
86.437923,44.761434,1.059381,0.058096
86.409403,44.752119,1.205017,0.067203
86.415389,44.753130,1.205017,0.067203
86.445328,44.758176,1.078781,0.059234
86.454146,44.750651,1.224418,0.068520
86.476351,44.740871,1.204877,0.067194
86.476012,44.722794,1.245215,0.069960
85.832829,44.608136,1.224660,0.068537
85.838781,44.609174,1.202334,0.067023
85.844732,44.610212,1.224660,0.068537
85.856637,44.612286,1.227407,0.068725
86.435532,44.711476,1.059381,0.058096
86.441516,44.712484,1.112142,0.061243
86.032275,44.633717,1.205017,0.067203
86.444342,44.703950,1.227407,0.068725
86.522146,44.717025,1.059381,0.058096
86.489050,44.702461,1.205082,0.067208
85.359252,44.501916,1.069842,0.058706
86.466526,44.694170,1.227407,0.068725
86.514398,44.702212,1.267541,0.071539
85.366657,44.498737,1.229406,0.068863
85.782068,44.572243,1.204877,0.067194
86.479902,44.691915,1.205082,0.067208
85.599371,44.535620,1.221014,0.068287
85.605306,44.536668,1.068266,0.058614
85.611242,44.537717,1.068266,0.058614
85.623115,44.539812,1.068266,0.058614
85.777577,44.566953,1.056633,0.057936
85.814706,44.568937,1.109255,0.061066
85.820653,44.569975,1.059241,0.058087
86.494686,44.685389,1.205082,0.067208
86.542558,44.693418,1.059381,0.058096
86.548543,44.694420,1.204877,0.067194
85.400713,44.491314,1.260751,0.071055
86.543963,44.689148,1.112142,0.061243
86.549948,44.690150,1.245011,0.069946
85.402191,44.487074,1.225882,0.068620
85.408115,44.488132,1.117214,0.061554
85.704697,44.540663,1.075252,0.059025
86.234600,44.632372,1.078781,0.059234
86.461616,44.670821,1.113945,0.061354
86.509467,44.678861,1.131542,0.062443
86.521433,44.680868,1.112142,0.061243
86.539384,44.683877,1.166706,0.064678
85.700217,44.535372,1.128013,0.062223
85.795282,44.552031,1.183615,0.065780
85.807171,44.554108,1.034455,0.056665
86.182328,44.618943,1.202270,0.067019
86.188293,44.619963,1.205017,0.067203
85.695737,44.530080,1.096343,0.060283
86.509111,44.660784,1.166706,0.064678
85.587364,44.497463,1.223135,0.068432
86.486599,44.652499,1.267541,0.071539
86.492578,44.653504,1.245215,0.069960
86.516498,44.657518,1.078781,0.059234
85.899105,44.543098,1.112142,0.061243
86.513328,44.647978,1.113945,0.061354
86.525288,44.649984,1.131542,0.062443
86.081957,44.561193,1.166706,0.064678
85.793288,44.484122,1.118413,0.061628
86.597697,44.621559,1.131542,0.062443
86.300516,44.567016,1.056633,0.057936
86.593115,44.616290,1.056633,0.057936
85.808060,44.477695,1.130589,0.062383
86.290006,44.560727,1.109395,0.061075
86.606471,44.614016,1.112142,0.061243
86.612450,44.615013,1.113945,0.061354
86.684228,44.626960,1.204877,0.067194
85.803572,44.472408,1.091912,0.060016
