lon,lat,lnBCF_pred,PlantConc
85.305550,45.118772,0.642978,0.000535
122.935952,45.419420,0.601186,0.000513
84.734142,45.010015,0.609037,0.000517
85.360940,45.124196,0.524312,0.000475
85.314569,45.111372,0.649345,0.000539
84.683706,44.991638,0.967747,0.000741
84.798326,45.008357,0.660933,0.000545
84.804280,45.009456,0.655228,0.000542
85.355024,45.105097,0.524312,0.000475
84.801424,44.999910,0.617862,0.000522
84.813331,45.002107,0.739293,0.000589
84.804522,44.991462,0.617862,0.000522
84.795715,44.980817,0.528513,0.000477
84.801666,44.981916,0.554731,0.000490
84.769064,44.966873,0.860649,0.000665
84.775013,44.967973,0.852076,0.000660
84.804761,44.973468,0.617862,0.000522
84.810712,44.974567,0.527915,0.000477
85.365612,45.075427,0.653583,0.000541
85.377577,45.077568,0.651920,0.000540
85.325258,45.063686,0.648980,0.000539
84.950749,44.991290,0.556280,0.000491
85.302857,45.055155,0.664991,0.000547
85.308835,45.056229,0.664991,0.000547
85.314814,45.057302,0.648980,0.000539
85.320792,45.058375,0.697313,0.000565
85.326771,45.059448,0.700253,0.000567
85.344710,45.062665,0.697313,0.000565
85.350691,45.063736,0.698976,0.000566
85.932371,45.166283,0.522499,0.000475
84.732088,44.946500,0.949812,0.000728
84.940371,44.984879,0.701505,0.000568
85.328285,45.055210,0.700253,0.000567
85.933845,45.162030,0.656673,0.000543
85.323819,45.049900,0.700253,0.000567
85.353714,45.055259,0.700253,0.000567
85.295448,45.040296,0.698976,0.000566
85.307401,45.042443,0.714987,0.000575
85.355225,45.051021,0.698976,0.000566
85.361205,45.052092,0.697313,0.000565
85.022438,44.986355,0.698976,0.000566
84.708577,44.924104,0.825458,0.000642
84.714519,44.925206,0.951125,0.000729
84.930388,44.942468,0.660933,0.000545
85.033153,44.956746,0.582504,0.000504
85.117242,44.881872,0.771906,0.000609
83.600213,44.590591,0.805482,0.000630
85.035459,44.862489,0.574259,0.000500
83.613555,44.588706,0.924148,0.000709
83.619420,44.589858,0.921208,0.000707
83.603440,44.582210,0.930198,0.000713
85.074196,44.860527,0.637644,0.000532
83.635984,44.579587,0.916455,0.000704
83.641849,44.580738,0.916455,0.000704
83.750159,44.561365,0.927885,0.000712
83.979248,44.605803,0.757042,0.000600
83.640351,44.535371,0.805482,0.000630
83.647819,44.532329,0.821493,0.000640
84.133186,44.531710,0.678206,0.000555
84.148088,44.525547,0.921208,0.000707
84.202584,44.531441,0.800729,0.000627
84.151229,44.517135,0.650518,0.000539
84.211599,44.524146,0.815732,0.000636
84.321337,44.499930,0.650518,0.000539
84.665398,44.505927,0.645765,0.000537
85.599817,44.661837,0.830485,0.000646
86.393480,44.780968,0.869145,0.000671
86.429420,44.787033,1.042194,0.000798
84.654071,44.467779,0.544265,0.000485
86.388912,44.775691,0.852002,0.000660
86.409717,44.770194,0.984871,0.000754
86.415705,44.771204,0.993861,0.000760
86.418542,44.762672,0.928386,0.000712
86.413972,44.757396,0.919395,0.000706
86.419959,44.758406,0.993861,0.000760
86.437923,44.761434,0.803669,0.000629
86.409403,44.752119,0.919395,0.000706
86.415389,44.753130,0.919395,0.000706
86.445328,44.758176,0.830485,0.000646
86.454146,44.750651,0.946211,0.000725
86.476351,44.740871,0.916455,0.000704
86.476012,44.722794,1.052136,0.000806
85.832829,44.608136,1.030882,0.000789
85.838781,44.609174,1.008556,0.000772
85.844732,44.610212,1.030882,0.000789
85.856637,44.612286,1.026129,0.000785
86.435532,44.711476,0.803669,0.000629
86.441516,44.712484,0.928386,0.000712
86.032275,44.633717,0.919395,0.000706
86.444342,44.703950,1.026129,0.000785
86.522146,44.717025,0.803669,0.000629
86.489050,44.702461,1.003803,0.000768
85.359252,44.501916,0.638394,0.000533
86.466526,44.694170,1.026129,0.000785
86.514398,44.702212,1.074462,0.000824
85.366657,44.498737,0.782262,0.000615
85.782068,44.572243,0.916455,0.000704
86.479902,44.691915,1.003803,0.000768
85.599371,44.535620,0.873545,0.000674
85.605306,44.536668,0.629766,0.000528
85.611242,44.537717,0.629766,0.000528
85.623115,44.539812,0.629766,0.000528
85.777577,44.566953,0.808422,0.000632
85.814706,44.568937,0.930198,0.000713
85.820653,44.569975,0.800729,0.000627
86.494686,44.685389,1.003803,0.000768
86.542558,44.693418,0.803669,0.000629
86.548543,44.694420,0.916455,0.000704
85.400713,44.491314,0.799739,0.000626
86.543963,44.689148,0.928386,0.000712
86.549948,44.690150,0.964788,0.000739
85.402191,44.487074,0.782763,0.000616
85.408115,44.488132,0.670254,0.000550
