lon,lat,lnBCF_pred,PlantConc
85.305550,45.118772,-1.068140,0.004733
122.935952,45.419420,-1.347969,0.003578
84.734142,45.010015,-1.302594,0.003744
85.360940,45.124196,-1.133901,0.004432
85.314569,45.111372,-1.185429,0.004210
84.683706,44.991638,-1.311682,0.003710
84.798326,45.008357,-1.393201,0.003420
84.804280,45.009456,-1.359196,0.003538
85.355024,45.105097,-1.133901,0.004432
84.801424,44.999910,-1.349952,0.003571
84.813331,45.002107,-1.314961,0.003698
84.804522,44.991462,-1.349952,0.003571
84.795715,44.980817,-1.165282,0.004295
84.801666,44.981916,-1.208063,0.004115
84.769064,44.966873,-1.436811,0.003274
84.775013,44.967973,-1.372374,0.003492
84.804761,44.973468,-1.349952,0.003571
84.810712,44.974567,-1.220420,0.004065
85.365612,45.075427,-1.217362,0.004077
85.377577,45.077568,-1.223380,0.004053
85.325258,45.063686,-1.220145,0.004066
84.950749,44.991290,-1.184182,0.004215
85.302857,45.055155,-1.204134,0.004132
85.308835,45.056229,-1.204134,0.004132
85.314814,45.057302,-1.220145,0.004066
85.320792,45.058375,-1.207083,0.004119
85.326771,45.059448,-1.210317,0.004106
85.344710,45.062665,-1.207083,0.004119
85.350691,45.063736,-1.201065,0.004144
85.932371,45.166283,-1.134388,0.004430
84.732088,44.946500,-1.355593,0.003551
84.940371,44.984879,-1.076807,0.004693
85.328285,45.055210,-1.210317,0.004106
85.933845,45.162030,-1.226128,0.004042
85.323819,45.049900,-1.210317,0.004106
85.353714,45.055259,-1.210317,0.004106
85.295448,45.040296,-1.201065,0.004144
85.307401,45.042443,-1.185054,0.004211
85.355225,45.051021,-1.201065,0.004144
85.361205,45.052092,-1.207083,0.004119
85.022438,44.986355,-1.201065,0.004144
84.708577,44.924104,-1.368455,0.003506
84.714519,44.925206,-1.353622,0.003558
84.930388,44.942468,-1.393201,0.003420
85.033153,44.956746,-1.236670,0.003999
85.117242,44.881872,-1.321458,0.003674
83.600213,44.590591,-1.373648,0.003487
85.035459,44.862489,-1.235380,0.004005
83.613555,44.588706,-1.307887,0.003724
83.619420,44.589858,-1.304652,0.003737
83.603440,44.582210,-1.339333,0.003609
85.074196,44.860527,-1.197342,0.004160
83.635984,44.579587,-1.301905,0.003747
83.641849,44.580738,-1.301905,0.003747
83.750159,44.561365,-1.312136,0.003709
83.979248,44.605803,-1.371214,0.003496
83.640351,44.535371,-1.373648,0.003487
83.647819,44.532329,-1.357637,0.003544
84.133186,44.531710,-1.345998,0.003585
84.148088,44.525547,-1.304652,0.003737
84.202584,44.531441,-1.370901,0.003497
84.151229,44.517135,-1.316883,0.003691
84.211599,44.524146,-1.370795,0.003497
84.321337,44.499930,-1.316883,0.003691
84.665398,44.505927,-1.314135,0.003701
85.599817,44.661837,-1.361778,0.003529
86.393480,44.780968,-1.368142,0.003507
86.429420,44.787033,-1.320764,0.003677
84.654071,44.467779,-1.385004,0.003448
86.388912,44.775691,-1.361073,0.003532
86.409717,44.770194,-1.299146,0.003757
86.415705,44.771204,-1.333827,0.003629
86.418542,44.762672,-1.339820,0.003607
86.413972,44.757396,-1.305140,0.003735
86.419959,44.758406,-1.333827,0.003629
86.437923,44.761434,-1.374135,0.003486
86.409403,44.752119,-1.305140,0.003735
86.415389,44.753130,-1.305140,0.003735
86.445328,44.758176,-1.361778,0.003529
86.454146,44.750651,-1.292783,0.003781
86.476351,44.740871,-1.301905,0.003747
86.476012,44.722794,-1.374926,0.003483
85.832829,44.608136,-1.382802,0.003456
85.838781,44.609174,-1.390737,0.003428
85.844732,44.610212,-1.382802,0.003456
85.856637,44.612286,-1.380054,0.003465
86.435532,44.711476,-1.374135,0.003486
86.441516,44.712484,-1.339820,0.003607
86.032275,44.633717,-1.305140,0.003735
86.444342,44.703950,-1.380054,0.003465
86.522146,44.717025,-1.374135,0.003486
86.489050,44.702461,-1.387989,0.003438
85.359252,44.501916,-1.399697,0.003398
86.466526,44.694170,-1.380054,0.003465
86.514398,44.702212,-1.366991,0.003511
85.366657,44.498737,-1.337855,0.003614
85.782068,44.572243,-1.301905,0.003747
86.479902,44.691915,-1.387989,0.003438
85.599371,44.535620,-1.300241,0.003753
85.605306,44.536668,-1.343564,0.003594
85.611242,44.537717,-1.343564,0.003594
85.623115,44.539812,-1.343564,0.003594
85.777577,44.566953,-1.376883,0.003476
85.814706,44.568937,-1.339333,0.003609
85.820653,44.569975,-1.370901,0.003497
86.494686,44.685389,-1.387989,0.003438
86.542558,44.693418,-1.374135,0.003486
86.548543,44.694420,-1.301905,0.003747
85.400713,44.491314,-1.340782,0.003604
86.543963,44.689148,-1.339820,0.003607
86.549948,44.690150,-1.288842,0.003796
85.402191,44.487074,-1.365539,0.003516
85.408115,44.488132,-1.430045,0.003296
85.704697,44.540663,-1.354889,0.003553
86.234600,44.632372,-1.361778,0.003529
86.461616,44.670821,-1.368142,0.003507
86.509467,44.678861,-1.327463,0.003652
86.521433,44.680868,-1.339820,0.003607
86.539384,44.683877,-1.333827,0.003629
85.700217,44.535372,-1.320574,0.003677
85.795282,44.552031,-1.358351,0.003541
85.807171,44.554108,-1.455032,0.003215
86.182328,44.618943,-1.307887,0.003724
86.188293,44.619963,-1.305140,0.003735
85.695737,44.530080,-1.370795,0.003497
86.509111,44.660784,-1.333827,0.003629
85.587364,44.497463,-1.368287,0.003506
86.486599,44.652499,-1.366991,0.003511
86.492578,44.653504,-1.374926,0.003483
86.516498,44.657518,-1.361778,0.003529
85.899105,44.543098,-1.339820,0.003607
86.513328,44.647978,-1.368142,0.003507
86.525288,44.649984,-1.327463,0.003652
86.081957,44.561193,-1.333827,0.003629
85.793288,44.484122,-1.309388,0.003719
86.597697,44.621559,-1.327463,0.003652
86.300516,44.567016,-1.376883,0.003476
86.593115,44.616290,-1.376883,0.003476
85.808060,44.477695,-1.390179,0.003430
86.290006,44.560727,-1.342568,0.003597
86.606471,44.614016,-1.339820,0.003607
86.612450,44.615013,-1.368142,0.003507
86.684228,44.626960,-1.301905,0.003747
85.803572,44.472408,-1.334152,0.003628
86.697586,44.624674,-1.376883,0.003476
86.739478,44.631618,-1.272831,0.003857
85.947576,44.492958,-1.382802,0.003456
86.126028,44.523723,-1.374135,0.003486
86.615242,44.606471,-1.342568,0.003597
86.621221,44.607468,-1.336574,0.003619
86.746851,44.628334,-1.301905,0.003747
86.009897,44.494730,-1.336574,0.003619
86.140787,44.517247,-1.304652,0.003737
86.319520,44.547723,-1.376883,0.003476
86.737656,44.617804,-1.376883,0.003476
86.625406,44.594654,-1.361778,0.003529
86.649320,44.598637,-1.374135,0.003486
86.728463,44.607274,-1.376883,0.003476
86.139112,44.503449,-1.373648,0.003487
86.104836,44.493064,-1.342568,0.003597
86.023010,44.474476,-1.306142,0.003731
86.368319,44.533471,-1.376883,0.003476
86.374282,44.534480,-1.342568,0.003597
86.380246,44.535488,-1.342568,0.003597
86.393581,44.533238,-1.342568,0.003597
86.383064,44.526957,-1.376883,0.003476
86.591944,44.562049,-1.307887,0.003724
86.759322,44.589863,-1.380054,0.003465
86.146235,44.482152,-1.373648,0.003487
86.432180,44.530743,-1.376883,0.003476
86.284575,44.501257,-1.363927,0.003521
86.344156,44.511367,-1.314135,0.003701
86.397805,44.520441,-1.288641,0.003797
86.781418,44.580004,-1.339820,0.003607
86.430431,44.516938,-1.288641,0.003797
86.794764,44.577703,-1.313460,0.003704
86.503412,44.524710,-1.376883,0.003476
86.630170,44.541405,-1.304652,0.003737
86.404838,44.499111,-1.304652,0.003737
86.418164,44.496857,-1.314135,0.003701
86.395730,44.488567,-1.304652,0.003737
86.809025,44.553035,-1.385691,0.003446
86.780509,44.543827,-1.342635,0.003597
86.786488,44.544814,-1.388862,0.003435
86.795225,44.537249,-1.388862,0.003435
86.730869,44.522107,-1.339019,0.003610
86.713895,44.496779,-1.333827,0.003629
