lon,lat,lnBCF_pred,PlantConc
83.269984,46.658163,1.033211,0.090550
83.022076,46.250551,1.001260,0.087702
83.028091,46.251768,1.058516,0.092871
125.105743,45.725529,0.990074,0.086727
124.003541,45.890273,0.959453,0.084112
123.927778,45.822070,0.858003,0.075997
123.944543,45.814671,0.836295,0.074365
123.936958,45.811462,0.946361,0.083018
124.083093,45.732044,1.109095,0.097689
124.080200,45.687410,0.835429,0.074301
123.653155,45.756093,0.842090,0.074797
123.657772,45.750798,0.842090,0.074797
123.583199,45.758887,0.960004,0.084158
123.581732,45.754622,1.091807,0.096014
82.260132,44.963028,0.841585,0.074759
82.256018,44.957648,0.819608,0.073134
82.251905,44.952268,0.846759,0.075147
124.178810,45.638660,0.844488,0.074977
82.259481,44.949347,0.969348,0.084948
82.265326,44.950576,0.826368,0.073630
124.246959,45.613208,0.836295,0.074365
124.253013,45.612147,0.915647,0.080507
124.233341,45.611079,1.086080,0.095466
124.245449,45.608959,0.891451,0.078582
124.251502,45.607899,0.943291,0.082763
124.237885,45.605770,0.874184,0.077237
124.243938,45.604710,0.890195,0.078483
124.249991,45.603650,0.915647,0.080507
124.262096,45.601529,0.874184,0.077237
124.236376,45.601521,0.890294,0.078491
124.242428,45.600462,0.980675,0.085916
124.248481,45.599402,0.986372,0.086406
124.254533,45.598342,0.891451,0.078582
124.266636,45.596220,0.884499,0.078037
124.228814,45.598332,0.874282,0.077244
124.234867,45.597273,1.002653,0.087825
124.240919,45.596213,0.980675,0.085916
124.213693,45.591951,1.109095,0.097689
125.327594,45.391078,0.882376,0.077872
125.332003,45.385745,0.883633,0.077970
124.349749,45.522946,0.947617,0.083122
124.330114,45.521890,0.884499,0.078037
124.336155,45.520827,0.884499,0.078037
124.342195,45.519763,0.884499,0.078037
124.348235,45.518700,0.909951,0.080049
124.328602,45.517644,0.884499,0.078037
124.334643,45.516581,0.884499,0.078037
124.340683,45.515517,0.852306,0.075565
124.346722,45.514454,0.980675,0.085916
124.327091,45.513397,1.109095,0.097689
124.333130,45.512334,0.909951,0.080049
124.339170,45.511271,1.080285,0.094914
124.351248,45.509144,1.112798,0.098051
124.319539,45.510213,1.002653,0.087825
124.325579,45.509151,0.906476,0.079772
124.331619,45.508088,1.080285,0.094914
124.337658,45.507025,1.109095,0.097689
124.311989,45.507028,1.093370,0.096165
124.318029,45.505966,1.002653,0.087825
124.324068,45.504904,1.131073,0.099859
124.330107,45.503842,1.080285,0.094914
124.316518,45.501720,1.093370,0.096165
124.322557,45.500657,1.221790,0.109342
124.328596,45.499595,0.980675,0.085916
124.334634,45.498532,1.109095,0.097689
124.315008,45.497473,1.221790,0.109342
124.339161,45.493223,0.980675,0.085916
124.584884,45.445148,0.879143,0.077621
124.336139,45.484731,0.880009,0.077688
124.333118,45.476238,1.109095,0.097689
124.339153,45.475175,1.109095,0.097689
124.345189,45.474112,0.986372,0.086406
124.351224,45.473049,0.890195,0.078483
124.337643,45.470929,0.986372,0.086406
124.343678,45.469866,0.874184,0.077237
124.336133,45.466683,0.909951,0.080049
124.342168,45.465620,0.909951,0.080049
124.348202,45.464557,0.980675,0.085916
124.360269,45.462431,0.884499,0.078037
124.345181,45.456065,0.909951,0.080049
124.351215,45.455002,0.884499,0.078037
124.375328,45.432703,0.883633,0.077970
80.488890,44.249300,0.900392,0.079288
80.490703,44.245205,0.695926,0.064626
80.496401,44.246508,0.845665,0.075065
85.096873,45.184815,0.859383,0.076102
80.689723,44.263462,0.888453,0.078347
80.701140,44.266049,0.915731,0.080513
80.718267,44.269927,0.915731,0.080513
80.723977,44.271220,0.915731,0.080513
80.697231,44.260654,0.888453,0.078347
80.693323,44.255259,0.927670,0.081480
80.699030,44.256552,0.991335,0.086836
80.712245,44.255035,0.915731,0.080513
80.742586,44.257390,0.915731,0.080513
80.706224,44.240143,0.982136,0.086041
80.645279,44.221812,0.839157,0.074578
80.650980,44.223107,0.839157,0.074578
80.811966,44.155823,0.978334,0.085715
80.819454,44.153002,0.866779,0.076667
80.809833,44.146326,0.978334,0.085715
80.815535,44.147611,1.009759,0.088451
80.821238,44.148896,1.045696,0.091688
80.826940,44.150180,0.899842,0.079244
80.832644,44.151464,0.868416,0.076793
80.823021,44.144790,1.045696,0.091688
80.830507,44.141967,0.870582,0.076959
80.853320,44.147101,0.866779,0.076667
80.701242,44.108269,0.955032,0.083741
80.706935,44.109559,0.955032,0.083741
80.714418,44.106745,0.812053,0.072584
80.845476,44.136321,1.045696,0.091688
80.847257,44.132214,0.915731,0.080513
80.714090,44.093149,0.955032,0.083741
80.719782,44.094437,0.955032,0.083741
80.725476,44.095725,0.812053,0.072584
123.458053,45.220588,1.166324,0.103442
80.730165,44.056223,0.812053,0.072584
80.460820,43.972390,0.796242,0.071445
80.468287,43.969593,0.818256,0.073036
123.526799,45.159459,1.203443,0.107354
84.617821,44.826067,0.851003,0.075467
122.279697,45.348082,0.959453,0.084112
122.272254,45.344736,1.221790,0.109342
122.193734,45.338924,1.002367,0.087800
80.484446,43.932738,0.904310,0.079599
122.271609,45.322298,1.124609,0.099216
122.270263,45.318001,1.116455,0.098410
122.268916,45.313703,1.116455,0.098410
80.497283,43.917652,0.844948,0.075011
80.709757,43.844360,0.852374,0.075570
80.739517,43.833076,0.872284,0.077090
80.727823,43.816921,0.741241,0.067622
80.619889,43.778942,0.729705,0.066846
124.399872,44.779047,1.114791,0.098247
124.405832,44.777993,1.080285,0.094914
124.411792,44.776940,1.085982,0.095457
121.934254,45.180583,1.226547,0.109863
124.392433,44.775854,1.087238,0.095577
124.398393,44.774801,1.114791,0.098247
124.404353,44.773748,1.042901,0.091432
80.676144,43.778201,0.901333,0.079362
84.097178,44.493273,0.830605,0.073943
84.103053,44.494399,0.846350,0.075117
124.379035,44.773714,1.114791,0.098247
124.390955,44.771609,1.071710,0.094104
124.396915,44.770556,1.094777,0.096300
84.098751,44.489069,1.071213,0.094057
124.395437,44.766311,1.050719,0.092149
124.370122,44.766274,1.042901,0.091432
124.368646,44.762028,1.109095,0.097689
84.115212,44.478704,0.828370,0.073778
84.121086,44.479828,0.830605,0.073943
124.361211,44.758833,1.108229,0.097604
124.367171,44.757782,1.114791,0.098247
124.373130,44.756730,0.868487,0.076798
80.639732,43.747426,0.758354,0.068789
80.645388,43.748710,0.901333,0.079362
124.353777,44.755637,1.109095,0.097689
124.365696,44.753536,0.980675,0.085916
124.371654,44.752485,0.884499,0.078037
124.370179,44.748239,0.890195,0.078483
124.376137,44.747187,0.915647,0.080507
80.701617,43.747949,0.812053,0.072584
80.707276,43.749230,0.866779,0.076667
80.712936,43.750511,0.866779,0.076667
80.716469,43.742305,0.866779,0.076667
