lon,lat,lnBCF_pred,PlantConc
83.269984,46.658163,1.263806,0.466973
83.022076,46.250551,1.263126,0.466655
83.028091,46.251768,1.212582,0.443655
125.105743,45.725529,0.876734,0.317094
124.003541,45.890273,0.700860,0.265954
123.927778,45.822070,0.779553,0.287729
123.944543,45.814671,0.753254,0.280261
123.936958,45.811462,0.822038,0.300216
124.083093,45.732044,0.810702,0.296832
124.080200,45.687410,0.874446,0.316370
123.653155,45.756093,0.718608,0.270717
123.657772,45.750798,0.718608,0.270717
123.583199,45.758887,0.802552,0.294423
123.581732,45.754622,0.772514,0.285711
82.260132,44.963028,1.012749,0.363295
82.256018,44.957648,1.093179,0.393721
82.251905,44.952268,1.049228,0.376792
124.178810,45.638660,0.785027,0.289308
82.259481,44.949347,1.268334,0.469092
82.265326,44.950576,1.060999,0.381253
124.246959,45.613208,0.753254,0.280261
124.253013,45.612147,0.850044,0.308743
124.233341,45.611079,0.731305,0.274176
124.245449,45.608959,0.922829,0.332053
124.251502,45.607899,0.962233,0.345398
124.237885,45.605770,0.811675,0.297121
124.243938,45.604710,0.827686,0.301917
124.249991,45.603650,0.850044,0.308743
124.262096,45.601529,0.811675,0.297121
124.236376,45.601521,0.782752,0.288651
124.242428,45.600462,0.844122,0.306920
124.248481,45.599402,0.854410,0.310094
124.254533,45.598342,0.922829,0.332053
124.266636,45.596220,0.817399,0.298827
124.228814,45.598332,0.766741,0.284066
124.234867,45.597273,0.750558,0.279506
124.240919,45.596213,0.844122,0.306920
124.213693,45.591951,0.810702,0.296832
125.327594,45.391078,0.843448,0.306713
125.332003,45.385745,0.938591,0.337328
124.349749,45.522946,0.917181,0.330183
124.330114,45.521890,0.817399,0.298827
124.336155,45.520827,0.817399,0.298827
124.342195,45.519763,0.817399,0.298827
124.348235,45.518700,0.839757,0.305583
124.328602,45.517644,0.817399,0.298827
124.334643,45.516581,0.817399,0.298827
124.340683,45.515517,0.769266,0.284784
124.346722,45.514454,0.844122,0.306920
124.327091,45.513397,0.810702,0.296832
124.333130,45.512334,0.839757,0.305583
124.339170,45.511271,0.765952,0.283842
124.351248,45.509144,0.833026,0.303533
124.319539,45.510213,0.750558,0.279506
124.325579,45.509151,0.723834,0.272135
124.331619,45.508088,0.765952,0.283842
124.337658,45.507025,0.810702,0.296832
124.311989,45.507028,0.781265,0.288222
124.318029,45.505966,0.750558,0.279506
124.324068,45.504904,0.717138,0.270319
124.330107,45.503842,0.765952,0.283842
124.316518,45.501720,0.781265,0.288222
124.322557,45.500657,0.747845,0.278749
124.328596,45.499595,0.844122,0.306920
124.334634,45.498532,0.810702,0.296832
124.315008,45.497473,0.747845,0.278749
124.339161,45.493223,0.844122,0.306920
124.584884,45.445148,0.929142,0.334156
124.336139,45.484731,0.807950,0.296017
124.333118,45.476238,0.810702,0.296832
124.339153,45.475175,0.810702,0.296832
124.345189,45.474112,0.854410,0.310094
