lon,lat,lnBCF_pred,PlantConc
85.305550,45.118772,-1.723249,0.057217
122.935952,45.419420,-1.849085,0.050452
84.734142,45.010015,-1.898563,0.048016
85.360940,45.124196,-1.851015,0.050355
85.314569,45.111372,-1.792725,0.053377
84.683706,44.991638,-1.609952,0.064081
84.798326,45.008357,-1.858402,0.049984
84.804280,45.009456,-1.841526,0.050835
85.355024,45.105097,-1.851015,0.050355
84.801424,44.999910,-1.832281,0.051307
84.813331,45.002107,-1.725145,0.057109
84.804522,44.991462,-1.832281,0.051307
84.795715,44.980817,-1.897596,0.048063
84.801666,44.981916,-1.916174,0.047178
84.769064,44.966873,-1.788188,0.053620
84.775013,44.967973,-1.716214,0.057621
84.804761,44.973468,-1.832281,0.051307
84.810712,44.974567,-1.899861,0.047954
85.365612,45.075427,-1.879676,0.048932
85.377577,45.077568,-1.896241,0.048128
85.325258,45.063686,-1.903572,0.047776
84.950749,44.991290,-1.928038,0.046622
85.302857,45.055155,-1.887561,0.048548
85.308835,45.056229,-1.887561,0.048548
85.314814,45.057302,-1.903572,0.047776
85.320792,45.058375,-1.890510,0.048405
85.326771,45.059448,-1.883179,0.048761
85.344710,45.062665,-1.890510,0.048405
85.350691,45.063736,-1.873944,0.049213
85.932371,45.166283,-1.840936,0.050865
84.732088,44.946500,-1.699782,0.058576
84.940371,44.984879,-1.731039,0.056773
85.328285,45.055210,-1.883179,0.048761
85.933845,45.162030,-1.898989,0.047996
85.323819,45.049900,-1.883179,0.048761
85.353714,45.055259,-1.883179,0.048761
85.295448,45.040296,-1.873944,0.049213
85.307401,45.042443,-1.857932,0.050007
85.355225,45.051021,-1.873944,0.049213
85.361205,45.052092,-1.890510,0.048405
85.022438,44.986355,-1.873944,0.049213
84.708577,44.924104,-1.769571,0.054627
84.714519,44.925206,-1.641444,0.062095
84.930388,44.942468,-1.858402,0.049984
85.033153,44.956746,-1.904145,0.047749
85.117242,44.881872,-1.731642,0.056739
83.600213,44.590591,-1.787364,0.053664
85.035459,44.862489,-1.908259,0.047553
83.613555,44.588706,-1.656020,0.061196
83.619420,44.589858,-1.663350,0.060749
83.603440,44.582210,-1.753049,0.055537
85.074196,44.860527,-1.811829,0.052367
83.635984,44.579587,-1.660603,0.060916
83.641849,44.580738,-1.660603,0.060916
83.750159,44.561365,-1.717766,0.057532
83.979248,44.605803,-1.790964,0.053471
83.640351,44.535371,-1.787364,0.053664
83.647819,44.532329,-1.771352,0.054530
84.133186,44.531710,-1.785775,0.053749
84.148088,44.525547,-1.663350,0.060749
84.202584,44.531441,-1.784616,0.053812
84.151229,44.517135,-1.743336,0.056079
84.211599,44.524146,-1.782366,0.053933
84.321337,44.499930,-1.743336,0.056079
84.665398,44.505927,-1.740588,0.056234
85.599817,44.661837,-1.793598,0.053330
86.393480,44.780968,-1.763224,0.054975
86.429420,44.787033,-1.715846,0.057642
84.654071,44.467779,-1.866474,0.049582
86.388912,44.775691,-1.764223,0.054920
86.409717,44.770194,-1.639211,0.062234
86.415705,44.771204,-1.728909,0.056894
86.418542,44.762672,-1.742970,0.056100
86.413972,44.757396,-1.653272,0.061365
86.419959,44.758406,-1.728909,0.056894
86.437923,44.761434,-1.777285,0.054208
86.409403,44.752119,-1.653272,0.061365
86.415389,44.753130,-1.653272,0.061365
86.445328,44.758176,-1.793598,0.053330
86.454146,44.750651,-1.669585,0.060372
86.476351,44.740871,-1.660603,0.060916
86.476012,44.722794,-1.711732,0.057880
85.832829,44.608136,-1.712926,0.057811
85.838781,44.609174,-1.727542,0.056972
85.844732,44.610212,-1.712926,0.057811
85.856637,44.612286,-1.710179,0.057970
86.435532,44.711476,-1.777285,0.054208
86.441516,44.712484,-1.742970,0.056100
86.032275,44.633717,-1.653272,0.061365
86.444342,44.703950,-1.710179,0.057970
86.522146,44.717025,-1.777285,0.054208
86.489050,44.702461,-1.724795,0.057129
85.359252,44.501916,-1.843599,0.050729
86.466526,44.694170,-1.710179,0.057970
86.514398,44.702212,-1.697116,0.058732
85.366657,44.498737,-1.796239,0.053190
85.782068,44.572243,-1.660603,0.060916
86.479902,44.691915,-1.724795,0.057129
85.599371,44.535620,-1.662828,0.060781
85.605306,44.536668,-1.789376,0.053556
85.611242,44.537717,-1.789376,0.053556
85.623115,44.539812,-1.789376,0.053556
85.777577,44.566953,-1.780033,0.054059
85.814706,44.568937,-1.753049,0.055537
85.820653,44.569975,-1.784616,0.053812
86.494686,44.685389,-1.724795,0.057129
86.542558,44.693418,-1.777285,0.054208
86.548543,44.694420,-1.660603,0.060916
85.400713,44.491314,-1.783751,0.053858
86.543963,44.689148,-1.742970,0.056100
86.549948,44.690150,-1.647540,0.061717
85.402191,44.487074,-1.821442,0.051866
85.408115,44.488132,-1.907745,0.047577
85.704697,44.540663,-1.768605,0.054680
86.234600,44.632372,-1.793598,0.053330
86.461616,44.670821,-1.763224,0.054975
86.509467,44.678861,-1.759283,0.055192
86.521433,44.680868,-1.742970,0.056100
86.539384,44.683877,-1.728909,0.056894
85.700217,44.535372,-1.734290,0.056589
85.795282,44.552031,-1.721174,0.057336
85.807171,44.554108,-1.870391,0.049388
86.182328,44.618943,-1.656020,0.061196
86.188293,44.619963,-1.653272,0.061365
85.695737,44.530080,-1.782366,0.053933
86.509111,44.660784,-1.728909,0.056894
85.587364,44.497463,-1.824190,0.051724
86.486599,44.652499,-1.697116,0.058732
86.492578,44.653504,-1.711732,0.057880
86.516498,44.657518,-1.793598,0.053330
85.899105,44.543098,-1.742970,0.056100
86.513328,44.647978,-1.763224,0.054975
86.525288,44.649984,-1.759283,0.055192
86.081957,44.561193,-1.728909,0.056894
85.793288,44.484122,-1.715019,0.057690
86.597697,44.621559,-1.759283,0.055192
86.300516,44.567016,-1.780033,0.054059
86.593115,44.616290,-1.780033,0.054059
85.808060,44.477695,-1.805874,0.052680
86.290006,44.560727,-1.745718,0.055946
86.606471,44.614016,-1.742970,0.056100
86.612450,44.615013,-1.763224,0.054975
86.684228,44.626960,-1.660603,0.060916
85.803572,44.472408,-1.753901,0.055490
86.697586,44.624674,-1.780033,0.054059
86.739478,44.631618,-1.631529,0.062713
85.947576,44.492958,-1.712926,0.057811
86.126028,44.523723,-1.777285,0.054208
86.615242,44.606471,-1.745718,0.055946
86.621221,44.607468,-1.731656,0.056738
86.746851,44.628334,-1.660603,0.060916
86.009897,44.494730,-1.731656,0.056738
86.140787,44.517247,-1.663350,0.060749
86.319520,44.547723,-1.780033,0.054059
86.737656,44.617804,-1.780033,0.054059
86.625406,44.594654,-1.793598,0.053330
86.649320,44.598637,-1.777285,0.054208
86.728463,44.607274,-1.780033,0.054059
86.139112,44.503449,-1.787364,0.053664
