lon,lat,lnBCF_pred,PlantConc
83.269984,46.658163,-2.219816,0.000651
83.022076,46.250551,-2.228280,0.000646
83.028091,46.251768,-2.256278,0.000628
125.105743,45.725529,-2.582809,0.000453
124.003541,45.890273,-2.664232,0.000418
123.927778,45.822070,-2.542937,0.000471
123.944543,45.814671,-2.560011,0.000463
123.936958,45.811462,-2.640146,0.000428
124.083093,45.732044,-2.762558,0.000379
124.080200,45.687410,-2.444868,0.000520
123.653155,45.756093,-2.577388,0.000455
123.657772,45.750798,-2.577388,0.000455
123.583199,45.758887,-2.606423,0.000442
123.581732,45.754622,-2.755648,0.000381
82.260132,44.963028,-2.323813,0.000587
82.256018,44.957648,-2.285945,0.000610
82.251905,44.952268,-2.315118,0.000592
124.178810,45.638660,-2.548353,0.000469
82.259481,44.949347,-2.266076,0.000622
82.265326,44.950576,-2.322483,0.000588
124.246959,45.613208,-2.560011,0.000463
124.253013,45.612147,-2.513880,0.000485
124.233341,45.611079,-2.803457,0.000363
124.245449,45.608959,-2.397598,0.000545
124.251502,45.607899,-2.492135,0.000496
124.237885,45.605770,-2.532043,0.000477
124.243938,45.604710,-2.516032,0.000484
124.249991,45.603650,-2.513880,0.000485
124.262096,45.601529,-2.532043,0.000477
124.236376,45.601521,-2.534471,0.000475
124.242428,45.600462,-2.609950,0.000441
124.248481,45.599402,-2.608887,0.000441
124.254533,45.598342,-2.397598,0.000545
124.266636,45.596220,-2.517094,0.000484
124.228814,45.598332,-2.550483,0.000468
124.234867,45.597273,-2.724080,0.000393
124.240919,45.596213,-2.609950,0.000441
124.213693,45.591951,-2.762558,0.000379
125.327594,45.391078,-2.520386,0.000482
125.332003,45.385745,-2.401951,0.000543
124.349749,45.522946,-2.521712,0.000482
124.330114,45.521890,-2.517094,0.000484
124.336155,45.520827,-2.517094,0.000484
124.342195,45.519763,-2.517094,0.000484
124.348235,45.518700,-2.514942,0.000485
124.328602,45.517644,-2.517094,0.000484
124.334643,45.516581,-2.517094,0.000484
124.340683,45.515517,-2.544000,0.000471
124.346722,45.514454,-2.609950,0.000441
124.327091,45.513397,-2.762558,0.000379
124.333130,45.512334,-2.514942,0.000485
124.339170,45.511271,-2.786080,0.000370
124.351248,45.509144,-2.736479,0.000389
124.319539,45.510213,-2.724080,0.000393
124.325579,45.509151,-2.631224,0.000432
124.331619,45.508088,-2.786080,0.000370
124.337658,45.507025,-2.762558,0.000379
124.311989,45.507028,-2.724634,0.000393
124.318029,45.505966,-2.724080,0.000393
124.324068,45.504904,-2.876687,0.000338
124.330107,45.503842,-2.786080,0.000370
124.316518,45.501720,-2.724634,0.000393
124.322557,45.500657,-2.877241,0.000337
124.328596,45.499595,-2.609950,0.000441
124.334634,45.498532,-2.762558,0.000379
124.315008,45.497473,-2.877241,0.000337
124.339161,45.493223,-2.609950,0.000441
124.584884,45.445148,-2.387531,0.000551
124.336139,45.484731,-2.502674,0.000491
124.333118,45.476238,-2.762558,0.000379
124.339153,45.475175,-2.762558,0.000379
124.345189,45.474112,-2.608887,0.000441
124.351224,45.473049,-2.516032,0.000484
124.337643,45.470929,-2.608887,0.000441
124.343678,45.469866,-2.532043,0.000477
124.336133,45.466683,-2.514942,0.000485
124.342168,45.465620,-2.514942,0.000485
124.348202,45.464557,-2.609950,0.000441
124.360269,45.462431,-2.517094,0.000484
124.345181,45.456065,-2.514942,0.000485
124.351215,45.455002,-2.517094,0.000484
124.375328,45.432703,-2.401951,0.000543
80.488890,44.249300,-2.370534,0.000560
80.490703,44.245205,-2.420408,0.000533
80.496401,44.246508,-2.400540,0.000544
85.096873,45.184815,-2.487025,0.000499
80.689723,44.263462,-2.315371,0.000592
80.701140,44.266049,-2.244640,0.000635
80.718267,44.269927,-2.244640,0.000635
80.723977,44.271220,-2.244640,0.000635
80.697231,44.260654,-2.315371,0.000592
80.693323,44.255259,-2.299803,0.000601
80.699030,44.256552,-2.260614,0.000625
80.712245,44.255035,-2.244640,0.000635
80.742586,44.257390,-2.244640,0.000635
80.706224,44.240143,-2.294379,0.000604
80.645279,44.221812,-2.350785,0.000571
80.650980,44.223107,-2.350785,0.000571
80.811966,44.155823,-2.290955,0.000607
80.819454,44.153002,-2.314298,0.000593
80.809833,44.146326,-2.290955,0.000607
80.815535,44.147611,-2.257892,0.000627
80.821238,44.148896,-2.277289,0.000615
80.826940,44.150180,-2.344371,0.000575
80.832644,44.151464,-2.377434,0.000556
80.823021,44.144790,-2.277289,0.000615
80.830507,44.141967,-2.317722,0.000591
80.853320,44.147101,-2.314298,0.000593
80.701242,44.108269,-2.287898,0.000608
80.706935,44.109559,-2.287898,0.000608
80.714418,44.106745,-2.344304,0.000575
80.845476,44.136321,-2.277289,0.000615
80.847257,44.132214,-2.244640,0.000635
80.714090,44.093149,-2.287898,0.000608
80.719782,44.094437,-2.287898,0.000608
80.725476,44.095725,-2.344304,0.000575
123.458053,45.220588,-2.925447,0.000322
80.730165,44.056223,-2.344304,0.000575
80.460820,43.972390,-2.361530,0.000565
80.468287,43.969593,-2.388226,0.000550
123.526799,45.159459,-2.890301,0.000333
84.617821,44.826067,-2.318450,0.000590
122.279697,45.348082,-2.664232,0.000418
122.272254,45.344736,-2.877241,0.000337
122.193734,45.338924,-2.623082,0.000435
80.484446,43.932738,-2.616395,0.000438
122.271609,45.322298,-2.590778,0.000449
122.270263,45.318001,-2.589941,0.000450
122.268916,45.313703,-2.589941,0.000450
80.497283,43.917652,-2.384449,0.000552
80.709757,43.844360,-2.306332,0.000597
