lon,lat,lnBCF_pred,PlantConc
83.269984,46.658163,-1.936672,0.000087
83.022076,46.250551,-1.993116,0.000082
83.028091,46.251768,-2.014058,0.000081
125.105743,45.725529,-2.771614,0.000038
124.003541,45.890273,-2.865757,0.000034
123.927778,45.822070,-2.711884,0.000040
123.944543,45.814671,-2.739017,0.000039
123.936958,45.811462,-2.794695,0.000037
124.083093,45.732044,-2.941779,0.000032
124.080200,45.687410,-2.472127,0.000051
123.653155,45.756093,-2.769799,0.000038
123.657772,45.750798,-2.769799,0.000038
123.583199,45.758887,-2.861182,0.000035
123.581732,45.754622,-2.996798,0.000030
82.260132,44.963028,-2.124169,0.000072
82.256018,44.957648,-1.958508,0.000085
82.251905,44.952268,-2.037512,0.000079
124.178810,45.638660,-2.695761,0.000041
82.259481,44.949347,-1.972006,0.000084
82.265326,44.950576,-2.034062,0.000079
124.246959,45.613208,-2.739017,0.000039
124.253013,45.612147,-2.694587,0.000041
124.233341,45.611079,-3.009920,0.000030
124.245449,45.608959,-2.453079,0.000052
124.251502,45.607899,-2.441910,0.000053
124.237885,45.605770,-2.681924,0.000041
124.243938,45.604710,-2.671143,0.000042
124.249991,45.603650,-2.694587,0.000041
124.262096,45.601529,-2.681924,0.000041
124.236376,45.601521,-2.718277,0.000040
124.242428,45.600462,-2.802781,0.000037
124.248481,45.599402,-2.786429,0.000037
124.254533,45.598342,-2.453079,0.000052
124.266636,45.596220,-2.687495,0.000041
124.228814,45.598332,-2.729058,0.000039
124.234867,45.597273,-2.955211,0.000031
124.240919,45.596213,-2.802781,0.000037
124.213693,45.591951,-2.941779,0.000032
125.327594,45.391078,-2.638668,0.000043
125.332003,45.385745,-2.420604,0.000054
124.349749,45.522946,-2.576632,0.000046
124.330114,45.521890,-2.687495,0.000041
124.336155,45.520827,-2.687495,0.000041
124.342195,45.519763,-2.687495,0.000041
124.348235,45.518700,-2.710939,0.000040
124.328602,45.517644,-2.687495,0.000041
124.334643,45.516581,-2.687495,0.000041
124.340683,45.515517,-2.728236,0.000039
124.346722,45.514454,-2.802781,0.000037
124.327091,45.513397,-2.941779,0.000032
124.333130,45.512334,-2.710939,0.000040
