lon,lat,lnBCF_pred,PlantConc
85.305550,45.118772,-2.544738,0.001255
122.935952,45.419420,-2.600927,0.001187
84.734142,45.010015,-2.704261,0.001070
85.360940,45.124196,-2.593347,0.001196
85.314569,45.111372,-2.716710,0.001057
84.683706,44.991638,-2.279264,0.001637
84.798326,45.008357,-2.569244,0.001225
84.804280,45.009456,-2.552367,0.001246
85.355024,45.105097,-2.593347,0.001196
84.801424,44.999910,-2.634827,0.001147
84.813331,45.002107,-2.609970,0.001176
84.804522,44.991462,-2.634827,0.001147
84.795715,44.980817,-2.616811,0.001168
84.801666,44.981916,-2.739954,0.001033
84.769064,44.966873,-2.351862,0.001523
84.775013,44.967973,-2.473327,0.001348
84.804761,44.973468,-2.634827,0.001147
84.810712,44.974567,-2.741567,0.001031
85.365612,45.075427,-2.666136,0.001112
85.377577,45.077568,-2.682488,0.001094
85.325258,45.063686,-2.689363,0.001086
84.950749,44.991290,-2.629328,0.001154
85.302857,45.055155,-2.673352,0.001104
85.308835,45.056229,-2.673352,0.001104
85.314814,45.057302,-2.689363,0.001086
85.320792,45.058375,-2.522429,0.001284
85.326771,45.059448,-2.515553,0.001293
85.344710,45.062665,-2.522429,0.001284
85.350691,45.063736,-2.506077,0.001305
85.932371,45.166283,-2.583724,0.001207
84.732088,44.946500,-2.345735,0.001532
84.940371,44.984879,-2.525168,0.001280
85.328285,45.055210,-2.515553,0.001293
85.933845,45.162030,-2.685236,0.001091
85.323819,45.049900,-2.515553,0.001293
85.353714,45.055259,-2.515553,0.001293
85.295448,45.040296,-2.506077,0.001305
85.307401,45.042443,-2.490066,0.001326
85.355225,45.051021,-2.506077,0.001305
85.361205,45.052092,-2.522429,0.001284
85.022438,44.986355,-2.506077,0.001305
84.708577,44.924104,-2.356605,0.001515
84.714519,44.925206,-2.301894,0.001601
84.930388,44.942468,-2.569244,0.001225
85.033153,44.956746,-2.590264,0.001200
85.117242,44.881872,-2.524762,0.001281
83.600213,44.590591,-2.366085,0.001501
85.035459,44.862489,-2.595637,0.001193
83.613555,44.588706,-2.317476,0.001576
83.619420,44.589858,-2.324351,0.001565
83.603440,44.582210,-2.276525,0.001642
85.074196,44.860527,-2.735599,0.001037
83.635984,44.579587,-2.321604,0.001569
83.641849,44.580738,-2.321604,0.001569
83.750159,44.561365,-2.287310,0.001624
83.979248,44.605803,-2.404686,0.001444
83.640351,44.535371,-2.366085,0.001501
83.647819,44.532329,-2.350074,0.001525
84.133186,44.531710,-2.634969,0.001147
84.148088,44.525547,-2.324351,0.001565
84.202584,44.531441,-2.363338,0.001505
84.151229,44.517135,-2.589034,0.001201
84.211599,44.524146,-2.397385,0.001455
84.321337,44.499930,-2.589034,0.001201
84.665398,44.505927,-2.586287,0.001204
85.599817,44.661837,-2.354850,0.001518
86.393480,44.780968,-2.315256,0.001579
86.429420,44.787033,-2.058761,0.002041
84.654071,44.467779,-2.629893,0.001153
86.388912,44.775691,-2.189528,0.001791
86.409717,44.770194,-2.273521,0.001647
86.415705,44.771204,-2.225696,0.001727
86.418542,44.762672,-2.266902,0.001658
86.413972,44.757396,-2.314728,0.001580
86.419959,44.758406,-2.225696,0.001727
86.437923,44.761434,-2.356462,0.001516
86.409403,44.752119,-2.314728,0.001580
86.415389,44.753130,-2.314728,0.001580
86.445328,44.758176,-2.354850,0.001518
86.454146,44.750651,-2.313116,0.001583
86.476351,44.740871,-2.321604,0.001569
86.476012,44.722794,-2.045785,0.002068
85.832829,44.608136,-2.209713,0.001755
85.838781,44.609174,-2.215467,0.001745
85.844732,44.610212,-2.209713,0.001755
85.856637,44.612286,-2.206966,0.001760
86.435532,44.711476,-2.356462,0.001516
86.441516,44.712484,-2.266902,0.001658
86.032275,44.633717,-2.314728,0.001580
86.444342,44.703950,-2.206966,0.001760
86.522146,44.717025,-2.356462,0.001516
86.489050,44.702461,-2.212720,0.001750
85.359252,44.501916,-2.704435,0.001070
86.466526,44.694170,-2.206966,0.001760
86.514398,44.702212,-2.040031,0.002080
85.366657,44.498737,-2.632889,0.001150
85.782068,44.572243,-2.321604,0.001569
86.479902,44.691915,-2.212720,0.001750
85.599371,44.535620,-2.395128,0.001458
85.605306,44.536668,-2.673571,0.001104
85.611242,44.537717,-2.673571,0.001104
85.623115,44.539812,-2.673571,0.001104
85.777577,44.566953,-2.359210,0.001511
85.814706,44.568937,-2.276525,0.001642
85.820653,44.569975,-2.363338,0.001505
86.494686,44.685389,-2.212720,0.001750
86.542558,44.693418,-2.356462,0.001516
86.548543,44.694420,-2.321604,0.001569
85.400713,44.491314,-2.579293,0.001213
86.543963,44.689148,-2.266902,0.001658
86.549948,44.690150,-2.154669,0.001854
85.402191,44.487074,-2.612482,0.001173
85.408115,44.488132,-2.711189,0.001063
85.704697,44.540663,-2.347326,0.001529
86.234600,44.632372,-2.354850,0.001518
86.461616,44.670821,-2.315256,0.001579
86.509467,44.678861,-2.265290,0.001660
86.521433,44.680868,-2.266902,0.001658
86.539384,44.683877,-2.225696,0.001727
85.700217,44.535372,-2.257766,0.001673
85.795282,44.552031,-2.393816,0.001460
85.807171,44.554108,-2.415143,0.001429
86.182328,44.618943,-2.317476,0.001576
86.188293,44.619963,-2.314728,0.001580
85.695737,44.530080,-2.397385,0.001455
86.509111,44.660784,-2.225696,0.001727
85.587364,44.497463,-2.615229,0.001170
86.486599,44.652499,-2.040031,0.002080
86.492578,44.653504,-2.045785,0.002068
86.516498,44.657518,-2.354850,0.001518
85.899105,44.543098,-2.266902,0.001658
86.513328,44.647978,-2.315256,0.001579
86.525288,44.649984,-2.265290,0.001660
86.081957,44.561193,-2.225696,0.001727
85.793288,44.484122,-2.284563,0.001629
86.597697,44.621559,-2.265290,0.001660
86.300516,44.567016,-2.359210,0.001511
86.593115,44.616290,-2.359210,0.001511
85.808060,44.477695,-2.377291,0.001484
86.290006,44.560727,-2.269650,0.001653
86.606471,44.614016,-2.266902,0.001658
86.612450,44.615013,-2.315256,0.001579
86.684228,44.626960,-2.321604,0.001569
85.803572,44.472408,-2.312379,0.001584
86.697586,44.624674,-2.359210,0.001511
86.739478,44.631618,-2.138657,0.001884
85.947576,44.492958,-2.209713,0.001755
86.126028,44.523723,-2.356462,0.001516
86.615242,44.606471,-2.269650,0.001653
86.621221,44.607468,-2.228443,0.001723
86.746851,44.628334,-2.321604,0.001569
86.009897,44.494730,-2.228443,0.001723
86.140787,44.517247,-2.324351,0.001565
86.319520,44.547723,-2.359210,0.001511
86.737656,44.617804,-2.359210,0.001511
86.625406,44.594654,-2.354850,0.001518
86.649320,44.598637,-2.356462,0.001516
86.728463,44.607274,-2.359210,0.001511
86.139112,44.503449,-2.366085,0.001501
86.104836,44.493064,-2.269650,0.001653
86.023010,44.474476,-2.246103,0.001692
86.368319,44.533471,-2.359210,0.001511
86.374282,44.534480,-2.269650,0.001653
86.380246,44.535488,-2.269650,0.001653
86.393581,44.533238,-2.269650,0.001653
86.383064,44.526957,-2.359210,0.001511
86.591944,44.562049,-2.317476,0.001576
86.759322,44.589863,-2.206966,0.001760
86.146235,44.482152,-2.366085,0.001501
86.432180,44.530743,-2.359210,0.001511
86.284575,44.501257,-2.811996,0.000961
86.344156,44.511367,-2.586287,0.001204
86.397805,44.520441,-2.308340,0.001590
86.781418,44.580004,-2.266902,0.001658
86.430431,44.516938,-2.308340,0.001590
86.794764,44.577703,-2.352204,0.001522
86.503412,44.524710,-2.359210,0.001511
86.630170,44.541405,-2.324351,0.001565
86.404838,44.499111,-2.324351,0.001565
86.418164,44.496857,-2.586287,0.001204
86.395730,44.488567,-2.324351,0.001565
86.809025,44.553035,-2.387063,0.001470
86.780509,44.543827,-2.253549,0.001680
86.786488,44.544814,-2.234819,0.001712
86.795225,44.537249,-2.234819,0.001712
86.730869,44.522107,-2.295891,0.001610
86.713895,44.496779,-2.225696,0.001727
86.821423,44.514550,-2.393938,0.001460
86.826383,44.420811,-2.393938,0.001460
86.876866,44.420108,-2.391191,0.001464
124.135190,43.722490,-2.562326,0.001234
124.146917,43.720449,-2.610161,0.001176
123.398910,43.825442,-2.625921,0.001158
123.404809,43.824458,-2.625921,0.001158
123.410709,43.823473,-2.634905,0.001147
123.416608,43.822488,-2.634905,0.001147
123.397551,43.821170,-2.625921,0.001158
123.409349,43.819202,-2.625921,0.001158
123.415248,43.818217,-2.646863,0.001134
123.421146,43.817232,-2.655846,0.001123
123.427044,43.816247,-2.655846,0.001123
123.413888,43.813946,-2.634905,0.001147
123.419786,43.812962,-2.655846,0.001123
123.425683,43.811977,-2.655846,0.001123
123.431581,43.810991,-2.634905,0.001147
123.388935,43.813611,-2.625921,0.001158
123.400732,43.811644,-2.669785,0.001108
123.418426,43.808691,-2.634905,0.001147
123.424323,43.807706,-2.634905,0.001147
123.430220,43.806721,-2.655846,0.001123
123.393475,43.808356,-2.608261,0.001178
123.417066,43.804420,-2.655846,0.001123
123.422963,43.803435,-2.625921,0.001158
123.428860,43.802450,-2.625921,0.001158
123.440652,43.800479,-2.625921,0.001158
123.446548,43.799493,-2.634905,0.001147
123.415707,43.800149,-2.646863,0.001134
123.421603,43.799164,-2.579986,0.001212
123.427500,43.798179,-2.625921,0.001158
123.433396,43.797194,-2.625921,0.001158
123.414348,43.795878,-2.655846,0.001123
123.420244,43.794893,-2.634905,0.001147
123.426140,43.793909,-2.625921,0.001158
123.432035,43.792924,-2.655846,0.001123
123.437931,43.791938,-2.646863,0.001134
123.443826,43.790953,-2.655846,0.001123
123.401196,43.793575,-2.646863,0.001134
123.424780,43.789638,-2.655846,0.001123
123.430676,43.788653,-2.646863,0.001134
123.436570,43.787668,-2.646863,0.001134
123.460147,43.783724,-2.608261,0.001178
123.489611,43.778789,-2.655846,0.001123
123.399839,43.789303,-2.625921,0.001158
123.423421,43.785367,-2.625921,0.001158
123.435211,43.783397,-2.634905,0.001147
123.441105,43.782412,-2.625921,0.001158
123.446999,43.781427,-2.625921,0.001158
123.452892,43.780441,-2.625921,0.001158
123.458786,43.779455,-2.625921,0.001158
123.488248,43.774519,-2.646863,0.001134
123.505922,43.771555,-2.646863,0.001134
123.410272,43.783065,-2.608261,0.001178
123.427957,43.780112,-2.625921,0.001158
123.445638,43.777156,-2.625921,0.001158
123.451532,43.776171,-2.625921,0.001158
123.463317,43.774198,-2.625921,0.001158
123.469210,43.773212,-2.625921,0.001158
123.475102,43.772225,-2.625921,0.001158
123.480994,43.771238,-2.646863,0.001134
123.492776,43.769262,-2.625921,0.001158
123.498667,43.768274,-2.646863,0.001134
123.403019,43.779777,-2.617245,0.001168
123.408914,43.778794,-2.617245,0.001168
123.414809,43.777810,-2.617245,0.001168
123.450171,43.771901,-2.625921,0.001158
123.456064,43.770915,-2.625921,0.001158
123.461956,43.769928,-2.579986,0.001212
123.467848,43.768942,-2.625921,0.001158
123.473740,43.767955,-2.625921,0.001158
123.479631,43.766968,-2.625921,0.001158
123.485522,43.765981,-2.625921,0.001158
123.407557,43.774523,-2.625921,0.001158
123.413451,43.773539,-2.608261,0.001178
123.419345,43.772555,-2.617245,0.001168
123.425239,43.771570,-2.625921,0.001158
123.431132,43.770586,-2.608261,0.001178
123.437026,43.769601,-2.608261,0.001178
123.442918,43.768616,-2.625921,0.001158
123.448811,43.767630,-2.625921,0.001158
123.454703,43.766645,-2.634905,0.001147
123.460595,43.765659,-2.600927,0.001187
123.466487,43.764672,-2.608261,0.001178
123.472378,43.763686,-2.608261,0.001178
123.484160,43.761712,-2.617245,0.001168
123.412094,43.769268,-2.608261,0.001178
123.417987,43.768284,-2.625921,0.001158
123.423881,43.767300,-2.625921,0.001158
123.429774,43.766315,-2.608261,0.001178
123.435667,43.765331,-2.608261,0.001178
123.441559,43.764346,-2.608261,0.001178
123.447451,43.763360,-2.579986,0.001212
123.482798,43.757442,-2.608261,0.001178
123.416630,43.764013,-2.608261,0.001178
123.422523,43.763029,-2.617245,0.001168
123.428415,43.762045,-2.562326,0.001234
123.434308,43.761060,-2.608261,0.001178
123.451983,43.758105,-2.608261,0.001178
123.364059,43.754786,-2.646863,0.001134
123.381740,43.751842,-2.646863,0.001134
123.374492,43.748551,-2.646863,0.001134
123.492294,43.728866,-2.608261,0.001178
123.485046,43.725583,-2.608261,0.001178
123.490933,43.724597,-2.608261,0.001178
