lon,lat,PlantConc
83.269984,46.658163,1.019565
83.022076,46.250551,1.027061
83.028091,46.251768,0.978292
125.105743,45.725529,0.706661
124.003541,45.890273,0.616083
123.927778,45.822070,0.634781
123.944543,45.814671,0.616942
123.936958,45.811462,0.670626
124.083093,45.732044,0.668199
124.080200,45.687410,0.706984
123.653155,45.756093,0.604288
123.657772,45.750798,0.604288
123.583199,45.758887,0.654558
123.581732,45.754622,0.642442
82.260132,44.963028,0.803954
82.256018,44.957648,0.863210
82.251905,44.952268,0.833815
124.178810,45.638660,0.637373
82.259481,44.949347,1.027392
82.265326,44.950576,0.838108
124.246959,45.613208,0.616942
124.253013,45.612147,0.679708
124.233341,45.611079,0.626459
124.245449,45.608959,0.741038
124.251502,45.607899,0.780921
124.237885,45.605770,0.655081
124.243938,45.604710,0.665654
124.249991,45.603650,0.679708
124.262096,45.601529,0.655081
124.236376,45.601521,0.643892
124.242428,45.600462,0.683080
124.248481,45.599402,0.691699
124.254533,45.598342,0.741038
124.266636,45.596220,0.657384
124.228814,45.598332,0.633665
124.234867,45.597273,0.639889
124.240919,45.596213,0.683080
124.213693,45.591951,0.668199
125.327594,45.391078,0.676771
125.332003,45.385745,0.753354
124.349749,45.522946,0.746669
124.330114,45.521890,0.657384
124.336155,45.520827,0.657384
124.342195,45.519763,0.657384
124.348235,45.518700,0.671264
124.328602,45.517644,0.657384
124.334643,45.516581,0.657384
124.340683,45.515517,0.626899
124.346722,45.514454,0.683080
124.327091,45.513397,0.668199
124.333130,45.512334,0.671264
124.339170,45.511271,0.639350
124.351248,45.509144,0.682707
124.319539,45.510213,0.639889
124.325579,45.509151,0.615683
124.331619,45.508088,0.639350
124.337658,45.507025,0.668199
124.311989,45.507028,0.675331
124.318029,45.505966,0.639889
124.324068,45.504904,0.626451
124.330107,45.503842,0.639350
124.316518,45.501720,0.675331
124.322557,45.500657,0.661369
124.328596,45.499595,0.683080
124.334634,45.498532,0.668199
124.315008,45.497473,0.661369
124.339161,45.493223,0.683080
124.584884,45.445148,0.744985
124.336139,45.484731,0.650094
124.333118,45.476238,0.668199
124.339153,45.475175,0.668199
124.345189,45.474112,0.691699
124.351224,45.473049,0.665654
124.337643,45.470929,0.691699
124.343678,45.469866,0.655081
124.336133,45.466683,0.671264
124.342168,45.465620,0.671264
124.348202,45.464557,0.683080
124.360269,45.462431,0.657384
124.345181,45.456065,0.671264
124.351215,45.455002,0.657384
124.375328,45.432703,0.753354
80.488890,44.249300,0.866324
80.490703,44.245205,0.710905
80.496401,44.246508,0.846010
85.096873,45.184815,0.695858
80.689723,44.263462,0.873228
80.701140,44.266049,0.949249
80.718267,44.269927,0.949249
80.723977,44.271220,0.949249
80.697231,44.260654,0.873228
80.693323,44.255259,0.941658
80.699030,44.256552,1.015386
80.712245,44.255035,0.949249
80.742586,44.257390,0.949249
80.706224,44.240143,0.922128
80.645279,44.221812,0.752443
80.650980,44.223107,0.752443
80.811966,44.155823,0.915617
80.819454,44.153002,0.782850
80.809833,44.146326,0.915617
80.815535,44.147611,0.959422
