lon,lat,PlantConc
83.269984,46.658163,0.091205
83.022076,46.250551,0.076925
83.028091,46.251768,0.076838
125.105743,45.725529,0.085938
124.003541,45.890273,0.097836
123.927778,45.822070,0.088789
123.944543,45.814671,0.087465
123.936958,45.811462,0.086619
124.083093,45.732044,0.095991
124.080200,45.687410,0.074180
123.653155,45.756093,0.085439
123.657772,45.750798,0.085439
123.583199,45.758887,0.092898
123.581732,45.754622,0.101571
82.260132,44.963028,0.067471
82.256018,44.957648,0.073153
82.251905,44.952268,0.069009
124.178810,45.638660,0.084819
82.259481,44.949347,0.078504
82.265326,44.950576,0.071984
124.246959,45.613208,0.087465
124.253013,45.612147,0.088836
124.233341,45.611079,0.097017
124.245449,45.608959,0.076625
124.251502,45.607899,0.071126
124.237885,45.605770,0.084726
124.243938,45.604710,0.086094
124.249991,45.603650,0.088836
124.262096,45.601529,0.084726
124.236376,45.601521,0.084165
124.242428,45.600462,0.088122
124.248481,45.599402,0.088050
124.254533,45.598342,0.076625
124.266636,45.596220,0.086170
124.228814,45.598332,0.082828
124.234867,45.597273,0.092016
124.240919,45.596213,0.088122
124.213693,45.591951,0.095991
125.327594,45.391078,0.082170
125.332003,45.385745,0.073147
124.349749,45.522946,0.077047
124.330114,45.521890,0.086170
124.336155,45.520827,0.086170
124.342195,45.519763,0.086170
124.348235,45.518700,0.088917
124.328602,45.517644,0.086170
124.334643,45.516581,0.086170
124.340683,45.515517,0.088877
124.346722,45.514454,0.088122
124.327091,45.513397,0.095991
124.333130,45.512334,0.088917
124.339170,45.511271,0.099327
124.351248,45.509144,0.093689
124.319539,45.510213,0.092016
124.325579,45.509151,0.089972
124.331619,45.508088,0.099327
124.337658,45.507025,0.095991
124.311989,45.507028,0.097488
124.318029,45.505966,0.092016
124.324068,45.504904,0.100244
124.330107,45.503842,0.099327
124.316518,45.501720,0.097488
124.322557,45.500657,0.106222
124.328596,45.499595,0.088122
124.334634,45.498532,0.095991
124.315008,45.497473,0.106222
124.339161,45.493223,0.088122
124.584884,45.445148,0.073616
124.336139,45.484731,0.086717
124.333118,45.476238,0.095991
124.339153,45.475175,0.095991
124.345189,45.474112,0.088050
124.351224,45.473049,0.086094
124.337643,45.470929,0.088050
124.343678,45.469866,0.084726
124.336133,45.466683,0.088917
124.342168,45.465620,0.088917
124.348202,45.464557,0.088122
124.360269,45.462431,0.086170
124.345181,45.456065,0.088917
124.351215,45.455002,0.086170
124.375328,45.432703,0.073147
80.488890,44.249300,0.090502
80.490703,44.245205,0.080654
80.496401,44.246508,0.086612
85.096873,45.184815,0.082414
80.689723,44.263462,0.085045
80.701140,44.266049,0.093793
80.718267,44.269927,0.093793
80.723977,44.271220,0.093793
80.697231,44.260654,0.085045
80.693323,44.255259,0.099892
80.699030,44.256552,0.099604
80.712245,44.255035,0.093793
80.742586,44.257390,0.093793
80.706224,44.240143,0.106882
80.645279,44.221812,0.097751
80.650980,44.223107,0.097751
80.811966,44.155823,0.112121
80.819454,44.153002,0.099401
80.809833,44.146326,0.112121
80.815535,44.147611,0.108647
80.821238,44.148896,0.115752
80.826940,44.150180,0.102887
80.832644,44.151464,0.106117
80.823021,44.144790,0.115752
80.830507,44.141967,0.094818
80.853320,44.147101,0.099401
80.701242,44.108269,0.104008
80.706935,44.109559,0.104008
80.714418,44.106745,0.095133
80.845476,44.136321,0.115752
80.847257,44.132214,0.093793
80.714090,44.093149,0.104008
80.719782,44.094437,0.104008
80.725476,44.095725,0.095133
123.458053,45.220588,0.112278
80.730165,44.056223,0.095133
80.460820,43.972390,0.092987
80.468287,43.969593,0.090626
123.526799,45.159459,0.111135
84.617821,44.826067,0.073880
122.279697,45.348082,0.097836
122.272254,45.344736,0.106222
122.193734,45.338924,0.097713
80.484446,43.932738,0.112414
122.271609,45.322298,0.107398
122.270263,45.318001,0.105441
122.268916,45.313703,0.105441
80.497283,43.917652,0.086511
80.709757,43.844360,0.079330
80.739517,43.833076,0.104443
80.727823,43.816921,0.081380
80.619889,43.778942,0.074988
124.399872,44.779047,0.095906
124.405832,44.777993,0.099327
124.411792,44.776940,0.099228
121.934254,45.180583,0.104272
124.392433,44.775854,0.088223
124.398393,44.774801,0.095906
124.404353,44.773748,0.080071
80.676144,43.778201,0.097040
84.097178,44.493273,0.062560
84.103053,44.494399,0.064362
124.379035,44.773714,0.095906
124.390955,44.771609,0.077451
124.396915,44.770556,0.076299
84.098751,44.489069,0.070801
124.395437,44.766311,0.083884
124.370122,44.766274,0.080071
124.368646,44.762028,0.095991
84.115212,44.478704,0.062572
84.121086,44.479828,0.062560
124.361211,44.758833,0.081457
124.367171,44.757782,0.095906
124.373130,44.756730,0.084802
80.639732,43.747426,0.088786
80.645388,43.748710,0.097040
124.353777,44.755637,0.095991
124.365696,44.753536,0.088122
124.371654,44.752485,0.086170
124.370179,44.748239,0.086094
124.376137,44.747187,0.088836
80.701617,43.747949,0.095133
80.707276,43.749230,0.099401
80.712936,43.750511,0.099401
80.716469,43.742305,0.099401
80.722128,43.743586,0.099401
84.077670,44.444476,0.069544
80.718234,43.738202,0.108647
80.723894,43.739483,0.108647
84.080812,44.436067,0.071401
80.733082,43.732555,0.092784
84.129333,44.440856,0.065727
84.135204,44.441979,0.065263
84.141075,44.443101,0.068738
84.146946,44.444223,0.070880
84.130901,44.436650,0.065740
84.136771,44.437773,0.065569
84.142641,44.438895,0.065581
84.148512,44.440017,0.065569
84.138337,44.433567,0.065740
124.124435,44.750740,0.099327
122.095792,45.043132,0.119064
124.230548,44.691670,0.093664
124.229087,44.687421,0.097917
124.404768,44.629489,0.086403
124.410712,44.628438,0.086403
122.291980,44.958607,0.133373
124.046395,44.651653,0.085330
123.998895,44.641851,0.088223
122.132897,44.915760,0.111135
122.016525,44.929190,0.105479
122.022583,44.928260,0.093101
122.101312,44.916136,0.118154
122.125527,44.912395,0.108794
122.131579,44.911459,0.108794
122.137632,44.910523,0.106222
121.868442,44.942816,0.098291
122.019964,44.919653,0.108794
121.877971,44.932356,0.152824
122.023402,44.910115,0.111135
121.749291,44.947362,0.104884
121.882735,44.927127,0.118972
81.736526,43.738043,0.088343
81.698175,43.680263,0.088136
124.089457,44.500045,0.075275
124.088015,44.495792,0.075984
124.074688,44.493601,0.085472
123.999251,44.475136,0.073733
123.991873,44.471907,0.068875
124.175975,44.439950,0.073733
124.181909,44.438915,0.086403
81.828396,43.649797,0.088136
86.515716,44.544789,0.073293
123.846543,44.469879,0.071372
124.102044,44.425804,0.082154
123.839172,44.466638,0.096920
123.940253,44.449284,0.097253
123.843699,44.461359,0.079040
123.932881,44.446050,0.094990
123.938824,44.445027,0.097253
123.913624,44.444859,0.097253
124.059248,44.410715,0.073733
86.102440,44.425104,0.092836
86.097922,44.419825,0.084063
86.093405,44.414546,0.074686
86.099346,44.415567,0.074770
82.168650,43.573743,0.081658
121.320094,44.736564,0.099658
82.170307,43.569594,0.083671
82.244513,43.585226,0.076400
82.250224,43.586427,0.075220
82.240455,43.579874,0.092007
82.246165,43.581075,0.078504
123.432520,44.395855,0.071670
123.425176,44.392580,0.070073
123.431132,44.391584,0.092840
123.423788,44.388310,0.097017
85.739567,44.236072,0.069458
120.735866,44.793757,0.097017
121.572826,44.672113,0.104710
85.593360,44.205837,0.078081
85.652395,44.216253,0.074192
121.414291,44.691162,0.085439
85.594810,44.201592,0.078081
85.647937,44.210966,0.078081
121.429937,44.679843,0.092299
85.621314,44.197269,0.076329
121.428682,44.675526,0.092299
82.304265,43.543794,0.084110
82.309975,43.544991,0.084110
82.315684,43.546188,0.084110
121.974222,44.579890,0.098177
122.015085,44.569122,0.100949
122.057224,44.562643,0.112023
82.296139,43.533095,0.068499
82.353234,43.545053,0.086714
82.358946,43.546247,0.080222
122.049909,44.559267,0.098454
122.055928,44.558340,0.105306
82.366299,43.543286,0.084110
122.054632,44.554037,0.101290
82.362229,43.537938,0.084110
82.367940,43.539131,0.084110
86.163672,44.260012,0.070060
86.169600,44.261026,0.067395
86.187386,44.264068,0.067395
122.053337,44.549734,0.111135
122.059354,44.548808,0.111135
86.159156,44.254738,0.066325
86.165083,44.255752,0.066325
86.171011,44.256766,0.066325
86.176939,44.257780,0.067395
86.182867,44.258794,0.075201
122.058059,44.544505,0.095874
86.154641,44.249463,0.078712
86.160568,44.250478,0.078712
86.166494,44.251492,0.075201
86.172422,44.252506,0.066325
86.178349,44.253520,0.067395
86.184277,44.254533,0.069070
122.062780,44.539276,0.101693
86.156053,44.245203,0.078712
86.161979,44.246218,0.078712
86.167905,44.247232,0.072774
86.476511,44.299568,0.074285
82.363081,43.520125,0.084110
82.368790,43.521319,0.084110
