iter	RMSE
0	2.984962543
1	2.932227636
2	2.892000731
3	2.845288051
4	2.803037561
5	2.765813244
6	2.740739959
7	2.707203215
8	2.671332559
9	2.634928771
10	2.614336816
11	2.5812594
12	2.581259329
13	2.565309292
14	2.526754876
15	2.497317437
16	2.479871011
17	2.451816597
18	2.410428694
19	2.380983668
20	2.345359242
21	2.345358687
22	2.329684288
23	2.311232182
24	2.291673466
25	2.264314119
26	2.239234434
27	2.215786956
28	2.212832804
29	2.195899274
30	2.176765249
31	2.154044286
32	2.147111134
33	2.13146257
34	2.114870367
35	2.090074996
36	2.074612739
37	2.06707035
38	2.054055459
39	2.03408574
40	2.034085138
41	2.020372518
42	2.001124019
43	1.985636998
44	1.97334572
45	1.952184787
46	1.936101362
47	1.929707978
48	1.911582634
49	1.903012708
50	1.889347952
51	1.878828385
52	1.862480862
53	1.858364984
54	1.845257073
55	1.83739418
56	1.82369685
57	1.81819202
58	1.809876754
59	1.806289171
60	1.796593664
61	1.784885151
62	1.780781843
63	1.76842749
64	1.759503457
65	1.753367256
66	1.749422351
67	1.74382319
68	1.729110896
69	1.715600511
70	1.706501945
71	1.70442965
72	1.698822267
73	1.697402822
74	1.693175419
75	1.684787561
76	1.681714665
77	1.675465597
78	1.6668465
79	1.66016203
80	1.651910043
81	1.64747373
82	1.641324198
83	1.634099342
84	1.626914595
85	1.621740741
86	1.615774775
87	1.607279724
88	1.602174414
89	1.594917221
90	1.587616497
91	1.586230968
92	1.581344714
93	1.573389077
94	1.566228308
95	1.565684744
96	1.561244057
97	1.557651122
98	1.557637344
99	1.549556566
100	1.544073163
101	1.5336292
102	1.527530231
103	1.52615415
104	1.517864712
105	1.511058546
106	1.509270371
107	1.508621686
108	1.50416688
109	1.503803156
110	1.497725483
111	1.497270819
112	1.492100805
113	1.487448981
114	1.481705472
115	1.475009205
116	1.470662665
117	1.469837758
118	1.469835662
119	1.467765749
120	1.466877742
121	1.464417096
122	1.464264413
123	1.461895411
124	1.458875898
125	1.457128842
126	1.454826836
127	1.448284068
128	1.447679249
129	1.444578394
130	1.443985687
131	1.439128062
132	1.439124853
133	1.43761035
134	1.433914606
135	1.427588384
136	1.42756872
137	1.426979647
138	1.424960387
139	1.421933445
140	1.416942765
141	1.414884134
142	1.412657215
143	1.411477845
144	1.407114356
145	1.403145707
146	1.400749838
147	1.398694885
148	1.396017297
149	1.393279579
150	1.3932761
151	1.391949579
152	1.387896728
153	1.385003834
154	1.383760757
155	1.380721897
156	1.37818102
157	1.377719062
158	1.371948693
159	1.365355493
160	1.36528053
161	1.362011074
162	1.360588747
163	1.353226357
164	1.35250586
165	1.352503372
166	1.350889227
167	1.342952031
168	1.340125407
169	1.338734333
170	1.335215056
171	1.334756554
172	1.33307637
173	1.331537687
174	1.328608856
175	1.327468826
176	1.325649772
177	1.324467582
178	1.319757283
179	1.318484026
180	1.316956767
181	1.31453092
182	1.311825522
183	1.31116119
184	1.306090796
185	1.302661411
186	1.300914214
187	1.297433199
188	1.29339351
189	1.293365281
190	1.293347564
191	1.291390562
192	1.290222276
193	1.286107006
194	1.281033461
195	1.277991498
196	1.27151577
197	1.267495607
198	1.263323179
199	1.259861763
200	1.25809642
201	1.256759784
202	1.254897933
203	1.253813555
204	1.252384477
205	1.249647331
206	1.247710473
207	1.246921414
208	1.24397272
209	1.238400777
210	1.236064444
211	1.231058826
212	1.225502651
213	1.223051322
214	1.218069206
215	1.210657347
216	1.210651049
217	1.209497876
218	1.199706905
219	1.193995357
220	1.18661754
221	1.182718423
222	1.178447479
223	1.175447473
224	1.167029562
225	1.160695978
226	1.154506065
227	1.153247888
228	1.149925331
229	1.145153988
230	1.144161757
231	1.138776085
232	1.129816404
233	1.124533306
234	1.1198458
235	1.113164644
236	1.109672213
237	1.107101943
238	1.102389161
239	1.099745814
240	1.096065787
241	1.092587191
242	1.087715717
243	1.085338991
244	1.079526564
245	1.076047774
246	1.071220608
247	1.06928316
248	1.066103659
249	1.066018327
250	1.062067533
251	1.06117362
252	1.056883648
253	1.053274225
254	1.049370877
255	1.045457816
256	1.041217993
257	1.038117936
258	1.038039717
259	1.034090147
260	1.031424279
261	1.029400983
262	1.02727169
263	1.023164587
264	1.021314613
265	1.018615653
266	1.012383365
267	1.009692655
268	1.00789811
269	1.006085972
270	1.002036566
271	0.997763661
272	0.9943469727
273	0.9921997242
274	0.9887391639
275	0.9878322393
276	0.9847613288
277	0.9821740718
278	0.9791603279
279	0.9771836487
280	0.9760070107
281	0.9725923664
282	0.9690743415
283	0.9686100267
284	0.9684008113
285	0.9656252863
286	0.9626367257
287	0.9621786006
288	0.959774596
289	0.9582628151
290	0.9556065793
291	0.9534602199
292	0.9511390536
293	0.9510942811
294	0.9509905698
295	0.9501091543
296	0.9494243726
297	0.9483851741
298	0.9447703946
299	0.9423818842
300	0.9407251341
301	0.939574328
302	0.939424787
303	0.9383439564
304	0.9346445914
305	0.9318973141
306	0.9288200971
307	0.9257067123
308	0.923779561
309	0.9235923817
310	0.9215007278
311	0.9200344047
312	0.919010543
313	0.918808669
314	0.9161378832
315	0.9160405285
316	0.9141341377
317	0.9123835437
318	0.9122128303
319	0.9094033021
320	0.9083842497
321	0.9077517902
322	0.9074448188
323	0.90704081
324	0.9054956602
325	0.903194672
326	0.9013463146
327	0.8984822506
328	0.8982627894
329	0.8968856253
330	0.8965768761
331	0.895319125
332	0.8948427506
333	0.8946816855
334	0.892850621
335	0.8925949934
336	0.8919962674
337	0.8916969795
338	0.8899851957
339	0.8895848098
340	0.8893332724
