iter	Passed	Remaining
0	84	152866
1	182	164206
2	264	158647
3	368	165703
4	453	163113
5	550	164922
6	602	154587
7	642	144241
8	736	146777
9	830	148957
10	870	141806
11	978	146027
12	991	136540
13	1019	130339
14	1113	132781
15	1202	134248
16	1237	129989
17	1323	131233
18	1430	134316
19	1530	136422
20	1627	138112
21	1643	133036
22	1686	130485
23	1752	129923
24	1821	129514
25	1913	130798
26	2013	132461
27	2106	133559
28	2144	131199
29	2218	131142
30	2275	130062
31	2383	131905
32	2411	129344
33	2482	129154
34	2539	128261
35	2632	129208
36	2728	130250
37	2798	129990
38	2897	131067
39	2996	132055
40	3011	129415
41	3110	130436
42	3191	130630
43	3234	129325
44	3325	129925
45	3428	130966
46	3527	131801
47	3629	132699
48	3727	133442
49	3812	133653
50	3911	134362
51	4010	135058
52	4106	135591
53	4151	134472
54	4234	134578
55	4322	134834
56	4429	135667
57	4528	136237
58	4626	136767
59	4665	135540
60	4761	135983
61	4867	136694
62	4967	137195
63	5059	137485
64	5150	137718
65	5222	137447
66	5311	137634
67	5413	138132
68	5514	138573
69	5667	140304
70	5746	140176
71	5816	139839
72	5909	140040
73	5965	139384
74	6060	139636
75	6146	139670
76	6207	139134
77	6294	139205
78	6393	139517
79	6486	139696
80	6581	139926
81	6685	140309
82	6790	140712
83	6875	140693
84	6971	140903
85	7054	140853
86	7144	140920
87	7225	140814
88	7341	141393
89	7428	141390
90	7530	141679
91	7596	141273
92	7694	141472
93	7790	141637
94	7895	141957
95	7923	140883
96	8023	141115
97	8064	140306
98	8102	139457
99	8186	139411
100	8268	139336
101	8365	139499
102	8459	139625
103	8504	138936
104	8599	139058
105	8698	139255
106	8821	139822
107	8863	139100
108	8947	139059
109	8976	138159
110	9078	138388
111	9159	138288
112	9227	138003
113	9286	137580
114	9377	137638
115	9455	137516
116	9511	137059
117	9555	136446
118	9566	135380
119	9629	135055
120	9696	134785
121	9782	134792
122	9811	134014
123	9884	133836
124	9961	133724
125	10024	133420
126	10100	133300
127	10168	133069
128	10197	132329
129	10267	132128
130	10324	131772
131	10402	131684
132	10412	130749
133	10467	130371
134	10544	130286
135	10627	130259
136	10663	129675
137	10711	129238
138	10788	129150
139	10865	129068
140	10943	128991
141	11022	128931
142	11066	128468
143	11089	127755
144	11146	127459
145	11216	127296
146	11291	127204
147	11368	127129
148	11447	127069
149	11513	126878
150	11535	126206
151	11606	126069
152	11671	125863
153	11750	125827
154	11825	125733
155	11906	125705
156	11980	125608
157	12039	125348
158	12112	125233
159	12180	125074
160	12200	124425
161	12264	124236
162	12349	124249
163	12436	124291
164	12479	123886
165	12493	123199
166	12571	123158
167	12652	123135
168	12742	123201
169	12830	123244
170	12912	123231
171	12974	123036
172	13030	122770
173	13119	122823
174	13186	122675
175	13252	122508
176	13334	122492
177	13416	122485
178	13502	122504
179	13585	122492
180	13662	122436
181	13748	122450
182	13828	122417
183	13906	122365
184	13986	122328
185	14065	122278
186	14143	122220
187	14206	122039
188	14276	121912
189	14309	121476
190	14330	120945
191	14405	120874
192	14484	120829
193	14563	120785
194	14647	120783
195	14743	120883
196	14815	120779
197	14905	120827
198	14984	120781
199	15069	120784
200	15112	120450
201	15187	120374
202	15257	120257
203	15338	120229
204	15396	120020
205	15474	119965
206	15549	119889
207	15586	119517
208	15652	119375
209	15729	119315
210	15805	119256
211	15884	119210
212	15967	119195
213	16046	119148
214	16120	119070
215	16193	118973
216	16215	118511
217	16285	118405
218	16365	118369
219	16447	118347
220	16526	118301
221	16594	118180
222	16669	118105
223	16755	118113
224	16831	118046
225	16913	118020
226	16991	117968
227	17068	117905
228	17139	117807
229	17209	117700
230	17283	117615
231	17363	117575
232	17443	117535
233	17521	117485
234	17603	117454
235	17691	117471
236	17768	117408
237	17845	117345
238	17935	117369
239	18017	117337
240	18095	117283
241	18164	117170
242	18234	117057
243	18306	116964
244	18385	116915
245	18463	116861
246	18545	116829
247	18623	116773
248	18715	116801
249	18769	116595
250	18849	116549
251	18928	116501
252	19004	116431
253	19090	116422
254	19158	116303
255	19223	116165
256	19297	116086
257	19378	116044
258	19423	115793
259	19503	115743
260	19584	115705
261	19673	115714
262	19750	115651
263	19829	115598
264	19905	115525
265	19996	115541
266	20086	115553
267	20155	115444
268	20218	115296
269	20288	115191
270	20367	115139
271	20446	115087
272	20528	115048
273	20605	114984
274	20686	114940
275	20762	114871
276	20843	114824
277	20922	114773
278	21005	114741
279	21072	114621
280	21144	114524
281	21217	114438
282	21292	114364
283	21370	114301
284	21435	114174
285	21512	114106
286	21597	114083
287	21677	114031
288	21758	113986
289	21841	113954
290	21915	113872
291	21998	113833
292	22079	113788
293	22128	113576
294	22212	113548
295	22286	113466
296	22361	113390
297	22442	113341
298	22526	113312
299	22612	113287
300	22694	113247
301	22773	113186
302	22829	113019
303	22919	113016
304	22998	112956
305	23077	112896
306	23146	112792
307	23208	112651
308	23278	112551
309	23356	112485
310	23447	112486
311	23523	112416
312	23602	112359
313	23689	112336
314	23765	112264
315	23842	112196
316	23918	112122
317	24003	112090
318	24079	112017
319	24147	111909
320	24225	111845
321	24298	111757
322	24377	111697
323	24457	111643
324	24546	111627
325	24623	111562
326	24712	111546
327	24791	111486
328	24865	111402
329	24944	111343
330	25038	111350
331	25110	111258
332	25180	111158
333	25244	111031
334	25325	110979
335	25403	110912
336	25493	110899
337	25572	110838
338	25650	110773
339	25724	110689
340	25801	110619
341	25874	110532
342	25967	110530
343	26041	110447
344	26123	110399
345	26182	110255
346	26236	110087
347	26316	110031
348	26397	109978
349	26471	109893
350	26550	109832
351	26631	109780
352	26724	109775
353	26806	109723
354	26881	109647
355	26959	109581
356	27045	109543
357	27110	109424
358	27182	109336
359	27248	109219
360	27322	109140
361	27401	109074
362	27476	108998
363	27557	108944
364	27651	108938
365	27728	108866
366	27833	108906
367	27910	108836
368	27995	108797
369	28075	108736
370	28140	108616
371	28206	108502
372	28266	108369
373	28339	108280
374	28419	108219
375	28502	108174
376	28584	108120
377	28659	108041
378	28736	107968
379	28815	107905
380	28890	107826
381	28966	107753
382	29048	107699
383	29122	107617
384	29189	107506
385	29255	107397
386	29351	107396
387	29432	107336
