lon,lat,lnBCF_pred
85.305550,45.118772,4.709213
122.935952,45.419420,4.459940
84.734142,45.010015,5.507502
85.360940,45.124196,4.388870
85.314569,45.111372,4.744755
84.683706,44.991638,5.593580
84.798326,45.008357,4.611985
84.804280,45.009456,4.813065
85.355024,45.105097,4.388870
84.801424,44.999910,4.842898
84.813331,45.002107,4.783124
84.804522,44.991462,4.827363
84.795715,44.980817,4.819541
84.801666,44.981916,4.906647
84.769064,44.966873,5.521549
84.775013,44.967973,5.750556
84.804761,44.973468,4.710845
84.810712,44.974567,4.757923
85.365612,45.075427,4.513163
85.377577,45.077568,4.688637
85.325258,45.063686,4.393083
84.950749,44.991290,4.703866
85.302857,45.055155,4.248444
85.308835,45.056229,4.225141
85.314814,45.057302,4.408618
85.320792,45.058375,4.305758
85.326771,45.059448,4.438188
85.344710,45.062665,4.360132
85.350691,45.063736,4.340014
85.932371,45.166283,4.597802
84.732088,44.946500,5.178936
84.940371,44.984879,5.044816
85.328285,45.055210,4.469260
85.933845,45.162030,4.728653
85.323819,45.049900,4.438188
85.353714,45.055259,4.420351
85.295448,45.040296,4.135750
85.307401,45.042443,4.195376
85.355225,45.051021,4.236732
85.361205,45.052092,4.202474
85.022438,44.986355,4.425460
84.708577,44.924104,5.092640
84.714519,44.925206,5.585510
84.930388,44.942468,4.751805
85.033153,44.956746,3.978382
85.117242,44.881872,4.612293
83.600213,44.590591,4.555533
85.035459,44.862489,4.343678
83.613555,44.588706,4.821503
83.619420,44.589858,4.603626
83.603440,44.582210,4.606245
85.074196,44.860527,4.511156
83.635984,44.579587,4.571378
83.641849,44.580738,4.610216
83.750159,44.561365,4.869766
83.979248,44.605803,4.625219
83.640351,44.535371,4.578837
83.647819,44.532329,4.426431
84.133186,44.531710,4.005114
84.148088,44.525547,4.689072
84.202584,44.531441,4.406768
84.151229,44.517135,4.130319
84.211599,44.524146,4.300631
84.321337,44.499930,4.145855
84.665398,44.505927,4.144678
85.599817,44.661837,4.882118
86.393480,44.780968,5.076152
86.429420,44.787033,5.039539
84.654071,44.467779,4.003884
86.388912,44.775691,4.708211
86.409717,44.770194,5.116477
86.415705,44.771204,5.119096
86.418542,44.762672,4.892855
86.413972,44.757396,4.820325
86.419959,44.758406,5.119096
86.437923,44.761434,4.803304
86.409403,44.752119,4.890235
86.415389,44.753130,4.866932
86.445328,44.758176,4.882118
86.454146,44.750651,5.007888
86.476351,44.740871,4.540307
86.476012,44.722794,5.484316
85.832829,44.608136,5.434183
85.838781,44.609174,5.611658
85.844732,44.610212,5.395344
85.856637,44.612286,5.262114
86.435532,44.711476,4.756697
86.441516,44.712484,4.900623
86.032275,44.633717,4.781486
86.444342,44.703950,5.409702
86.522146,44.717025,4.842143
86.489050,44.702461,5.571641
85.359252,44.501916,4.035325
86.466526,44.694170,5.448541
86.514398,44.702212,5.221396
85.366657,44.498737,3.924263
85.782068,44.572243,4.579145
86.479902,44.691915,5.587177
85.599371,44.535620,4.426842
85.605306,44.536668,4.028193
85.611242,44.537717,4.067032
85.623115,44.539812,3.958283
85.777577,44.566953,4.695732
85.814706,44.568937,4.753833
85.820653,44.569975,4.600963
86.494686,44.685389,5.540570
86.542558,44.693418,4.803304
86.548543,44.694420,4.586913
85.400713,44.491314,3.832688
86.543963,44.689148,4.900623
86.549948,44.690150,4.515123
85.402191,44.487074,3.838602
85.408115,44.488132,3.844352
85.704697,44.540663,4.378647
86.234600,44.632372,4.889885
86.461616,44.670821,5.029545
86.509467,44.678861,5.010508
86.521433,44.680868,4.854016
