lon,lat,lnBCF_pred
85.305550,45.118772,2.985056
122.935952,45.419420,2.626113
84.734142,45.010015,3.669720
85.360940,45.124196,2.623093
85.314569,45.111372,2.985719
84.683706,44.991638,3.701174
84.798326,45.008357,2.772547
84.804280,45.009456,2.975134
85.355024,45.105097,2.623093
84.801424,44.999910,3.018923
84.813331,45.002107,2.998183
84.804522,44.991462,3.003388
84.795715,44.980817,3.038188
84.801666,44.981916,3.101499
84.769064,44.966873,3.561536
84.775013,44.967973,3.913456
84.804761,44.973468,2.886871
84.810712,44.974567,2.959853
85.365612,45.075427,2.647611
85.377577,45.077568,2.831315
85.325258,45.063686,2.534009
84.950749,44.991290,2.913458
85.302857,45.055155,2.390680
85.308835,45.056229,2.367377
85.314814,45.057302,2.549545
85.320792,45.058375,2.423753
85.326771,45.059448,2.557935
85.344710,45.062665,2.478127
85.350691,45.063736,2.449779
85.932371,45.166283,2.833306
84.732088,44.946500,3.271937
84.940371,44.984879,3.302120
85.328285,45.055210,2.589006
85.933845,45.162030,2.871800
85.323819,45.049900,2.557935
85.353714,45.055259,2.540097
85.295448,45.040296,2.245514
85.307401,45.042443,2.306450
85.355225,45.051021,2.346496
85.361205,45.052092,2.320469
85.022438,44.986355,2.535225
84.708577,44.924104,3.172164
84.714519,44.925206,3.693509
84.930388,44.942468,2.912367
85.033153,44.956746,2.151094
85.117242,44.881872,2.813715
83.600213,44.590591,2.649458
85.035459,44.862489,2.518948
83.613555,44.588706,2.957719
83.619420,44.589858,2.738092
83.603440,44.582210,2.634663
85.074196,44.860527,2.760038
83.635984,44.579587,2.706161
83.641849,44.580738,2.745000
83.750159,44.561365,2.903409
83.979248,44.605803,2.729130
83.640351,44.535371,2.672761
83.647819,44.532329,2.521665
84.133186,44.531710,2.276612
84.148088,44.525547,2.823537
84.202584,44.531441,2.500223
84.151229,44.517135,2.397152
84.211599,44.524146,2.421061
84.321337,44.499930,2.412688
84.665398,44.505927,2.411828
85.599817,44.661837,2.970246
86.393480,44.780968,3.145220
86.429420,44.787033,3.020169
84.654071,44.467779,2.230811
86.388912,44.775691,2.780486
86.409717,44.770194,3.226873
86.415705,44.771204,3.122658
86.418542,44.762672,2.922555
86.413972,44.757396,2.956860
86.419959,44.758406,3.122658
86.437923,44.761434,2.898510
86.409403,44.752119,3.026770
86.415389,44.753130,3.003467
86.445328,44.758176,2.970246
86.454146,44.750651,3.137345
86.476351,44.740871,2.675089
86.476012,44.722794,3.452880
85.832829,44.608136,3.424235
85.838781,44.609174,3.603622
85.844732,44.610212,3.385396
85.856637,44.612286,3.251697
86.435532,44.711476,2.851903
86.441516,44.712484,2.930322
86.032275,44.633717,2.918021
86.444342,44.703950,3.399285
86.522146,44.717025,2.937349
86.489050,44.702461,3.563137
85.359252,44.501916,2.289745
86.466526,44.694170,3.438124
86.514398,44.702212,3.188048
85.366657,44.498737,2.180450
85.782068,44.572243,2.713929
86.479902,44.691915,3.578672
85.599371,44.535620,2.597165
85.605306,44.536668,2.309677
85.611242,44.537717,2.348516
85.623115,44.539812,2.239767
85.777577,44.566953,2.791408
85.814706,44.568937,2.782251
85.820653,44.569975,2.694418
86.494686,44.685389,3.532065
86.542558,44.693418,2.898510
86.548543,44.694420,2.721696
85.400713,44.491314,2.081847
86.543963,44.689148,2.930322
86.549948,44.690150,2.626976
85.402191,44.487074,2.091634
85.408115,44.488132,2.108675
85.704697,44.540663,2.473411
86.234600,44.632372,2.978014
86.461616,44.670821,3.098613
86.509467,44.678861,3.033130
86.521433,44.680868,2.883716
86.539384,44.683877,3.114890
85.700217,44.535372,2.474152
85.795282,44.552031,2.673547
85.807171,44.554108,2.619595
86.182328,44.618943,2.996558
86.188293,44.619963,2.995699
85.695737,44.530080,2.421061
86.509111,44.660784,3.114890
85.587364,44.497463,2.216779
86.486599,44.652499,3.343404
86.492578,44.653504,3.382970
86.516498,44.657518,3.040156
85.899105,44.543098,2.945858
86.513328,44.647978,3.152987
86.525288,44.649984,3.064201
86.081957,44.561193,3.161496
85.793288,44.484122,2.870691
86.597697,44.621559,2.994291
86.300516,44.567016,2.931228
86.593115,44.616290,2.977835
85.808060,44.477695,2.403864
86.290006,44.560727,2.916434
86.606471,44.614016,2.907019
86.612450,44.615013,3.090845
86.684228,44.626960,2.729464
85.803572,44.472408,2.549565
86.697586,44.624674,2.791408
86.739478,44.631618,2.491415
85.947576,44.492958,3.400932
86.126028,44.523723,2.820832
86.615242,44.606471,3.001879
86.621221,44.607468,3.217518
86.746851,44.628334,2.768303
86.009897,44.494730,3.201982
86.140787,44.517247,2.893448
86.319520,44.547723,2.985603
86.737656,44.617804,2.931228
86.625406,44.594654,3.009085
86.649320,44.598637,2.859671
86.728463,44.607274,3.024442
86.139112,44.503449,2.765975
86.104836,44.493064,3.040718
86.023010,44.474476,3.251099
86.368319,44.533471,2.892389
86.374282,44.534480,2.893130
86.380246,44.535488,2.877594
86.393581,44.533238,2.994111
86.383064,44.526957,2.791408
86.591944,44.562049,2.934416
86.759322,44.589863,3.205090
86.146235,44.482152,2.696064
86.432180,44.530743,2.923460
86.284575,44.501257,2.163064
86.344156,44.511367,2.419596
86.397805,44.520441,2.649137
86.781418,44.580004,2.821573
86.430431,44.516938,2.641370
86.794764,44.577703,2.867634
86.503412,44.524710,2.869086
86.630170,44.541405,2.776931
86.404838,44.499111,2.753627
86.418164,44.496857,2.318615
86.395730,44.488567,2.901215
86.809025,44.553035,2.975324
86.780509,44.543827,3.143450
86.786488,44.544814,3.295794
86.795225,44.537249,3.256954
86.730869,44.522107,3.117712
86.713895,44.496779,3.161496
86.821423,44.514550,2.732393
86.826383,44.420811,2.654715
86.876866,44.420108,2.621997
124.135190,43.722490,2.717333
124.146917,43.720449,2.789454
123.398910,43.825442,2.395038
123.404809,43.824458,2.387270
123.410709,43.823473,2.368732
123.416608,43.822488,2.392035
123.397551,43.821170,2.379503
123.409349,43.819202,2.379503
123.415248,43.818217,2.363451
123.421146,43.817232,2.321609
123.427044,43.816247,2.298305
123.413888,43.813946,2.368732
123.419786,43.812962,2.368216
123.425683,43.811977,2.329377
123.431581,43.810991,2.360964
123.388935,43.813611,2.529393
123.400732,43.811644,2.403804
123.418426,43.808691,2.345429
123.424323,43.807706,2.353197
123.430220,43.806721,2.448195
123.393475,43.808356,2.454670
123.417066,43.804420,2.352680
123.422963,43.803435,2.488252
123.428860,43.802450,2.496020
123.440652,43.800479,2.457181
123.446548,43.799493,2.353197
123.415707,43.800149,2.464432
123.421603,43.799164,2.507811
123.427500,43.798179,2.457181
123.433396,43.797194,2.433877
123.414348,43.795878,2.321609
123.420244,43.794893,2.368732
123.426140,43.793909,2.441645
123.432035,43.792924,2.344912
123.437931,43.791938,2.363451
123.443826,43.790953,2.368216
123.401196,43.793575,2.355683
123.424780,43.789638,2.337144
123.430676,43.788653,2.355683
123.436570,43.787668,2.378986
123.460147,43.783724,2.470205
123.489611,43.778789,2.375983
123.399839,43.789303,2.379503
123.423421,43.785367,2.402806
123.435211,43.783397,2.392035
123.441105,43.782412,2.395038
123.446999,43.781427,2.472716
123.452892,43.780441,2.410574
123.458786,43.779455,2.410574
123.488248,43.774519,2.458966
123.505922,43.771555,2.394522
123.410272,43.783065,2.384760
123.427957,43.780112,2.410574
123.445638,43.777156,2.464948
123.451532,43.776171,2.426109
123.463317,43.774198,2.498322
123.469210,43.773212,2.433877
123.475102,43.772225,2.457181
123.480994,43.771238,2.482269
123.492776,43.769262,2.387270
123.498667,43.768274,2.363451
123.403019,43.779777,2.381757
123.408914,43.778794,2.397293
123.414809,43.777810,2.389525
123.450171,43.771901,2.418342
123.456064,43.770915,2.426109
123.461956,43.769928,2.603326
123.467848,43.768942,2.490554
123.473740,43.767955,2.449413
123.479631,43.766968,2.506089
123.485522,43.765981,2.410574
123.407557,43.774523,2.490554
123.413451,43.773539,2.400295
123.419345,43.772555,2.397293
123.425239,43.771570,2.433877
123.431132,43.770586,2.431366
123.437026,43.769601,2.511346
123.442918,43.768616,2.475018
123.448811,43.767630,2.475018
123.454703,43.766645,2.399803
123.460595,43.765659,2.491759
123.466487,43.764672,2.415831
123.472378,43.763686,2.503579
123.484160,43.761712,2.358453
123.412094,43.769268,2.472507
123.417987,43.768284,2.426109
123.423881,43.767300,2.410574
123.429774,43.766315,2.519114
123.435667,43.765331,2.464740
123.441559,43.764346,2.488043
123.447451,43.763360,2.642165
123.482798,43.757442,2.423599
123.416630,43.764013,2.392528
123.422523,43.763029,2.389525
123.428415,43.762045,2.717333
123.434308,43.761060,2.550185
123.451983,43.758105,2.439134
123.364059,43.754786,2.479968
123.381740,43.751842,2.479968
123.374492,43.748551,2.472200
123.492294,43.728866,2.511346
123.485046,43.725583,2.431366
123.490933,43.724597,2.503579
123.489572,43.720327,2.384760
123.495458,43.719340,2.387270
123.488212,43.716058,2.394522
123.494098,43.715071,2.544412
123.505868,43.713097,2.425409
123.480966,43.712775,2.371218
123.492737,43.710802,2.559947
123.498622,43.709815,2.451198
123.504507,43.708828,2.417124
123.510392,43.707840,2.482786
123.516276,43.706853,2.474502
123.473721,43.709492,2.531114
123.479606,43.708506,2.379503
123.485492,43.707520,2.360964
123.491377,43.706533,2.363903
123.497261,43.705546,2.466669
123.503146,43.704559,2.464247
123.509030,43.703572,2.384268
123.514914,43.702584,2.474502
123.466476,43.706208,2.516812
123.472362,43.705222,2.470205
123.478247,43.704237,2.353197
123.484132,43.703250,2.410574
123.490017,43.702264,2.371670
123.495901,43.701277,2.368216
123.501785,43.700290,2.352680
123.507669,43.699303,2.529393
123.513553,43.698316,2.410574
123.519436,43.697328,2.418342
123.525319,43.696340,2.457181
123.476888,43.699967,2.384268
123.482773,43.698981,2.378986
123.488657,43.697995,2.441128
123.494541,43.697008,2.386754
123.500425,43.696021,2.441128
