lon,lat,lnBCF_pred
83.269984,46.658163,2.452890
83.022076,46.250551,2.771747
83.028091,46.251768,2.771827
125.105743,45.725529,3.169078
124.003541,45.890273,3.035098
123.927778,45.822070,3.089283
123.944543,45.814671,2.975597
123.936958,45.811462,3.184845
124.083093,45.732044,3.199808
124.080200,45.687410,3.047744
123.653155,45.756093,2.998894
123.657772,45.750798,3.040663
123.583199,45.758887,3.249670
123.581732,45.754622,3.225000
82.260132,44.963028,2.430602
82.256018,44.957648,2.218075
82.251905,44.952268,2.449702
124.178810,45.638660,3.098013
82.259481,44.949347,2.499258
82.265326,44.950576,2.389468
124.246959,45.613208,2.954713
124.253013,45.612147,3.096686
124.233341,45.611079,3.203115
124.245449,45.608959,3.120201
124.251502,45.607899,3.206811
124.237885,45.605770,2.963189
124.243938,45.604710,3.059736
124.249991,45.603650,3.086244
124.262096,45.601529,2.963189
124.236376,45.601521,2.909112
124.242428,45.600462,3.133173
124.248481,45.599402,3.129428
124.254533,45.598342,3.088875
124.266636,45.596220,2.927659
124.228814,45.598332,2.687337
124.234867,45.597273,3.086746
124.240919,45.596213,3.154057
124.213693,45.591951,3.199808
125.327594,45.391078,3.054279
125.332003,45.385745,3.020690
124.349749,45.522946,3.266193
124.330114,45.521890,3.021712
124.336155,45.520827,3.053039
124.342195,45.519763,3.042597
124.348235,45.518700,3.079547
124.328602,45.517644,3.032155
124.334643,45.516581,3.053039
124.340683,45.515517,3.061702
124.346722,45.514454,3.164499
124.327091,45.513397,3.168482
124.333130,45.512334,3.089989
124.339170,45.511271,3.221662
124.351248,45.509144,3.197689
124.319539,45.510213,3.097188
124.325579,45.509151,2.943960
124.331619,45.508088,3.242546
124.337658,45.507025,3.178924
124.311989,45.507028,3.163213
124.318029,45.505966,3.076304
124.324068,45.504904,3.132497
124.330107,45.503842,3.211219
124.316518,45.501720,3.142329
124.322557,45.500657,3.261174
124.328596,45.499595,3.154057
124.334634,45.498532,3.168482
124.315008,45.497473,3.250732
124.339161,45.493223,3.080887
124.584884,45.445148,2.843946
124.336139,45.484731,2.959830
124.333118,45.476238,3.168482
124.339153,45.475175,3.168482
124.345189,45.474112,3.171197
124.351224,45.473049,3.049294
124.337643,45.470929,3.139870
124.343678,45.469866,2.910979
124.336133,45.466683,3.089989
124.342168,45.465620,3.089989
124.348202,45.464557,3.154057
124.360269,45.462431,3.021712
124.345181,45.456065,3.079547
124.351215,45.455002,3.021712
124.375328,45.432703,3.093860
80.488890,44.249300,2.615138
80.490703,44.245205,2.263322
80.496401,44.246508,2.513179
85.096873,45.184815,2.546437
80.689723,44.263462,2.498080
80.701140,44.266049,2.324692
80.718267,44.269927,2.397786
80.723977,44.271220,2.397786
80.697231,44.260654,2.498080
80.693323,44.255259,2.431308
80.699030,44.256552,2.554827
80.712245,44.255035,2.439554
80.742586,44.257390,2.408304
80.706224,44.240143,2.082608
80.645279,44.221812,2.181658
80.650980,44.223107,2.192100
80.811966,44.155823,1.804267
80.819454,44.153002,1.674749
80.809833,44.146326,1.449239
80.815535,44.147611,1.617466
80.821238,44.148896,1.540418
80.826940,44.150180,1.730731
80.832644,44.151464,1.844437
80.823021,44.144790,1.707490
80.830507,44.141967,1.879995
80.853320,44.147101,1.758285
80.701242,44.108269,1.640812
80.706935,44.109559,1.713906
