lon,lat,lnBCF_pred
85.305550,45.118772,3.974431
122.935952,45.419420,3.635860
84.734142,45.010015,4.714246
85.360940,45.124196,3.683933
85.314569,45.111372,3.937726
84.683706,44.991638,4.523440
84.798326,45.008357,3.666315
84.804280,45.009456,3.901136
85.355024,45.105097,3.683933
84.801424,44.999910,3.977028
84.813331,45.002107,3.859296
84.804522,44.991462,3.961493
84.795715,44.980817,4.118071
84.801666,44.981916,4.155949
84.769064,44.966873,4.440500
84.775013,44.967973,4.770226
84.804761,44.973468,3.844975
84.810712,44.974567,4.008851
85.365612,45.075427,3.606649
85.377577,45.077568,3.792424
85.325258,45.063686,3.502317
84.950749,44.991290,3.966441
85.302857,45.055155,3.358988
85.308835,45.056229,3.335685
85.314814,45.057302,3.517853
85.320792,45.058375,3.365142
85.326771,45.059448,3.492125
85.344710,45.062665,3.419517
85.350691,45.063736,3.389098
85.932371,45.166283,3.886829
84.732088,44.946500,4.047158
84.940371,44.984879,4.289359
85.328285,45.055210,3.523196
85.933845,45.162030,3.833028
85.323819,45.049900,3.492125
85.353714,45.055259,3.474288
85.295448,45.040296,3.184833
85.307401,45.042443,3.245769
85.355225,45.051021,3.285815
85.361205,45.052092,3.261858
85.022438,44.986355,3.474544
84.708577,44.924104,4.020205
84.714519,44.925206,4.514571
84.930388,44.942468,3.806136
85.033153,44.956746,3.147649
85.117242,44.881872,3.641819
83.600213,44.590591,3.481027
85.035459,44.862489,3.515875
83.613555,44.588706,3.717331
83.619420,44.589858,3.504903
83.603440,44.582210,3.408624
85.074196,44.860527,3.719022
83.635984,44.579587,3.472066
83.641849,44.580738,3.510906
83.750159,44.561365,3.688219
83.979248,44.605803,3.594388
83.640351,44.535371,3.504330
83.647819,44.532329,3.353234
84.133186,44.531710,3.117375
84.148088,44.525547,3.590348
84.202584,44.531441,3.331674
84.151229,44.517135,3.294255
84.211599,44.524146,3.274162
84.321337,44.499930,3.309792
84.665398,44.505927,3.308027
85.599817,44.661837,3.799950
86.393480,44.780968,3.959454
86.429420,44.787033,3.749876
84.654071,44.467779,3.189415
86.388912,44.775691,3.577819
86.409717,44.770194,3.975562
86.415705,44.771204,3.879283
86.418542,44.762672,3.689199
86.413972,44.757396,3.715567
86.419959,44.758406,3.879283
86.437923,44.761434,3.722762
86.409403,44.752119,3.785477
86.415389,44.753130,3.762173
86.445328,44.758176,3.799950
86.454146,44.750651,3.901503
86.476351,44.740871,3.440995
86.476012,44.722794,4.220366
85.832829,44.608136,4.187729
85.838781,44.609174,4.398145
85.844732,44.610212,4.148890
85.856637,44.612286,4.015073
86.435532,44.711476,3.676156
86.441516,44.712484,3.696967
86.032275,44.633717,3.676728
86.444342,44.703950,4.162661
86.522146,44.717025,3.761601
86.489050,44.702461,4.357541
85.359252,44.501916,3.156136
86.466526,44.694170,4.201500
86.514398,44.702212,3.924505
85.366657,44.498737,2.983551
85.782068,44.572243,3.479835
86.479902,44.691915,4.373076
85.599371,44.535620,3.422454
85.605306,44.536668,3.184130
85.611242,44.537717,3.222969
85.623115,44.539812,3.114220
85.777577,44.566953,3.615778
85.814706,44.568937,3.556212
85.820653,44.569975,3.525869
86.494686,44.685389,4.326469
86.542558,44.693418,3.722762
86.548543,44.694420,3.487602
85.400713,44.491314,2.832147
86.543963,44.689148,3.696967
86.549948,44.690150,3.365963
85.402191,44.487074,2.875782
85.408115,44.488132,2.948932
85.704697,44.540663,3.304862
86.234600,44.632372,3.807718
86.461616,44.670821,3.912847
86.509467,44.678861,3.805225
86.521433,44.680868,3.650360
86.539384,44.683877,3.871516
85.700217,44.535372,3.247995
85.795282,44.552031,3.465985
85.807171,44.554108,3.458625
86.182328,44.618943,3.756170
86.188293,44.619963,3.754405
85.695737,44.530080,3.274162
86.509111,44.660784,3.871516
85.587364,44.497463,3.001831
86.486599,44.652499,4.079860
86.492578,44.653504,4.150455
86.516498,44.657518,3.869860
85.899105,44.543098,3.712502
86.513328,44.647978,3.967222
86.525288,44.649984,3.836297
86.081957,44.561193,3.918122
85.793288,44.484122,3.655383
86.597697,44.621559,3.766386
86.300516,44.567016,3.755598
86.593115,44.616290,3.802205
85.808060,44.477695,3.224984
86.290006,44.560727,3.683196
86.606471,44.614016,3.673663
86.612450,44.615013,3.905080
86.684228,44.626960,3.495370
85.803572,44.472408,3.357098
86.697586,44.624674,3.615778
86.739478,44.631618,3.230402
85.947576,44.492958,4.164426
86.126028,44.523723,3.645084
86.615242,44.606471,3.768641
86.621221,44.607468,3.974262
86.746851,44.628334,3.534209
86.009897,44.494730,3.958726
86.140787,44.517247,3.660259
86.319520,44.547723,3.809973
86.737656,44.617804,3.755598
86.625406,44.594654,3.838789
86.649320,44.598637,3.683923
86.728463,44.607274,3.848812
86.139112,44.503449,3.597544
86.104836,44.493064,3.807480
86.023010,44.474476,4.025892
86.368319,44.533471,3.716759
86.374282,44.534480,3.659892
86.380246,44.535488,3.644356
86.393581,44.533238,3.760873
86.383064,44.526957,3.615778
86.591944,44.562049,3.694028
86.759322,44.589863,3.968466
86.146235,44.482152,3.527634
86.432180,44.530743,3.747831
86.284575,44.501257,3.121915
86.344156,44.511367,3.315794
86.397805,44.520441,3.415948
86.781418,44.580004,3.588217
86.430431,44.516938,3.408181
86.794764,44.577703,3.623351
86.503412,44.524710,3.693456
86.630170,44.541405,3.543741
86.404838,44.499111,3.520438
86.418164,44.496857,3.214813
86.395730,44.488567,3.668026
86.809025,44.553035,3.788601
86.780509,44.543827,3.888983
86.786488,44.544814,4.048076
86.795225,44.537249,4.009237
86.730869,44.522107,3.878832
86.713895,44.496779,3.918122
86.821423,44.514550,3.552869
86.826383,44.420811,3.475191
86.876866,44.420108,3.442355
124.135190,43.722490,3.693390
124.146917,43.720449,3.853463
123.398910,43.825442,3.332804
123.404809,43.824458,3.325037
123.410709,43.823473,3.294658
123.416608,43.822488,3.317961
123.397551,43.821170,3.317269
123.409349,43.819202,3.317269
123.415248,43.818217,3.316858
123.421146,43.817232,3.263176
123.427044,43.816247,3.239872
123.413888,43.813946,3.294658
123.419786,43.812962,3.309783
123.425683,43.811977,3.270943
123.431581,43.810991,3.286891
123.388935,43.813611,3.467159
123.400732,43.811644,3.330477
123.418426,43.808691,3.271355
123.424323,43.807706,3.279123
123.430220,43.806721,3.389763
123.393475,43.808356,3.374387
123.417066,43.804420,3.294247
123.422963,43.803435,3.426018
123.428860,43.802450,3.433786
123.440652,43.800479,3.394947
123.446548,43.799493,3.279123
123.415707,43.800149,3.417839
123.421603,43.799164,3.501917
123.427500,43.798179,3.394947
123.433396,43.797194,3.371644
123.414348,43.795878,3.263176
123.420244,43.794893,3.294658
123.426140,43.793909,3.379411
123.432035,43.792924,3.286479
123.437931,43.791938,3.316858
123.443826,43.790953,3.309783
123.401196,43.793575,3.309090
123.424780,43.789638,3.278712
123.430676,43.788653,3.309090
123.436570,43.787668,3.332393
123.460147,43.783724,3.389923
123.489611,43.778789,3.317551
123.399839,43.789303,3.317269
123.423421,43.785367,3.340572
123.435211,43.783397,3.317961
123.441105,43.782412,3.332804
123.446999,43.781427,3.410482
123.452892,43.780441,3.348340
123.458786,43.779455,3.348340
123.488248,43.774519,3.412373
123.505922,43.771555,3.347929
123.410272,43.783065,3.304477
123.427957,43.780112,3.348340
123.445638,43.777156,3.402714
123.451532,43.776171,3.363876
123.463317,43.774198,3.436088
123.469210,43.773212,3.371644
123.475102,43.772225,3.394947
123.480994,43.771238,3.435677
123.492776,43.769262,3.325037
123.498667,43.768274,3.316858
123.403019,43.779777,3.289635
123.408914,43.778794,3.305170
123.414809,43.777810,3.297402
123.450171,43.771901,3.356108
123.456064,43.770915,3.363876
123.461956,43.769928,3.597433
123.467848,43.768942,3.428320
123.473740,43.767955,3.387179
123.479631,43.766968,3.443855
123.485522,43.765981,3.348340
123.407557,43.774523,3.428320
123.413451,43.773539,3.320013
123.419345,43.772555,3.305170
123.425239,43.771570,3.371644
123.431132,43.770586,3.351084
123.437026,43.769601,3.431064
123.442918,43.768616,3.412785
123.448811,43.767630,3.412785
123.454703,43.766645,3.325729
123.460595,43.765659,3.501506
123.466487,43.764672,3.335548
123.472378,43.763686,3.423296
123.484160,43.761712,3.266331
123.412094,43.769268,3.392225
123.417987,43.768284,3.363876
123.423881,43.767300,3.348340
123.429774,43.766315,3.438832
123.435667,43.765331,3.384457
123.441559,43.764346,3.407761
123.447451,43.763360,3.636272
123.482798,43.757442,3.343316
123.416630,43.764013,3.312245
123.422523,43.763029,3.297402
123.428415,43.762045,3.693390
123.434308,43.761060,3.469903
123.451983,43.758105,3.358852
123.364059,43.754786,3.433375
123.381740,43.751842,3.433375
123.374492,43.748551,3.425607
123.492294,43.728866,3.431064
123.485046,43.725583,3.351084
123.490933,43.724597,3.423296
123.489572,43.720327,3.304477
123.495458,43.719340,3.325037
123.488212,43.716058,3.347929
123.494098,43.715071,3.497819
123.505868,43.713097,3.351334
123.480966,43.712775,3.324625
123.492737,43.710802,3.513355
123.498622,43.709815,3.404605
123.504507,43.708828,3.358691
123.510392,43.707840,3.420552
123.516276,43.706853,3.427909
123.473721,43.709492,3.525220
123.479606,43.708506,3.317269
123.485492,43.707520,3.286891
123.491377,43.706533,3.249266
123.497261,43.705546,3.367673
123.503146,43.704559,3.390173
123.509030,43.703572,3.310194
123.514914,43.702584,3.427909
123.466476,43.706208,3.436530
123.472362,43.705222,3.389923
123.478247,43.704237,3.279123
123.484132,43.703250,3.348340
123.490017,43.702264,3.257034
123.495901,43.701277,3.309783
123.501785,43.700290,3.294247
123.507669,43.699303,3.467159
123.513553,43.698316,3.348340
123.519436,43.697328,3.356108
123.525319,43.696340,3.394947
123.476888,43.699967,3.310194
123.482773,43.698981,3.332393
123.488657,43.697995,3.394536
123.494541,43.697008,3.340161
123.500425,43.696021,3.394536
123.506308,43.695034,3.379411
123.512191,43.694047,3.363876
123.518074,43.693059,3.402714
123.523957,43.692071,3.331220
123.475529,43.695698,3.296710
123.487298,43.693726,3.456678
123.493181,43.692739,3.379000
123.499065,43.691753,3.317551
123.504948,43.690766,3.317269
123.510831,43.689778,3.325729
123.516713,43.688791,3.394947
123.474171,43.691428,3.309090
123.480055,43.690442,3.355697
123.485938,43.689456,3.324625
123.497705,43.687484,3.255408
123.472813,43.687158,3.436088
123.484580,43.685187,3.397941
123.502228,43.682228,3.316858
123.508110,43.681241,3.319934
123.483221,43.680918,3.413477
123.489104,43.679932,3.278712
123.494986,43.678945,3.270943
123.500868,43.677959,3.239872
123.512631,43.675985,3.202245
123.518512,43.674998,3.272154
123.481863,43.676648,3.335799
123.487745,43.675662,3.351334
123.493627,43.674676,3.247640
123.499509,43.673690,3.247640
123.505390,43.672703,3.343077
123.511271,43.671716,3.412294
123.517152,43.670729,3.351006
123.486387,43.671393,3.266331
123.492268,43.670407,3.309783
123.498150,43.669421,3.396838
123.504031,43.668434,3.290488
123.509911,43.667448,3.327702
123.527551,43.664486,3.355697
123.490910,43.666138,3.255408
123.496791,43.665152,3.294247
123.508552,43.663179,3.227414
123.520311,43.661205,3.396838
123.483671,43.662855,3.431064
123.488194,43.657600,3.340572
123.494074,43.656614,3.247640
123.499954,43.655628,3.255408
123.505834,43.654641,3.426018
123.498596,43.651359,3.394947
123.522111,43.647412,3.316454
123.491359,43.648076,3.280337
123.497238,43.647090,3.490462
123.501759,43.641835,3.317961
123.419907,43.637546,3.327781
123.425787,43.636564,3.385150
123.431667,43.635582,3.323008
123.412675,43.634257,3.407761
123.418555,43.633275,3.524278
123.424435,43.632293,3.576873
123.430315,43.631311,3.384457
123.417204,43.629004,3.485439
123.423083,43.628022,3.569106
123.428963,43.627041,3.505998
123.434842,43.626058,3.436530
123.415853,43.624733,3.576873
123.421732,43.623752,3.532045
123.427611,43.622770,3.631248
123.433490,43.621788,3.516510
123.385102,43.625364,3.637744
123.414502,43.620462,3.477671
123.420381,43.619481,3.446599
123.432138,43.617517,3.532045
123.438016,43.616535,3.584641
123.443894,43.615552,3.462135
123.449772,43.614570,3.438832
123.383754,43.621093,3.653280
123.407272,43.617172,3.446599
123.442542,43.611282,3.399993
123.448419,43.610299,3.384457
123.454296,43.609316,3.423296
123.460172,43.608333,3.485439
123.466049,43.607350,3.524278
123.417679,43.610939,3.385150
123.441190,43.607011,3.323008
123.447066,43.606029,3.446599
123.439838,43.602741,3.392225
123.445714,43.601759,3.462135
123.451590,43.600776,3.438832
123.498589,43.592905,3.454367
123.444363,43.597488,3.475344
123.450238,43.596506,3.462135
123.473738,43.592573,3.446599
123.491360,43.589621,3.675527
123.503107,43.587651,3.569106
123.443011,43.593218,3.392225
123.454761,43.591253,3.384457
123.478259,43.587320,3.459808
123.490006,43.585351,3.597849
123.495879,43.584367,3.413201
123.507624,43.582397,3.454367
123.429909,43.590911,3.438832
123.488652,43.581082,3.621152
123.500397,43.579113,3.454367
123.506269,43.578128,3.462135
123.422683,43.587621,3.600177
123.457932,43.581730,3.620736
123.463806,43.580747,3.610641
123.469679,43.579764,3.664520
123.475552,43.578780,3.621152
123.481425,43.577797,3.659992
123.487298,43.576813,3.566778
123.493170,43.575828,3.636688
123.499042,43.574844,3.436504
123.421334,43.583350,3.623480
123.438958,43.580406,3.477671
123.450707,43.578442,3.685622
123.456580,43.577460,3.713950
123.462454,43.576477,3.696087
123.468327,43.575494,3.657248
123.474200,43.574511,3.671916
123.480072,43.573527,3.506415
123.485944,43.572543,3.475344
123.491816,43.571559,3.569106
123.497688,43.570575,3.524278
123.408234,43.581040,3.524809
123.437608,43.576136,3.462135
123.449355,43.574172,3.646783
123.455229,43.573190,3.677312
123.478719,43.569258,3.543475
123.490463,43.567290,3.399993
123.401010,43.577749,3.317551
123.406886,43.576769,3.324625
123.430384,43.572847,3.508742
123.436258,43.571865,3.532045
123.448005,43.569902,3.569106
123.453878,43.568920,3.721411
123.471495,43.565971,3.511438
123.483238,43.564005,3.592409
123.489109,43.563021,3.623480
123.565407,43.550204,3.567834
123.399663,43.573477,3.317551
123.423161,43.569557,3.312245
123.429035,43.568576,3.504661
123.434908,43.567595,3.496893
123.440781,43.566613,3.583369
123.446654,43.565631,3.684350
123.452527,43.564649,3.654551
123.476014,43.560719,3.543475
123.481885,43.559735,3.661047
123.487756,43.558751,3.500974
123.564050,43.545937,3.606673
123.398316,43.569206,3.332393
123.410065,43.567246,3.332393
123.421812,43.565286,3.397691
123.433559,43.563324,3.431064
123.457048,43.559397,3.622208
123.462920,43.558415,3.612113
123.468791,43.557432,3.444273
123.474662,43.556449,3.444273
123.480533,43.555466,3.438832
123.533356,43.546603,3.584641
123.396969,43.564934,3.355697
123.432210,43.559053,3.436530
123.438082,43.558072,3.446599
123.449826,43.556109,3.729179
123.455698,43.555127,3.622208
123.473310,43.552179,3.438832
123.479181,43.551196,3.438832
123.485051,43.550213,3.584641
123.526133,43.543321,3.569106
123.573066,43.535427,3.543475
123.578932,43.534439,3.736947
123.436733,43.553802,3.462135
123.448476,43.551839,3.637744
123.471959,43.547909,3.462135
123.477829,43.546926,3.423296
123.483699,43.545943,3.412785
123.524778,43.539052,3.569106
123.530646,43.538067,3.489125
123.554112,43.534122,3.467159
123.559978,43.533135,3.428320
123.565843,43.532147,3.597433
123.571709,43.531160,3.576873
123.417768,43.552473,3.441142
123.458868,43.545605,3.627232
123.470608,43.543640,3.490462
123.488216,43.540690,3.569106
123.494085,43.539707,3.592409
123.511689,43.536754,3.521533
123.523424,43.534784,3.584641
123.529291,43.533798,3.501917
123.535158,43.532813,3.535732
123.546890,43.530840,3.343316
123.552756,43.529854,3.521533
123.564486,43.527880,3.752482
123.570351,43.526892,3.661047
123.576216,43.525905,3.799089
123.416420,43.548202,3.524809
123.428164,43.546241,3.397691
123.434035,43.545260,3.420995
123.451648,43.542316,3.482695
123.510336,43.532485,3.485439
123.522070,43.530515,3.377382
123.527936,43.529530,3.389923
123.545534,43.526572,3.296710
123.568994,43.522625,3.560066
123.444428,43.539028,3.796344
123.456168,43.537064,3.529301
123.462037,43.536082,3.690646
123.485512,43.532152,3.467159
123.491380,43.531168,3.446599
123.497248,43.530184,3.454367
123.520716,43.526247,3.335548
123.544179,43.522305,3.366620
123.448949,43.533776,3.642768
123.548689,43.517050,3.278847
123.554553,43.516064,3.296710
123.441731,43.530487,3.840624
123.547334,43.512783,3.405458
123.550488,43.503261,3.385150
123.549133,43.498993,3.477671
123.554996,43.498007,3.508742
123.560858,43.497021,3.516510
123.442208,43.512424,3.444298
123.547779,43.494725,3.454367
123.559503,43.492753,3.493207
123.565365,43.491766,3.552605
123.571226,43.490780,3.532045
123.558148,43.488485,3.576873
123.564010,43.487499,3.584641
123.569871,43.486512,3.446599
123.439513,43.503883,3.428320
123.445380,43.502902,3.358852
123.545071,43.486189,3.446599
123.550933,43.485204,3.529301
123.556794,43.484218,3.516510
123.432300,43.500592,3.443855
123.435474,43.491071,3.379000
123.441340,43.490091,3.316858
123.453070,43.488130,3.405298
123.576170,43.467470,3.576873
123.428262,43.487780,3.417839
123.434128,43.486800,3.379000
123.445859,43.484840,3.405298
123.421052,43.484488,3.425607
123.419707,43.480217,3.394536
123.794484,43.416984,3.817573
123.793116,43.412722,3.850224
123.780057,43.410453,3.584641
123.552277,43.431034,3.474927
123.710283,43.404339,3.595130
123.521644,43.431686,3.446599
123.556781,43.425781,3.524278
123.562637,43.424796,3.436530
123.580201,43.421839,3.521720
123.508580,43.429383,3.312245
123.537864,43.424467,3.615712
123.549575,43.422498,3.659164
123.555430,43.421513,3.543500
123.536514,43.420199,3.485439
123.548224,43.418230,3.544837
123.535164,43.415930,3.505998
123.581996,43.408051,3.312245
123.539669,43.410678,3.532988
123.586496,43.402798,3.425763
123.532466,43.407394,3.402714
123.573440,43.400503,3.418250
123.590996,43.397545,3.325729
123.542824,43.401158,3.490051
123.610339,43.380799,3.799089
123.622036,43.378824,3.574316
123.357211,43.418705,3.633970
123.608986,43.376532,3.597433
123.620683,43.374558,3.589664
123.638226,43.371595,3.413227
123.690841,43.362689,3.420995
123.696685,43.361699,3.426018
123.314838,43.421247,3.371232
123.584236,43.376210,3.451623
123.595935,43.374239,3.397691
123.619329,43.370292,3.361846
123.631025,43.368317,3.433786
123.636872,43.367329,3.543500
123.642719,43.366341,3.527965
123.689483,43.358425,3.520197
123.582886,43.371943,3.775990
123.588735,43.370958,3.711725
123.600432,43.368986,3.394947
123.623824,43.365039,3.410482
123.629671,43.364051,3.428762
123.682281,43.355151,3.361846
123.688126,43.354161,3.451623
123.769912,43.340267,3.493738
123.775752,43.339272,3.433375
123.575686,43.368661,3.814828
123.587384,43.366691,3.726245
123.593232,43.365705,3.623480
123.599080,43.364719,3.433786
123.604928,43.363733,3.335548
123.663391,43.353855,3.243027
123.675081,43.351876,3.392225
123.680925,43.350886,3.446599
123.686768,43.349896,3.526974
123.762711,43.336998,3.323863
123.568487,43.365379,3.756945
123.591881,43.361438,3.493738
123.597729,43.360452,3.525220
123.603577,43.359466,3.441554
123.638656,43.353544,3.302015
123.656191,43.350579,3.243027
123.662036,43.349590,3.258563
123.667880,43.348601,3.325729
123.673724,43.347611,3.296710
123.679568,43.346622,3.441528
